,調査数,１回のみ,２～３回,４回以上,わからない
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,37.5,62.5,-,-
子供の有無別学校教育終了,35,10,17,7,1
子供の有無別学校教育終了,100.0,28.6,48.6,20.0,2.9
子供の有無別その他,6,3,1,2,-
子供の有無別その他,100.0,50.0,16.7,33.3,-
職業別自営業（計）,14,5,3,3,3
職業別自営業（計）,100.0,35.7,21.4,21.4,21.4
職業別農林漁業,1,-,-,-,1
職業別農林漁業,100.0,-,-,-,100.0
職業別商工・サービス業,1,1,-,-,-
職業別商工・サービス業,100.0,100,-,-,-
職業別その他自由業,12,4,3,3,2
職業別その他自由業,100.0,33.3,25.0,25.0,16.7
職業別お勤め（計）,65,27,28,9,1
職業別お勤め（計）,100.0,41.5,43.1,13.8,1.5
職業別経営・管理職,11,3,6,2,-
職業別経営・管理職,100.0,27.3,54.5,18.2,-
職業別専門職・技術職,12,4,6,2,-
職業別専門職・技術職,100.0,33.3,50.0,16.7,-
職業別事務職,24,9,9,5,1
職業別事務職,100.0,37.5,37.5,20.8,4.2
職業別労務職・技能職,5,3,2,-,-
職業別労務職・技能職,100.0,60.0,40.0,-,-
職業別販売・サービス職,13,8,5,-,-
職業別販売・サービス職,100.0,61.5,38.5,-,-
職業別その他（計）,23,11,9,3,-
職業別その他（計）,100.0,47.8,39.1,13.0,-
職業別生徒・学生,3,2,1,-,-
職業別生徒・学生,100.0,66.7,33.3,-,-
職業別専業主婦（夫）,11,5,5,1,-
職業別専業主婦（夫）,100.0,45.5,45.5,9.1,-
職業別その他,2,1,1,-,-
職業別その他,100.0,50.0,50.0,-,-
職業別無職（年金受給者含む）,7,3,2,2,-
職業別無職（年金受給者含む）,100.0,42.9,28.6,28.6,-
投票所までの時間別５分以内,32,12,12,7,1
投票所までの時間別５分以内,100.0,37.5,37.5,21.9,3.1
投票所までの時間別10分以内,59,27,22,7,3
投票所までの時間別10分以内,100.0,45.8,37.3,11.9,5.1
投票所までの時間別20分以内,10,4,5,1,-
投票所までの時間別20分以内,100.0,40.0,50.0,10.0,-
投票所までの時間別30分以内,-,-,-,-,-
投票所までの時間別30分以内,-,-,-,-,-
投票所までの時間別30分を超える,1,-,1,-,-
投票所までの時間別30分を超える,100.0,-,100.0,-,-
投票所までの時間別わからない,-,-,-,-,-
投票所までの時間別わからない,-,-,-,-,-
地域別区部（計）,82,34,33,11,4
地域別区部（計）,100.0,41.5,40.2,13.4,4.9
地域別センターコア,23,10,8,5,-
地域別センターコア,100.0,43.5,34.8,21.7,-
地域別区部東部・北部エリア,18,6,8,3,1
地域別区部東部・北部エリア,100.0,33.3,44.4,16.7,5.6
地域別区部西部・南部エリア,41,18,17,3,3
地域別区部西部・南部エリア,100.0,43.9,41.5,7.3,7.3
地域別市郡部（計）,20,9,7,4,-
地域別市郡部（計）,100.0,45.0,35.0,20.0,-
地域別多摩東部エリア,7,2,3,2,-
地域別多摩東部エリア,100.0,28.6,42.9,28.6,-
地域別多摩中央部北エリア,6,3,2,1,-
地域別多摩中央部北エリア,100.0,50.0,33.3,16.7,-
地域別多摩中央部南エリア,6,3,2,1,-
地域別多摩中央部南エリア,100.0,50.0,33.3,16.7,-
地域別多摩西部エリア,1,1,-,-,-
地域別多摩西部エリア,100.0,100,-,-,-
選挙への関心度別関心があった（計）,98,41,38,15,4
選挙への関心度別関心があった（計）,100.0,41.8,38.8,15.3,4.1
選挙への関心度別関心があった,57,21,21,12,3
選挙への関心度別関心があった,100.0,36.8,36.8,21.1,5.3
選挙への関心度別やや関心があった,41,20,17,3,1
選挙への関心度別やや関心があった,100.0,48.8,41.5,7.3,2.4
選挙への関心度別関心がなかった（計）,2,-,2,-,-
選挙への関心度別関心がなかった（計）,100.0,-,100.0,-,-
選挙への関心度別あまり関心がなかった,2,-,2,-,-
選挙への関心度別あまり関心がなかった,100.0,-,100.0,-,-
選挙への関心度別関心がなかった,-,-,-,-,-
選挙への関心度別関心がなかった,-,-,-,-,-
選挙への関心度別どちらともいえない,2,2,-,-,-
選挙への関心度別どちらともいえない,100.0,100,-,-,-
選挙への関心度別わからない,-,-,-,-,-
選挙への関心度別わからない,-,-,-,-,-
投票への意識別投票するべき（計）,98,42,37,15,4
投票への意識別投票するべき（計）,100.0,42.9,37.8,15.3,4.1
投票への意識別必ず投票するべき,55,22,19,11,3
投票への意識別必ず投票するべき,100.0,40.0,34.5,20.0,5.5
投票への意識別可能な限り投票するべき,43,20,18,4,1
投票への意識別可能な限り投票するべき,100.0,46.5,41.9,9.3,2.3
投票への意識別投票するのもしないのも自由,4,1,3,-,-
投票への意識別投票するのもしないのも自由,100.0,25.0,75.0,-,-
投票への意識別その他,-,-,-,-,-
投票への意識別その他,-,-,-,-,-
投票への意識別わからない,-,-,-,-,-
投票への意識別わからない,-,-,-,-,-
投票への参加状況別投票した（計）,98,42,37,15,4
投票への参加状況別投票した（計）,100.0,42.9,37.8,15.3,4.1
投票への参加状況別投票日に投票した,63,26,22,11,4
投票への参加状況別投票日に投票した,100.0,41.3,34.9,17.5,6.3
投票への参加状況別期日前投票（又は不在者投票等）をした,35,16,15,4,-
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,45.7,42.9,11.4,-
投票への参加状況別投票しなかった,4,1,3,-,-
投票への参加状況別投票しなかった,100.0,25.0,75.0,-,-
投票への参加状況別答えたくない,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-
新聞の定期購読別定期購読している,68,31,23,11,3
新聞の定期購読別定期購読している,100.0,45.6,33.8,16.2,4.4
新聞の定期購読別定期購読していない,34,12,17,4,1
新聞の定期購読別定期購読していない,100.0,35.3,50.0,11.8,2.9
インターネットの利用有無別インターネットを利用している,88,39,33,13,3
インターネットの利用有無別インターネットを利用している,100.0,44.3,37.5,14.8,3.4
インターネットの利用有無別インターネットを利用していない,14,4,7,2,1
インターネットの利用有無別インターネットを利用していない,100.0,28.6,50.0,14.3,7.1
