,調査数,庁舎・公共施設等での選挙広報用ポスター（女優の広瀬すずさん起用）,コンビニレジ画面の広告,選挙広報用の新聞広告,国、都、区市町村の広報誌,電車内・駅構内のモニター、街中の大型モニターでの動画広告放映,庁舎や公園などの懸垂幕・横断幕,18歳選挙権（参議院議員選挙）周知イベント（渋谷・新宿）,スーパー、コンビニなどの店内放送、防災無線による放送,ポケットティッシュ等の広報グッズ,区市町村の広報車,区市町村の広報掲示板,都及び区市町村・総務省のホームページ,都、区市町村、総務省のＳＮＳ（ツイッター等）,インターネットバナー広告（Yahoo!JAPAN・プロモツイート）,その他,見たり聞いたりしたものはない,わからない、忘れた
性/年齢別男性70歳代,107,27,6,31,24,9,5,2,2,1,18,22,1,1,-,1,13,28
性/年齢別男性70歳代,100.0,25.2,5.6,29.0,22.4,8.4,4.7,1.9,1.9,0.9,16.8,20.6,0.9,0.9,-,0.9,12.1,26.2
性/年齢別男性80歳以上,48,8,2,16,9,2,-,-,-,-,2,6,-,-,-,-,5,18
性/年齢別男性80歳以上,100.0,16.7,4.2,33.3,18.8,4.2,-,-,-,-,4.2,12.5,-,-,-,-,10.4,37.5
性/年齢別女性18歳,6,2,2,-,-,1,1,-,1,-,-,-,-,-,1,-,1,1
性/年齢別女性18歳,100.0,33.3,33.3,-,-,16.7,16.7,-,16.7,-,-,-,-,-,16.7,-,16.7,16.7
性/年齢別女性19歳,8,2,-,-,-,1,-,-,-,-,1,1,-,-,1,-,2,4
性/年齢別女性19歳,100.0,25.0,-,-,-,12.5,-,-,-,-,12.5,12.5,-,-,12.5,-,25.0,50.0
性/年齢別女性20歳代,81,28,14,9,11,25,3,2,3,3,9,8,1,-,8,-,12,23
性/年齢別女性20歳代,100.0,34.6,17.3,11.1,13.6,30.9,3.7,2.5,3.7,3.7,11.1,9.9,1.2,-,9.9,-,14.8,28.4
性/年齢別女性30歳代,135,50,27,16,19,36,5,1,8,5,25,27,1,2,14,2,11,27
性/年齢別女性30歳代,100.0,37.0,20.0,11.9,14.1,26.7,3.7,0.7,5.9,3.7,18.5,20.0,0.7,1.5,10.4,1.5,8.1,20.0
性/年齢別女性40歳代,228,82,39,58,48,54,13,5,25,7,55,60,3,3,19,-,24,24
性/年齢別女性40歳代,100.0,36.0,17.1,25.4,21.1,23.7,5.7,2.2,11.0,3.1,24.1,26.3,1.3,1.3,8.3,-,10.5,10.5
性/年齢別女性50歳代,159,57,22,42,35,33,8,3,12,3,44,36,3,-,5,-,18,30
性/年齢別女性50歳代,100.0,35.8,13.8,26.4,22.0,20.8,5.0,1.9,7.5,1.9,27.7,22.6,1.9,-,3.1,-,11.3,18.9
性/年齢別女性60歳代,180,60,19,44,47,14,14,2,11,4,34,52,-,-,1,-,28,32
性/年齢別女性60歳代,100.0,33.3,10.6,24.4,26.1,7.8,7.8,1.1,6.1,2.2,18.9,28.9,-,-,0.6,-,15.6,17.8
性/年齢別女性70歳代,124,29,9,23,31,11,5,2,6,1,25,25,2,1,-,3,18,36
性/年齢別女性70歳代,100.0,23.4,7.3,18.5,25.0,8.9,4.0,1.6,4.8,0.8,20.2,20.2,1.6,0.8,-,2.4,14.5,29.0
性/年齢別女性80歳以上,50,10,1,12,10,3,2,-,-,1,6,5,-,-,-,-,7,19
性/年齢別女性80歳以上,100.0,20.0,2.0,24.0,20.0,6.0,4.0,-,-,2.0,12.0,10.0,-,-,-,-,14.0,38.0
未・既婚別未婚,344,115,50,42,33,77,9,7,12,7,39,37,1,5,47,-,49,80
未・既婚別未婚,100.0,33.4,14.5,12.2,9.6,22.4,2.6,2.0,3.5,2.0,11.3,10.8,0.3,1.5,13.7,-,14.2,23.3
未・既婚別既婚（死別・離別を含む）,1479,517,191,359,342,323,69,26,84,34,337,360,28,13,96,8,161,274
未・既婚別既婚（死別・離別を含む）,100.0,35.0,12.9,24.3,23.1,21.8,4.7,1.8,5.7,2.3,22.8,24.3,1.9,0.9,6.5,0.5,10.9,18.5
子供の有無別子供はいない,404,138,55,55,43,93,14,9,14,7,49,45,2,7,58,1,58,88
子供の有無別子供はいない,100.0,34.2,13.6,13.6,10.6,23.0,3.5,2.2,3.5,1.7,12.1,11.1,0.5,1.7,14.4,0.2,14.4,21.8
子供の有無別未就学（～６歳）,114,34,18,14,19,45,4,3,6,5,27,29,2,1,10,1,15,21
子供の有無別未就学（～６歳）,100.0,29.8,15.8,12.3,16.7,39.5,3.5,2.6,5.3,4.4,23.7,25.4,1.8,0.9,8.8,0.9,13.2,18.4
子供の有無別小・中・高校生,394,156,78,88,85,124,18,10,37,10,110,112,9,3,47,-,36,48
子供の有無別小・中・高校生,100.0,39.6,19.8,22.3,21.6,31.5,4.6,2.5,9.4,2.5,27.9,28.4,2.3,0.8,11.9,-,9.1,12.2
子供の有無別大学生・大学院生・短大生・専門学校生,144,58,22,43,33,48,7,7,16,4,38,36,4,1,15,1,7,24
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,40.3,15.3,29.9,22.9,33.3,4.9,4.9,11.1,2.8,26.4,25.0,2.8,0.7,10.4,0.7,4.9,16.7
子供の有無別学校教育終了,791,264,77,212,199,115,38,11,30,17,171,189,12,5,20,3,93,167
子供の有無別学校教育終了,100.0,33.4,9.7,26.8,25.2,14.5,4.8,1.4,3.8,2.1,21.6,23.9,1.5,0.6,2.5,0.4,11.8,21.1
子供の有無別その他,60,9,1,18,10,2,1,1,1,2,5,8,2,1,2,2,8,15
子供の有無別その他,100.0,15.0,1.7,30.0,16.7,3.3,1.7,1.7,1.7,3.3,8.3,13.3,3.3,1.7,3.3,3.3,13.3,25.0
職業別自営業（計）,133,60,10,36,29,23,6,7,5,5,17,30,3,1,11,1,17,22
職業別自営業（計）,100.0,45.1,7.5,27.1,21.8,17.3,4.5,5.3,3.8,3.8,12.8,22.6,2.3,0.8,8.3,0.8,12.8,16.5
職業別農林漁業,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
職業別農林漁業,100.0,-,-,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
職業別商工・サービス業,42,18,8,10,10,7,3,1,2,1,5,7,1,1,5,-,8,8
職業別商工・サービス業,100.0,42.9,19.0,23.8,23.8,16.7,7.1,2.4,4.8,2.4,11.9,16.7,2.4,2.4,11.9,-,19.0,19.0
職業別その他自由業,90,42,2,25,19,16,3,6,3,4,12,23,2,-,6,1,9,14
職業別その他自由業,100.0,46.7,2.2,27.8,21.1,17.8,3.3,6.7,3.3,4.4,13.3,25.6,2.2,-,6.7,1.1,10.0,15.6
職業別お勤め（計）,821,302,130,169,152,257,28,16,38,20,191,189,21,14,113,1,81,136
職業別お勤め（計）,100.0,36.8,15.8,20.6,18.5,31.3,3.4,1.9,4.6,2.4,23.3,23.0,2.6,1.7,13.8,0.1,9.9,16.6
職業別経営・管理職,74,37,9,24,24,33,4,4,1,2,20,23,4,2,13,-,3,7
職業別経営・管理職,100.0,50.0,12.2,32.4,32.4,44.6,5.4,5.4,1.4,2.7,27.0,31.1,5.4,2.7,17.6,-,4.1,9.5
職業別専門職・技術職,196,82,29,56,45,76,7,6,10,7,55,50,6,3,35,1,15,21
職業別専門職・技術職,100.0,41.8,14.8,28.6,23.0,38.8,3.6,3.1,5.1,3.6,28.1,25.5,3.1,1.5,17.9,0.5,7.7,10.7
職業別事務職,221,72,35,43,33,52,10,4,10,6,47,43,7,6,28,-,22,48
職業別事務職,100.0,32.6,15.8,19.5,14.9,23.5,4.5,1.8,4.5,2.7,21.3,19.5,3.2,2.7,12.7,-,10.0,21.7
職業別労務職・技能職,61,23,10,13,12,21,-,-,5,1,17,19,-,-,11,-,7,2
職業別労務職・技能職,100.0,37.7,16.4,21.3,19.7,34.4,-,-,8.2,1.6,27.9,31.1,-,-,18.0,-,11.5,3.3
職業別販売・サービス職,269,88,47,33,38,75,7,2,12,4,52,54,4,3,26,-,34,58
職業別販売・サービス職,100.0,32.7,17.5,12.3,14.1,27.9,2.6,0.7,4.5,1.5,19.3,20.1,1.5,1.1,9.7,-,12.6,21.6
職業別その他（計）,869,270,101,196,194,120,44,10,53,16,168,178,5,3,19,6,112,196
職業別その他（計）,100.0,31.1,11.6,22.6,22.3,13.8,5.1,1.2,6.1,1.8,19.3,20.5,0.6,0.3,2.2,0.7,12.9,22.6
職業別生徒・学生,47,16,6,4,3,12,2,-,1,1,4,3,-,2,5,-,8,11
職業別生徒・学生,100.0,34.0,12.8,8.5,6.4,25.5,4.3,-,2.1,2.1,8.5,6.4,-,4.3,10.6,-,17.0,23.4
職業別専業主婦（夫）,395,152,65,97,108,68,31,5,40,13,94,98,5,1,12,-,41,58
職業別専業主婦（夫）,100.0,38.5,16.5,24.6,27.3,17.2,7.8,1.3,10.1,3.3,23.8,24.8,1.3,0.3,3.0,-,10.4,14.7
職業別その他,25,5,1,4,3,5,-,1,1,-,1,2,-,-,-,2,4,5
職業別その他,100.0,20.0,4.0,16.0,12.0,20.0,-,4.0,4.0,-,4.0,8.0,-,-,-,8.0,16.0,20.0
職業別無職（年金受給者含む）,402,97,29,91,80,35,11,4,11,2,69,75,-,-,2,4,59,122
職業別無職（年金受給者含む）,100.0,24.1,7.2,22.6,19.9,8.7,2.7,1.0,2.7,0.5,17.2,18.7,-,-,0.5,1.0,14.7,30.3
投票所までの時間別５分以内,433,152,50,114,89,102,22,7,21,10,102,105,7,4,41,3,55,63
投票所までの時間別５分以内,100.0,35.1,11.5,26.3,20.6,23.6,5.1,1.6,4.8,2.3,23.6,24.2,1.6,0.9,9.5,0.7,12.7,14.5
投票所までの時間別10分以内,1067,382,156,216,227,260,45,17,57,24,234,255,18,10,90,2,114,206
投票所までの時間別10分以内,100.0,35.8,14.6,20.2,21.3,24.4,4.2,1.6,5.3,2.2,21.9,23.9,1.7,0.9,8.4,0.2,10.7,19.3
投票所までの時間別20分以内,288,92,34,66,55,36,9,6,16,6,39,34,4,4,11,1,33,73
投票所までの時間別20分以内,100.0,31.9,11.8,22.9,19.1,12.5,3.1,2.1,5.6,2.1,13.5,11.8,1.4,1.4,3.8,0.3,11.5,25.3
投票所までの時間別30分以内,21,4,-,3,2,2,1,3,1,1,-,2,-,-,1,1,5,4
投票所までの時間別30分以内,100.0,19.0,-,14.3,9.5,9.5,4.8,14.3,4.8,4.8,-,9.5,-,-,4.8,4.8,23.8,19.0
投票所までの時間別30分を超える,3,2,1,2,2,-,1,-,1,-,1,1,-,-,-,1,-,-
投票所までの時間別30分を超える,100.0,66.7,33.3,66.7,66.7,-,33.3,-,33.3,-,33.3,33.3,-,-,-,33.3,-,-
投票所までの時間別わからない,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,8
投票所までの時間別わからない,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.3,72.7
地域別区部（計）,1381,542,216,316,309,353,49,21,71,33,323,354,25,14,125,4,138,224
地域別区部（計）,100.0,39.2,15.6,22.9,22.4,25.6,3.5,1.5,5.1,2.4,23.4,25.6,1.8,1.0,9.1,0.3,10.0,16.2
地域別センターコア,388,154,70,83,93,124,18,6,26,6,92,140,5,4,45,-,35,44
地域別センターコア,100.0,39.7,18.0,21.4,24.0,32.0,4.6,1.5,6.7,1.5,23.7,36.1,1.3,1.0,11.6,-,9.0,11.3
地域別区部東部・北部エリア,398,163,67,91,79,78,8,6,12,11,105,83,6,5,27,3,39,56
地域別区部東部・北部エリア,100.0,41.0,16.8,22.9,19.8,19.6,2.0,1.5,3.0,2.8,26.4,20.9,1.5,1.3,6.8,0.8,9.8,14.1
地域別区部西部・南部エリア,595,225,79,142,137,151,23,9,33,16,126,131,14,5,53,1,64,124
地域別区部西部・南部エリア,100.0,37.8,13.3,23.9,23.0,25.4,3.9,1.5,5.5,2.7,21.2,22.0,2.4,0.8,8.9,0.2,10.8,20.8
地域別市郡部（計）,442,90,25,85,66,47,29,12,25,8,53,43,4,4,18,4,72,130
地域別市郡部（計）,100.0,20.4,5.7,19.2,14.9,10.6,6.6,2.7,5.7,1.8,12.0,9.7,0.9,0.9,4.1,0.9,16.3,29.4
地域別多摩東部エリア,132,27,3,27,18,12,8,4,4,3,8,10,-,1,6,2,29,38
地域別多摩東部エリア,100.0,20.5,2.3,20.5,13.6,9.1,6.1,3.0,3.0,2.3,6.1,7.6,-,0.8,4.5,1.5,22.0,28.8
地域別多摩中央部北エリア,70,29,13,16,22,13,6,3,5,4,20,9,3,-,6,-,10,9
地域別多摩中央部北エリア,100.0,41.4,18.6,22.9,31.4,18.6,8.6,4.3,7.1,5.7,28.6,12.9,4.3,-,8.6,-,14.3,12.9
地域別多摩中央部南エリア,201,32,8,40,23,22,7,5,9,1,20,23,1,3,5,2,28,67
地域別多摩中央部南エリア,100.0,15.9,4.0,19.9,11.4,10.9,3.5,2.5,4.5,0.5,10.0,11.4,0.5,1.5,2.5,1.0,13.9,33.3
地域別多摩西部エリア,39,2,1,2,3,-,8,-,7,-,5,1,-,-,1,-,5,16
地域別多摩西部エリア,100.0,5.1,2.6,5.1,7.7,-,20.5,-,17.9,-,12.8,2.6,-,-,2.6,-,12.8,41.0
選挙への関心度別関心があった（計）,1283,523,186,356,337,312,62,30,59,35,312,348,28,16,81,6,110,195
選挙への関心度別関心があった（計）,100.0,40.8,14.5,27.7,26.3,24.3,4.8,2.3,4.6,2.7,24.3,27.1,2.2,1.2,6.3,0.5,8.6,15.2
選挙への関心度別関心があった,633,260,75,212,184,125,41,17,22,17,156,149,10,8,29,6,62,92
選挙への関心度別関心があった,100.0,41.1,11.8,33.5,29.1,19.7,6.5,2.7,3.5,2.7,24.6,23.5,1.6,1.3,4.6,0.9,9.8,14.5
選挙への関心度別やや関心があった,650,263,111,144,153,187,21,13,37,18,156,199,18,8,52,-,48,103
選挙への関心度別やや関心があった,100.0,40.5,17.1,22.2,23.5,28.8,3.2,2.0,5.7,2.8,24.0,30.6,2.8,1.2,8.0,-,7.4,15.8
選挙への関心度別関心がなかった（計）,227,38,14,9,12,23,6,1,10,1,24,7,-,2,25,2,58,73
選挙への関心度別関心がなかった（計）,100.0,16.7,6.2,4.0,5.3,10.1,2.6,0.4,4.4,0.4,10.6,3.1,-,0.9,11.0,0.9,25.6,32.2
選挙への関心度別あまり関心がなかった,125,29,10,5,10,15,6,1,7,1,17,5,-,1,14,1,26,33
選挙への関心度別あまり関心がなかった,100.0,23.2,8.0,4.0,8.0,12.0,4.8,0.8,5.6,0.8,13.6,4.0,-,0.8,11.2,0.8,20.8,26.4
選挙への関心度別関心がなかった,102,9,4,4,2,8,-,-,3,-,7,2,-,1,11,1,32,40
選挙への関心度別関心がなかった,100.0,8.8,3.9,3.9,2.0,7.8,-,-,2.9,-,6.9,2.0,-,1.0,10.8,1.0,31.4,39.2
選挙への関心度別どちらともいえない,298,71,41,36,26,65,10,2,27,5,40,42,1,-,37,-,38,75
選挙への関心度別どちらともいえない,100.0,23.8,13.8,12.1,8.7,21.8,3.4,0.7,9.1,1.7,13.4,14.1,0.3,-,12.4,-,12.8,25.2
選挙への関心度別わからない,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,11
選挙への関心度別わからない,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.7,73.3
投票への意識別投票するべき（計）,1434,564,202,374,351,332,63,27,75,35,337,375,29,18,94,5,140,221
投票への意識別投票するべき（計）,100.0,39.3,14.1,26.1,24.5,23.2,4.4,1.9,5.2,2.4,23.5,26.2,2.0,1.3,6.6,0.3,9.8,15.4
投票への意識別必ず投票するべき,596,258,91,182,191,109,29,13,25,14,152,151,16,9,25,3,58,86
投票への意識別必ず投票するべき,100.0,43.3,15.3,30.5,32.0,18.3,4.9,2.2,4.2,2.3,25.5,25.3,2.7,1.5,4.2,0.5,9.7,14.4
投票への意識別可能な限り投票するべき,838,306,111,192,160,223,34,14,50,21,185,224,13,9,69,2,82,135
投票への意識別可能な限り投票するべき,100.0,36.5,13.2,22.9,19.1,26.6,4.1,1.7,6.0,2.5,22.1,26.7,1.6,1.1,8.2,0.2,9.8,16.1
投票への意識別投票するのもしないのも自由,344,68,38,27,24,66,14,6,19,6,37,21,-,-,47,3,57,107
投票への意識別投票するのもしないのも自由,100.0,19.8,11.0,7.8,7.0,19.2,4.1,1.7,5.5,1.7,10.8,6.1,-,-,13.7,0.9,16.6,31.1
投票への意識別その他,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
投票への意識別その他,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,-
投票への意識別わからない,44,-,1,-,-,2,1,-,2,-,2,1,-,-,2,-,12,26
投票への意識別わからない,100.0,-,2.3,-,-,4.5,2.3,-,4.5,-,4.5,2.3,-,-,4.5,-,27.3,59.1
投票への参加状況別投票した（計）,1435,591,221,365,361,345,69,30,72,34,332,382,28,17,88,7,127,218
投票への参加状況別投票した（計）,100.0,41.2,15.4,25.4,25.2,24.0,4.8,2.1,5.0,2.4,23.1,26.6,2.0,1.2,6.1,0.5,8.9,15.2
投票への参加状況別投票日に投票した,1226,505,183,314,301,286,49,21,54,25,281,341,15,10,64,4,108,189
投票への参加状況別投票日に投票した,100.0,41.2,14.9,25.6,24.6,23.3,4.0,1.7,4.4,2.0,22.9,27.8,1.2,0.8,5.2,0.3,8.8,15.4
投票への参加状況別期日前投票（又は不在者投票等）をした,209,86,38,51,60,59,20,9,18,9,51,41,13,7,24,3,19,29
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,41.1,18.2,24.4,28.7,28.2,9.6,4.3,8.6,4.3,24.4,19.6,6.2,3.3,11.5,1.4,9.1,13.9
投票への参加状況別投票しなかった,377,41,20,35,14,55,9,3,22,7,42,15,1,1,54,1,82,130
投票への参加状況別投票しなかった,100.0,10.9,5.3,9.3,3.7,14.6,2.4,0.8,5.8,1.9,11.1,4.0,0.3,0.3,14.3,0.3,21.8,34.5
投票への参加状況別答えたくない,11,-,-,1,-,-,-,-,2,-,2,-,-,-,1,-,1,6
投票への参加状況別答えたくない,100.0,-,-,9.1,-,-,-,-,18.2,-,18.2,-,-,-,9.1,-,9.1,54.5
新聞の定期購読別定期購読している,1240,468,158,362,308,266,60,22,68,27,292,338,14,5,48,4,115,214
新聞の定期購読別定期購読している,100.0,37.7,12.7,29.2,24.8,21.5,4.8,1.8,5.5,2.2,23.5,27.3,1.1,0.4,3.9,0.3,9.3,17.3
新聞の定期購読別定期購読していない,583,164,83,39,67,134,18,11,28,14,84,59,15,13,95,4,95,140
新聞の定期購読別定期購読していない,100.0,28.1,14.2,6.7,11.5,23.0,3.1,1.9,4.8,2.4,14.4,10.1,2.6,2.2,16.3,0.7,16.3,24.0
インターネットの利用有無別インターネットを利用している,1055,409,171,194,206,325,42,24,67,29,240,246,27,17,142,5,102,164
インターネットの利用有無別インターネットを利用している,100.0,38.8,16.2,18.4,19.5,30.8,4.0,2.3,6.4,2.7,22.7,23.3,2.6,1.6,13.5,0.5,9.7,15.5
インターネットの利用有無別インターネットを利用していない,768,223,70,207,169,75,36,9,29,12,136,151,2,1,1,3,108,190
インターネットの利用有無別インターネットを利用していない,100.0,29.0,9.1,27.0,22.0,9.8,4.7,1.2,3.8,1.6,17.7,19.7,0.3,0.1,0.1,0.4,14.1,24.7
