,調査数,投開票速報及び結果,立候補者の一覧,選挙公報,期日前投票所一覧、開票所一覧,東京都選挙管理委員会のツイッター,東京都知事選挙の概要（投票日や有権者の定義、選挙制度の説明）,今後の更新予定,選挙期日等を周知する啓発動画広告（投票用紙をモチーフにしたもの）,政見放送・経歴放送の日程,選挙Ｑ＆Ａ,東京都知事選挙投票率推移や年代別推定投票率のグラフ,東京都及び各区市町村の選挙管理委員会事務局への問い合わせ先,その他,わからない、覚えていない
年齢別70歳代,100.0,32.3,25.8,16.1,22.6,6.5,9.7,3.2,-,9.7,12.9,3.2,-,-,61.3
年齢別80歳以上,4,1,1,1,-,-,-,-,-,-,1,-,-,-,1
年齢別80歳以上,100.0,25.0,25.0,25.0,-,-,-,-,-,-,25.0,-,-,-,25.0
性/年齢別男性18歳,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1
性/年齢別男性18歳,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0
性/年齢別男性19歳,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別男性19歳,100.0,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別男性20歳代,19,8,4,4,7,1,1,1,-,-,3,-,-,-,9
性/年齢別男性20歳代,100.0,42.1,21.1,21.1,36.8,5.3,5.3,5.3,-,-,15.8,-,-,-,47.4
性/年齢別男性30歳代,51,31,22,11,15,1,2,2,1,3,8,1,2,-,13
性/年齢別男性30歳代,100.0,60.8,43.1,21.6,29.4,2.0,3.9,3.9,2.0,5.9,15.7,2.0,3.9,-,25.5
性/年齢別男性40歳代,58,39,29,21,21,3,2,3,1,8,15,2,3,-,11
性/年齢別男性40歳代,100.0,67.2,50.0,36.2,36.2,5.2,3.4,5.2,1.7,13.8,25.9,3.4,5.2,-,19.0
性/年齢別男性50歳代,45,22,18,10,16,1,3,4,-,8,9,1,2,-,12
性/年齢別男性50歳代,100.0,48.9,40.0,22.2,35.6,2.2,6.7,8.9,-,17.8,20.0,2.2,4.4,-,26.7
性/年齢別男性60歳代,39,17,16,11,8,3,6,2,3,5,8,2,2,-,15
性/年齢別男性60歳代,100.0,43.6,41.0,28.2,20.5,7.7,15.4,5.1,7.7,12.8,20.5,5.1,5.1,-,38.5
性/年齢別男性70歳代,16,4,4,2,2,-,1,-,-,2,-,-,-,-,11
性/年齢別男性70歳代,100.0,25.0,25.0,12.5,12.5,-,6.3,-,-,12.5,-,-,-,-,68.8
性/年齢別男性80歳以上,3,1,1,-,-,-,-,-,-,-,1,-,-,-,1
性/年齢別男性80歳以上,100.0,33.3,33.3,-,-,-,-,-,-,-,33.3,-,-,-,33.3
性/年齢別女性18歳,1,-,1,1,-,-,1,-,-,-,-,-,-,-,-
性/年齢別女性18歳,100.0,-,100.0,100.0,-,-,100.0,-,-,-,-,-,-,-,-
性/年齢別女性19歳,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1
性/年齢別女性19歳,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0
性/年齢別女性20歳代,17,12,4,4,4,3,2,3,1,1,1,1,1,-,3
性/年齢別女性20歳代,100.0,70.6,23.5,23.5,23.5,17.6,11.8,17.6,5.9,5.9,5.9,5.9,5.9,-,17.6
性/年齢別女性30歳代,26,16,12,9,10,2,1,1,-,1,2,-,-,-,9
性/年齢別女性30歳代,100.0,61.5,46.2,34.6,38.5,7.7,3.8,3.8,-,3.8,7.7,-,-,-,34.6
性/年齢別女性40歳代,46,25,19,9,10,2,4,1,-,3,5,-,1,-,17
性/年齢別女性40歳代,100.0,54.3,41.3,19.6,21.7,4.3,8.7,2.2,-,6.5,10.9,-,2.2,-,37.0
性/年齢別女性50歳代,41,15,9,5,9,2,2,-,-,1,5,-,2,-,21
性/年齢別女性50歳代,100.0,36.6,22.0,12.2,22.0,4.9,4.9,-,-,2.4,12.2,-,4.9,-,51.2
性/年齢別女性60歳代,26,7,6,5,4,2,3,2,2,4,5,1,2,-,15
性/年齢別女性60歳代,100.0,26.9,23.1,19.2,15.4,7.7,11.5,7.7,7.7,15.4,19.2,3.8,7.7,-,57.7
性/年齢別女性70歳代,15,6,4,3,5,2,2,1,-,1,4,1,-,-,8
性/年齢別女性70歳代,100.0,40.0,26.7,20.0,33.3,13.3,13.3,6.7,-,6.7,26.7,6.7,-,-,53.3
性/年齢別女性80歳以上,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-
性/年齢別女性80歳以上,100.0,-,-,100.0,-,-,-,-,-,-,-,-,-,-,-
未・既婚別未婚,74,39,21,16,16,4,3,5,-,3,8,-,-,-,28
未・既婚別未婚,100.0,52.7,28.4,21.6,21.6,5.4,4.1,6.8,-,4.1,10.8,-,-,-,37.8
未・既婚別既婚（死別・離別を含む）,333,165,128,80,95,18,27,15,8,34,58,9,15,-,119
未・既婚別既婚（死別・離別を含む）,100.0,49.5,38.4,24.0,28.5,5.4,8.1,4.5,2.4,10.2,17.4,2.7,4.5,-,35.7
子供の有無別子供はいない,98,53,33,23,25,7,6,6,-,9,11,2,2,-,35
子供の有無別子供はいない,100.0,54.1,33.7,23.5,25.5,7.1,6.1,6.1,-,9.2,11.2,2.0,2.0,-,35.7
子供の有無別未就学（～６歳）,35,15,15,7,10,2,3,2,2,1,5,1,2,-,14
子供の有無別未就学（～６歳）,100.0,42.9,42.9,20.0,28.6,5.7,8.6,5.7,5.7,2.9,14.3,2.9,5.7,-,40.0
子供の有無別小・中・高校生,111,62,44,27,34,2,8,5,-,8,19,1,5,-,33
子供の有無別小・中・高校生,100.0,55.9,39.6,24.3,30.6,1.8,7.2,4.5,-,7.2,17.1,0.9,4.5,-,29.7
子供の有無別大学生・大学院生・短大生・専門学校生,40,23,19,13,18,2,7,1,-,5,10,-,4,-,10
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,57.5,47.5,32.5,45.0,5.0,17.5,2.5,-,12.5,25.0,-,10.0,-,25.0
子供の有無別学校教育終了,137,62,45,30,33,7,10,5,5,15,26,4,6,-,56
子供の有無別学校教育終了,100.0,45.3,32.8,21.9,24.1,5.1,7.3,3.6,3.6,10.9,19.0,2.9,4.4,-,40.9
子供の有無別その他,18,4,6,2,4,2,3,2,1,1,3,1,1,-,10
子供の有無別その他,100.0,22.2,33.3,11.1,22.2,11.1,16.7,11.1,5.6,5.6,16.7,5.6,5.6,-,55.6
職業別自営業（計）,39,17,14,7,7,1,4,1,1,3,3,1,1,-,15
職業別自営業（計）,100.0,43.6,35.9,17.9,17.9,2.6,10.3,2.6,2.6,7.7,7.7,2.6,2.6,-,38.5
職業別農林漁業,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-
職業別農林漁業,100.0,-,100.0,-,-,-,-,-,-,-,-,-,-,-,-
職業別商工・サービス業,7,-,1,1,-,-,-,-,-,-,-,-,-,-,5
職業別商工・サービス業,100.0,-,14.3,14.3,-,-,-,-,-,-,-,-,-,-,71.4
職業別その他自由業,31,17,12,6,7,1,4,1,1,3,3,1,1,-,10
職業別その他自由業,100.0,54.8,38.7,19.4,22.6,3.2,12.9,3.2,3.2,9.7,9.7,3.2,3.2,-,32.3
職業別お勤め（計）,244,137,99,64,81,14,15,15,4,26,42,5,10,-,75
職業別お勤め（計）,100.0,56.1,40.6,26.2,33.2,5.7,6.1,6.1,1.6,10.7,17.2,2.0,4.1,-,30.7
職業別経営・管理職,37,21,17,14,14,2,6,2,-,8,9,2,2,-,13
職業別経営・管理職,100.0,56.8,45.9,37.8,37.8,5.4,16.2,5.4,-,21.6,24.3,5.4,5.4,-,35.1
職業別専門職・技術職,70,42,29,16,27,3,4,2,2,4,15,1,4,-,21
職業別専門職・技術職,100.0,60.0,41.4,22.9,38.6,4.3,5.7,2.9,2.9,5.7,21.4,1.4,5.7,-,30.0
職業別事務職,70,47,34,20,24,6,4,7,1,7,9,2,2,-,13
職業別事務職,100.0,67.1,48.6,28.6,34.3,8.6,5.7,10.0,1.4,10.0,12.9,2.9,2.9,-,18.6
職業別労務職・技能職,18,11,6,3,6,-,-,1,-,3,5,-,1,-,2
職業別労務職・技能職,100.0,61.1,33.3,16.7,33.3,-,-,5.6,-,16.7,27.8,-,5.6,-,11.1
職業別販売・サービス職,49,16,13,11,10,3,1,3,1,4,4,-,1,-,26
職業別販売・サービス職,100.0,32.7,26.5,22.4,20.4,6.1,2.0,6.1,2.0,8.2,8.2,-,2.0,-,53.1
職業別その他（計）,124,50,36,25,23,7,11,4,3,8,21,3,4,-,57
職業別その他（計）,100.0,40.3,29.0,20.2,18.5,5.6,8.9,3.2,2.4,6.5,16.9,2.4,3.2,-,46.0
職業別生徒・学生,10,6,1,1,1,-,1,-,-,-,1,-,-,-,3
職業別生徒・学生,100.0,60.0,10.0,10.0,10.0,-,10.0,-,-,-,10.0,-,-,-,30.0
職業別専業主婦（夫）,67,28,23,16,15,5,9,3,2,5,11,2,3,-,32
職業別専業主婦（夫）,100.0,41.8,34.3,23.9,22.4,7.5,13.4,4.5,3.0,7.5,16.4,3.0,4.5,-,47.8
職業別その他,7,3,1,1,1,-,-,-,-,-,-,-,-,-,4
職業別その他,100.0,42.9,14.3,14.3,14.3,-,-,-,-,-,-,-,-,-,57.1
職業別無職（年金受給者含む）,40,13,11,7,6,2,1,1,1,3,9,1,1,-,18
職業別無職（年金受給者含む）,100.0,32.5,27.5,17.5,15.0,5.0,2.5,2.5,2.5,7.5,22.5,2.5,2.5,-,45.0
投票所までの時間別５分以内,125,52,44,33,32,5,14,7,5,12,14,4,5,-,54
投票所までの時間別５分以内,100.0,41.6,35.2,26.4,25.6,4.0,11.2,5.6,4.0,9.6,11.2,3.2,4.0,-,43.2
投票所までの時間別10分以内,224,118,81,49,65,12,11,9,3,19,46,3,7,-,75
投票所までの時間別10分以内,100.0,52.7,36.2,21.9,29.0,5.4,4.9,4.0,1.3,8.5,20.5,1.3,3.1,-,33.5
投票所までの時間別20分以内,53,32,24,14,14,5,5,4,-,5,6,2,3,-,15
投票所までの時間別20分以内,100.0,60.4,45.3,26.4,26.4,9.4,9.4,7.5,-,9.4,11.3,3.8,5.7,-,28.3
投票所までの時間別30分以内,4,2,-,-,-,-,-,-,-,1,-,-,-,-,2
投票所までの時間別30分以内,100.0,50.0,-,-,-,-,-,-,-,25.0,-,-,-,-,50.0
投票所までの時間別30分を超える,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1
投票所までの時間別30分を超える,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0
投票所までの時間別わからない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票所までの時間別わからない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
地域別区部（計）,317,170,119,81,94,19,22,19,7,31,57,8,13,-,107
地域別区部（計）,100.0,53.6,37.5,25.6,29.7,6.0,6.9,6.0,2.2,9.8,18.0,2.5,4.1,-,33.8
地域別センターコア,83,53,28,22,21,4,6,6,1,12,15,2,3,-,27
地域別センターコア,100.0,63.9,33.7,26.5,25.3,4.8,7.2,7.2,1.2,14.5,18.1,2.4,3.6,-,32.5
地域別区部東部・北部エリア,84,37,31,15,27,5,9,5,2,10,20,4,5,-,30
地域別区部東部・北部エリア,100.0,44.0,36.9,17.9,32.1,6.0,10.7,6.0,2.4,11.9,23.8,4.8,6.0,-,35.7
地域別区部西部・南部エリア,150,80,60,44,46,10,7,8,4,9,22,2,5,-,50
地域別区部西部・南部エリア,100.0,53.3,40.0,29.3,30.7,6.7,4.7,5.3,2.7,6.0,14.7,1.3,3.3,-,33.3
地域別市郡部（計）,90,34,30,15,17,3,8,1,1,6,9,1,2,-,40
地域別市郡部（計）,100.0,37.8,33.3,16.7,18.9,3.3,8.9,1.1,1.1,6.7,10.0,1.1,2.2,-,44.4
地域別多摩東部エリア,30,6,8,5,3,2,2,-,-,1,-,-,-,-,18
地域別多摩東部エリア,100.0,20.0,26.7,16.7,10.0,6.7,6.7,-,-,3.3,-,-,-,-,60.0
地域別多摩中央部北エリア,20,9,11,5,6,1,4,1,1,2,6,1,2,-,7
地域別多摩中央部北エリア,100.0,45.0,55.0,25.0,30.0,5.0,20.0,5.0,5.0,10.0,30.0,5.0,10.0,-,35.0
地域別多摩中央部南エリア,36,16,9,3,8,-,1,-,-,2,3,-,-,-,14
地域別多摩中央部南エリア,100.0,44.4,25.0,8.3,22.2,-,2.8,-,-,5.6,8.3,-,-,-,38.9
地域別多摩西部エリア,4,3,2,2,-,-,1,-,-,1,-,-,-,-,1
地域別多摩西部エリア,100.0,75.0,50.0,50.0,-,-,25.0,-,-,25.0,-,-,-,-,25.0
選挙への関心度別関心があった（計）,371,182,135,89,103,21,28,19,8,35,59,9,15,-,134
選挙への関心度別関心があった（計）,100.0,49.1,36.4,24.0,27.8,5.7,7.5,5.1,2.2,9.4,15.9,2.4,4.0,-,36.1
選挙への関心度別関心があった,230,104,85,56,57,14,22,11,6,24,42,8,10,-,90
選挙への関心度別関心があった,100.0,45.2,37.0,24.3,24.8,6.1,9.6,4.8,2.6,10.4,18.3,3.5,4.3,-,39.1
選挙への関心度別やや関心があった,141,78,50,33,46,7,6,8,2,11,17,1,5,-,44
選挙への関心度別やや関心があった,100.0,55.3,35.5,23.4,32.6,5.0,4.3,5.7,1.4,7.8,12.1,0.7,3.5,-,31.2
選挙への関心度別関心がなかった（計）,12,4,3,3,2,1,-,1,-,-,3,-,-,-,8
選挙への関心度別関心がなかった（計）,100.0,33.3,25.0,25.0,16.7,8.3,-,8.3,-,-,25.0,-,-,-,66.7
選挙への関心度別あまり関心がなかった,7,3,2,2,1,1,-,1,-,-,2,-,-,-,4
選挙への関心度別あまり関心がなかった,100.0,42.9,28.6,28.6,14.3,14.3,-,14.3,-,-,28.6,-,-,-,57.1
選挙への関心度別関心がなかった,5,1,1,1,1,-,-,-,-,-,1,-,-,-,4
選挙への関心度別関心がなかった,100.0,20.0,20.0,20.0,20.0,-,-,-,-,-,20.0,-,-,-,80.0
選挙への関心度別どちらともいえない,24,18,11,4,6,-,2,-,-,2,4,-,-,-,5
選挙への関心度別どちらともいえない,100.0,75.0,45.8,16.7,25.0,-,8.3,-,-,8.3,16.7,-,-,-,20.8
選挙への関心度別わからない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
選挙への関心度別わからない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別投票するべき（計）,370,188,138,91,104,21,28,20,8,35,60,9,14,-,130
投票への意識別投票するべき（計）,100.0,50.8,37.3,24.6,28.1,5.7,7.6,5.4,2.2,9.5,16.2,2.4,3.8,-,35.1
投票への意識別必ず投票するべき,188,97,73,48,42,9,16,9,5,17,36,5,5,-,63
投票への意識別必ず投票するべき,100.0,51.6,38.8,25.5,22.3,4.8,8.5,4.8,2.7,9.0,19.1,2.7,2.7,-,33.5
投票への意識別可能な限り投票するべき,182,91,65,43,62,12,12,11,3,18,24,4,9,-,67
投票への意識別可能な限り投票するべき,100.0,50.0,35.7,23.6,34.1,6.6,6.6,6.0,1.6,9.9,13.2,2.2,4.9,-,36.8
投票への意識別投票するのもしないのも自由,35,15,10,4,6,1,2,-,-,2,5,-,1,-,16
投票への意識別投票するのもしないのも自由,100.0,42.9,28.6,11.4,17.1,2.9,5.7,-,-,5.7,14.3,-,2.9,-,45.7
投票への意識別その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別わからない,2,1,1,1,1,-,-,-,-,-,1,-,-,-,1
投票への意識別わからない,100.0,50.0,50.0,50.0,50.0,-,-,-,-,-,50.0,-,-,-,50.0
投票への参加状況別投票した（計）,386,194,142,92,105,20,28,19,7,36,61,8,13,-,138
投票への参加状況別投票した（計）,100.0,50.3,36.8,23.8,27.2,5.2,7.3,4.9,1.8,9.3,15.8,2.1,3.4,-,35.8
投票への参加状況別投票日に投票した,299,148,106,69,66,18,24,15,4,26,53,7,12,-,114
投票への参加状況別投票日に投票した,100.0,49.5,35.5,23.1,22.1,6.0,8.0,5.0,1.3,8.7,17.7,2.3,4.0,-,38.1
投票への参加状況別期日前投票（又は不在者投票等）をした,87,46,36,23,39,2,4,4,3,10,8,1,1,-,24
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,52.9,41.4,26.4,44.8,2.3,4.6,4.6,3.4,11.5,9.2,1.1,1.1,-,27.6
投票への参加状況別投票しなかった,21,10,7,4,6,2,2,1,1,1,5,1,2,-,9
投票への参加状況別投票しなかった,100.0,47.6,33.3,19.0,28.6,9.5,9.5,4.8,4.8,4.8,23.8,4.8,9.5,-,42.9
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
新聞の定期購読別定期購読している,280,140,102,62,65,13,20,12,5,25,50,7,11,-,98
新聞の定期購読別定期購読している,100.0,50.0,36.4,22.1,23.2,4.6,7.1,4.3,1.8,8.9,17.9,2.5,3.9,-,35.0
新聞の定期購読別定期購読していない,127,64,47,34,46,9,10,8,3,12,16,2,4,-,49
新聞の定期購読別定期購読していない,100.0,50.4,37.0,26.8,36.2,7.1,7.9,6.3,2.4,9.4,12.6,1.6,3.1,-,38.6
インターネットの利用有無別インターネットを利用している,301,165,125,80,96,20,25,19,8,31,57,9,13,-,93
インターネットの利用有無別インターネットを利用している,100.0,54.8,41.5,26.6,31.9,6.6,8.3,6.3,2.7,10.3,18.9,3.0,4.3,-,30.9
インターネットの利用有無別インターネットを利用していない,106,39,24,16,15,2,5,1,-,6,9,-,2,-,54
インターネットの利用有無別インターネットを利用していない,100.0,36.8,22.6,15.1,14.2,1.9,4.7,0.9,-,5.7,8.5,-,1.9,-,50.9
