,調査数,知っている,知らなかった,無回答
未・既婚別未婚（％）,100.0,54.7,42.8,2.4
未・既婚別既婚（死別・離別を含む）実数,1366,703,555,108
未・既婚別既婚（死別・離別を含む）（％）,100.0,51.5,40.6,7.9
子供の有無別子供はいない実数,642,370,252,20
子供の有無別子供はいない（％）,100.0,57.6,39.3,3.1
子供の有無別未就学（～６歳）実数,180,101,75,4
子供の有無別未就学（～６歳）（％）,100.0,56.1,41.7,2.2
子供の有無別小・中・高校生実数,270,153,107,10
子供の有無別小・中・高校生（％）,100.0,56.7,39.6,3.7
子供の有無別大学生・大学院生・短大生・専門学校生実数,106,71,31,4
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,67.0,29.2,3.8
子供の有無別学校教育終了実数,743,328,330,85
子供の有無別学校教育終了（％）,100.0,44.1,44.4,11.4
子供の有無別その他実数,7,6,1,-
子供の有無別その他（％）,100.0,85.7,14.3,-
職業別自営業（計）実数,152,88,49,15
職業別自営業（計）（％）,100.0,57.9,32.2,9.9
職業別農林漁業実数,3,1,2,-
職業別農林漁業（％）,100.0,33.3,66.7,-
職業別商工・サービス業実数,96,53,31,12
職業別商工・サービス業（％）,100.0,55.2,32.3,12.5
職業別その他自由業実数,53,34,16,3
職業別その他自由業（％）,100.0,64.2,30.2,5.7
職業別お勤め（計）実数,934,536,360,38
職業別お勤め（計）（％）,100.0,57.4,38.5,4.1
職業別経営・管理職実数,94,64,25,5
職業別経営・管理職（％）,100.0,68.1,26.6,5.3
職業別専門職・技術職実数,243,157,79,7
職業別専門職・技術職（％）,100.0,64.6,32.5,2.9
職業別事務職実数,249,156,86,7
職業別事務職（％）,100.0,62.7,34.5,2.8
職業別労務職・技能職実数,111,45,59,7
職業別労務職・技能職（％）,100.0,40.5,53.2,6.3
職業別販売・サービス職実数,237,114,111,12
職業別販売・サービス職（％）,100.0,48.1,46.8,5.1
職業別その他（計）実数,732,325,340,67
職業別その他（計）（％）,100.0,44.4,46.4,9.2
職業別生徒・学生実数,35,15,20,-
職業別生徒・学生（％）,100.0,42.9,57.1,-
職業別専業主婦（夫）実数,309,147,142,20
職業別専業主婦（夫）（％）,100.0,47.6,46.0,6.5
職業別その他実数,18,8,8,2
職業別その他（％）,100.0,44.4,44.4,11.1
職業別無職（年金受給者含む）実数,370,155,170,45
職業別無職（年金受給者含む）（％）,100.0,41.9,45.9,12.2
投票所までの時間別５分以内実数,712,404,261,47
投票所までの時間別５分以内（％）,100.0,56.7,36.7,6.6
投票所までの時間別10分以内実数,769,394,324,51
投票所までの時間別10分以内（％）,100.0,51.2,42.1,6.6
投票所までの時間別20分以内実数,245,123,108,14
投票所までの時間別20分以内（％）,100.0,50.2,44.1,5.7
投票所までの時間別30分以内実数,38,13,21,4
投票所までの時間別30分以内（％）,100.0,34.2,55.3,10.5
投票所までの時間別30分を超える実数,11,4,7,-
投票所までの時間別30分を超える（％）,100.0,36.4,63.6,-
投票所までの時間別わからない実数,48,16,29,3
投票所までの時間別わからない（％）,100.0,33.3,60.4,6.3
地域別区部（計）実数,1189,625,465,99
地域別区部（計）（％）,100.0,52.6,39.1,8.3
地域別センターコア実数,314,170,121,23
地域別センターコア（％）,100.0,54.1,38.5,7.3
地域別区部東部・北部エリア実数,382,179,166,37
地域別区部東部・北部エリア（％）,100.0,46.9,43.5,9.7
地域別区部西部・南部エリア実数,493,276,178,39
地域別区部西部・南部エリア（％）,100.0,56.0,36.1,7.9
地域別市郡部（計）実数,638,330,287,21
地域別市郡部（計）（％）,100.0,51.7,45.0,3.3
地域別多摩東部エリア実数,239,115,112,12
地域別多摩東部エリア（％）,100.0,48.1,46.9,5.0
地域別多摩中央部北エリア実数,89,47,42,-
地域別多摩中央部北エリア（％）,100.0,52.8,47.2,-
地域別多摩中央部南エリア実数,267,152,108,7
地域別多摩中央部南エリア（％）,100.0,56.9,40.4,2.6
地域別多摩西部エリア実数,43,16,25,2
地域別多摩西部エリア（％）,100.0,37.2,58.1,4.7
選挙への関心度別関心があった（計）実数,1084,661,353,70
選挙への関心度別関心があった（計）（％）,100.0,61.0,32.6,6.5
選挙への関心度別関心があった実数,642,404,190,48
選挙への関心度別関心があった（％）,100.0,62.9,29.6,7.5
選挙への関心度別やや関心があった実数,442,257,163,22
選挙への関心度別やや関心があった（％）,100.0,58.1,36.9,5.0
選挙への関心度別関心がなかった（計）実数,179,67,97,15
選挙への関心度別関心がなかった（計）（％）,100.0,37.4,54.2,8.4
選挙への関心度別あまり関心がなかった実数,554,224,298,32
選挙への関心度別あまり関心がなかった（％）,100.0,40.4,53.8,5.8
選挙への関心度別関心がなかった実数,369,153,193,23
選挙への関心度別関心がなかった（％）,100.0,41.5,52.3,6.2
選挙への関心度別どちらともいえない実数,185,71,105,9
選挙への関心度別どちらともいえない（％）,100.0,38.4,56.8,4.9
選挙への関心度別わからない実数,7,2,3,2
選挙への関心度別わからない（％）,100.0,28.6,42.9,28.6
投票への意識別投票するべき（計）実数,1484,818,569,97
投票への意識別投票するべき（計）（％）,100.0,55.1,38.3,6.5
投票への意識別必ず投票するべき実数,703,414,227,62
投票への意識別必ず投票するべき（％）,100.0,58.9,32.3,8.8
投票への意識別可能な限り投票するべき実数,781,404,342,35
投票への意識別可能な限り投票するべき（％）,100.0,51.7,43.8,4.5
投票への意識別投票するのもしないのも自由実数,315,129,168,18
投票への意識別投票するのもしないのも自由（％）,100.0,41.0,53.3,5.7
投票への意識別その他実数,11,4,7,-
投票への意識別その他（％）,100.0,36.4,63.6,-
投票への意識別わからない実数,15,4,7,4
投票への意識別わからない（％）,100.0,26.7,46.7,26.7
投票への参加状況別投票した（計）実数,1246,734,431,81
投票への参加状況別投票した（計）（％）,100.0,58.9,34.6,6.5
投票への参加状況別投票日（12月14日）に投票した実数,987,559,362,66
投票への参加状況別投票日（12月14日）に投票した（％）,100.0,56.6,36.7,6.7
投票への参加状況別期日前投票（又は不在者投票等）をした実数,259,175,69,15
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,67.6,26.6,5.8
投票への参加状況別投票しなかった実数,563,211,315,37
投票への参加状況別投票しなかった（％）,100.0,37.5,56.0,6.6
投票への参加状況別答えたくない実数,18,10,6,2
投票への参加状況別答えたくない（％）,100.0,55.6,33.3,11.1
新聞の定期購読定期購読している実数,1142,626,428,88
新聞の定期購読定期購読している（％）,100.0,54.8,37.5,7.7
新聞の定期購読定期購読していない実数,681,329,322,30
新聞の定期購読定期購読していない（％）,100.0,48.3,47.3,4.4
インターネットの利用有無利用している実数,984,622,361,1
インターネットの利用有無利用している（％）,100.0,63.2,36.7,0.1
インターネットの利用有無利用していない実数,835,331,388,116
インターネットの利用有無利用していない（％）,100.0,39.6,46.5,13.9
ネット選挙の認知度別知っている実数,955,955,-,-
ネット選挙の認知度別知っている（％）,100.0,100.0,-,-
ネット選挙の認知度別知らなかった実数,752,-,752,-
ネット選挙の認知度別知らなかった（％）,100.0,-,100.0,-
