,調査数,都政全体のことを考えてくれる人だと思ったから,自分の日常の暮らしを守ってくれる人だと思ったから,候補者の政策や主張に賛成だから,地元の利益を考えてくれる人だと思ったから,自分の仕事や職業上の利益を守ってくれる人だと思ったから,テレビや新聞などマスコミを通して知っている人だから,人柄、経歴などから都政を託すのに最適な人だと思ったから,自分の支持する政党の推薦する人だから,団体や組織や知人に頼まれたから,テレビやラジオ、新聞等メディアの報道内容からふさわしい人だと思ったから,ホームページやＳＮＳ等のインターネット上の情報を見てふさわしい人だと思ったから,家族や友人との選挙に関する話の中で、ふさわしい人だと思ったから,ポスターや選挙公報などを見て、ふさわしい人だと思ったから,その他,特に理由はない（なんとなく）,わからない,無回答,
性/年齢別男性50歳代,100.0,36.6,30.1,47.3,9.7,6.5,21.5,32.3,12.9,2.2,7.5,2.2,4.3,4.3,2.2,6.5,1.1,-,
性/年齢別男性60歳代,110,48,20,59,5,2,24,40,10,4,10,1,3,4,5,5,1,1,
性/年齢別男性60歳代,100.0,43.6,18.2,53.6,4.5,1.8,21.8,36.4,9.1,3.6,9.1,0.9,2.7,3.6,4.5,4.5,0.9,0.9,
性/年齢別男性70歳代,75,42,17,30,9,2,12,24,9,1,6,1,1,1,5,3,1,-,
性/年齢別男性70歳代,100.0,56.0,22.7,40.0,12.0,2.7,16.0,32.0,12.0,1.3,8.0,1.3,1.3,1.3,6.7,4.0,1.3,-,
性/年齢別男性80歳以上,20,8,3,11,2,-,1,6,3,2,1,-,-,-,2,-,1,1,
性/年齢別男性80歳以上,100.0,40.0,15.0,55.0,10.0,-,5.0,30.0,15.0,10.0,5.0,-,-,-,10.0,-,5.0,5.0,
性/年齢別女性20歳代,24,3,2,10,1,3,4,3,-,1,3,1,4,2,1,2,-,-,
性/年齢別女性20歳代,100.0,12.5,8.3,41.7,4.2,12.5,16.7,12.5,-,4.2,12.5,4.2,16.7,8.3,4.2,8.3,-,-,
性/年齢別女性30歳代,79,30,24,30,4,1,16,18,3,1,7,5,7,3,5,3,-,-,
性/年齢別女性30歳代,100.0,38.0,30.4,38.0,5.1,1.3,20.3,22.8,3.8,1.3,8.9,6.3,8.9,3.8,6.3,3.8,-,-,
性/年齢別女性40歳代,125,63,41,42,8,2,25,34,2,3,7,1,10,1,4,6,-,1,
性/年齢別女性40歳代,100.0,50.4,32.8,33.6,6.4,1.6,20.0,27.2,1.6,2.4,5.6,0.8,8.0,0.8,3.2,4.8,-,0.8,
性/年齢別女性50歳代,85,45,20,36,5,1,19,18,1,4,11,4,4,3,7,-,-,1,
性/年齢別女性50歳代,100.0,52.9,23.5,42.4,5.9,1.2,22.4,21.2,1.2,4.7,12.9,4.7,4.7,3.5,8.2,-,-,1.2,
性/年齢別女性60歳代,103,60,25,47,3,5,20,32,7,6,8,-,9,2,2,2,-,1,
性/年齢別女性60歳代,100.0,58.3,24.3,45.6,2.9,4.9,19.4,31.1,6.8,5.8,7.8,-,8.7,1.9,1.9,1.9,-,1.0,
性/年齢別女性70歳代,76,39,30,28,7,1,19,24,4,2,8,1,11,4,2,1,1,-,
性/年齢別女性70歳代,100.0,51.3,39.5,36.8,9.2,1.3,25.0,31.6,5.3,2.6,10.5,1.3,14.5,5.3,2.6,1.3,1.3,-,
性/年齢別女性80歳以上,16,10,8,8,2,-,2,2,3,-,2,-,1,-,-,-,-,-,
性/年齢別女性80歳以上,100.0,62.5,50.0,50.0,12.5,-,12.5,12.5,18.8,-,12.5,-,6.3,-,-,-,-,-,
未・既婚別未婚（死別・離別を含む）,279,114,72,112,17,10,57,75,13,8,32,15,24,8,18,10,1,2,
未・既婚別未婚（死別・離別を含む）,100.0,40.9,25.8,40.1,6.1,3.6,20.4,26.9,4.7,2.9,11.5,5.4,8.6,2.9,6.5,3.6,0.4,0.7,
未・既婚別既婚,711,341,170,316,44,18,141,204,48,21,61,15,42,21,31,27,5,3,
未・既婚別既婚,100.0,48.0,23.9,44.4,6.2,2.5,19.8,28.7,6.8,3.0,8.6,2.1,5.9,3.0,4.4,3.8,0.7,0.4,
子供の有無別子供はいない,280,115,61,114,21,6,50,76,10,5,27,15,23,9,17,13,2,1,
子供の有無別子供はいない,100.0,41.1,21.8,40.7,7.5,2.1,17.9,27.1,3.6,1.8,9.6,5.4,8.2,3.2,6.1,4.6,0.7,0.4,
子供の有無別未就学（～６歳）,70,28,20,33,4,1,11,21,2,-,8,5,6,3,6,4,-,1,
子供の有無別未就学（～６歳）,100.0,40.0,28.6,47.1,5.7,1.4,15.7,30.0,2.9,-,11.4,7.1,8.6,4.3,8.6,5.7,-,1.4,
子供の有無別小・中・高校生,185,83,51,70,11,7,44,53,12,8,21,6,10,4,7,10,-,-,
子供の有無別小・中・高校生,100.0,44.9,27.6,37.8,5.9,3.8,23.8,28.6,6.5,4.3,11.4,3.2,5.4,2.2,3.8,5.4,-,-,
子供の有無別大学生・大学院生・短大生・専門学校生,63,33,15,26,4,3,9,15,2,-,6,4,4,3,2,1,-,-,
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,52.4,23.8,41.3,6.3,4.8,14.3,23.8,3.2,-,9.5,6.3,6.3,4.8,3.2,1.6,-,-,
子供の有無別学校教育終了,415,208,105,191,25,13,85,124,35,15,36,3,24,12,18,13,4,3,
子供の有無別学校教育終了,100.0,50.1,25.3,46.0,6.0,3.1,20.5,29.9,8.4,3.6,8.7,0.7,5.8,2.9,4.3,3.1,1.0,0.7,
子供の有無別その他,8,3,-,2,-,-,2,1,-,-,1,1,2,-,1,-,-,-,
子供の有無別その他,100.0,37.5,-,25.0,-,-,25.0,12.5,-,-,12.5,12.5,25.0,-,12.5,-,-,-,
職業別自営業（計）,92,43,16,54,8,3,13,34,6,3,8,6,5,4,5,2,-,2,
職業別自営業（計）,100.0,46.7,17.4,58.7,8.7,3.3,14.1,37.0,6.5,3.3,8.7,6.5,5.4,4.3,5.4,2.2,-,2.2,
職業別農林漁業,2,-,1,2,1,-,1,1,-,-,1,1,-,-,-,-,-,-,
職業別農林漁業,100.0,-,50.0,100.0,50.0,-,50.0,50.0,-,-,50.0,50.0,-,-,-,-,-,-,
職業別商工・サービス業,37,20,8,19,3,-,2,18,4,1,4,2,1,1,2,-,-,1,
職業別商工・サービス業,100.0,54.1,21.6,51.4,8.1,-,5.4,48.6,10.8,2.7,10.8,5.4,2.7,2.7,5.4,-,-,2.7,
職業別その他自由業,53,23,7,33,4,3,10,15,2,2,3,3,4,3,3,2,-,1,
職業別その他自由業,100.0,43.4,13.2,62.3,7.5,5.7,18.9,28.3,3.8,3.8,5.7,5.7,7.5,5.7,5.7,3.8,-,1.9,
職業別お勤め（計）,452,174,96,193,27,15,89,123,26,9,40,19,25,14,25,20,4,1,
職業別お勤め（計）,100.0,38.5,21.2,42.7,6.0,3.3,19.7,27.2,5.8,2.0,8.8,4.2,5.5,3.1,5.5,4.4,0.9,0.2,
職業別経営・管理職,69,24,13,32,9,2,10,18,6,2,7,3,3,2,5,3,-,-,
職業別経営・管理職,100.0,34.8,18.8,46.4,13.0,2.9,14.5,26.1,8.7,2.9,10.1,4.3,4.3,2.9,7.2,4.3,-,-,
職業別専門職・技術職,142,53,30,75,6,7,24,45,13,3,13,4,7,5,9,3,2,-,
職業別専門職・技術職,100.0,37.3,21.1,52.8,4.2,4.9,16.9,31.7,9.2,2.1,9.2,2.8,4.9,3.5,6.3,2.1,1.4,-,
職業別事務職,124,53,31,48,8,4,32,31,2,1,4,5,9,4,3,4,-,1,
職業別事務職,100.0,42.7,25.0,38.7,6.5,3.2,25.8,25.0,1.6,0.8,3.2,4.0,7.3,3.2,2.4,3.2,-,0.8,
職業別労務職・技能職,38,13,5,12,1,-,11,9,-,3,8,2,1,2,3,2,1,-,
職業別労務職・技能職,100.0,34.2,13.2,31.6,2.6,-,28.9,23.7,-,7.9,21.1,5.3,2.6,5.3,7.9,5.3,2.6,-,
職業別販売・サービス職,79,31,17,26,3,2,12,20,5,-,8,5,5,1,5,8,1,-,
職業別販売・サービス職,100.0,39.2,21.5,32.9,3.8,2.5,15.2,25.3,6.3,-,10.1,6.3,6.3,1.3,6.3,10.1,1.3,-,
職業別その他（計）,447,237,131,181,26,9,95,120,29,17,45,5,36,11,19,16,2,2,
職業別その他（計）,100.0,53.0,29.3,40.5,5.8,2.0,21.3,26.8,6.5,3.8,10.1,1.1,8.1,2.5,4.3,3.6,0.4,0.4,
職業別学生,11,3,1,4,-,1,3,2,-,-,1,-,2,-,1,-,-,-,
職業別学生,100.0,27.3,9.1,36.4,-,9.1,27.3,18.2,-,-,9.1,-,18.2,-,9.1,-,-,-,
専業主婦（夫）,221,121,60,91,8,4,46,61,8,11,21,1,18,3,7,8,1,1,
専業主婦（夫）,100.0,54.8,27.1,41.2,3.6,1.8,20.8,27.6,3.6,5.0,9.5,0.5,8.1,1.4,3.2,3.6,0.5,0.5,
職業別その他,35,16,9,10,-,1,10,5,1,-,4,1,3,4,3,-,-,-,
職業別その他,100.0,45.7,25.7,28.6,-,2.9,28.6,14.3,2.9,-,11.4,2.9,8.6,11.4,8.6,-,-,-,
職業別無職（年金受給者含む）,180,97,61,76,18,3,36,52,20,6,19,3,13,4,8,8,1,1,
職業別無職（年金受給者含む）,100.0,53.9,33.9,42.2,10.0,1.7,20.0,28.9,11.1,3.3,10.6,1.7,7.2,2.2,4.4,4.4,0.6,0.6,
投票所までの時間別５分以内,388,187,98,154,17,11,84,113,24,11,45,13,26,11,26,8,2,3,
投票所までの時間別５分以内,100.0,48.2,25.3,39.7,4.4,2.8,21.6,29.1,6.2,2.8,11.6,3.4,6.7,2.8,6.7,2.1,0.5,0.8,
投票所までの時間別10分以内,467,207,107,206,37,12,82,112,26,15,26,14,25,12,17,27,3,1,
投票所までの時間別10分以内,100.0,44.3,22.9,44.1,7.9,2.6,17.6,24.0,5.6,3.2,5.6,3.0,5.4,2.6,3.6,5.8,0.6,0.2,
投票所までの時間別20分以内,101,44,23,43,5,3,19,33,5,3,15,2,8,4,4,3,1,1,
投票所までの時間別20分以内,100.0,43.6,22.8,42.6,5.0,3,18.8,32.7,5.0,3.0,14.9,2.0,7.9,4.0,4.0,3.0,1.0,1.0,
投票所までの時間別30分以内,19,8,10,13,2,1,7,11,3,-,5,1,4,2,-,-,-,-,
投票所までの時間別30分以内,100.0,42.1,52.6,68.4,10.5,5.3,36.8,57.9,15.8,-,26.3,5.3,21.1,10.5,-,-,-,-,
投票所までの時間別30分を超える,19,9,5,12,-,1,7,10,3,-,2,-,2,-,2,-,-,-,
投票所までの時間別30分を超える,100.0,47.4,26.3,63.2,-,5.3,36.8,52.6,15.8,-,10.5,-,10.5,-,10.5,-,-,-,
地域別区部（計）,730,292,173,314,56,23,106,176,46,18,70,23,53,23,47,31,6,4,
地域別区部（計）,100.0,40.0,23.7,43.0,7.7,3.2,14.5,24.1,6.3,2.5,9.6,3.2,7.3,3.2,6.4,4.2,0.8,0.5,
地域別センターコア,216,105,63,115,7,9,35,60,9,3,25,9,12,5,11,4,1,1,
地域別センターコア,100.0,48.6,29.2,53.2,3.2,4.2,16.2,27.8,4.2,1.4,11.6,4.2,5.6,2.3,5.1,1.9,0.5,0.5,
地域別区部東部・北部エリア,200,79,53,71,11,6,27,64,11,2,19,6,13,12,13,8,4,-,
地域別区部東部・北部エリア,100.0,39.5,26.5,35.5,5.5,3.0,13.5,32.0,5.5,1.0,9.5,3.0,6.5,6.0,6.5,4.0,2.0,-,
地域別区部西部・南部エリア,314,108,57,128,38,8,44,52,26,13,26,8,28,6,23,19,1,3,
地域別区部西部・南部エリア,100.0,34.4,18.2,40.8,12.1,2.5,14.0,16.6,8.3,4.1,8.3,2.5,8.9,1.9,7.3,6.1,0.3,1.0,
地域別市郡部（計）,269,164,70,116,5,5,93,104,15,11,23,7,13,6,2,7,1,2,
地域別市郡部（計）,100.0,61.0,26.0,43.1,1.9,1.9,34.6,38.7,5.6,4.1,8.6,2.6,4.8,2.2,0.7,2.6,0.4,0.7,
地域別多摩東部エリア,89,70,43,28,3,1,43,36,2,7,2,2,2,-,-,1,-,1,
地域別多摩東部エリア,100.0,78.7,48.3,31.5,3.4,1.1,48.3,40.4,2.2,7.9,2.2,2.2,2.2,-,-,1.1,-,1.1,
地域別多摩中央部北エリア,40,23,7,18,1,1,9,18,2,-,7,1,2,3,-,2,1,-,
地域別多摩中央部北エリア,100.0,57.5,17.5,45.0,2.5,2.5,22.5,45.0,5.0,-,17.5,2.5,5.0,7.5,-,5.0,2.5,-,
地域別多摩中央部南エリア,129,65,18,67,1,3,40,50,9,2,14,4,9,3,2,4,-,-,
地域別多摩中央部南エリア,100.0,50.4,14.0,51.9,0.8,2.3,31.0,38.8,7.0,1.6,10.9,3.1,7.0,2.3,1.6,3.1,-,-,
地域別多摩西部エリア,11,6,2,3,-,-,1,-,2,2,-,-,-,-,-,-,-,1,
地域別多摩西部エリア,100.0,54.5,18.2,27.3,-,-,9.1,-,18.2,18.2,-,-,-,-,-,-,-,9.1,
選挙への関心度別関心があった（計）,853,410,222,392,48,24,175,253,53,26,87,28,49,21,44,15,3,5,
選挙への関心度別関心があった（計）,100.0,48.1,26.0,46.0,5.6,2.8,20.5,29.7,6.2,3.0,10.2,3.3,5.7,2.5,5.2,1.8,0.4,0.6,
選挙への関心度別関心があった,530,281,151,267,30,14,105,175,33,13,55,17,26,17,30,2,1,2,
選挙への関心度別関心があった,100.0,53.0,28.5,50.4,5.7,2.6,19.8,33.0,6.2,2.5,10.4,3.2,4.9,3.2,5.7,0.4,0.2,0.4,
選挙への関心度別やや関心があった,323,129,71,125,18,10,70,78,20,13,32,11,23,4,14,13,2,3,
選挙への関心度別やや関心があった,100.0,39.9,22.0,38.7,5.6,3.1,21.7,24.1,6.2,4.0,9.9,3.4,7.1,1.2,4.3,4.0,0.6,0.9,
選挙への関心度別関心がなかった（計）,70,14,8,13,2,2,10,11,4,1,4,-,8,2,3,15,3,1,
選挙への関心度別関心がなかった（計）,100.0,20.0,11.4,18.6,2.9,2.9,14.3,15.7,5.7,1.4,5.7,-,11.4,2.9,4.3,21.4,4.3,1.4,
選挙への関心度別あまり関心がなかった,59,11,6,13,2,1,9,11,4,1,4,-,7,2,1,12,1,1,
選挙への関心度別あまり関心がなかった,100.0,18.6,10.2,22.0,3.4,1.7,15.3,18.6,6.8,1.7,6.8,-,11.9,3.4,1.7,20.3,1.7,1.7,
選挙への関心度別関心がなかった,11,3,2,-,-,1,1,-,-,-,-,-,1,-,2,3,2,-,
選挙への関心度別関心がなかった,100.0,27.3,18.2,-,-,9.1,9.1,-,-,-,-,-,9.1,-,18.2,27.3,18.2,-,
選挙への関心度別どちらともいえない,76,32,13,25,11,2,14,16,4,2,2,2,9,6,2,8,1,-,
選挙への関心度別どちらともいえない,100.0,42.1,17.1,32.9,14.5,2.6,18.4,21.1,5.3,2.6,2.6,2.6,11.8,7.9,2.6,10.5,1.3,-,
選挙への関心度別わからない、答えたくない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
選挙への関心度別わからない、答えたくない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
投票への意識別必ず投票するべき,541,297,156,242,30,15,111,164,36,15,46,13,24,12,32,9,4,4,
投票への意識別必ず投票するべき,100.0,54.9,28.8,44.7,5.5,2.8,20.5,30.3,6.7,2.8,8.5,2.4,4.4,2.2,5.9,1.7,0.7,0.7,
投票への意識別可能な限り投票するべき,396,142,78,165,24,12,80,106,24,11,42,14,32,14,14,20,3,1,
投票への意識別可能な限り投票するべき,100.0,35.9,19.7,41.7,6.1,3.0,20.2,26.8,6.1,2.8,10.6,3.5,8.1,3.5,3.5,5.1,0.8,0.3,
投票への意識別投票するのもしないのも自由,56,16,9,23,7,1,8,8,1,3,5,2,9,3,2,7,-,1,
投票への意識別投票するのもしないのも自由,100.0,28.6,16.1,41.1,12.5,1.8,14.3,14.3,1.8,5.4,8.9,3.6,16.1,5.4,3.6,12.5,-,1.8,
投票への意識別その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
投票への意識別その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
投票への意識別わからない,3,1,-,-,-,-,-,1,-,-,-,1,1,-,-,1,-,-,
投票への意識別わからない,100.0,33.3,-,-,-,-,-,33.3,-,-,-,33.3,33.3,-,-,33.3,-,-,
投票への参加状況別投票した（計）,999,456,243,430,61,28,199,280,61,29,93,30,66,29,49,38,7,6,
投票への参加状況別投票した（計）,100.0,45.6,24.3,43.0,6.1,2.8,19.9,28.0,6.1,2.9,9.3,3.0,6.6,2.9,4.9,3.8,0.7,0.6,
投票への参加状況別投票日（２月９日）に投票した,827,375,200,366,49,21,162,231,54,24,77,22,54,23,34,37,6,5,
投票への参加状況別投票日（２月９日）に投票した,100.0,45.3,24.2,44.3,5.9,2.5,19.6,27.9,6.5,2.9,9.3,2.7,6.5,2.8,4.1,4.5,0.7,0.6,
投票への参加状況別期日前投票（又は不在者投票等）をした,172,81,43,64,12,7,37,49,7,5,16,8,12,6,15,1,1,1,
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,47.1,25.0,37.2,7.0,4.1,21.5,28.5,4.1,2.9,9.3,4.7,7.0,3.5,8.7,0.6,0.6,0.6,
投票への参加状況別投票しなかった,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
投票への参加状況別投票しなかった,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
ネット投票の認知度別知っている,733,328,175,329,41,22,147,207,47,21,69,28,39,22,42,23,2,5,
ネット投票の認知度別知っている,100.0,44.7,23.9,44.9,5.6,3.0,20.1,28.2,6.4,2.9,9.4,3.8,5.3,3.0,5.7,3.1,0.3,0.7,
ネット投票の認知度別知らなかった,242,120,65,92,20,6,47,65,12,7,22,2,23,7,6,15,5,1,
ネット投票の認知度別知らなかった,100.0,49.6,26.9,38.0,8.3,2.5,19.4,26.9,5.0,2.9,9.1,0.8,9.5,2.9,2.5,6.2,2.1,0.4,
インターネットの利用有無別インターネットを利用している,543,228,126,252,27,19,116,146,26,11,50,29,34,18,33,24,1,2,
インターネットの利用有無別インターネットを利用している,100.0,42.0,23.2,46.4,5.0,3.5,21.4,26.9,4.8,2.0,9.2,5.3,6.3,3.3,6.1,4.4,0.2,0.4,
インターネットの利用有無別インターネットを利用していない,454,227,116,176,34,9,82,133,34,17,43,1,32,11,16,14,6,4,
インターネットの利用有無別インターネットを利用していない,100.0,50.0,25.6,38.8,7.5,2.0,18.1,29.3,7.5,3.7,9.5,0.2,7.0,2.4,3.5,3.1,1.3,0.9,
新聞の定期購読別定期購読している,741,360,183,336,48,18,145,215,51,19,69,12,41,14,36,24,5,4,
新聞の定期購読別定期購読している,100.0,48.6,24.7,45.3,6.5,2.4,19.6,29.0,6.9,2.6,9.3,1.6,5.5,1.9,4.9,3.2,0.7,0.5,
新聞の定期購読別定期購読していない,254,95,59,92,13,10,54,64,10,10,24,18,25,15,13,13,2,2,
新聞の定期購読別定期購読していない,100.0,37.4,23.2,36.2,5.1,3.9,21.3,25.2,3.9,3.9,9.4,7.1,9.8,5.9,5.1,5.1,0.8,0.8,
