,調査数,１回のみ,２～３回,４回以上,わからない
子供の有無別未就学（～６歳）,7,4,2,1,-
子供の有無別未就学（～６歳）,100.0,57.1,28.6,14.3,-
子供の有無別小・中・高校生,30,15,12,2,1
子供の有無別小・中・高校生,100.0,50.0,40.0,6.7,3.3
子供の有無別大学生・大学院生・短大生・専門学校生,6,2,4,-,-
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,33.3,66.7,-,-
子供の有無別学校教育終了,32,9,17,5,1
子供の有無別学校教育終了,100.0,28.1,53.1,15.6,3.1
子供の有無別その他,5,3,2,-,-
子供の有無別その他,100.0,60.0,40.0,-,-
職業別自営業（計）,14,4,4,3,3
職業別自営業（計）,100.0,28.6,28.6,21.4,21.4
職業別農林漁業,1,-,-,-,1
職業別農林漁業,100.0,-,-,-,100.0
職業別商工・サービス業,1,1,-,-,-
職業別商工・サービス業,100.0,100.0,-,-,-
職業別その他自由業,12,3,4,3,2
職業別その他自由業,100.0,25.0,33.3,25.0,16.7
職業別お勤め（計）,56,22,25,9,-
職業別お勤め（計）,100.0,39.3,44.6,16.1,-
職業別経営・管理職,9,3,4,2,-
職業別経営・管理職,100.0,33.3,44.4,22.2,-
職業別専門職・技術職,12,4,6,2,-
職業別専門職・技術職,100.0,33.3,50.0,16.7,-
職業別事務職,22,8,9,5,-
職業別事務職,100.0,36.4,40.9,22.7,-
職業別労務職・技能職,2,1,1,-,-
職業別労務職・技能職,100.0,50.0,50.0,-,-
職業別販売・サービス職,11,6,5,-,-
職業別販売・サービス職,100.0,54.5,45.5,-,-
職業別その他（計）,24,15,9,-,-
職業別その他（計）,100.0,62.5,37.5,-,-
職業別生徒・学生,2,1,1,-,-
職業別生徒・学生,100.0,50.0,50.0,-,-
職業別専業主婦（夫）,13,8,5,-,-
職業別専業主婦（夫）,100.0,61.5,38.5,-,-
職業別その他,2,2,-,-,-
職業別その他,100.0,100.0,-,-,-
職業別無職（年金受給者含む）,7,4,3,-,-
職業別無職（年金受給者含む）,100.0,57.1,42.9,-,-
投票所までの時間別５分以内,29,12,12,4,1
投票所までの時間別５分以内,100.0,41.4,41.4,13.8,3.4
投票所までの時間別10分以内,54,24,22,6,2
投票所までの時間別10分以内,100.0,44.4,40.7,11.1,3.7
投票所までの時間別20分以内,10,4,4,2,-
投票所までの時間別20分以内,100.0,40.0,40.0,20.0,-
投票所までの時間別30分以内,-,-,-,-,-
投票所までの時間別30分以内,-,-,-,-,-
投票所までの時間別30分を超える,1,1,-,-,-
投票所までの時間別30分を超える,100.0,100.0,-,-,-
投票所までの時間別わからない,-,-,-,-,-
投票所までの時間別わからない,-,-,-,-,-
地域別区部（計）,74,31,30,10,3
地域別区部（計）,100.0,41.9,40.5,13.5,4.1
地域別センターコア,21,10,5,6,-
地域別センターコア,100.0,47.6,23.8,28.6,-
地域別区部東部・北部エリア,14,4,7,2,1
地域別区部東部・北部エリア,100.0,28.6,50.0,14.3,7.1
地域別区部西部・南部エリア,39,17,18,2,2
地域別区部西部・南部エリア,100.0,43.6,46.2,5.1,5.1
地域別市郡部（計）,20,10,8,2,-
地域別市郡部（計）,100.0,50.0,40.0,10.0,-
地域別多摩東部エリア,7,3,2,2,-
地域別多摩東部エリア,100.0,42.9,28.6,28.6,-
地域別多摩中央部北エリア,7,3,4,-,-
地域別多摩中央部北エリア,100.0,42.9,57.1,-,-
地域別多摩中央部南エリア,5,3,2,-,-
地域別多摩中央部南エリア,100.0,60.0,40.0,-,-
地域別多摩西部エリア,1,1,-,-,-
地域別多摩西部エリア,100.0,100.0,-,-,-
選挙への関心度別関心があった（計）,89,38,36,12,3
選挙への関心度別関心があった（計）,100.0,42.7,40.4,13.5,3.4
選挙への関心度別関心があった,44,17,18,7,2
選挙への関心度別関心があった,100.0,38.6,40.9,15.9,4.5
選挙への関心度別やや関心があった,45,21,18,5,1
選挙への関心度別やや関心があった,100.0,46.7,40.0,11.1,2.2
選挙への関心度別関心がなかった（計）,3,1,2,-,-
選挙への関心度別関心がなかった（計）,100.0,33.3,66.7,-,-
選挙への関心度別あまり関心がなかった,2,1,1,-,-
選挙への関心度別あまり関心がなかった,100.0,50.0,50.0,-,-
選挙への関心度別関心がなかった,1,-,1,-,-
選挙への関心度別関心がなかった,100.0,-,100.0,-,-
選挙への関心度別どちらともいえない,2,2,-,-,-
選挙への関心度別どちらともいえない,100.0,100.0,-,-,-
選挙への関心度別わからない,-,-,-,-,-
選挙への関心度別わからない,-,-,-,-,-
投票への意識別投票するべき（計）,89,39,36,12,2
投票への意識別投票するべき（計）,100.0,43.8,40.4,13.5,2.2
投票への意識別必ず投票するべき,48,21,19,7,1
投票への意識別必ず投票するべき,100.0,43.8,39.6,14.6,2.1
投票への意識別可能な限り投票するべき,41,18,17,5,1
投票への意識別可能な限り投票するべき,100.0,43.9,41.5,12.2,2.4
投票への意識別投票するのもしないのも自由,5,2,2,-,1
投票への意識別投票するのもしないのも自由,100.0,40.0,40.0,-,20.0
投票への意識別その他,-,-,-,-,-
投票への意識別その他,-,-,-,-,-
投票への意識別わからない,-,-,-,-,-
投票への意識別わからない,-,-,-,-,-
投票への参加状況別投票した（計）,91,40,36,12,3
投票への参加状況別投票した（計）,100.0,44.0,39.6,13.2,3.3
投票への参加状況別投票日に投票した,61,27,24,7,3
投票への参加状況別投票日に投票した,100.0,44.3,39.3,11.5,4.9
投票への参加状況別期日前投票（又は不在者投票等）をした,30,13,12,5,-
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,43.3,40.0,16.7,-
投票への参加状況別投票しなかった,3,1,2,-,-
投票への参加状況別投票しなかった,100.0,33.3,66.7,-,-
投票への参加状況別答えたくない,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-
新聞の定期購読別定期購読している,64,31,23,8,2
新聞の定期購読別定期購読している,100.0,48.4,35.9,12.5,3.1
新聞の定期購読別定期購読していない,30,10,15,4,1
新聞の定期購読別定期購読していない,100.0,33.3,50.0,13.3,3.3
インターネットの利用有無別インターネットを利用している,80,36,31,11,2
インターネットの利用有無別インターネットを利用している,100.0,45.0,38.8,13.8,2.5
インターネットの利用有無別インターネットを利用していない,14,5,7,1,1
インターネットの利用有無別インターネットを利用していない,100.0,35.7,50.0,7.1,7.1
