,問６－２調査数,問６－２よく読んだ,問６－２一通りざっと読んだ,問６－２一部分だけ読んだ,問６－２読まなかった,問６－２無回答,問７調査数,問７すべてのポスターを一枚一枚よく見た,問７すべてのポスターをざっと見た,問７関心のある候補者のポスターしか見なかった,問７ほとんど見なかった,問７わからない、忘れた,問７無回答
性／年齢別男性60歳代,113,21,72,15,5,-,169,13,87,23,38,8,-
性／年齢別男性60歳代,100.0,18.6,63.7,13.3,4.4,-,100.0,7.7,51.5,13.6,22.5,4.7,-
性／年齢別男性70歳代,77,22,44,8,3,-,118,11,54,17,27,8,1
性／年齢別男性70歳代,100.0,28.6,57.1,10.4,3.9,-,100.0,9.3,45.8,14.4,22.9,6.8,0.8
性／年齢別男性80歳以上,27,8,13,3,3,-,39,5,18,3,11,2,-
性／年齢別男性80歳以上,100.0,29.6,48.1,11.1,11.1,-,100.0,12.8,46.2,7.7,28.2,5.1,-
性／年齢別女性20歳代,25,4,13,3,5,-,152,1,37,13,89,11,1
性／年齢別女性20歳代,100.0,16.0,52.0,12.0,20.0,-,100.0,0.7,24.3,8.6,58.6,7.2,0.7
性／年齢別女性30歳代,93,13,51,16,13,-,202,8,68,27,89,8,2
性／年齢別女性30歳代,100.0,14.0,54.8,17.2,14.0,-,100.0,4.0,33.7,13.4,44.1,4.0,1.0
性／年齢別女性40歳代,133,13,86,22,11,1,222,8,108,21,71,12,2
性／年齢別女性40歳代,100.0,9.8,64.7,16.5,8.3,0.8,100.0,3.6,48.6,9.5,32.0,5.4,0.9
性／年齢別女性50歳代,97,11,58,17,11,-,145,9,70,13,47,6,-
性／年齢別女性50歳代,100.0,11.3,59.8,17.5,11.3,-,100.0,6.2,48.3,9.0,32.4,4.1,-
性／年齢別女性60歳代,110,17,69,12,12,-,158,7,88,22,34,6,1
性／年齢別女性60歳代,100.0,15.5,62.7,10.9,10.9,-,100.0,4.4,55.7,13.9,21.5,3.8,0.6
性／年齢別女性70歳代,72,11,51,5,3,2,114,9,48,19,33,5,-
性／年齢別女性70歳代,100.0,15.3,70.8,6.9,4.2,2.8,100.0,7.9,42.1,16.7,28.9,4.4,-
性／年齢別女性80歳以上,28,5,18,2,3,-,51,4,13,7,20,7,-
性／年齢別女性80歳以上,100.0,17.9,64.3,7.1,10.7,-,100.0,7.8,25.5,13.7,39.2,13.7,-
未・既婚別未婚（死別・離別を含む）,292,43,163,54,31,1,801,33,246,94,372,52,4
未・既婚別未婚（死別・離別を含む）,100.0,14.7,55.8,18.5,10.6,0.3,100.0,4.1,30.7,11.7,46.4,6.5,0.5
未・既婚別既婚,787,124,489,107,61,6,1188,69,573,161,328,52,5
未・既婚別既婚,100.0,15.8,62.1,13.6,7.8,0.8,100.0,5.8,48.2,13.6,27.6,4.4,0.4
子供の有無別子供はいない,278,41,151,50,34,2,779,25,240,94,368,48,4
子供の有無別子供はいない,100.0,14.7,54.3,18.0,12.2,0.7,100.0,3.2,30.8,12.1,47.2,6.2,0.5
子供の有無別未就学（～６歳）,78,11,48,11,6,2,155,9,75,14,49,8,-
子供の有無別未就学（～６歳）,100.0,14.1,61.5,14.1,7.7,2.6,100.0,5.8,48.4,9.0,31.6,5.2,-
子供の有無別小・中・高校生,211,22,136,36,16,1,320,10,153,42,100,12,3
子供の有無別小・中・高校生,100.0,10.4,64.5,17.1,7.6,0.5,100.0,3.1,47.8,13.1,31.3,3.8,0.9
子供の有無別大学生・大学院生・短大生・専門学校生,62,9,37,8,8,-,92,6,44,14,26,2,-
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,14.5,59.7,12.9,12.9,-,100.0,6.5,47.8,15.2,28.3,2.2,-
子供の有無別学校教育終了,473,90,300,55,26,2,671,55,335,89,160,30,2
子供の有無別学校教育終了,100.0,19.0,63.4,11.6,5.5,0.4,100.0,8.2,49.9,13.3,23.8,4.5,0.3
子供の有無別その他,6,1,2,2,1,-,11,1,4,3,2,1,-
子供の有無別その他,100.0,16.7,33.3,33.3,16.7,-,100.0,9.1,36.4,27.3,18.2,9.1,-
職業別自営業（計）,83,16,41,18,8,-,174,10,69,24,61,9,1
職業別自営業（計）,100.0,19.3,49.4,21.7,9.6,-,100.0,5.7,39.7,13.8,35.1,5.2,0.6
職業別農林漁業,-,-,-,-,-,-,2,-,2,-,-,-,-
職業別農林漁業,-,-,-,-,-,-,100.0,-,100.0,-,-,-,-
職業別商工・サービス業,33,6,16,7,4,-,71,6,21,12,28,3,1
職業別商工・サービス業,100.0,18.2,48.5,21.2,12.1,-,100.0,8.5,29.6,16.9,39.4,4.2,1.4
職業別その他自由業,50,10,25,11,4,-,101,4,46,12,33,6,-
職業別その他自由業,100.0,20.0,50.0,22.0,8.0,-,100.0,4.0,45.5,11.9,32.7,5.9,-
職業別お勤め（計）,478,67,283,84,39,5,981,39,369,139,384,44,6
職業別お勤め（計）,100.0,14.0,59.2,17.6,8.2,1.0,100.0,4.0,37.6,14.2,39.1,4.5,0.6
職業別経営・管理職,72,11,48,10,3,-,109,4,47,18,34,6,-
職業別経営・管理職,100.0,15.3,66.7,13.9,4.2,-,100.0,3.7,43.1,16.5,31.2,5.5,-
職業別専門職・技術職,143,23,87,26,5,2,261,13,105,50,84,8,1
職業別専門職・技術職,100.0,16.1,60.8,18.2,3.5,1.4,100.0,5.0,40.2,19.2,32.2,3.1,0.4
職業別事務職,148,21,83,26,18,-,305,10,114,39,127,11,4
職業別事務職,100.0,14.2,56.1,17.6,12.2,-,100.0,3.3,37.4,12.8,41.6,3.6,1.3
職業別労務職・技能職,37,3,19,10,4,1,89,3,35,11,34,5,1
職業別労務職・技能職,100.0,8.1,51.4,27.0,10.8,2.7,100.0,3.4,39.3,12.4,38.2,5.6,1.1
職業別販売・サービス職,78,9,46,12,9,2,217,9,68,21,105,14,-
職業別販売・サービス職,100.0,11.5,59.0,15.4,11.5,2.6,100.0,4.1,31.3,9.7,48.4,6.5,-
職業別その他（計）,520,84,329,59,46,2,841,53,383,92,258,53,2
職業別その他（計）,100.0,16.2,63.3,11.3,8.8,0.4,100.0,6.3,45.5,10.9,30.7,6.3,0.2
職業別学生,11,3,4,2,2,-,53,1,10,2,31,9,-
職業別学生,100.0,27.3,36.4,18.2,18.2,-,100.0,1.9,18.9,3.8,58.5,17.0,-
職業別専業主婦（夫）,266,28,178,34,24,2,391,13,196,45,117,19,1
職業別専業主婦（夫）,100.0,10.5,66.9,12.8,9.0,0.8,100.0,3.3,50.1,11.5,29.9,4.9,0.3
職業別その他,31,4,22,2,3,-,62,4,38,2,17,1,-
職業別その他,100.0,12.9,71.0,6.5,9.7,-,100.0,6.5,61.3,3.2,27.4,1.6,-
職業別無職（年金受給者含む）,212,49,125,21,17,-,335,35,139,43,93,24,1
職業別無職（年金受給者含む）,100.0,23.1,59.0,9.9,8.0,-,100.0,10.4,41.5,12.8,27.8,7.2,0.3
投票所までの時間別５分以内,385,64,232,57,29,3,636,45,302,92,176,17,4
投票所までの時間別５分以内,100.0,16.6,60.3,14.8,7.5,0.8,100.0,7.1,47.5,14.5,27.7,2.7,0.6
投票所までの時間別10分以内,532,68,330,83,47,4,1060,34,416,125,413,70,2
投票所までの時間別10分以内,100.0,12.8,62.0,15.6,8.8,0.8,100.0,3.2,39.2,11.8,39.0,6.6,0.2
投票所までの時間別20分以内,112,18,70,12,12,-,221,15,83,26,80,15,2
投票所までの時間別20分以内,100.0,16.1,62.5,10.7,10.7,-,100.0,6.8,37.6,11.8,36.2,6.8,0.9
投票所までの時間別30分以内,31,11,11,6,3,-,50,4,9,7,25,5,-
投票所までの時間別30分以内,100.0,35.5,35.5,19.4,9.7,-,100.0,8.0,18.0,14.0,50.0,10.0,-
投票所までの時間別30分を超える,22,6,12,3,1,-,26,3,14,4,4,-,1
投票所までの時間別30分を超える,100.0,27.3,54.5,13.6,4.5,-,100.0,11.5,53.8,15.4,15.4,-,3.8
地域別区部（計）,683,123,387,109,59,5,1392,90,539,173,527,57,6
地域別区部（計）,100.0,18.0,56.7,16.0,8.6,0.7,100.0,6.5,38.7,12.4,37.9,4.1,0.4
地域別センターコア,208,60,107,31,10,-,372,47,177,36,104,7,1
地域別センターコア,100.0,28.8,51.4,14.9,4.8,-,100.0,12.6,47.6,9.7,28.0,1.9,0.3
地域別区部東部・北部エリア,180,21,112,35,11,1,408,19,167,49,167,6,-
地域別区部東部・北部エリア,100.0,11.7,62.2,19.4,6.1,0.6,100.0,4.7,40.9,12.0,40.9,1.5,-
地域別区部西部・南部エリア,295,42,168,43,38,4,612,24,195,88,256,44,5
地域別区部西部・南部エリア,100.0,14.2,56.9,14.6,12.9,1.4,100.0,3.9,31.9,14.4,41.8,7.2,0.8
地域別市郡部（計）,403,44,271,52,34,2,619,12,290,82,180,52,3
地域別市郡部（計）,100.0,10.9,67.2,12.9,8.4,0.5,100.0,1.9,46.8,13.2,29.1,8.4,0.5
地域別多摩東部エリア,144,8,93,23,19,1,235,5,85,35,79,31,-
地域別多摩東部エリア,100.0,5.6,64.6,16.0,13.2,0.7,100.0,2.1,36.2,14.9,33.6,13.2,-
地域別多摩中央部北エリア,48,8,29,9,2,-,88,2,54,6,19,7,-
地域別多摩中央部北エリア,100.0,16.7,60.4,18.8,4.2,-,100.0,2.3,61.4,6.8,21.6,8.0,-
地域別多摩中央部南エリア,183,28,126,18,10,1,261,5,132,35,72,14,3
地域別多摩中央部南エリア,100.0,15.3,68.9,9.8,5.5,0.5,100.0,1.9,50.6,13.4,27.6,5.4,1.1
地域別多摩西部エリア,28,-,23,2,3,-,35,-,19,6,10,-,-
地域別多摩西部エリア,100.0,-,82.1,7.1,10.7,-,100.0,-,54.3,17.1,28.6,-,-
選挙への関心度別関心があった（計）,846,157,546,107,31,5,1170,90,623,191,251,11,4
選挙への関心度別関心があった（計）,100.0,18.6,64.5,12.6,3.7,0.6,100.0,7.7,53.2,16.3,21.5,0.9,0.3
選挙への関心度別関心があった,502,118,323,45,13,3,636,67,370,84,107,5,3
選挙への関心度別関心があった,100.0,23.5,64.3,9.0,2.6,0.6,100.0,10.5,58.2,13.2,16.8,0.8,0.5
選挙への関心度別やや関心があった,344,39,223,62,18,2,534,23,253,107,144,6,1
選挙への関心度別やや関心があった,100.0,11.3,64.8,18.0,5.2,0.6,100.0,4.3,47.4,20.0,27.0,1.1,0.2
選挙への関心度別関心がなかった（計）,134,7,56,31,39,1,533,7,118,34,313,59,2
選挙への関心度別関心がなかった（計）,100.0,5.2,41.8,23.1,29.1,0.7,100.0,1.3,22.1,6.4,58.7,11.1,0.4
選挙への関心度別あまり関心がなかった,88,4,41,22,21,-,316,3,84,23,180,26,-
選挙への関心度別あまり関心がなかった,100.0,4.5,46.6,25.0,23.9,-,100.0,0.9,26.6,7.3,57.0,8.2,-
選挙への関心度別関心がなかった,46,3,15,9,18,1,217,4,34,11,133,33,2
選挙への関心度別関心がなかった,100.0,6.5,32.6,19.6,39.1,2.2,100.0,1.8,15.7,5.1,61.3,15.2,0.9
選挙への関心度別どちらともいえない,106,3,56,23,23,1,298,5,88,30,138,35,2
選挙への関心度別どちらともいえない,100.0,2.8,52.8,21.7,21.7,0.9,100.0,1.7,29.5,10.1,46.3,11.7,0.7
選挙への関心度別わからない、答えたくない,-,-,-,-,-,-,10,-,-,-,5,4,1
選挙への関心度別わからない、答えたくない,-,-,-,-,-,-,100.0,-,-,-,50.0,40.0,10.0
投票への意識別必ず投票するべき,492,119,315,45,9,4,609,72,367,77,90,3,-
投票への意識別必ず投票するべき,100.0,24.2,64.0,9.1,1.8,0.8,100.0,11.8,60.3,12.6,14.8,0.5,-
投票への意識別可能な限り投票するべき,460,43,298,83,34,2,845,26,371,129,285,29,5
投票への意識別可能な限り投票するべき,100.0,9.3,64.8,18.0,7.4,0.4,100.0,3.1,43.9,15.3,33.7,3.4,0.6
投票への意識別投票するのもしないのも自由,121,4,40,31,46,-,473,4,80,47,285,54,3
投票への意識別投票するのもしないのも自由,100.0,3.3,33.1,25.6,38.0,-,100.0,0.8,16.9,9.9,60.3,11.4,0.6
投票への意識別その他,-,-,-,-,-,-,8,-,2,-,6,-,-
投票への意識別その他,-,-,-,-,-,-,100.0,-,25.0,-,75.0,-,-
投票への意識別わからない,9,-,3,1,4,1,62,-,5,2,32,22,1
投票への意識別わからない,100.0,-,33.3,11.1,44.4,11.1,100.0,-,8.1,3.2,51.6,35.5,1.6
投票への参加状況別投票した（計）,736,139,486,86,21,4,999,87,557,156,189,7,3
投票への参加状況別投票した（計）,100.0,18.9,66.0,11.7,2.9,0.5,100.0,8.7,55.8,15.6,18.9,0.7,0.3
投票への参加状況別投票日（２月９日）に投票した,606,110,406,70,16,4,827,76,451,131,163,5,1
投票への参加状況別投票日（２月１０日）に投票した,100.0,18.2,67.0,11.6,2.6,0.7,100.0,9.2,54.5,15.8,19.7,0.6,0.1
投票への参加状況別期日前投票（又は不在者投票等）をした,130,29,80,16,5,-,172,11,106,25,26,2,2
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,22.3,61.5,12.3,3.8,-,100.0,6.4,61.6,14.5,15.1,1.2,1.2
投票への参加状況別投票しなかった,333,27,161,72,70,3,963,14,266,93,502,82,6
投票への参加状況別投票しなかった,100.0,8.1,48.3,21.6,21.0,0.9,100.0,1.5,27.6,9.7,52.1,8.5,0.6
投票への参加状況別答えたくない,13,1,7,3,2,-,42,1,4,5,14,18,-
投票への参加状況別答えたくない,100.0,7.7,53.8,23.1,15.4,-,100.0,2.4,9.5,11.9,33.3,42.9,-
ネット投票の認知度別知っている,795,119,504,112,55,5,1291,69,602,180,390,45,5
ネット投票の認知度別知っている,100.0,15.0,63.4,14.1,6.9,0.6,100.0,5.3,46.6,13.9,30.2,3.5,0.4
ネット投票の認知度別知らなかった,256,45,143,42,25,1,645,31,216,66,282,47,3
ネット投票の認知度別知らなかった,100.0,17.6,55.9,16.4,9.8,0.4,100.0,4.8,33.5,10.2,43.7,7.3,0.5
インターネットの利用有無別インターネットを利用している,597,90,355,98,50,4,1176,53,465,146,452,53,7
インターネットの利用有無別インターネットを利用している,100.0,15.1,59.5,16.4,8.4,0.7,100.0,4.5,39.5,12.4,38.4,4.5,0.6
インターネットの利用有無別インターネットを利用していない,488,77,302,63,43,3,832,49,364,108,254,55,2
インターネットの利用有無別インターネットを利用していない,100.0,15.8,61.9,12.9,8.8,0.6,100.0,5.9,43.8,13.0,30.5,6.6,0.2
新聞の定期購読別定期購読している,824,141,507,114,55,7,1206,78,602,166,327,29,4
新聞の定期購読別定期購読している,100.0,17.1,61.5,13.8,6.7,0.8,100.0,6.5,49.9,13.8,27.1,2.4,0.3
新聞の定期購読別定期購読していない,258,26,148,47,37,-,796,24,223,89,378,78,4
新聞の定期購読別定期購読していない,100.0,10.1,57.4,18.2,14.3,-,100.0,3.0,28.0,11.2,47.5,9.8,0.5
