,参議院議員選挙/調査数,参議院議員選挙/参考にした（計）,参議院議員選挙/ネット上の情報が一番参考になった,参議院議員選挙/参考にしたが、その他の情報の方が役にたった,参議院議員選挙/ほとんど参考にしなかった,参議院議員選挙/わからない,東京都知事選挙/調査数,東京都知事選挙/参考にした（計）,東京都知事選挙/ネット上の情報が一番参考になった,東京都知事選挙/参考にしたが、その他の情報の方が役にたった,東京都知事選挙/ほとんど参考にしなかった,東京都知事選挙/わからない
性/年齢別女性50歳代,100.0,47.8,4.3,43.5,47.8,4.3,100.0,50.0,7.7,42.3,46.2,3.8
性/年齢別女性60歳代,15,4,1,3,11,-,15,4,1,3,11,-
性/年齢別女性60歳代,100.0,26.7,6.7,20.0,73.3,-,100.0,26.7,6.7,20.0,73.3,-
性/年齢別女性70歳代,6,4,1,3,2,-,8,4,1,3,4,-
性/年齢別女性70歳代,100.0,66.7,16.7,50.0,33.3,-,100.0,50.0,12.5,37.5,50.0,-
性/年齢別女性80歳以上,-,-,-,-,-,-,1,-,-,-,1,-
性/年齢別女性80歳以上,-,-,-,-,-,-,100.0,-,-,-,100.0,-
未・既婚別未婚,76,39,21,18,34,3,86,47,26,21,36,3
未・既婚別未婚,100.0,51.3,27.6,23.7,44.7,3.9,100.0,54.7,30.2,24.4,41.9,3.5
未・既婚別既婚（死別・離別を含む）,305,174,74,100,123,8,326,191,88,103,126,9
未・既婚別既婚（死別・離別を含む）,100.0,57.0,24.3,32.8,40.3,2.6,100.0,58.6,27.0,31.6,38.7,2.8
子供の有無別子供はいない,110,64,34,30,42,4,122,76,42,34,42,4
子供の有無別子供はいない,100.0,58.2,30.9,27.3,38.2,3.6,100.0,62.3,34.4,27.9,34.4,3.3
子供の有無別未就学（～６歳）,40,23,10,13,15,2,45,26,14,12,17,2
子供の有無別未就学（～６歳）,100.0,57.5,25.0,32.5,37.5,5.0,100.0,57.8,31.1,26.7,37.8,4.4
子供の有無別小・中・高校生,117,67,27,40,45,5,127,74,32,42,46,7
子供の有無別小・中・高校生,100.0,57.3,23.1,34.2,38.5,4.3,100.0,58.3,25.2,33.1,36.2,5.5
子供の有無別大学生・大学院生・短大生・専門学校生,32,21,11,10,10,1,35,22,12,10,12,1
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,65.6,34.4,31.3,31.3,3.1,100.0,62.9,34.3,28.6,34.3,2.9
子供の有無別学校教育終了,94,50,19,31,43,1,97,51,19,32,45,1
子供の有無別学校教育終了,100.0,53.2,20.2,33.0,45.7,1.1,100.0,52.6,19.6,33.0,46.4,1.0
子供の有無別その他,12,5,1,4,7,-,13,6,2,4,7,-
子供の有無別その他,100.0,41.7,8.3,33.3,58.3,-,100.0,46.2,15.4,30.8,53.8,-
職業別自営業（計）,42,24,11,13,15,3,45,27,13,14,15,3
職業別自営業（計）,100.0,57.1,26.2,31.0,35.7,7.1,100.0,60.0,28.9,31.1,33.3,6.7
職業別農林漁業,1,1,1,-,-,-,1,1,1,-,-,-
職業別農林漁業,100.0,100.0,100.0,-,-,-,100.0,100.0,100.0,-,-,-
職業別商工・サービス業,9,6,3,3,2,1,9,6,3,3,2,1
職業別商工・サービス業,100.0,66.7,33.3,33.3,22.2,11.1,100.0,66.7,33.3,33.3,22.2,11.1
職業別その他自由業,32,17,7,10,13,2,35,20,9,11,13,2
職業別その他自由業,100.0,53.1,21.9,31.3,40.6,6.3,100.0,57.1,25.7,31.4,37.1,5.7
職業別お勤め（計）,240,137,68,69,97,6,263,155,83,72,101,7
職業別お勤め（計）,100.0,57.1,28.3,28.8,40.4,2.5,40.7,58.9,31.6,27.4,38.4,2.7
職業別経営・管理職,31,23,10,13,8,-,34,24,12,12,9,1
職業別経営・管理職,100.0,74.2,32.3,41.9,25.8,-,100.0,70.6,35.3,35.3,26.5,2.9
職業別専門職・技術職,75,46,19,27,28,1,79,51,23,28,28,-
職業別専門職・技術職,100.0,61.3,25.3,36.0,37.3,1.3,100.0,64.6,29.1,35.4,35.4,-
職業別事務職,72,42,27,15,28,2,85,50,34,16,33,2
職業別事務職,100.0,58.3,37.5,20.8,38.9,2.8,100.0,58.8,40.0,18.8,38.8,2.4
職業別労務職・技能職,16,7,4,3,8,1,16,7,4,3,8,1
職業別労務職・技能職,100.0,43.8,25.0,18.8,50.0,6.3,100.0,43.8,25.0,18.8,50.0,6.3
職業別販売・サービス職,46,19,8,11,25,2,49,23,10,13,23,3
職業別販売・サービス職,100.0,41.3,17.4,23.9,54.3,4.3,100.0,46.9,20.4,26.5,46.9,6.1
職業別その他（計）,99,52,16,36,45,2,104,56,18,38,46,2
職業別その他（計）,100.0,52.5,16.2,36.4,45.5,2.0,100.0,53.8,17.3,36.5,44.2,1.9
職業別生徒・学生,12,8,3,5,4,-,13,8,3,5,5,-
職業別生徒・学生,100.0,66.7,25.0,41.7,33.3,-,100.0,61.5,23.1,38.5,38.5,-
職業別専業主婦（夫）,54,28,7,21,24,2,54,31,8,23,21,2
職業別専業主婦（夫）,100.0,51.9,13.0,38.9,44.4,3.7,100.0,57.4,14.8,42.6,38.9,3.7
職業別その他,6,5,2,3,1,-,6,5,2,3,1,-
職業別その他,100.0,83.3,33.3,50.0,16.7,-,100.0,83.3,33.3,50.0,16.7,-
職業別無職（年金受給者含む）,27,11,4,7,16,-,31,12,5,7,19,-
職業別無職（年金受給者含む）,100.0,40.7,14.8,25.9,59.3,-,100.0,38.7,16.1,22.6,61.3,-
投票所までの時間別５分以内,126,76,36,40,47,3,130,83,39,44,43,4
投票所までの時間別５分以内,100.0,60.3,28.6,31.7,37.3,2.4,100.0,63.8,30.0,33.8,33.1,3.1
投票所までの時間別10分以内,214,108,45,63,98,8,237,126,62,64,103,8
投票所までの時間別10分以内,100.0,50.5,21.0,29.4,45.8,3.7,100.0,53.2,26.2,27.0,43.5,3.4
投票所までの時間別20分以内,37,26,12,14,11,-,40,26,11,15,14,-
投票所までの時間別20分以内,100.0,70.3,32.4,37.8,29.7,-,100.0,65.0,27.5,37.5,35.0,-
投票所までの時間別30分以内,3,2,1,1,1,-,4,2,1,1,2,-
投票所までの時間別30分以内,100.0,66.7,33.3,33.3,33.3,-,100.0,50.0,25.0,25.0,50.0,-
投票所までの時間別30分を超える,-,-,-,-,-,-,-,-,-,-,-,-
投票所までの時間別30分を超える,-,-,-,-,-,-,-,-,-,-,-,-
投票所までの時間別わからない,1,1,1,-,-,-,1,1,1,-,-,-
投票所までの時間別わからない,100.0,100.0,100.0,-,-,-,100.0,100.0,100.0,-,-,-
地域別区部（計）,285,143,68,75,133,9,302,161,83,78,131,10
地域別区部（計）,100.0,50.2,23.9,26.3,46.7,3.2,100.0,53.3,27.5,25.8,43.4,3.3
地域別センターコア,109,47,24,23,60,2,116,52,27,25,61,3
地域別センターコア,100.0,43.1,22.0,21.1,55.0,1.8,100.0,44.8,23.3,21.6,52.6,2.6
地域別区部東部・北部エリア,59,39,18,21,18,2,65,43,22,21,19,3
地域別区部東部・北部エリア,100.0,66.1,30.5,35.6,30.5,3.4,100.0,66.2,33.8,32.3,29.2,4.6
地域別区部西部・南部エリア,117,57,26,31,55,5,121,66,34,32,51,4
地域別区部西部・南部エリア,100.0,48.7,22.2,26.5,47.0,4.3,100.0,54.5,28.1,26.4,42.1,3.3
地域別市郡部（計）,96,70,27,43,24,2,110,77,31,46,31,2
地域別市郡部（計）,100.0,72.9,28.1,44.8,25.0,2.1,100.0,70.0,28.2,41.8,28.2,1.8
地域別多摩東部エリア,34,25,11,14,8,1,38,27,12,15,10,1
地域別多摩東部エリア,100.0,73.5,32.4,41.2,23.5,2.9,100.0,71.1,31.6,39.5,26.3,2.6
地域別多摩中央部北エリア,18,10,4,6,7,1,20,10,4,6,9,1
地域別多摩中央部北エリア,100.0,55.6,22.2,33.3,38.9,5.6,100.0,50.0,20.0,30.0,45.0,5.0
地域別多摩中央部南エリア,40,33,10,23,7,-,45,36,11,25,9,-
地域別多摩中央部南エリア,100.0,82.5,25.0,57.5,17.5,-,100.0,80.0,24.4,55.6,20.0,-
地域別多摩西部エリア,4,2,2,-,2,-,7,4,4,-,3,-
地域別多摩西部エリア,100.0,50.0,50.0,-,50.0,-,100.0,57.1,57.1,-,42.9,-
選挙への関心度別関心があった（計）,331,196,88,108,127,8,377,222,105,117,143,12
選挙への関心度別関心があった（計）,100.0,59.2,26.6,32.6,38.4,2.4,100.0,58.9,27.9,31.0,37.9,3.2
選挙への関心度別関心があった,158,109,46,63,46,3,209,135,62,73,70,4
選挙への関心度別関心があった,100.0,69.0,29.1,39.9,29.1,1.9,100.0,64.6,29.7,34.9,33.5,1.9
選挙への関心度別やや関心があった,173,87,42,45,81,5,168,87,43,44,73,8
選挙への関心度別やや関心があった,100.0,50.3,24.3,26.0,46.8,2.9,100.0,51.8,25.6,26.2,43.5,4.8
選挙への関心度別関心がなかった（計）,13,7,4,3,6,-,10,3,3,-,7,-
選挙への関心度別関心がなかった（計）,100.0,53.8,30.8,23.1,46.2,-,100.0,30.0,30.0,-,70.0,-
選挙への関心度別あまり関心がなかった,12,6,4,2,6,-,9,3,3,-,6,-
選挙への関心度別あまり関心がなかった,100.0,50.0,33.3,16.7,50.0,-,100.0,33.3,33.3,-,66.7,-
選挙への関心度別関心がなかった,1,1,-,1,-,-,1,0,-,-,1,-
選挙への関心度別関心がなかった,100.0,100.0,-,100.0,-,-,100.0,0.0,-,-,100.0,-
選挙への関心度別どちらともいえない,37,10,3,7,24,3,25,13,6,7,12,-
選挙への関心度別どちらともいえない,100.0,27.0,8.1,18.9,64.9,8.1,100.0,52.0,24.0,28.0,48.0,-
選挙への関心度別わからない,-,-,-,-,-,-,-,-,-,-,-,-
選挙への関心度別わからない,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別投票するべき（計）,352,202,91,111,141,9,370,216,103,113,144,10
投票への意識別投票するべき（計）,100.0,57.4,25.9,31.5,40.1,2.6,100.0,58.4,27.8,30.5,38.9,2.7
投票への意識別必ず投票するべき,140,97,40,57,41,2,150,99,43,56,49,2
投票への意識別必ず投票するべき,100.0,69.3,28.6,40.7,29.3,1.4,100.0,66.0,28.7,37.3,32.7,1.3
投票への意識別可能な限り投票するべき,212,105,51,54,100,7,220,117,60,57,95,8
投票への意識別可能な限り投票するべき,100.0,49.5,24.1,25.5,47.2,3.3,100.0,53.2,27.3,25.9,43.2,3.6
投票への意識別投票するのもしないのも自由,26,10,3,7,15,1,39,21,10,11,17,1
投票への意識別投票するのもしないのも自由,100.0,38.5,11.5,26.9,57.7,3.8,100.0,53.8,25.6,28.2,43.6,2.6
投票への意識別その他,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別その他,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別わからない,3,1,1,-,1,1,3,1,1,-,1,1
投票への意識別わからない,100.0,33.3,33.3,-,33.3,33.3,100.0,33.3,33.3,-,33.3,33.3
投票への参加状況別投票した（計）,381,213,95,118,157,11,412,238,114,124,162,12
投票への参加状況別投票した（計）,100.0,55.9,24.9,31.0,41.2,2.9,100.0,57.8,27.7,30.1,39.3,2.9
投票への参加状況別投票日に投票した,302,157,65,92,137,8,315,169,79,90,139,7
投票への参加状況別投票日に投票した,100.0,52.0,21.5,30.5,45.4,2.6,100.0,53.7,25.1,28.6,44.1,2.2
投票への参加状況別期日前投票（又は不在者投票等）をした,79,56,30,26,20,3,97,69,35,34,23,5
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,70.9,38.0,32.9,25.3,3.8,100.0,71.1,36.1,35.1,23.7,5.2
投票への参加状況別投票しなかった,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票しなかった,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-,-,-
新聞の定期購読別定期購読している,249,135,45,90,107,7,266,143,50,93,115,8
新聞の定期購読別定期購読している,100.0,54.2,18.1,36.1,43.0,2.8,100.0,53.8,18.8,35.0,43.2,3.0
新聞の定期購読別定期購読していない,132,78,50,28,50,4,146,95,64,31,47,4
新聞の定期購読別定期購読していない,100.0,59.1,37.9,21.2,37.9,3.0,100.0,65.1,43.8,21.2,32.2,2.7
インターネットの利用有無別インターネットを利用している,349,202,90,112,137,10,378,228,110,118,139,11
インターネットの利用有無別インターネットを利用している,100.0,57.9,25.8,32.1,39.3,2.9,100.0,60.3,29.1,31.2,36.8,2.9
インターネットの利用有無別インターネットを利用していない,32,11,5,6,20,1,34,10,4,6,23,1
インターネットの利用有無別インターネットを利用していない,100.0,34.4,15.6,18.8,62.5,3.1,100.0,29.4,11.8,17.6,67.6,2.9
