,調査数,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80歳以上,無回答
投票所までの時間別５分以内,636,17,44,52,67,69,73,53,45,55,56,50,28,21,6
投票所までの時間別５分以内,100.0,2.7,6.9,8.2,10.5,10.8,11.5,8.3,7.1,8.6,8.8,7.9,4.4,3.3,0.9
投票所までの時間別10分以内,1060,82,111,78,104,109,89,84,74,82,84,66,50,41,6
投票所までの時間別10分以内,100.0,7.7,10.5,7.4,9.8,10.3,8.4,7.9,7.0,7.7,7.9,6.2,4.7,3.9,0.6
投票所までの時間別20分以内,221,15,8,10,25,21,23,18,12,14,21,15,13,21,5
投票所までの時間別20分以内,100.0,6.8,3.6,4.5,11.3,9.5,10.4,8.1,5.4,6.3,9.5,6.8,5.9,9.5,2.3
投票所までの時間別30分以内,50,4,7,9,9,5,3,2,3,2,1,3,-,1,1
投票所までの時間別30分以内,100.0,8.0,14.0,18.0,18.0,10.0,6.0,4.0,6.0,4.0,2.0,6.0,-,2.0,2.0
投票所までの時間別30分を超える,26,-,1,-,-,3,2,1,1,7,3,2,4,1,1
投票所までの時間別30分を超える,100.0,-,3.8,-,-,11.5,7.7,3.8,3.8,26.9,11.5,7.7,15.4,3.8,3.8
地域別区部（計）,1392,74,136,110,147,146,144,111,87,94,113,103,65,62,-
地域別区部（計）,100.0,5.3,9.8,7.9,10.6,10.5,10.3,8.0,6.3,6.8,8.1,7.4,4.7,4.5,-
地域別センターコア,372,23,38,28,38,39,36,27,24,22,27,29,13,28,-
地域別センターコア,100.0,6.2,10.2,7.5,10.2,10.5,9.7,7.3,6.5,5.9,7.3,7.8,3.5,7.5,-
地域別区部東部・北部エリア,408,21,45,26,49,43,43,30,27,29,27,32,23,13,-
地域別区部東部・北部エリア,100.0,5.1,11.0,6.4,12.0,10.5,10.5,7.4,6.6,7.1,6.6,7.8,5.6,3.2,-
地域別区部西部・南部エリア,612,30,53,56,60,64,65,54,36,43,59,42,29,21,-
地域別区部西部・南部エリア,100.0,4.9,8.7,9.2,9.8,10.5,10.6,8.8,5.9,7.0,9.6,6.9,4.7,3.4,-
地域別市郡部（計）,619,46,39,40,58,62,46,47,48,66,54,34,30,28,21
地域別市郡部（計）,100.0,7.4,6.3,6.5,9.4,10.0,7.4,7.6,7.8,10.7,8.7,5.5,4.8,4.5,3.4
地域別多摩東部エリア,235,17,13,15,33,22,12,19,20,24,24,13,11,9,3
地域別多摩東部エリア,100.0,7.2,5.5,6.4,14.0,9.4,5.1,8.1,8.5,10.2,10.2,5.5,4.7,3.8,1.3
地域別多摩中央部北エリア,88,4,8,5,6,10,10,10,4,8,6,5,3,7,2
地域別多摩中央部北エリア,100.0,4.5,9.1,5.7,6.8,11.4,11.4,11.4,4.5,9.1,6.8,5.7,3.4,8.0,2.3
地域別多摩中央部南エリア,261,23,15,19,15,27,18,16,21,32,22,14,13,11,15
地域別多摩中央部南エリア,100.0,8.8,5.7,7.3,5.7,10.3,6.9,6.1,8.0,12.3,8.4,5.4,5.0,4.2,5.7
地域別多摩西部エリア,35,2,3,1,4,3,6,2,3,2,2,2,3,1,1
地域別多摩西部エリア,100.0,5.7,8.6,2.9,11.4,8.6,17.1,5.7,8.6,5.7,5.7,5.7,8.6,2.9,2.9
選挙への関心度別関心があった（計）,1170,22,46,65,112,131,121,110,81,115,124,100,68,60,15
選挙への関心度別関心があった（計）,100.0,1.9,3.9,5.6,9.6,11.2,10.3,9.4,6.9,9.8,10.6,8.5,5.8,5.1,1.3
選挙への関心度別関心があった,636,10,17,26,46,53,56,69,47,74,80,64,48,36,10
選挙への関心度別関心があった,100.0,1.6,2.7,4.1,7.2,8.3,8.8,10.8,7.4,11.6,12.6,10.1,7.5,5.7,1.6
選挙への関心度別やや関心があった,534,12,29,39,66,78,65,41,34,41,44,36,20,24,5
選挙への関心度別やや関心があった,100.0,2.2,5.4,7.3,12.4,14.6,12.2,7.7,6.4,7.7,8.2,6.7,3.7,4.5,0.9
選挙への関心度別関心がなかった（計）,533,77,92,53,59,48,44,26,31,28,24,14,17,17,3
選挙への関心度別関心がなかった（計）,100.0,14.4,17.3,9.9,11.1,9.0,8.3,4.9,5.8,5.3,4.5,2.6,3.2,3.2,0.6
選挙への関心度別あまり関心がなかった,316,37,50,30,36,26,32,19,22,20,18,9,8,7,2
選挙への関心度別あまり関心がなかった,100.0,11.7,15.8,9.5,11.4,8.2,10.1,6.0,7.0,6.3,5.7,2.8,2.5,2.2,0.6
選挙への関心度別関心がなかった,217,40,42,23,23,22,12,7,9,8,6,5,9,10,1
選挙への関心度別関心がなかった,100.0,18.4,19.4,10.6,10.6,10.1,5.5,3.2,4.1,3.7,2.8,2.3,4.1,4.6,0.5
選挙への関心度別どちらともいえない,298,20,34,31,33,29,25,22,21,17,19,23,10,11,3
選挙への関心度別どちらともいえない,100.0,6.7,11.4,10.4,11.1,9.7,8.4,7.4,7.0,5.7,6.4,7.7,3.4,3.7,1.0
選挙への関心度別わからない、答えたくない,10,1,3,1,1,-,-,-,2,-,-,-,-,2,-
選挙への関心度別わからない、答えたくない,100.0,10.0,30.0,10.0,10.0,-,-,-,20.0,-,-,-,-,20.0,-
投票への意識別必ず投票するべき,609,4,13,22,39,55,59,70,45,74,73,67,52,30,6
投票への意識別必ず投票するべき,100.0,0.7,2.1,3.6,6.4,9.0,9.7,11.5,7.4,12.2,12.0,11.0,8.5,4.9,1.0
投票への意識別可能な限り投票するべき,845,44,76,67,104,90,83,63,59,62,68,50,28,40,11
投票への意識別可能な限り投票するべき,100.0,5.2,9.0,7.9,12.3,10.7,9.8,7.5,7.0,7.3,8.0,5.9,3.3,4.7,1.3
投票への意識別投票するのもしないのも自由,473,58,76,52,55,56,44,23,24,21,23,15,9,14,3
投票への意識別投票するのもしないのも自由,100.0,12.3,16.1,11.0,11.6,11.8,9.3,4.9,5.1,4.4,4.9,3.2,1.9,3.0,0.6
投票への意識別その他,8,2,1,1,-,1,-,1,1,-,-,-,-,1,-
投票への意識別その他,100.0,25.0,12.5,12.5,-,12.5,-,12.5,12.5,-,-,-,-,12.5,-
投票への意識別わからない,62,10,8,7,6,5,4,1,5,1,3,3,4,5,-
投票への意識別わからない,100.0,16.1,12.9,11.3,9.7,8.1,6.5,1.6,8.1,1.6,4.8,4.8,6.5,8.1,-
投票への参加状況別投票した（計）,999,17,35,55,90,109,108,96,82,107,106,88,63,36,7
投票への参加状況別投票した（計）,100.0,1.7,3.5,5.5,9.0,10.9,10.8,9.6,8.2,10.7,10.6,8.8,6.3,3.6,0.7
投票への参加状況別投票日（２月９日）に投票した,827,16,29,44,73,96,87,73,73,92,89,66,49,33,7
投票への参加状況別投票日（２月１０日）に投票した,100.0,1.9,3.5,5.3,8.8,11.6,10.5,8.8,8.8,11.1,10.8,8.0,5.9,4.0,0.8
投票への参加状況別期日前投票（又は不在者投票等）をした,172,1,6,11,17,13,21,23,9,15,17,22,14,3,-
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,0.6,3.5,6.4,9.9,7.6,12.2,13.4,5.2,8.7,9.9,12.8,8.1,1.7,-
投票への参加状況別投票しなかった,963,99,133,90,111,96,78,59,49,49,57,46,30,54,12
投票への参加状況別投票しなかった,100.0,10.3,13.8,9.3,11.5,10.0,8.1,6.1,5.1,5.1,5.9,4.8,3.1,5.6,1.2
投票への参加状況別答えたくない,42,3,7,5,4,2,3,3,4,2,4,3,1,-,1
投票への参加状況別答えたくない,100.0,7.1,16.7,11.9,9.5,4.8,7.1,7.1,9.5,4.8,9.5,7.1,2.4,-,2.4
ネット投票の認知度別知っている,1291,64,107,107,152,148,141,115,84,112,100,70,44,27,20
ネット投票の認知度別知っている,100.0,5.0,8.3,8.3,11.8,11.5,10.9,8.9,6.5,8.7,7.7,5.4,3.4,2.1,1.5
ネット投票の認知度別知らなかった,645,54,67,38,50,56,47,34,45,36,52,60,49,56,1
ネット投票の認知度別知らなかった,100.0,8.4,10.4,5.9,7.8,8.7,7.3,5.3,7.0,5.6,8.1,9.3,7.6,8.7,0.2
インターネットの利用有無別インターネットを利用している,1176,116,169,130,177,162,139,91,72,44,39,17,5,-,15
インターネットの利用有無別インターネットを利用している,100.0,9.9,14.4,11.1,15.1,13.8,11.8,7.7,6.1,3.7,3.3,1.4,0.4,-,1.3
インターネットの利用有無別インターネットを利用していない,832,3,6,20,28,45,51,67,63,116,128,119,90,90,6
インターネットの利用有無別インターネットを利用していない,100.0,0.4,0.7,2.4,3.4,5.4,6.1,8.1,7.6,13.9,15.4,14.3,10.8,10.8,0.7
新聞の定期購読別定期購読している,1206,46,47,57,87,111,119,121,96,126,132,101,81,68,14
新聞の定期購読別定期購読している,100.0,3.8,3.9,4.7,7.2,9.2,9.9,10.0,8.0,10.4,10.9,8.4,6.7,5.6,1.2
新聞の定期購読別定期購読していない,796,73,128,93,118,94,71,37,39,32,35,34,14,21,7
新聞の定期購読別定期購読していない,100.0,9.2,16.1,11.7,14.8,11.8,8.9,4.6,4.9,4.0,4.4,4.3,1.8,2.6,0.9
