,参議院議員選挙／調査数,参議院議員選挙／選挙期間に入る前から（6月21日以前）,参議院議員選挙／投票日当日を除く選挙期間中(6月22日から7月9日まで),参議院議員選挙／投票日当日（7月10日）,参議院議員選挙／わからない、忘れた,東京都知事選挙／調査数,東京都知事選挙／選挙期間に入る前から（7月13日以前）,東京都知事選挙／投票日当日を除く選挙期間中(7月14日から7月30日まで）,東京都知事選挙／投票日当日（7月31日）,東京都知事選挙／わからない、忘れた
性/年齢別女性80歳以上,100.0,33.3,55.6,11.1,-,100.0,29.6,59.3,11.1,-
未・既婚別未婚,172,23,107,38,4,176,33,101,37,5
未・既婚別未婚,100.0,13.4,62.2,22.1,2.3,100.0,18.8,57.4,21.0,2.8
未・既婚別既婚（死別・離別を含む）,1054,240,705,105,4,1078,317,675,85,1
未・既婚別既婚（死別・離別を含む）,100.0,22.8,66.9,10.0,0.4,100.0,29.4,62.6,7.9,0.1
子供の有無別子供はいない,207,28,130,44,5,209,41,120,42,6
子供の有無別子供はいない,100.0,13.5,62.8,21.3,2.4,100.0,19.6,57.4,20.1,2.9
子供の有無別未就学（～６歳）,79,10,56,12,1,79,16,52,11,-
子供の有無別未就学（～６歳）,100.0,12.7,70.9,15.2,1.3,100.0,20.3,65.8,13.9,-
子供の有無別小・中・高校生,273,45,198,30,-,286,67,200,19,-
子供の有無別小・中・高校生,100.0,16.5,72.5,11.0,-,100.0,23.4,69.9,6.6,-
子供の有無別大学生・大学院生・短大生・専門学校生,110,20,78,12,-,109,30,70,9,-
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,18.2,70.9,10.9,-,100.0,27.5,64.2,8.3,-
子供の有無別学校教育終了,569,149,369,49,2,582,197,345,40,-
子供の有無別学校教育終了,100.0,26.2,64.9,8.6,0.4,100.0,33.8,59.3,6.9,-
子供の有無別その他,44,19,23,2,-,46,13,30,3,-
子供の有無別その他,100.0,43.2,52.3,4.5,-,100.0,28.3,65.2,6.5,-
職業別自営業（計）,92,21,58,12,1,95,22,57,15,1
職業別自営業（計）,100.0,22.8,63.0,13.0,1.1,100.0,23.2,60.0,15.8,1.1
職業別農林漁業,1,1,-,-,-,1,1,-,-,-
職業別農林漁業,100.0,100.0,-,-,-,100.0,100.0,-,-,-
職業別商工・サービス業,27,9,15,3,-,29,12,13,4,-
職業別商工・サービス業,100.0,33.3,55.6,11.1,-,100.0,41.4,44.8,13.8,-
職業別その他自由業,64,11,43,9,1,65,9,44,11,1
職業別その他自由業,100.0,17.2,67.2,14.1,1.6,100.0,13.8,67.7,16.9,1.5
職業別お勤め（計）,522,87,372,60,3,533,128,350,53,2
職業別お勤め（計）,100.0,16.7,71.3,11.5,0.6,100.0,24.0,65.7,9.9,0.4
職業別経営・管理職,52,12,36,4,-,54,17,35,2,-
職業別経営・管理職,100.0,23.1,69.2,7.7,-,100.0,31.5,64.8,3.7,-
職業別専門職・技術職,130,20,98,11,1,126,33,87,6,-
職業別専門職・技術職,100.0,15.4,75.4,8.5,0.8,100.0,26.2,69.0,4.8,-
職業別事務職,136,21,99,16,-,150,28,101,21,-
職業別事務職,100.0,15.4,72.8,11.8,-,100.0,18.7,67.3,14.0,-
職業別労務職・技能職,47,10,34,2,1,46,12,31,2,1
職業別労務職・技能職,100.0,21.3,72.3,4.3,2.1,100.0,26.1,67.4,4.3,2.2
職業別販売・サービス職,157,24,105,27,1,157,38,96,22,1
職業別販売・サービス職,100.0,15.3,66.9,17.2,0.6,100.0,24.2,61.1,14.0,0.6
職業別その他（計）,612,155,382,71,4,626,200,369,54,3
職業別その他（計）,100.0,25.3,62.4,11.6,0.7,100.0,31.9,58.9,8.6,0.5
職業別生徒・学生,23,2,11,8,2,24,3,12,7,2
職業別生徒・学生,100.0,8.7,47.8,34.8,8.7,100.0,12.5,50.0,29.2,8.3
職業別専業主婦（夫）,298,62,197,38,1,302,90,185,27,-
職業別専業主婦（夫）,100.0,20.8,66.1,12.8,0.3,100.0,29.8,61.3,8.9,-
職業別その他,15,2,10,3,-,15,2,11,2,-
職業別その他,100.0,13.3,66.7,20.0,-,100.0,13.3,73.3,13.3,-
職業別無職（年金受給者含む）,276,89,164,22,1,285,105,161,18,1
職業別無職（年金受給者含む）,100.0,32.2,59.4,8.0,0.4,100.0,36.8,56.5,6.3,0.4
投票所までの時間別５分以内,303,63,210,25,5,311,86,197,25,3
投票所までの時間別５分以内,100.0,20.8,69.3,8.3,1.7,100.0,27.7,63.3,8.0,1.0
投票所までの時間別10分以内,726,134,495,96,1,743,193,471,78,1
投票所までの時間別10分以内,100.0,18.5,68.2,13.2,0.1,100.0,26.0,63.4,10.5,0.1
投票所までの時間別20分以内,192,66,103,21,2,195,71,103,19,2
投票所までの時間別20分以内,100.0,34.4,53.6,10.9,1.0,100.0,36.4,52.8,9.7,1.0
投票所までの時間別30分以内,5,-,4,1,-,5,-,5,-,-
投票所までの時間別30分以内,100.0,-,80.0,20.0,-,100.0,-,100.0,-,-
投票所までの時間別30分を超える,-,-,-,-,-,-,-,-,-,-
投票所までの時間別30分を超える,-,-,-,-,-,-,-,-,-,-
投票所までの時間別わからない,-,-,-,-,-,-,-,-,-,-
投票所までの時間別わからない,-,-,-,-,-,-,-,-,-,-
地域別区部（計）,952,188,644,115,5,978,275,613,87,3
地域別区部（計）,100.0,19.7,67.6,12.1,0.5,100.0,28.1,62.7,8.9,0.3
地域別センターコア,261,33,206,22,-,266,57,194,14,1
地域別センターコア,100.0,12.6,78.9,8.4,-,100.0,21.4,72.9,5.3,0.4
地域別区部東部・北部エリア,281,59,178,40,4,297,96,171,29,1
地域別区部東部・北部エリア,100.0,21.0,63.3,14.2,1.4,100.0,32.3,57.6,9.8,0.3
地域別区部西部・南部エリア,410,96,260,53,1,415,122,248,44,1
地域別区部西部・南部エリア,100.0,23.4,63.4,12.9,0.2,100.0,29.4,59.8,10.6,0.2
地域別市郡部（計）,274,75,168,28,3,276,75,163,35,3
地域別市郡部（計）,100.0,27.4,61.3,10.2,1.1,100.0,27.2,59.1,12.7,1.1
地域別多摩東部エリア,90,18,56,16,-,90,15,56,19,-
地域別多摩東部エリア,100.0,20.0,62.2,17.8,-,100.0,16.7,62.2,21.1,-
地域別多摩中央部北エリア,35,7,24,3,1,35,12,20,2,1
地域別多摩中央部北エリア,100.0,20.0,68.6,8.6,2.9,100.0,34.3,57.1,5.7,2.9
地域別多摩中央部南エリア,135,45,80,8,2,136,44,81,9,2
地域別多摩中央部南エリア,100.0,33.3,59.3,5.9,1.5,100.0,32.4,59.6,6.6,1.5
地域別多摩西部エリア,14,5,8,1,-,15,4,6,5,-
地域別多摩西部エリア,100.0,35.7,57.1,7.1,-,100.0,26.7,40.0,33.3,-
選挙への関心度別関心があった（計）,1023,244,694,81,4,1118,331,702,81,4
選挙への関心度別関心があった（計）,100.0,23.9,67.8,7.9,0.4,100.0,29.6,62.8,7.2,0.4
選挙への関心度別関心があった,507,158,310,37,2,605,220,341,41,3
選挙への関心度別関心があった,100.0,31.2,61.1,7.3,0.4,100.0,36.4,56.4,6.8,0.5
選挙への関心度別やや関心があった,516,86,384,44,2,513,111,361,40,1
選挙への関心度別やや関心があった,100.0,16.7,74.4,8.5,0.4,100.0,21.6,70.4,7.8,0.2
選挙への関心度別関心がなかった（計）,60,-,31,26,3,41,3,17,19,2
選挙への関心度別関心がなかった（計）,100.0,-,51.7,43.3,5.0,100.0,7.3,41.5,46.3,4.9
選挙への関心度別あまり関心がなかった,49,-,26,21,2,32,2,14,14,2
選挙への関心度別あまり関心がなかった,100.0,-,53.1,42.9,4.1,100.0,6.3,43.8,43.8,6.3
選挙への関心度別関心がなかった,11,-,5,5,1,9,1,3,5,-
選挙への関心度別関心がなかった,100.0,-,45.5,45.5,9.1,100.0,11.1,33.3,55.6,-
選挙への関心度別どちらともいえない,143,19,87,36,1,95,16,57,22,-
選挙への関心度別どちらともいえない,100.0,13.3,60.8,25.2,0.7,100.0,16.8,60.0,23.2,-
選挙への関心度別わからない,-,-,-,-,-,-,-,-,-,-
選挙への関心度別わからない,-,-,-,-,-,-,-,-,-,-
投票への意識別投票するべき（計）,1121,257,756,105,3,1134,333,716,83,2
投票への意識別投票するべき（計）,100.0,22.9,67.4,9.4,0.3,100.0,29.4,63.1,7.3,0.2
投票への意識別必ず投票するべき,496,144,308,41,3,508,193,283,30,2
投票への意識別必ず投票するべき,100.0,29.0,62.1,8.3,0.6,100.0,38.0,55.7,5.9,0.4
投票への意識別可能な限り投票するべき,625,113,448,64,-,626,140,433,53,-
投票への意識別可能な限り投票するべき,100.0,18.1,71.7,10.2,-,100.0,22.4,69.2,8.5,-
投票への意識別投票するのもしないのも自由,98,6,54,35,3,112,17,58,35,2
投票への意識別投票するのもしないのも自由,100.0,6.1,55.1,35.7,3.1,100.0,15.2,51.8,31.3,1.8
投票への意識別その他,-,-,-,-,-,-,-,-,-,-
投票への意識別その他,-,-,-,-,-,-,-,-,-,-
投票への意識別わからない,7,-,2,3,2,8,-,2,4,2
投票への意識別わからない,100.0,-,28.6,42.9,28.6,100.0,-,25.0,50.0,25.0
投票への参加状況別投票した（計）,1226,263,812,143,8,1254,350,776,122,6
投票への参加状況別投票した（計）,100.0,21.5,66.2,11.7,0.7,100.0,27.9,61.9,9.7,0.5
投票への参加状況別投票日に投票した,1226,263,812,143,8,1254,350,776,122,6
投票への参加状況別投票日に投票した,100.0,21.5,66.2,11.7,0.7,100.0,27.9,61.9,9.7,0.5
投票への参加状況別期日前投票（又は不在者投票等）をした,-,-,-,-,-,-,-,-,-,-
投票への参加状況別期日前投票（又は不在者投票等）をした,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票しなかった,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票しなかった,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-
新聞の定期購読別定期購読している,930,227,626,77,-,954,292,599,62,1
新聞の定期購読別定期購読している,100.0,24.4,67.3,8.3,-,100.0,30.6,62.8,6.5,0.1
新聞の定期購読別定期購読していない,296,36,186,66,8,300,58,177,60,5
新聞の定期購読別定期購読していない,100.0,12.2,62.8,22.3,2.7,100.0,19.3,59.0,20.0,1.7
インターネットの利用有無別インターネットを利用している,695,101,500,89,5,698,162,453,79,4
インターネットの利用有無別インターネットを利用している,100.0,14.5,71.9,12.8,0.7,100.0,23.2,64.9,11.3,0.6
インターネットの利用有無別インターネットを利用していない,531,162,312,54,3,556,188,323,43,2
インターネットの利用有無別インターネットを利用していない,100.0,30.5,58.8,10.2,0.6,100.0,33.8,58.1,7.7,0.4
