,参議院議員選挙/調査数,参議院議員選挙/旅行に出かけていたから,参議院議員選挙/投票日を忘れていたから、知らなかったから,参議院議員選挙/投票所へ行くのが面倒だったから,参議院議員選挙/投票所が遠かった（不便だった、わからなかった）から,参議院議員選挙/適当な候補者がいなかったから,参議院議員選挙/候補者の人柄や政策がわからなかったから,参議院議員選挙/政治や選挙には関心がないから,参議院議員選挙/仕事が忙しく、時間がなかったから,参議院議員選挙/病気（看病を含む）又は体調が悪かったから,参議院議員選挙/選挙によって政治や暮らしが良くなるわけではないから,参議院議員選挙/自分一人が投票しなくても選挙の結果に影響がないから,参議院議員選挙/その他,参議院議員選挙/わからない、忘れた,東京都知事選挙/調査数,東京都知事選挙/旅行に出かけていたから,東京都知事選挙/投票日を忘れていたから、知らなかったから,東京都知事選挙/投票所へ行くのが面倒だったから,東京都知事選挙/投票所が遠かった（不便だった、わからなかった）から,東京都知事選挙/適当な候補者がいなかったから,東京都知事選挙/候補者の人柄や政策がわからなかったから,東京都知事選挙/政治や選挙には関心がないから,東京都知事選挙/仕事が忙しく、時間がなかったから,東京都知事選挙/病気（看病を含む）又は体調が悪かったから,東京都知事選挙/選挙によって政治や暮らしが良くなるわけではないから,東京都知事選挙/自分一人が投票しなくても選挙の結果に影響がないから,東京都知事選挙/その他,東京都知事選挙/わからない、忘れた
年齢別60歳代,100.0,7.5,2.5,2.5,-,17.5,5.0,5.0,12.5,42.5,7.5,15.0,-,-,100.0,-,3.3,6.7,-,10.0,3.3,6.7,13.3,43.3,10.0,20.0,-,-
年齢別70歳代,45,2,2,6,-,7,4,3,-,25,2,4,3,1,34,2,2,3,-,5,-,3,-,21,1,2,1,1
年齢別70歳代,100.0,4.4,4.4,13.3,-,15.6,8.9,6.7,-,55.6,4.4,8.9,6.7,2.2,100.0,5.9,5.9,8.8,-,14.7,-,8.8,-,61.8,2.9,5.9,2.9,2.9
年齢別80歳以上,33,-,2,3,4,-,-,1,-,26,-,-,1,2,32,-,2,3,4,-,-,1,-,26,-,-,-,2
年齢別80歳以上,100.0,-,6.1,9.1,12.1,-,-,3.0,-,78.8,-,-,3.0,6.1,100.0,-,6.3,9.4,12.5,-,-,3.1,-,81.3,-,-,-,6.3
性/年齢別男性18歳,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別男性18歳,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別男性19歳,4,-,-,1,-,-,-,1,3,-,-,-,-,-,4,-,-,1,-,-,-,1,3,-,-,-,-,-
性/年齢別男性19歳,100.0,-,-,25.0,-,-,-,25.0,75.0,-,-,-,-,-,100.0,-,-,25.0,-,-,-,25.0,75.0,-,-,-,-,-
性/年齢別男性20歳代,45,-,2,2,1,9,-,13,21,1,9,11,2,1,40,-,-,2,1,5,-,12,21,1,9,10,1,-
性/年齢別男性20歳代,100.0,-,4.4,4.4,2.2,20.0,-,28.9,46.7,2.2,20.0,24.4,4.4,2.2,100.0,-,-,5.0,2.5,12.5,-,30.0,52.5,2.5,22.5,25.0,2.5,-
性/年齢別男性30歳代,29,1,-,1,-,10,-,4,18,1,5,7,-,-,22,1,-,1,-,4,-,4,15,1,5,6,-,-
性/年齢別男性30歳代,100.0,3.4,-,3.4,-,34.5,-,13.8,62.1,3.4,17.2,24.1,-,-,100.0,4.5,-,4.5,-,18.2,-,18.2,68.2,4.5,22.7,27.3,-,-
性/年齢別男性40歳代,27,1,-,3,-,6,-,4,15,3,3,4,-,-,23,1,-,3,-,2,-,4,14,2,3,3,-,-
性/年齢別男性40歳代,100.0,3.7,-,11.1,-,22.2,-,14.8,55.6,11.1,11.1,14.8,-,-,100.0,4.3,-,13.0,-,8.7,-,17.4,60.9,8.7,13.0,13.0,-,-
性/年齢別男性50歳代,22,1,-,2,-,4,1,2,10,2,1,3,1,1,20,1,-,2,-,2,1,2,9,2,-,1,1,2
性/年齢別男性50歳代,100.0,4.5,-,9.1,-,18.2,4.5,9.1,45.5,9.1,4.5,13.6,4.5,4.5,100.0,5.0,-,10.0,-,10.0,5.0,10.0,45.0,10.0,-,5.0,5.0,10.0
性/年齢別男性60歳代,14,1,-,1,-,2,-,2,4,4,2,2,-,-,13,-,-,2,-,1,-,2,4,4,2,2,-,-
性/年齢別男性60歳代,100.0,7.1,-,7.1,-,14.3,-,14.3,28.6,28.6,14.3,14.3,-,-,100.0,-,-,15.4,-,7.7,-,15.4,30.8,30.8,15.4,15.4,-,-
性/年齢別男性70歳代,15,1,2,1,-,-,1,1,-,9,-,-,1,-,12,1,2,1,-,-,-,1,-,8,-,-,-,-
性/年齢別男性70歳代,100.0,6.7,13.3,6.7,-,-,6.7,6.7,-,60.0,-,-,6.7,-,100.0,8.3,16.7,8.3,-,-,-,8.3,-,66.7,-,-,-,-
性/年齢別男性80歳以上,17,-,1,2,2,-,-,1,-,13,-,-,1,-,16,-,1,2,2,-,-,1,-,13,-,-,-,-
性/年齢別男性80歳以上,100.0,-,5.9,11.8,11.8,-,-,5.9,-,76.5,-,-,5.9,-,100.0,-,6.3,12.5,12.5,-,-,6.3,-,81.3,-,-,-,-
性/年齢別女性18歳,1,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
性/年齢別女性18歳,100.0,-,-,100.0,-,-,-,-,-,-,-,-,-,-,100.0,-,-,100.0,-,-,-,-,-,-,-,-,-,-
性/年齢別女性19歳,6,1,-,1,-,-,-,3,2,-,1,-,-,-,5,1,-,-,-,-,-,3,2,-,1,-,-,-
性/年齢別女性19歳,100.0,16.7,-,16.7,-,-,-,50.0,33.3,-,16.7,-,-,-,100.0,20.0,-,-,-,-,-,60.0,40.0,-,20.0,-,-,-
性/年齢別女性20歳代,30,1,4,4,1,2,1,8,13,-,5,8,-,-,28,1,3,4,1,2,1,8,12,-,5,6,-,-
性/年齢別女性20歳代,100.0,3.3,13.3,13.3,3.3,6.7,3.3,26.7,43.3,-,16.7,26.7,-,-,100.0,3.6,10.7,14.3,3.6,7.1,3.6,28.6,42.9,-,17.9,21.4,-,-
性/年齢別女性30歳代,29,2,2,3,1,6,2,4,13,2,4,3,1,-,25,1,2,3,1,1,-,5,14,1,4,5,1,-
性/年齢別女性30歳代,100.0,6.9,6.9,10.3,3.4,20.7,6.9,13.8,44.8,6.9,13.8,10.3,3.4,-,100.0,4.0,8.0,12.0,4.0,4.0,-,20.0,56.0,4.0,16.0,20.0,4.0,-
性/年齢別女性40歳代,41,3,1,4,-,9,2,5,21,4,6,8,3,2,36,1,1,4,-,4,-,5,18,5,7,6,4,1
性/年齢別女性40歳代,100.0,7.3,2.4,9.8,-,22.0,4.9,12.2,51.2,9.8,14.6,19.5,7.3,4.9,100.0,2.8,2.8,11.1,-,11.1,-,13.9,50.0,13.9,19.4,16.7,11.1,2.8
性/年齢別女性50歳代,25,1,1,1,1,8,2,3,10,3,3,4,-,-,21,2,2,1,1,3,1,3,9,2,3,2,-,-
性/年齢別女性50歳代,100.0,4.0,4.0,4.0,4.0,32.0,8.0,12.0,40.0,12.0,12.0,16.0,-,-,100.0,9.5,9.5,4.8,4.8,14.3,4.8,14.3,42.9,9.5,14.3,9.5,-,-
性/年齢別女性60歳代,26,2,1,-,-,5,2,-,1,13,1,4,-,-,17,-,1,-,-,2,1,-,-,9,1,4,-,-
性/年齢別女性60歳代,100.0,7.7,3.8,-,-,19.2,7.7,-,3.8,50.0,3.8,15.4,-,-,100.0,-,5.9,-,-,11.8,5.9,-,-,52.9,5.9,23.5,-,-
性/年齢別女性70歳代,30,1,-,5,-,7,3,2,-,16,2,4,2,1,22,1,-,2,-,5,-,2,-,13,1,2,1,1
性/年齢別女性70歳代,100.0,3.3,-,16.7,-,23.3,10.0,6.7,-,53.3,6.7,13.3,6.7,3.3,100.0,4.5,-,9.1,-,22.7,-,9.1,-,59.1,4.5,9.1,4.5,4.5
性/年齢別女性80歳以上,16,-,1,1,2,-,-,-,-,13,-,-,-,2,16,-,1,1,2,-,-,-,-,13,-,-,-,2
性/年齢別女性80歳以上,100.0,-,6.3,6.3,12.5,-,-,-,-,81.3,-,-,-,12.5,100.0,-,6.3,6.3,12.5,-,-,-,-,81.3,-,-,-,12.5
未・既婚別未婚,127,2,8,14,3,21,3,35,61,3,24,29,2,-,119,3,5,13,3,12,1,34,61,3,25,27,2,1
未・既婚別未婚,100.0,1.6,6.3,11.0,2.4,16.5,2.4,27.6,48.0,2.4,18.9,22.8,1.6,-,100.0,2.5,4.2,10.9,2.5,10.1,0.8,28.6,51.3,2.5,21.0,22.7,1.7,0.8
未・既婚別既婚（死別・離別を含む）,250,14,7,19,5,47,11,18,70,81,18,29,9,7,202,8,8,17,5,19,3,19,60,71,16,20,6,5
未・既婚別既婚（死別・離別を含む）,100.0,5.6,2.8,7.6,2.0,18.8,4.4,7.2,28.0,32.4,7.2,11.6,3.6,2.8,100.0,4.0,4.0,8.4,2.5,9.4,1.5,9.4,29.7,35.1,7.9,9.9,3.0,2.5
子供の有無別子供はいない,140,3,8,14,3,27,3,37,65,5,24,32,2,1,129,3,5,13,3,13,1,37,65,5,25,28,3,1
子供の有無別子供はいない,100.0,2.1,5.7,10.0,2.1,19.3,2.1,26.4,46.4,3.6,17.1,22.9,1.4,0.7,100.0,2.3,3.9,10.1,2.3,10.1,0.8,28.7,50.4,3.9,19.4,21.7,2.3,0.8
子供の有無別未就学（～６歳）,19,-,1,3,-,2,1,1,8,3,1,2,3,1,17,-,1,3,-,3,-,1,7,2,1,3,2,-
子供の有無別未就学（～６歳）,100.0,-,5.3,15.8,-,10.5,5.3,5.3,42.1,15.8,5.3,10.5,15.8,5.3,100.0,-,5.9,17.6,-,17.6,-,5.9,41.2,11.8,5.9,17.6,11.8,-
子供の有無別小・中・高校生,71,6,-,6,-,16,2,8,37,6,6,10,3,3,52,3,-,6,-,4,-,8,29,5,6,7,2,2
子供の有無別小・中・高校生,100.0,8.5,-,8.5,-,22.5,2.8,11.3,52.1,8.5,8.5,14.1,4.2,4.2,100.0,5.8,-,11.5,-,7.7,-,15.4,55.8,9.6,11.5,13.5,3.8,3.8
子供の有無別大学生・大学院生・短大生・専門学校生,19,1,1,2,-,3,1,2,7,2,2,4,1,-,18,1,2,2,-,2,1,2,7,2,1,2,1,-
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,5.3,5.3,10.5,-,15.8,5.3,10.5,36.8,10.5,10.5,21.1,5.3,-,100.0,5.6,11.1,11.1,-,11.1,5.6,11.1,38.9,11.1,5.6,11.1,5.6,-
子供の有無別学校教育終了,136,7,5,10,5,21,7,6,18,68,9,11,4,3,114,5,5,8,5,10,2,6,17,60,8,8,2,3
子供の有無別学校教育終了,100.0,5.1,3.7,7.4,3.7,15.4,5.1,4.4,13.2,50.0,6.6,8.1,2.9,2.2,100.0,4.4,4.4,7.0,4.4,8.8,1.8,5.3,14.9,52.6,7.0,7.0,1.8,2.6
子供の有無別その他,8,-,-,-,-,1,1,1,1,2,-,1,1,-,5,-,-,-,-,1,-,1,-,2,-,1,-,-
子供の有無別その他,100.0,-,-,-,-,12.5,12.5,12.5,12.5,25.0,-,12.5,12.5,-,100.0,-,-,-,-,20.0,-,20.0,-,40.0,-,20.0,-,-
職業別自営業（計）,12,2,1,-,-,3,-,-,6,-,1,2,-,-,7,2,-,-,-,-,-,-,4,-,1,1,-,-
職業別自営業（計）,100.0,16.7,8.3,-,-,25.0,-,-,50.0,-,8.3,16.7,-,-,100.0,28.6,-,-,-,-,-,-,57.1,-,14.3,14.3,-,-
職業別農林漁業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
職業別農林漁業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
職業別商工・サービス業,5,-,-,-,-,1,-,-,4,-,1,1,-,-,3,-,-,-,-,-,-,-,2,-,1,1,-,-
職業別商工・サービス業,100.0,-,-,-,-,20.0,-,-,80.0,-,20.0,20.0,-,-,100.0,-,-,-,-,-,-,-,66.7,-,33.3,33.3,-,-
職業別その他自由業,7,2,1,-,-,2,-,-,2,-,-,1,-,-,4,2,-,-,-,-,-,-,2,-,-,-,-,-
職業別その他自由業,100.0,28.6,14.3,-,-,28.6,-,-,28.6,-,-,14.3,-,-,100.0,50.0,-,-,-,-,-,-,50.0,-,-,-,-,-
職業別お勤め（計）,193,7,6,17,4,41,5,34,110,8,25,34,3,3,168,5,5,16,4,18,2,33,104,6,25,29,4,2
職業別お勤め（計）,100.0,3.6,3.1,8.8,2.1,21.2,2.6,17.6,57.0,4.1,13.0,17.6,1.6,1.6,100.0,3.0,3.0,9.5,2.4,10.7,1.2,19.6,61.9,3.6,14.9,17.3,2.4,1.2
職業別経営・管理職,12,1,-,-,-,3,-,-,8,2,1,1,1,-,10,1,-,-,-,1,-,-,6,2,1,1,1,-
職業別経営・管理職,100.0,8.3,-,-,-,25.0,-,-,66.7,16.7,8.3,8.3,8.3,-,100.0,10.0,-,-,-,10.0,-,-,60.0,20.0,10.0,10.0,10.0,-
職業別専門職・技術職,37,1,-,3,-,10,1,11,21,-,3,7,-,-,37,-,-,3,-,6,1,10,21,-,4,6,2,1
職業別専門職・技術職,100.0,2.7,-,8.1,-,27.0,2.7,29.7,56.8,-,8.1,18.9,-,-,100.0,-,-,8.1,-,16.2,2.7,27.0,56.8,-,10.8,16.2,5.4,2.7
職業別事務職,54,3,5,7,2,12,4,6,24,4,8,9,2,2,38,3,4,7,2,3,1,6,20,2,7,8,1,-
職業別事務職,100.0,5.6,9.3,13.0,3.7,22.2,7.4,11.1,44.4,7.4,14.8,16.7,3.7,3.7,100.0,7.9,10.5,18.4,5.3,7.9,2.6,15.8,52.6,5.3,18.4,21.1,2.6,-
職業別労務職・技能職,11,-,-,-,-,1,-,2,9,1,4,3,-,-,10,-,-,-,-,1,-,2,8,1,4,3,-,-
職業別労務職・技能職,100.0,-,-,-,-,9.1,-,18.2,81.8,9.1,36.4,27.3,-,-,100.0,-,-,-,-,10.0,-,20.0,80.0,10.0,40.0,30.0,-,-
職業別販売・サービス職,79,2,1,7,2,15,-,15,48,1,9,14,-,1,73,1,1,6,2,7,-,15,49,1,9,11,-,1
職業別販売・サービス職,100.0,2.5,1.3,8.9,2.5,19.0,-,19.0,60.8,1.3,11.4,17.7,-,1.3,100.0,1.4,1.4,8.2,2.7,9.6,-,20.5,67.1,1.4,12.3,15.1,-,1.4
職業別その他（計）,172,7,8,16,4,24,9,19,15,76,16,22,8,4,146,4,8,14,4,13,2,20,13,68,15,17,4,4
職業別その他（計）,100.0,4.1,4.7,9.3,2.3,14.0,5.2,11.0,8.7,44.2,9.3,12.8,4.7,2.3,100.0,2.7,5.5,9.6,2.7,8.9,1.4,13.7,8.9,46.6,10.3,11.6,2.7,2.7
職業別生徒・学生,20,1,1,2,-,-,-,8,4,-,5,6,2,-,19,1,-,2,-,-,-,8,5,-,5,5,1,-
職業別生徒・学生,100.0,5.0,5.0,10.0,-,-,-,40.0,20.0,-,25.0,30.0,10.0,-,100.0,5.3,-,10.5,-,-,-,42.1,26.3,-,26.3,26.3,5.3,-
職業別専業主婦（夫）,54,3,3,4,-,15,6,4,6,16,6,7,3,2,40,1,3,4,-,7,2,5,3,12,6,5,3,2
職業別専業主婦（夫）,100.0,5.6,5.6,7.4,-,27.8,11.1,7.4,11.1,29.6,11.1,13.0,5.6,3.7,100.0,2.5,7.5,10.0,-,17.5,5.0,12.5,7.5,30.0,15.0,12.5,7.5,5.0
職業別その他,6,-,-,-,-,-,-,2,3,1,-,1,-,-,6,-,-,-,-,-,-,2,3,1,-,1,-,-
職業別その他,100.0,-,-,-,-,-,-,33.3,50.0,16.7,-,16.7,-,-,100.0,-,-,-,-,-,-,33.3,50.0,16.7,-,16.7,-,-
職業別無職（年金受給者含む）,92,3,4,10,4,9,3,5,2,59,5,8,3,2,81,2,5,8,4,6,-,5,2,55,4,6,-,2
職業別無職（年金受給者含む）,100.0,3.3,4.3,10.9,4.3,9.8,3.3,5.4,2.2,64.1,5.4,8.7,3.3,2.2,100.0,2.5,6.2,9.9,4.9,7.4,-,6.2,2.5,67.9,4.9,7.4,-,2.5
投票所までの時間別５分以内,72,4,2,3,-,9,1,13,26,15,11,17,4,-,60,2,2,3,-,4,1,14,24,11,11,15,2,-
投票所までの時間別５分以内,100.0,5.6,2.8,4.2,-,12.5,1.4,18.1,36.1,20.8,15.3,23.6,5.6,-,100.0,3.3,3.3,5.0,-,6.7,1.7,23.3,40.0,18.3,18.3,25.0,3.3,-
投票所までの時間別10分以内,221,12,8,17,2,48,11,33,86,40,27,38,6,2,183,9,6,16,2,16,2,32,78,37,26,31,4,1
投票所までの時間別10分以内,100.0,5.4,3.6,7.7,0.9,21.7,5.0,14.9,38.9,18.1,12.2,17.2,2.7,0.9,100.0,4.9,3.3,8.7,1.1,8.7,1.1,17.5,42.6,20.2,14.2,16.9,2.2,0.5
投票所までの時間別20分以内,66,-,4,11,5,9,2,6,11,28,2,2,1,2,60,-,4,9,5,9,1,6,11,25,2,-,2,2
投票所までの時間別20分以内,100.0,-,6.1,16.7,7.6,13.6,3.0,9.1,16.7,42.4,3.0,3.0,1.5,3.0,100.0,-,6.7,15.0,8.3,15.0,1.7,10.0,18.3,41.7,3.3,-,3.3,3.3
投票所までの時間別30分以内,8,-,-,-,-,-,-,1,3,1,1,1,-,2,8,-,-,-,-,-,-,1,3,1,1,1,-,2
投票所までの時間別30分以内,100.0,-,-,-,-,-,-,12.5,37.5,12.5,12.5,12.5,-,25.0,100.0,-,-,-,-,-,-,12.5,37.5,12.5,12.5,12.5,-,25.0
投票所までの時間別30分を超える,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票所までの時間別30分を超える,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票所までの時間別わからない,10,-,1,2,1,2,-,-,5,-,1,-,-,1,10,-,1,2,1,2,-,-,5,-,1,-,-,1
投票所までの時間別わからない,100.0,-,10.0,20.0,10.0,20.0,-,-,50.0,-,10.0,-,-,10.0,100.0,-,10.0,20.0,10.0,20.0,-,-,50.0,-,10.0,-,-,10.0
地域別区部（計）,283,12,14,32,5,56,12,47,97,61,37,49,5,5,241,7,12,29,5,26,3,47,89,52,37,38,4,4
地域別区部（計）,100.0,4.2,4.9,11.3,1.8,19.8,4.2,16.6,34.3,21.6,13.1,17.3,1.8,1.8,100.0,2.9,5.0,12.0,2.1,10.8,1.2,19.5,36.9,21.6,15.4,15.8,1.7,1.7
地域別センターコア,80,4,4,9,1,10,1,15,27,21,11,13,-,4,68,1,3,8,1,4,-,16,28,16,10,10,-,3
地域別センターコア,100.0,5.0,5.0,11.3,1.3,12.5,1.3,18.8,33.8,26.3,13.8,16.3,-,5.0,100.0,1.5,4.4,11.8,1.5,5.9,-,23.5,41.2,23.5,14.7,14.7,-,4.4
地域別区部東部・北部エリア,78,3,4,8,3,17,5,13,23,17,12,20,3,-,60,1,4,7,3,7,-,13,18,14,12,15,1,-
地域別区部東部・北部エリア,100.0,3.8,5.1,10.3,3.8,21.8,6.4,16.7,29.5,21.8,15.4,25.6,3.8,-,100.0,1.7,6.7,11.7,5.0,11.7,-,21.7,30.0,23.3,20.0,25.0,1.7,-
地域別区部西部・南部エリア,125,5,6,15,1,29,6,19,47,23,14,16,2,1,113,5,5,14,1,15,3,18,43,22,15,13,3,1
地域別区部西部・南部エリア,100.0,4.0,4.8,12.0,0.8,23.2,4.8,15.2,37.6,18.4,11.2,12.8,1.6,0.8,100.0,4.4,4.4,12.4,0.9,13.3,2.7,15.9,38.1,19.5,13.3,11.5,2.7,0.9
地域別市郡部（計）,94,4,1,1,3,12,2,6,34,23,5,9,6,2,80,4,1,1,3,5,1,6,32,22,4,9,4,2
地域別市郡部（計）,100.0,4.3,1.1,1.1,3.2,12.8,2.1,6.4,36.2,24.5,5.3,9.6,6.4,2.1,100.0,5.0,1.3,1.3,3.8,6.3,1.3,7.5,40.0,27.5,5.0,11.3,5.0,2.5
地域別多摩東部エリア,26,-,-,-,-,5,-,2,8,3,3,3,4,1,19,-,-,-,-,1,-,2,6,3,3,3,3,1
地域別多摩東部エリア,100.0,-,-,-,-,19.2,-,7.7,30.8,11.5,11.5,11.5,15.4,3.8,100.0,-,-,-,-,5.3,-,10.5,31.6,15.8,15.8,15.8,15.8,5.3
地域別多摩中央部北エリア,14,1,1,-,-,2,-,2,7,2,1,1,1,-,11,1,1,-,-,-,-,2,6,1,1,1,1,1
地域別多摩中央部北エリア,100.0,7.1,7.1,-,-,14.3,-,14.3,50.0,14.3,7.1,7.1,7.1,-,100.0,9.1,9.1,-,-,-,-,18.2,54.5,9.1,9.1,9.1,9.1,9.1
地域別多摩中央部南エリア,39,1,-,1,3,5,2,1,13,12,-,4,1,1,36,2,-,1,3,4,1,1,13,12,-,5,-,-
地域別多摩中央部南エリア,100.0,2.6,-,2.6,7.7,12.8,5.1,2.6,33.3,30.8,-,10.3,2.6,2.6,100.0,5.6,-,2.8,8.3,11.1,2.8,2.8,36.1,33.3,-,13.9,-,-
地域別多摩西部エリア,15,2,-,-,-,-,-,1,6,6,1,1,-,-,14,1,-,-,-,-,-,1,7,6,-,-,-,-
地域別多摩西部エリア,100.0,13.3,-,-,-,-,-,6.7,40.0,40.0,6.7,6.7,-,-,100.0,7.1,-,-,-,-,-,7.1,50.0,42.9,-,-,-,-
選挙への関心度別関心があった（計）,74,1,1,2,-,12,1,3,27,29,-,5,5,1,83,4,3,3,1,4,-,2,37,28,1,5,4,1
選挙への関心度別関心があった（計）,100.0,1.4,1.4,2.7,-,16.2,1.4,4.1,36.5,39.2,-,6.8,6.8,1.4,100.0,4.8,3.6,3.6,1.2,4.8,-,2.4,44.6,33.7,1.2,6.0,4.8,1.2
選挙への関心度別関心があった,25,-,-,-,-,1,1,1,6,11,-,2,5,-,30,1,-,-,-,2,-,1,11,12,1,3,2,-
選挙への関心度別関心があった,100.0,-,-,-,-,4.0,4.0,4.0,24.0,44.0,-,8.0,20.0,-,100.0,3.3,-,-,-,6.7,-,3.3,36.7,40.0,3.3,10.0,6.7,-
選挙への関心度別やや関心があった,49,1,1,2,-,11,-,2,21,18,-,3,-,1,53,3,3,3,1,2,-,1,26,16,-,2,2,1
選挙への関心度別やや関心があった,100.0,2.0,2.0,4.1,-,22.4,-,4.1,42.9,36.7,-,6.1,-,2.0,100.0,5.7,5.7,5.7,1.9,3.8,-,1.9,49.1,30.2,-,3.8,3.8,1.9
選挙への関心度別関心がなかった（計）,151,6,6,12,4,15,3,36,51,26,30,40,4,2,126,3,4,11,3,12,1,35,43,21,28,32,3,2
選挙への関心度別関心がなかった（計）,100.0,4.0,4.0,7.9,2.6,9.9,2.0,23.8,33.8,17.2,19.9,26.5,2.6,1.3,100.0,2.4,3.2,8.7,2.4,9.5,0.8,27.8,34.1,16.7,22.2,25.4,2.4,1.6
