,参議院議員選挙/調査数,参議院議員選挙/候補者等の政策や人柄について、これまでより簡単に大量の情報を得ることができた,参議院議員選挙/選挙に関する情報がリアルタイムで得ることができた,参議院議員選挙/さほど効果や影響があるとは思わない,参議院議員選挙/選挙への関心が高まった,参議院議員選挙/ビラやはがきが減った,参議院議員選挙/候補者になりすましたり偽名を使った不正な情報が氾濫した,参議院議員選挙/ひぼう中傷やデマが横行した,参議院議員選挙/インターネットを使わない人にとって不利になった,参議院議員選挙/その他,参議院議員選挙/わからない,東京都知事選挙/調査数,東京都知事選挙/候補者等の政策や人柄について、これまでより簡単に大量の情報を得ることができた,東京都知事選挙/選挙に関する情報がリアルタイムで得ることができた,東京都知事選挙/さほど効果や影響があるとは思わない,東京都知事選挙/選挙への関心が高まった,東京都知事選挙/ビラやはがきが減った,東京都知事選挙/候補者になりすましたり偽名を使った不正な情報が氾濫した,東京都知事選挙/ひぼう中傷やデマが横行した,東京都知事選挙/インターネットを使わない人にとって不利になった,東京都知事選挙/その他,東京都知事選挙/わからない
未・既婚別未婚,100.0,23.9,19.1,34.3,10.4,10.9,-,6.5,11.3,0.4,20.4,,,,,,,,,,,
未・既婚別既婚（死別・離別を含む）,1286,255,215,362,102,166,9,44,125,5,448,,,,,,,,,,,
未・既婚別既婚（死別・離別を含む）,100.0,19.8,16.7,28.1,7.9,12.9,0.7,3.4,9.7,0.4,34.8,,,,,,,,,,,
子供の有無別子供はいない,282,82,70,81,42,29,1,19,35,1,60,,,,,,,,,,,
子供の有無別子供はいない,100.0,29.1,24.8,28.7,14.9,10.3,0.4,6.7,12.4,0.4,21.3,,,,,,,,,,,
子供の有無別未就学（～６歳）,100,38,29,19,15,18,3,9,13,-,24,,,,,,,,,,,
子供の有無別未就学（～６歳）,100.0,38.0,29.0,19.0,15.0,18.0,3.0,9.0,13.0,-,24.0,,,,,,,,,,,
子供の有無別小・中・高校生,344,88,88,111,35,56,2,12,29,2,76,,,,,,,,,,,
子供の有無別小・中・高校生,100.0,25.6,25.6,32.3,10.2,16.3,0.6,3.5,8.4,0.6,22.1,,,,,,,,,,,
子供の有無別大学生・大学院生・短大生・専門学校生,128,29,24,47,11,15,1,5,12,2,30,,,,,,,,,,,
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,22.7,18.8,36.7,8.6,11.7,0.8,3.9,9.4,1.6,23.4,,,,,,,,,,,
子供の有無別学校教育終了,677,85,59,196,30,74,2,16,68,3,288,,,,,,,,,,,
子供の有無別学校教育終了,100.0,12.6,8.7,29.0,4.4,10.9,0.3,2.4,10.0,0.4,42.5,,,,,,,,,,,
子供の有無別その他,55,7,5,9,2,6,1,1,1,-,33,,,,,,,,,,,
子供の有無別その他,100.0,12.7,9.1,16.4,3.6,10.9,1.8,1.8,1.8,-,60.0,,,,,,,,,,,
職業別自営業（計）,125,36,25,35,15,19,-,3,14,1,30,,,,,,,,,,,
職業別自営業（計）,100.0,28.8,20.0,28.0,12.0,15.2,-,2.4,11.2,0.8,24.0,,,,,,,,,,,
職業別農林漁業,1,1,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
職業別農林漁業,100.0,100.0,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
職業別商工・サービス業,38,8,6,12,6,5,-,1,5,1,10,,,,,,,,,,,
職業別商工・サービス業,100.0,21.1,15.8,31.6,15.8,13.2,-,2.6,13.2,2.6,26.3,,,,,,,,,,,
職業別その他自由業,86,27,19,23,9,14,-,2,9,-,20,,,,,,,,,,,
職業別その他自由業,100.0,31.4,22.1,26.7,10.5,16.3,-,2.3,10.5,-,23.3,,,,,,,,,,,
職業別お勤め（計）,662,193,179,185,73,110,5,41,77,2,145,,,,,,,,,,,
職業別お勤め（計）,100.0,29.2,27.0,27.9,11.0,16.6,0.8,6.2,11.6,0.3,21.9,,,,,,,,,,,
職業別経営・管理職,65,25,27,13,5,17,-,4,12,-,11,,,,,,,,,,,
職業別経営・管理職,100.0,38.5,41.5,20.0,7.7,26.2,-,6.2,18.5,-,16.9,,,,,,,,,,,
職業別専門職・技術職,164,52,59,46,21,26,3,14,17,-,27,,,,,,,,,,,
職業別専門職・技術職,100.0,31.7,36.0,28.0,12.8,15.9,1.8,8.5,10.4,-,16.5,,,,,,,,,,,
職業別事務職,183,60,50,56,23,25,1,8,16,1,38,,,,,,,,,,,
職業別事務職,100.0,32.8,27.3,30.6,12.6,13.7,0.5,4.4,8.7,0.5,20.8,,,,,,,,,,,
職業別労務職・技能職,51,15,7,14,4,11,-,3,10,-,11,,,,,,,,,,,
職業別労務職・技能職,100.0,29.4,13.7,27.5,7.8,21.6,-,5.9,19.6,-,21.6,,,,,,,,,,,
職業別販売・サービス職,199,41,36,56,20,31,1,12,22,1,58,,,,,,,,,,,
職業別販売・サービス職,100.0,20.6,18.1,28.1,10.1,15.6,0.5,6.0,11.1,0.5,29.1,,,,,,,,,,,
職業別その他（計）,729,81,55,221,38,62,4,15,60,3,320,,,,,,,,,,,
職業別その他（計）,100.0,11.1,7.5,30.3,5.2,8.5,0.5,2.1,8.2,0.4,43.9,,,,,,,,,,,
職業別生徒・学生,28,8,2,13,5,1,-,1,-,-,4,,,,,,,,,,,
職業別生徒・学生,100.0,28.6,7.1,46.4,17.9,3.6,-,3.6,-,-,14.3,,,,,,,,,,,
職業別専業主婦（夫）,360,45,41,119,16,37,4,11,36,3,133,,,,,,,,,,,
職業別専業主婦（夫）,100.0,12.5,11.4,33.1,4.4,10.3,1.1,3.1,10.0,0.8,36.9,,,,,,,,,,,
職業別その他,19,4,1,4,3,1,-,1,1,-,9,,,,,,,,,,,
職業別その他,100.0,21.1,5.3,21.1,15.8,5.3,-,5.3,5.3,-,47.4,,,,,,,,,,,
職業別無職（年金受給者含む）,322,24,11,85,14,23,-,2,23,-,174,,,,,,,,,,,
職業別無職（年金受給者含む）,100.0,7.5,3.4,26.4,4.3,7.1,-,0.6,7.1,-,54.0,,,,,,,,,,,
投票所までの時間別５分以内,379,114,82,81,38,55,3,21,37,2,129,379,114,82,81,38,55,3,21,37,2,129
投票所までの時間別５分以内,100.0,30.1,21.6,21.4,10.0,14.5,0.8,5.5,9.8,0.5,34.0,100.0,30.1,21.6,21.4,10.0,14.5,0.8,5.5,9.8,0.5,34.0
投票所までの時間別10分以内,890,167,155,280,67,113,5,33,84,3,271,890,167,155,280,67,113,5,33,84,3,271
投票所までの時間別10分以内,100.0,18.8,17.4,31.5,7.5,12.7,0.6,3.7,9.4,0.3,30.4,100.0,18.8,17.4,31.5,7.5,12.7,0.6,3.7,9.4,0.3,30.4
投票所までの時間別20分以内,231,26,18,75,18,22,1,3,29,1,91,231,26,18,75,18,22,1,3,29,1,91
投票所までの時間別20分以内,100.0,11.3,7.8,32.5,7.8,9.5,0.4,1.3,12.6,0.4,39.4,100.0,11.3,7.8,32.5,7.8,9.5,0.4,1.3,12.6,0.4,39.4
投票所までの時間別30分以内,12,3,3,5,2,1,-,2,-,-,2,12,3,3,5,2,1,-,2,-,-,2
投票所までの時間別30分以内,100.0,25.0,25.0,41.7,16.7,8.3,-,16.7,-,-,16.7,100.0,25.0,25.0,41.7,16.7,8.3,-,16.7,-,-,16.7
投票所までの時間別30分を超える,3,-,1,-,1,-,-,-,-,-,2,3,-,1,-,1,-,-,-,-,-,2
投票所までの時間別30分を超える,100.0,-,33.3,-,33.3,-,-,-,-,-,66.7,100.0,-,33.3,-,33.3,-,-,-,-,-,66.7
投票所までの時間別わからない,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,1,-,-
投票所までの時間別わからない,100.0,-,-,-,-,-,-,-,100.0,-,-,100.0,-,-,-,-,-,-,-,100.0,-,-
地域別区部（計）,1151,233,203,350,80,166,7,45,127,4,354,1151,233,203,350,80,166,7,45,127,4,354
地域別区部（計）,100.0,20.2,17.6,30.4,7.0,14.4,0.6,3.9,11.0,0.3,30.8,100.0,20.2,17.6,30.4,7.0,14.4,0.6,3.9,11.0,0.3,30.8
地域別センターコア,326,92,67,90,24,73,1,13,32,2,80,326,92,67,90,24,73,1,13,32,2,80
地域別センターコア,100.0,28.2,20.6,27.6,7.4,22.4,0.3,4.0,9.8,0.6,24.5,100.0,28.2,20.6,27.6,7.4,22.4,0.3,4.0,9.8,0.6,24.5
地域別区部東部・北部エリア,339,51,44,128,13,26,2,12,24,1,117,339,51,44,128,13,26,2,12,24,1,117
地域別区部東部・北部エリア,100.0,15.0,13.0,37.8,3.8,7.7,0.6,3.5,7.1,0.3,34.5,100.0,15.0,13.0,37.8,3.8,7.7,0.6,3.5,7.1,0.3,34.5
地域別区部西部・南部エリア,486,90,92,132,43,67,4,20,71,1,157,486,90,92,132,43,67,4,20,71,1,157
地域別区部西部・南部エリア,100.0,18.5,18.9,27.2,8.8,13.8,0.8,4.1,14.6,0.2,32.3,100.0,18.5,18.9,27.2,8.8,13.8,0.8,4.1,14.6,0.2,32.3
地域別市郡部（計）,365,77,56,91,46,25,2,14,24,2,141,365,77,56,91,46,25,2,14,24,2,141
地域別市郡部（計）,100.0,21.1,15.3,24.9,12.6,6.8,0.5,3.8,6.6,0.5,38.6,100.0,21.1,15.3,24.9,12.6,6.8,0.5,3.8,6.6,0.5,38.6
地域別多摩東部エリア,114,25,19,16,18,8,1,6,11,1,53,114,25,19,16,18,8,1,6,11,1,53
地域別多摩東部エリア,100.0,21.9,16.7,14.0,15.8,7.0,0.9,5.3,9.6,0.9,46.5,100.0,21.9,16.7,14.0,15.8,7.0,0.9,5.3,9.6,0.9,46.5
地域別多摩中央部北エリア,60,14,18,15,9,7,1,1,4,-,20,60,14,18,15,9,7,1,1,4,-,20
地域別多摩中央部北エリア,100.0,23.3,30.0,25.0,15.0,11.7,1.7,1.7,6.7,-,33.3,100.0,23.3,30.0,25.0,15.0,11.7,1.7,1.7,6.7,-,33.3
地域別多摩中央部南エリア,166,33,14,51,18,9,-,4,8,-,61,166,33,14,51,18,9,-,4,8,-,61
地域別多摩中央部南エリア,100.0,19.9,8.4,30.7,10.8,5.4,-,2.4,4.8,-,36.7,100.0,19.9,8.4,30.7,10.8,5.4,-,2.4,4.8,-,36.7
地域別多摩西部エリア,25,5,5,9,1,1,-,3,1,1,7,25,5,5,9,1,1,-,3,1,1,7
地域別多摩西部エリア,100.0,20.0,20.0,36.0,4.0,4.0,-,12.0,4.0,4.0,28.0,100.0,20.0,20.0,36.0,4.0,4.0,-,12.0,4.0,4.0,28.0
選挙への関心度別関心があった（計）,1226,270,221,359,115,166,8,49,116,5,388,1345,290,242,390,121,178,9,54,128,6,428
選挙への関心度別関心があった（計）,100.0,22.0,18.0,29.3,9.4,13.5,0.7,4.0,9.5,0.4,31.6,100.0,21.6,18.0,29.0,9.0,13.2,0.7,4.0,9.5,0.4,31.8
選挙への関心度別関心があった,612,123,106,162,70,65,5,28,67,4,215,740,156,139,199,82,76,6,30,79,4,258
選挙への関心度別関心があった,100.0,20.1,17.3,26.5,11.4,10.6,0.8,4.6,10.9,0.7,35.1,100.0,21.1,18.8,26.9,11.1,10.3,0.8,4.1,10.7,0.5,34.9
選挙への関心度別やや関心があった,614,147,115,197,45,101,3,21,49,1,173,605,134,103,191,39,102,3,24,49,2,170
選挙への関心度別やや関心があった,100.0,23.9,18.7,32.1,7.3,16.4,0.5,3.4,8.0,0.2,28.2,100.0,22.1,17.0,31.6,6.4,16.9,0.5,4.0,8.1,0.3,28.1
選挙への関心度別関心がなかった（計）,86,13,6,23,3,6,-,2,9,-,38,47,4,3,17,-,3,-,1,6,-,20
選挙への関心度別関心がなかった（計）,100.0,15.1,7.0,26.7,3.5,7.0,-,2.3,10.5,-,44.2,100.0,8.5,6.4,36.2,-,6.4,-,2.1,12.8,-,42.6
選挙への関心度別あまり関心がなかった,67,11,4,16,3,5,-,1,8,-,31,38,4,2,13,-,3,-,-,5,-,17
選挙への関心度別あまり関心がなかった,100.0,16.4,6.0,23.9,4.5,7.5,-,1.5,11.9,-,46.3,100.0,10.5,5.3,34.2,-,7.9,-,-,13.2,-,44.7
選挙への関心度別関心がなかった,19,2,2,7,-,1,-,1,1,-,7,9,-,1,4,-,-,-,1,1,-,3
選挙への関心度別関心がなかった,100.0,10.5,10.5,36.8,-,5.3,-,5.3,5.3,-,36.8,100.0,-,11.1,44.4,-,-,-,11.1,11.1,-,33.3
選挙への関心度別どちらともいえない,204,27,32,59,8,19,1,8,26,1,69,124,16,14,34,5,10,-,4,17,-,47
選挙への関心度別どちらともいえない,100.0,13.2,15.7,28.9,3.9,9.3,0.5,3.9,12.7,0.5,33.8,100.0,12.9,11.3,27.4,4.0,8.1,-,3.2,13.7,-,37.9
選挙への関心度別わからない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
選挙への関心度別わからない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別投票するべき（計）,1358,292,239,381,114,180,9,53,139,6,447,1366,293,239,386,114,181,9,53,139,6,449
投票への意識別投票するべき（計）,100.0,21.5,17.6,28.1,8.4,13.3,0.7,3.9,10.2,0.4,32.9,100.0,21.4,17.5,28.3,8.3,13.3,0.7,3.9,10.2,0.4,32.9
投票への意識別必ず投票するべき,590,115,103,173,57,73,3,22,61,4,197,608,115,103,181,58,74,3,27,65,4,200
投票への意識別必ず投票するべき,100.0,19.5,17.5,29.3,9.7,12.4,0.5,3.7,10.3,0.7,33.4,100.0,18.9,16.9,29.8,9.5,12.2,0.5,4.4,10.7,0.7,32.9
投票への意識別可能な限り投票するべき,768,177,136,208,57,107,6,31,78,2,250,758,178,136,205,56,107,6,26,74,2,249
投票への意識別可能な限り投票するべき,100.0,23.0,17.7,27.1,7.4,13.9,0.8,4.0,10.2,0.3,32.6,100.0,23.5,17.9,27.0,7.4,14.1,0.8,3.4,9.8,0.3,32.8
投票への意識別投票するのもしないのも自由,150,17,20,57,11,11,-,6,12,-,45,141,16,20,51,11,10,-,6,12,-,43
投票への意識別投票するのもしないのも自由,100.0,11.3,13.3,38.0,7.3,7.3,-,4.0,8.0,-,30.0,100.0,11.3,14.2,36.2,7.8,7.1,-,4.3,8.5,-,30.5
投票への意識別その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別わからない,8,1,-,3,1,-,-,-,-,-,3,9,1,-,4,1,-,-,-,-,-,3
投票への意識別わからない,100.0,12.5,-,37.5,12.5,-,-,-,-,-,37.5,100.0,11.1,-,44.4,11.1,-,-,-,-,-,33.3
投票への参加状況別投票した（計）,1435,293,238,426,119,186,8,56,150,6,463,1491,307,255,434,125,187,9,59,150,6,485
投票への参加状況別投票した（計）,100.0,20.4,16.6,29.7,8.3,13.0,0.6,3.9,10.5,0.4,32.3,100.0,20.6,17.1,29.1,8.4,12.5,0.6,4.0,10.1,0.4,32.5
投票への参加状況別投票日に投票した,1226,231,181,377,89,156,7,47,129,5,407,1254,235,182,387,86,160,8,47,127,5,419
投票への参加状況別投票日に投票した,100.0,18.8,14.8,30.8,7.3,12.7,0.6,3.8,10.5,0.4,33.2,100.0,18.7,14.5,30.9,6.9,12.8,0.6,3.7,10.1,0.4,33.4
投票への参加状況別期日前投票（又は不在者投票等）をした,209,62,57,49,30,30,1,9,21,1,56,237,72,73,47,39,27,1,12,23,1,66
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,29.7,27.3,23.4,14.4,14.4,0.5,4.3,10.0,0.5,26.8,100.0,30.4,30.8,19.8,16.5,11.4,0.4,5.1,9.7,0.4,27.8
投票への参加状況別投票しなかった,80,17,20,15,7,5,1,2,1,-,32,24,2,4,7,1,3,-,-,1,-,10
投票への参加状況別投票しなかった,100.0,21.3,25.0,18.8,8.8,6.3,1.3,2.5,1.3,-,40.0,100.0,8.3,16.7,29.2,4.2,12.5,-,-,4.2,-,41.7
投票への参加状況別答えたくない,1,-,1,-,-,-,-,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-
投票への参加状況別答えたくない,100.0,-,100.0,-,-,-,-,100.0,-,-,-,100.0,100.0,-,-,-,100.0,-,-,-,-,-
新聞の定期購読別定期購読している,1123,214,164,332,76,152,7,39,95,5,391,1123,214,164,332,76,152,7,39,95,5,391
新聞の定期購読別定期購読している,100.0,19.1,14.6,29.6,6.8,13.5,0.6,3.5,8.5,0.4,34.8,100.0,19.1,14.6,29.6,6.8,13.5,0.6,3.5,8.5,0.4,34.8
新聞の定期購読別定期購読していない,393,96,95,109,50,39,2,20,56,1,104,393,96,95,109,50,39,2,20,56,1,104
新聞の定期購読別定期購読していない,100.0,24.4,24.2,27.7,12.7,9.9,0.5,5.1,14.2,0.3,26.5,100.0,24.4,24.2,27.7,12.7,9.9,0.5,5.1,14.2,0.3,26.5
インターネットの利用有無別インターネットを利用している,882,275,241,270,95,144,7,52,90,2,164,882,275,241,270,95,144,7,52,90,2,164
インターネットの利用有無別インターネットを利用している,100.0,31.2,27.3,30.6,10.8,16.3,0.8,5.9,10.2,0.2,18.6,100.0,31.2,27.3,30.6,10.8,16.3,0.8,5.9,10.2,0.2,18.6
インターネットの利用有無別インターネットを利用していない,634,35,18,171,31,47,2,7,61,4,331,634,35,18,171,31,47,2,7,61,4,331
インターネットの利用有無別インターネットを利用していない,100.0,5.5,2.8,27,4.9,7.4,0.3,1.1,9.6,0.6,52.2,100.0,5.5,2.8,27.0,4.9,7.4,0.3,1.1,9.6,0.6,52.2
