,調査数,目にした,目にしなかった,4回以上,わからない、忘れた
職業別販売・サービス職（％）,100.0,42.2,52.3,5.1,0.4
職業別その他（計）実数,732,459,236,34,3
職業別その他（計）（％）,100.0,62.7,32.2,4.6,0.4
職業別生徒・学生実数,35,11,21,3,-
職業別生徒・学生（％）,100.0,31.4,60.0,8.6,-
職業別専業主婦（夫）実数,309,207,86,15,1
職業別専業主婦（夫）（％）,100.0,67.0,27.8,4.9,0.3
職業別その他実数,18,8,9,1,-
職業別その他（％）,100.0,44.4,50.0,5.6,-
職業別無職（年金受給者含む）実数,370,233,120,15,2
職業別無職（年金受給者含む）（％）,100.0,63.0,32.4,4.1,0.5
投票所までの時間別５分以内実数,712,403,268,39,2
投票所までの時間別５分以内（％）,100.0,56.6,37.6,5.5,0.3
投票所までの時間別10分以内実数,769,416,325,25,3
投票所までの時間別10分以内（％）,100.0,54.1,42.3,3.3,0.4
投票所までの時間別20分以内実数,245,138,88,19,-
投票所までの時間別20分以内（％）,100.0,56.3,35.9,7.8,-
投票所までの時間別30分以内実数,38,20,16,2,-
投票所までの時間別30分以内（％）,100.0,52.6,42.1,5.3,-
投票所までの時間別30分を超える実数,11,3,6,2,-
投票所までの時間別30分を超える（％）,100.0,27.3,54.5,18.2,-
投票所までの時間別わからない実数,48,11,34,2,1
投票所までの時間別わからない（％）,100.0,22.9,70.8,4.2,2.1
地域別区部（計）実数,1189,612,521,53,3
地域別区部（計）（％）,100.0,51.5,43.8,4.5,0.3
地域別センターコア実数,314,151,147,15,1
地域別センターコア（％）,100.0,48.1,46.8,4.8,0.3
地域別区部東部・北部エリア実数,382,198,165,19,-
地域別区部東部・北部エリア（％）,100.0,51.8,43.2,5.0,-
地域別区部西部・南部エリア実数,493,263,209,19,2
地域別区部西部・南部エリア（％）,100.0,53.3,42.4,3.9,0.4
地域別市郡部（計）実数,638,381,218,36,3
地域別市郡部（計）（％）,100.0,59.7,34.2,5.6,0.5
地域別多摩東部エリア実数,239,151,77,10,1
地域別多摩東部エリア（％）,100.0,63.2,32.2,4.2,0.4
地域別多摩中央部北エリア実数,89,56,31,2,-
地域別多摩中央部北エリア（％）,100.0,62.9,34.8,2.2,-
地域別多摩中央部南エリア実数,267,152,93,22,-
地域別多摩中央部南エリア（％）,100.0,56.9,34.8,8.2,-
地域別多摩西部エリア実数,43,22,17,2,2
地域別多摩西部エリア（％）,100.0,51.2,39.5,4.7,4.7
選挙への関心度別関心があった（計）実数,1084,719,320,41,4
選挙への関心度別関心があった（計）（％）,100.0,66.3,29.5,3.8,0.4
選挙への関心度別関心があった実数,642,454,162,24,2
選挙への関心度別関心があった（％）,100.0,70.7,25.2,3.7,0.3
選挙への関心度別やや関心があった実数,442,265,158,17,2
選挙への関心度別やや関心があった（％）,100.0,60.0,35.7,3.8,0.5
選挙への関心度別関心がなかった（計）実数,179,77,88,13,1
選挙への関心度別関心がなかった（計）（％）,100.0,43.0,49.2,7.3,0.6
選挙への関心度別あまり関心がなかった実数,554,195,327,31,1
選挙への関心度別あまり関心がなかった（％）,100.0,35.2,59.0,5.6,0.2
選挙への関心度別関心がなかった実数,369,154,195,20,-
選挙への関心度別関心がなかった（％）,100.0,41.7,52.8,5.4,-
選挙への関心度別どちらともいえない実数,185,41,132,11,1
選挙への関心度別どちらともいえない（％）,100.0,22.2,71.4,5.9,0.5
選挙への関心度別わからない実数,7,1,2,4,-
選挙への関心度別わからない（％）,100.0,14.3,28.6,57.1,-
投票への意識別投票するべき（計）実数,1484,903,517,59,5
投票への意識別投票するべき（計）（％）,100.0,60.8,34.8,4.0,0.3
投票への意識別必ず投票するべき実数,703,487,187,28,1
投票への意識別必ず投票するべき（％）,100.0,69.3,26.6,4.0,0.1
投票への意識別可能な限り投票するべき実数,781,416,330,31,4
投票への意識別可能な限り投票するべき（％）,100.0,53.3,42.3,4.0,0.5
投票への意識別投票するのもしないのも自由実数,315,82,206,26,1
投票への意識別投票するのもしないのも自由（％）,100.0,26.0,65.4,8.3,0.3
投票への意識別その他実数,11,5,6,-,-
投票への意識別その他（％）,100.0,45.5,54.5,-,-
投票への意識別わからない実数,15,3,8,4,-
投票への意識別わからない（％）,100.0,20.0,53.3,26.7,-
投票への参加状況別投票した（計）実数,1246,803,388,51,4
投票への参加状況別投票した（計）（％）,100.0,64.4,31.1,4.1,0.3
投票への参加状況別投票日（12月14日）に投票した実数,987,622,325,37,3
投票への参加状況別投票日（12月14日）に投票した（％）,100.0,63.0,32.9,3.7,0.3
投票への参加状況別期日前投票（又は不在者投票等）をした実数,259,181,63,14,1
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,69.9,24.3,5.4,0.4
投票への参加状況別投票しなかった実数,563,184,344,33,2
投票への参加状況別投票しなかった（％）,100.0,32.7,61.1,5.9,0.4
投票への参加状況別答えたくない実数,18,6,7,5,-
投票への参加状況別答えたくない（％）,100.0,33.3,38.9,27.8,-
新聞の定期購読定期購読している実数,1142,699,394,45,4
新聞の定期購読定期購読している（％）,100.0,61.2,34.5,3.9,0.4
新聞の定期購読定期購読していない実数,681,291,344,44,2
新聞の定期購読定期購読していない（％）,100.0,42.7,50.5,6.5,0.3
インターネットの利用有無利用している実数,984,496,442,43,3
インターネットの利用有無利用している（％）,100.0,50.4,44.9,4.4,0.3
インターネットの利用有無利用していない実数,835,495,292,45,3
インターネットの利用有無利用していない（％）,100.0,59.3,35.0,5.4,0.4
ネット選挙の認知度別知っている実数,955,594,325,34,2
ネット選挙の認知度別知っている（％）,100.0,62.2,34.0,3.6,0.2
ネット選挙の認知度別知らなかった実数,752,327,370,52,3
ネット選挙の認知度別知らなかった（％）,100.0,43.5,49.2,6.9,0.4
