,参議院議員選挙/調査数,参議院議員選挙/話をした（された）（計）,参議院議員選挙/家族と話しをした（された）,参議院議員選挙/友人・同僚と話しをした（された）,参議院議員選挙/その他,参議院議員選挙/話しはしていない,東京都知事選挙/調査数,東京都知事選挙/話をした（された）（計）,東京都知事選挙/家族と話しをした（された）,東京都知事選挙/友人・同僚と話しをした（された）,東京都知事選挙/その他,東京都知事選挙/話しはしていない
職業別その他自由業,100.0,67.8,50.0,17.8,3.3,41.1,100.0,67.8,50.0,17.8,3.3,41.1
職業別お勤め（計）,803,551,376,175,1,353,803,551,376,175,1,353
職業別お勤め（計）,100.0,68.6,46.8,21.8,0.1,44.0,100.0,68.6,46.8,21.8,0.1,44.0
職業別経営・管理職,73,61,43,18,-,25,73,61,43,18,-,25
職業別経営・管理職,100.0,83.6,58.9,24.7,-,34.2,100.0,83.6,58.9,24.7,-,34.2
職業別専門職・技術職,195,147,103,44,-,73,195,147,103,44,-,73
職業別専門職・技術職,100.0,75.4,52.8,22.6,-,37.4,100.0,75.4,52.8,22.6,-,37.4
職業別事務職,217,146,98,48,-,103,217,146,98,48,-,103
職業別事務職,100.0,67.3,45.2,22.1,-,47.5,100.0,67.3,45.2,22.1,-,47.5
職業別労務職・技能職,60,40,29,11,-,28,60,40,29,11,-,28
職業別労務職・技能職,100.0,66.7,48.3,18.3,-,46.7,100.0,66.7,48.3,18.3,-,46.7
職業別販売・サービス職,258,157,103,54,1,124,258,157,103,54,1,124
職業別販売・サービス職,100.0,60.9,39.9,20.9,0.4,48.1,100.0,60.9,39.9,20.9,0.4,48.1
職業別その他（計）,812,470,383,87,3,392,812,470,383,87,3,392
職業別その他（計）,100.0,57.9,47.2,10.7,0.4,48.3,100.0,57.9,47.2,10.7,0.4,48.3
職業別生徒・学生,46,27,14,13,-,24,46,27,14,13,-,24
職業別生徒・学生,100.0,58.7,30.4,28.3,-,52.2,100.0,58.7,30.4,28.3,-,52.2
職業別専業主婦（夫）,388,276,223,53,1,149,388,276,223,53,1,149
職業別専業主婦（夫）,100.0,71.1,57.5,13.7,0.3,38.4,100.0,71.1,57.5,13.7,0.3,38.4
職業別その他,25,12,7,5,1,14,25,12,7,5,1,14
職業別その他,100.0,48.0,28.0,20.0,4.0,56.0,100.0,48.0,28.0,20.0,4.0,56.0
職業別無職（年金受給者含む）,353,155,139,16,1,205,353,155,139,16,1,205
職業別無職（年金受給者含む）,100.0,43.9,39.4,4.5,0.3,58.1,100.0,43.9,39.4,4.5,0.3,58.1
投票所までの時間別５分以内,415,271,189,82,3,181,415,271,189,82,3,181
投票所までの時間別５分以内,100.0,65.3,45.5,19.8,0.7,43.6,100.0,65.3,45.5,19.8,0.7,43.6
投票所までの時間別10分以内,1021,657,492,165,2,469,1021,657,492,165,2,469
投票所までの時間別10分以内,100.0,64.3,48.2,16.2,0.2,45.9,100.0,64.3,48.2,16.2,0.2,45.9
投票所までの時間別20分以内,277,173,134,39,2,124,277,173,134,39,2,124
投票所までの時間別20分以内,100.0,62.5,48.4,14.1,0.7,44.8,100.0,62.5,48.4,14.1,0.7,44.8
投票所までの時間別30分以内,19,10,8,2,-,10,19,10,8,2,-,10
投票所までの時間別30分以内,100.0,52.6,42.1,10.5,-,52.6,100.0,52.6,42.1,10.5,-,52.6
投票所までの時間別30分を超える,3,1,1,-,-,2,3,1,1,-,-,2
投票所までの時間別30分を超える,100.0,33.3,33.3,-,-,66.7,100.0,33.3,33.3,-,-,66.7
投票所までの時間別わからない,11,3,1,2,-,9,11,3,1,2,-,9
投票所までの時間別わからない,100.0,27.3,9.1,18.2,-,81.8,100.0,27.3,9.1,18.2,-,81.8
地域別区部（計）,1310,862,638,224,4,582,1310,862,638,224,4,582
地域別区部（計）,100.0,65.8,48.7,17.1,0.3,44.4,100.0,65.8,48.7,17.1,0.3,44.4
地域別センターコア,361,229,176,53,-,160,361,229,176,53,-,160
地域別センターコア,100.0,63.4,48.8,14.7,-,44.3,100.0,63.4,48.8,14.7,-,44.3
地域別区部東部・北部エリア,378,255,197,58,2,159,378,255,197,58,2,159
地域別区部東部・北部エリア,100.0,67.5,52.1,15.3,0.5,42.1,100.0,67.5,52.1,15.3,0.5,42.1
地域別区部西部・南部エリア,571,378,265,113,2,263,571,378,265,113,2,263
地域別区部西部・南部エリア,100.0,66.2,46.4,19.8,0.4,46.1,100.0,66.2,46.4,19.8,0.4,46.1
地域別市郡部（計）,436,253,187,66,3,213,436,253,187,66,3,213
地域別市郡部（計）,100.0,58.0,42.9,15.1,0.7,48.9,100.0,58.0,42.9,15.1,0.7,48.9
地域別多摩東部エリア,130,71,44,27,1,72,130,71,44,27,1,72
地域別多摩東部エリア,100.0,54.6,33.8,20.8,0.8,55.4,100.0,54.6,33.8,20.8,0.8,55.4
地域別多摩中央部北エリア,70,34,23,11,2,38,70,34,23,11,2,38
地域別多摩中央部北エリア,100.0,48.6,32.9,15.7,2.9,54.3,100.0,48.6,32.9,15.7,2.9,54.3
地域別多摩中央部南エリア,197,131,108,23,-,78,197,131,108,23,-,78
地域別多摩中央部南エリア,100.0,66.5,54.8,11.7,-,39.6,100.0,66.5,54.8,11.7,-,39.6
地域別多摩西部エリア,39,17,12,5,-,25,39,17,12,5,-,25
地域別多摩西部エリア,100.0,43.6,30.8,12.8,-,64.1,100.0,43.6,30.8,12.8,-,64.1
選挙への関心度別関心があった（計）,1267,916,684,232,7,488,1400,995,742,253,7,554
選挙への関心度別関心があった（計）,100.0,72.3,54.0,18.3,0.6,38.5,100.0,71.1,53.0,18.1,0.5,39.6
選挙への関心度別関心があった,629,476,362,114,5,214,763,567,425,142,6,272
選挙への関心度別関心があった,100.0,75.7,57.6,18.1,0.8,34.0,100.0,74.3,55.7,18.6,0.8,35.6
選挙への関心度別やや関心があった,638,440,322,118,2,274,637,428,317,111,1,282
選挙への関心度別やや関心があった,100.0,69.0,50.5,18.5,0.3,42.9,100.0,67.2,49.8,17.4,0.2,44.3
選挙への関心度別関心がなかった（計）,199,69,47,22,-,138,149,39,26,13,-,113
選挙への関心度別関心がなかった（計）,100.0,34.7,23.6,11.1,-,69.3,100.0,26.2,17.4,8.7,-,75.8
選挙への関心度別あまり関心がなかった,117,51,35,16,-,72,81,25,17,8,-,57
選挙への関心度別あまり関心がなかった,100.0,43.6,29.9,13.7,-,61.5,100.0,30.9,21.0,9.9,-,70.4
選挙への関心度別関心がなかった,82,18,12,6,-,66,68,14,9,5,-,56
選挙への関心度別関心がなかった,100.0,22.0,14.6,7.3,-,80.5,100.0,20.6,13.2,7.4,-,82.4
選挙への関心度別どちらともいえない,276,129,93,36,-,166,193,80,56,24,-,125
選挙への関心度別どちらともいえない,100.0,46.7,33.7,13.0,-,60.1,100.0,41.5,29.0,12.4,-,64.8
選挙への関心度別わからない,4,1,1,-,-,3,4,1,1,-,-,3
選挙への関心度別わからない,100.0,25.0,25.0,-,-,75.0,100.0,25.0,25.0,-,-,75.0
投票への意識別投票するべき（計）,1409,1007,753,254,6,554,1417,1012,757,255,6,557
投票への意識別投票するべき（計）,100.0,71.5,53.4,18.0,0.4,39.3,100.0,71.4,53.4,18.0,0.4,39.3
投票への意識別必ず投票するべき,591,437,329,108,3,214,610,454,343,111,3,217
投票への意識別必ず投票するべき,100.0,73.9,55.7,18.3,0.5,36.2,100.0,74.4,56.2,18.2,0.5,35.6
投票への意識別可能な限り投票するべき,818,570,424,146,3,340,807,558,414,144,3,340
投票への意識別可能な限り投票するべき,100.0,69.7,51.8,17.8,0.4,41.6,100.0,69.1,51.3,17.8,0.4,42.1
投票への意識別投票するのもしないのも自由,308,99,65,34,-,222,299,94,61,33,-,218
投票への意識別投票するのもしないのも自由,100.0,32.1,21.1,11.0,-,72.1,100.0,31.4,20.4,11.0,-,72.9
投票への意識別その他,1,-,-,-,-,1,1,-,-,-,-,1
投票への意識別その他,100.0,-,-,-,-,100.0,100.0,-,-,-,-,100.0
投票への意識別わからない,28,9,7,2,1,18,29,9,7,2,1,19
投票への意識別わからない,100.0,32.1,25.0,7.1,3.6,64.3,100.0,31.0,24.1,6.9,3.4,65.5
投票への参加状況別投票した（計）,1417,1008,750,258,7,561,1464,1039,769,270,7,582
投票への参加状況別投票した（計）,100.0,71.1,52.9,18.2,0.5,39.6,100.0,71.0,52.5,18.4,0.5,39.8
投票への参加状況別投票日に投票した,1210,860,656,204,5,478,1228,866,657,209,5,486
投票への参加状況別投票日に投票した,100.0,71.1,54.2,16.9,0.4,39.5,100.0,70.5,53.5,17.0,0.4,39.6
投票への参加状況別期日前投票（又は不在者投票等）をした,207,148,94,54,2,83,236,173,112,61,2,96
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,71.5,45.4,26.1,1.0,40.1,100.0,73.3,47.5,25.8,0.8,40.7
投票への参加状況別投票しなかった,322,104,73,31,-,229,275,74,55,19,-,208
投票への参加状況別投票しなかった,100.0,32.3,22.7,9.6,-,71.1,100.0,26.9,20.0,6.9,-,75.6
投票への参加状況別答えたくない,7,3,2,1,-,5,7,2,1,1,-,5
投票への参加状況別答えたくない,100.0,42.9,28.6,14.3,-,71.4,100.0,28.6,14.3,14.3,-,71.4
新聞の定期購読別定期購読している,1203,861,667,194,3,475,1203,861,667,194,3,475
新聞の定期購読別定期購読している,100.0,71.6,55.4,16.1,0.2,39.5,100.0,71.6,55.4,16.1,0.2,39.5
新聞の定期購読別定期購読していない,543,254,158,96,4,320,543,254,158,96,4,320
新聞の定期購読別定期購読していない,100.0,46.8,29.1,17.7,0.7,58.9,100.0,46.8,29.1,17.7,0.7,58.9
インターネットの利用有無別インターネットを利用している,1045,725,504,221,4,446,1045,725,504,221,4,446
インターネットの利用有無別インターネットを利用している,100.0,69.4,48.2,21.1,0.4,42.7,100.0,69.4,48.2,21.1,0.4,42.7
インターネットの利用有無別インターネットを利用していない,701,390,321,69,3,349,701,390,321,69,3,349
インターネットの利用有無別インターネットを利用していない,100.0,55.6,45.8,9.8,0.4,49.8,100.0,55.6,45.8,9.8,0.4,49.8
