,問12調査数,問12新聞,問12雑誌,問12ラジオ,問12テレビ,問12パソコンでのインターネット,問12携帯電話・スマートフォン・タブレット等でのインターネット,問12その他,問12特にない,問12無回答,問12－１調査数,問12－１日常的に使っている,問12－１時々使っている,問12－１ほとんど利用しない,問12－１無回答
職業別販売・サービス職,217,85,24,20,196,79,137,-,1,-,155,141,12,-,2
職業別販売・サービス職,100.0,39.2,11.1,9.2,90.3,36.4,63.1,-,0.5,-,100.0,91.0,7.7,-,1.3
職業別その他（計）,841,581,83,120,765,205,228,3,13,1,318,254,61,3,-
職業別その他（計）,100.0,69.1,9.9,14.3,91.0,24.4,27.1,0.4,1.5,0.1,100.0,79.9,19.2,0.9,-
職業別学生,53,16,7,3,41,29,49,-,-,-,50,48,2,-,-
職業別学生,100.0,30.2,13.2,5.7,77.4,54.7,92.5,-,-,-,100.0,96.0,4.0,-,-
職業別専業主婦（夫）,391,284,49,54,364,123,133,1,3,-,190,143,44,3,-
職業別専業主婦（夫）,100.0,72.6,12.5,13.8,93.1,31.5,34.0,0.3,0.8,-,100.0,75.3,23.2,1.6,-
職業別その他,62,26,4,8,53,19,25,-,1,-,34,27,7,-,-
職業別その他,100.0,41.9,6.5,12.9,85.5,30.6,40.3,-,1.6,-,100.0,79.4,20.6,-,-
職業別無職（年金受給者含む）,335,255,23,55,307,34,21,2,9,1,44,36,8,-,-
職業別無職（年金受給者含む）,100.0,76.1,6.9,16.4,91.6,10.1,6.3,0.6,2.7,0.3,100.0,81.8,18.2,-,-
投票所までの時間別５分以内,636,380,92,103,569,290,249,3,6,1,365,318,44,3,-
投票所までの時間別５分以内,100.0,59.7,14.5,16.2,89.5,45.6,39.2,0.5,0.9,0.2,100.0,87.1,12.1,0.8,-
投票所までの時間別10分以内,1060,632,90,103,956,377,518,2,6,1,637,538,92,3,4
投票所までの時間別10分以内,100.0,59.6,8.5,9.7,90.2,35.6,48.9,0.2,0.6,0.1,100.0,84.5,14.4,0.5,0.6
投票所までの時間別20分以内,221,134,23,30,203,84,78,1,1,1,113,108,4,1,-
投票所までの時間別20分以内,100.0,60.6,10.4,13.6,91.9,38.0,35.3,0.5,0.5,0.5,100.0,95.6,3.5,0.9,-
投票所までの時間別30分以内,50,15,11,4,43,20,34,-,2,-,37,33,4,-,-
投票所までの時間別30分以内,100.0,30.0,22.0,8.0,86.0,40.0,68.0,-,4.0,-,100.0,89.2,10.8,-,-
投票所までの時間別30分を超える,26,23,4,6,23,12,5,-,-,-,15,11,4,-,-
投票所までの時間別30分を超える,100.0,88.5,15.4,23.1,88.5,46.2,19.2,-,-,-,100.0,73.3,26.7,-,-
地域別区部（計）,1392,768,169,177,1245,509,622,6,14,3,793,674,108,7,4
地域別区部（計）,100.0,55.2,12.1,12.7,89.4,36.6,44.7,0.4,1.0,0.2,100.0,85.0,13.6,0.9,0.5
地域別センターコア,372,213,75,59,337,168,182,1,1,-,225,199,24,2,-
地域別センターコア,100.0,57.3,20.2,15.9,90.6,45.2,48.9,0.3,0.3,-,100.0,88.4,10.7,0.9,-
地域別区部東部・北部エリア,408,213,30,44,369,144,186,3,6,-,235,206,25,4,-
地域別区部東部・北部エリア,100.0,52.2,7.4,10.8,90.4,35.3,45.6,0.7,1.5,-,100.0,87.7,10.6,1.7,-
地域別区部西部・南部エリア,612,342,64,74,539,197,254,2,7,3,333,269,59,1,4
地域別区部西部・南部エリア,100.0,55.9,10.5,12.1,88.1,32.2,41.5,0.3,1.1,0.5,100.0,80.8,17.7,0.3,1.2
地域別市郡部（計）,619,422,52,70,561,280,269,-,4,-,383,343,40,-,-
地域別市郡部（計）,100.0,68.2,8.4,11.3,90.6,45.2,43.5,-,0.6,-,100.0,89.6,10.4,-,-
地域別多摩東部エリア,235,144,10,14,205,114,97,-,3,-,139,122,17,-,-
地域別多摩東部エリア,100.0,61.3,4.3,6.0,87.2,48.5,41.3,-,1.3,-,100.0,87.8,12.2,-,-
地域別多摩中央部北エリア,88,59,10,14,83,34,38,-,1,-,50,44,6,-,-
地域別多摩中央部北エリア,100.0,67.0,11.4,15.9,94.3,38.6,43.2,-,1.1,-,100.0,88.0,12.0,-,-
地域別多摩中央部南エリア,261,199,28,41,241,116,122,-,-,-,173,159,14,-,-
地域別多摩中央部南エリア,100.0,76.2,10.7,15.7,92.3,44.4,46.7,-,-,-,100.0,91.9,8.1,-,-
地域別多摩西部エリア,35,20,4,1,32,16,12,-,-,-,21,18,3,-,-
地域別多摩西部エリア,100.0,57.1,11.4,2.9,91.4,45.7,34.3,-,-,-,100.0,85.7,14.3,-,-
選挙への関心度別関心があった（計）,1170,867,157,190,1080,494,428,5,-,1,653,541,106,5,1
選挙への関心度別関心があった（計）,100.0,74.1,13.4,16.2,92.3,42.2,36.6,0.4,-,0.1,100.0,82.8,16.2,0.8,0.2
選挙への関心度別関心があった,636,509,92,129,584,267,198,3,-,1,331,282,47,2,-
選挙への関心度別関心があった,100.0,80.0,14.5,20.3,91.8,42.0,31.1,0.5,-,0.2,100.0,85.2,14.2,0.6,-
選挙への関心度別やや関心があった,534,358,65,61,496,227,230,2,-,-,322,259,59,3,1
選挙への関心度別やや関心があった,100.0,67.0,12.2,11.4,92.9,42.5,43.1,0.4,-,-,100.0,80.4,18.3,0.9,0.3
選挙への関心度別関心がなかった（計）,533,169,44,33,459,180,310,1,11,2,349,317,28,1,3
選挙への関心度別関心がなかった（計）,100.0,31.7,8.3,6.2,86.1,33.8,58.2,0.2,2.1,0.4,100.0,90.8,8.0,0.3,0.9
選挙への関心度別あまり関心がなかった,316,111,27,21,280,105,181,1,6,1,205,187,16,1,1
選挙への関心度別あまり関心がなかった,100.0,35.1,8.5,6.6,88.6,33.2,57.3,0.3,1.9,0.3,100.0,91.2,7.8,0.5,0.5
選挙への関心度別関心がなかった,217,58,17,12,179,75,129,-,5,1,144,130,12,-,2
選挙への関心度別関心がなかった,100.0,26.7,7.8,5.5,82.5,34.6,59.4,-,2.3,0.5,100.0,90.3,8.3,-,1.4
選挙への関心度別どちらともいえない,298,153,20,23,262,113,149,-,4,-,170,156,13,1,-
選挙への関心度別どちらともいえない,100.0,51.3,6.7,7.7,87.9,37.9,50.0,-,1.3,-,100.0,91.8,7.6,0.6,-
選挙への関心度別わからない、答えたくない,10,1,-,1,5,2,4,-,3,-,4,3,1,-,-
選挙への関心度別わからない、答えたくない,100.0,10.0,-,10.0,50.0,20.0,40.0,-,30.0,-,100.0,75.0,25.0,-,-
投票への意識別必ず投票するべき,609,495,80,107,560,239,175,2,-,-,303,249,52,2,-
投票への意識別必ず投票するべき,100.0,81.3,13.1,17.6,92.0,39.2,28.7,0.3,-,-,100.0,82.2,17.2,0.7,-
投票への意識別可能な限り投票するべき,845,523,100,108,788,325,412,4,1,1,520,446,68,2,4
投票への意識別可能な限り投票するべき,100.0,61.9,11.8,12.8,93.3,38.5,48.8,0.5,0.1,0.1,100.0,85.8,13.1,0.4,0.8
投票への意識別投票するのもしないのも自由,473,157,37,27,398,199,263,-,10,2,307,279,25,3,-
投票への意識別投票するのもしないのも自由,100.0,33.2,7.8,5.7,84.1,42.1,55.6,-,2.1,0.4,100.0,90.9,8.1,1.0,-
投票への意識別その他,8,-,-,-,5,1,4,-,1,-,5,5,-,-,-
投票への意識別その他,100.0,-,-,-,62.5,12.5,50.0,-,12.5,-,100.0,100.0,-,-,-
投票への意識別わからない,62,9,4,4,43,23,32,-,6,-,34,32,2,-,-
投票への意識別わからない,100.0,14.5,6.5,6.5,69.4,37.1,51.6,-,9.7,-,100.0,94.1,5.9,-,-
投票への参加状況別投票した（計）,999,763,145,180,917,417,349,5,1,2,543,447,93,3,-
投票への参加状況別投票した（計）,100.0,76.4,14.5,18.0,91.8,41.7,34.9,0.5,0.1,0.2,100.0,82.3,17.1,0.6,-
投票への参加状況別投票日（２月９日）に投票した,827,634,112,130,764,332,293,4,-,2,444,362,79,3,-
投票への参加状況別投票日（２月１０日）に投票した,100.0,76.7,13.5,15.7,92.4,40.1,35.4,0.5,-,0.2,100.0,81.5,17.8,0.7,-
投票への参加状況別期日前投票（又は不在者投票等）をした,172,129,33,50,153,85,56,1,1,-,99,85,14,-,-
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,75.0,19.2,29.1,89.0,49.4,32.6,0.6,0.6,-,100.0,85.9,14.1,-,-
投票への参加状況別投票しなかった,963,415,70,64,857,350,519,1,13,1,602,541,54,3,4
投票への参加状況別投票しなかった,100.0,43.1,7.3,6.6,89.0,36.3,53.9,0.1,1.3,0.1,100.0,89.9,9.0,0.5,0.7
投票への参加状況別答えたくない,42,10,5,3,26,20,19,-,4,-,26,24,1,1,-
投票への参加状況別答えたくない,100.0,23.8,11.9,7.1,61.9,47.6,45.2,-,9.5,-,100.0,92.3,3.8,3.8,-
ネット投票の認知度別知っている,1291,846,146,180,1168,610,631,4,-,-,864,743,114,3,4
ネット投票の認知度別知っている,100.0,65.5,11.3,13.9,90.5,47.3,48.9,0.3,-,-,100.0,86.0,13.2,0.3,0.5
ネット投票の認知度別知らなかった,645,294,70,62,569,179,259,1,13,2,311,273,34,4,-
ネット投票の認知度別知らなかった,100.0,45.6,10.9,9.6,88.2,27.8,40.2,0.2,2.0,0.3,100.0,87.8,10.9,1.3,-
インターネットの利用有無別インターネットを利用している,1176,587,162,126,1012,789,891,2,-,-,1176,1017,148,7,4
インターネットの利用有無別インターネットを利用している,100.0,49.9,13.8,10.7,86.1,67.1,75.8,0.2,-,-,100.0,86.5,12.6,0.6,0.3
インターネットの利用有無別インターネットを利用していない,832,603,59,121,794,-,-,4,18,-,-,-,-,-,-
インターネットの利用有無別インターネットを利用していない,100.0,72.5,7.1,14.5,95.4,-,-,0.5,2.2,-,-,-,-,-,-
新聞の定期購読別定期購読している,1206,1115,157,170,1134,422,405,5,3,1,599,489,103,6,1
新聞の定期購読別定期購読している,100.0,92.5,13.0,14.1,94.0,35.0,33.6,0.4,0.2,0.1,100.0,81.6,17.2,1.0,0.2
新聞の定期購読別定期購読していない,796,69,63,76,663,362,482,1,15,2,572,524,44,1,3
新聞の定期購読別定期購読していない,100.0,8.7,7.9,9.5,83.3,45.5,60.6,0.1,1.9,0.3,100.0,91.6,7.7,0.2,0.5
