,調査数,候補者等の政策や人柄について、これまでより簡単に大量の情報を得ることができた,選挙に関する情報がリアルタイムで得ることができた,さほど効果や影響があるとは思わない,選挙への関心が高まった,ビラやはがきが減った,候補者になりすましたり偽名を使った不正な情報が氾濫した,ひぼう中傷やデマが横行した,インターネットを使わない人にとって不利になった,その他,わからない,無回答
職業別自営業（計）実数,108,20,25,18,12,8,-,8,11,2,42,5
職業別自営業（計）（％）,100.0,18.5,23.1,16.7,11.1,7.4,-,7.4,10.2,1.9,38.9,4.6
職業別農林漁業実数,2,-,-,1,-,-,-,-,-,-,-,1
職業別農林漁業（％）,100.0,-,-,50.0,-,-,-,-,-,-,-,50.0
職業別商工・サービス業実数,67,9,12,12,8,4,-,5,5,2,28,3
職業別商工・サービス業（％）,100.0,13.4,17.9,17.9,11.9,6.0,-,7.5,7.5,3.0,41.8,4.5
職業別その他自由業実数,39,11,13,5,4,4,-,3,6,-,14,1
職業別その他自由業（％）,100.0,28.2,33.3,12.8,10.3,10.3,-,7.7,15.4,-,35.9,2.6
職業別お勤め（計）実数,612,133,158,116,68,60,26,63,91,16,162,14
職業別お勤め（計）（％）,100.0,21.7,25.8,19.0,11.1,9.8,4.2,10.3,14.9,2.6,26.5,2.3
職業別経営・管理職実数,70,16,21,12,4,7,2,4,10,2,14,4
職業別経営・管理職（％）,100.0,22.9,30.0,17.1,5.7,10.0,2.9,5.7,14.3,2.9,20.0,5.7
職業別専門職・技術職実数,175,42,46,35,17,24,12,23,26,8,37,3
職業別専門職・技術職（％）,100.0,24.0,26.3,20.0,9.7,13.7,6.9,13.1,14.9,4.6,21.1,1.7
職業別事務職実数,172,44,47,39,27,13,9,21,28,4,37,2
職業別事務職（％）,100.0,25.6,27.3,22.7,15.7,7.6,5.2,12.2,16.3,2.3,21.5,1.2
職業別労務職・技能職実数,59,12,10,8,4,7,-,3,9,-,25,2
職業別労務職・技能職（％）,100.0,20.3,16.9,13.6,6.8,11.9,-,5.1,15.3,-,42.4,3.4
職業別販売・サービス職実数,136,19,34,22,16,9,3,12,18,2,49,3
職業別販売・サービス職（％）,100.0,14.0,25.0,16.2,11.8,6.6,2.2,8.8,13.2,1.5,36.0,2.2
職業別その他（計）実数,519,72,60,66,31,26,6,31,71,5,252,17
職業別その他（計）（％）,100.0,13.9,11.6,12.7,6.0,5.0,1.2,6.0,13.7,1.0,48.6,3.3
職業別生徒・学生実数,21,7,11,3,4,1,-,3,-,-,4,-
職業別生徒・学生（％）,100.0,33.3,52.4,14.3,19.0,4.8,-,14.3,-,-,19.0,-
職業別専業主婦（夫）実数,222,31,26,29,7,16,5,17,40,3,101,7
職業別専業主婦（夫）（％）,100.0,14.0,11.7,13.1,3.2,7.2,2.3,7.7,18.0,1.4,45.5,3.2
職業別その他実数,12,2,1,2,1,-,-,-,1,-,7,1
職業別その他（％）,100.0,16.7,8.3,16.7,8.3,-,-,-,8.3,-,58.3,8.3
職業別無職（年金受給者含む）実数,264,32,22,32,19,9,1,11,30,2,140,9
職業別無職（年金受給者含む）（％）,100.0,12.1,8.3,12.1,7.2,3.4,0.4,4.2,11.4,0.8,53.0,3.4
投票所までの時間別５分以内実数,538,102,112,91,61,45,22,54,85,9,174,12
投票所までの時間別５分以内（％）,100.0,19.0,20.8,16.9,11.3,8.4,4.1,10.0,15.8,1.7,32.3,2.2
投票所までの時間別10分以内実数,515,83,95,84,36,39,8,34,66,9,205,18
投票所までの時間別10分以内（％）,100.0,16.1,18.4,16.3,7.0,7.6,1.6,6.6,12.8,1.7,39.8,3.5
投票所までの時間別20分以内実数,163,37,34,22,13,9,2,12,21,4,64,5
投票所までの時間別20分以内（％）,100.0,22.7,20.9,13.5,8.0,5.5,1.2,7.4,12.9,2.5,39.3,3.1
投票所までの時間別30分以内実数,19,2,3,3,-,1,-,2,2,-,10,1
投票所までの時間別30分以内（％）,100.0,10.5,15.8,15.8,-,5.3,-,10.5,10.5,-,52.6,5.3
投票所までの時間別30分を超える実数,6,1,-,1,1,-,-,-,-,1,2,-
投票所までの時間別30分を超える（％）,100.0,16.7,-,16.7,16.7,-,-,-,-,16.7,33.3,-
投票所までの時間別わからない実数,2,-,-,-,-,-,-,-,-,-,2,-
投票所までの時間別わからない（％）,100.0,-,-,-,-,-,-,-,-,-,100.0,-
地域別区部（計）実数,826,147,165,128,71,58,24,70,111,18,308,27
地域別区部（計）（％）,100.0,17.8,20.0,15.5,8.6,7.0,2.9,8.5,13.4,2.2,37.3,3.3
地域別センターコア実数,207,43,47,29,22,11,6,19,31,5,80,1
地域別センターコア（％）,100.0,20.8,22.7,14.0,10.6,5.3,2.9,9.2,15.0,2.4,38.6,0.5
地域別区部東部・北部エリア実数,268,37,51,42,23,17,6,22,39,5,104,9
地域別区部東部・北部エリア（％）,100.0,13.8,19.0,15.7,8.6,6.3,2.2,8.2,14.6,1.9,38.8,3.4
地域別区部西部・南部エリア実数,351,67,67,57,26,30,12,29,41,8,124,17
地域別区部西部・南部エリア（％）,100.0,19.1,19.1,16.2,7.4,8.5,3.4,8.3,11.7,2.3,35.3,4.8
地域別市郡部（計）実数,420,79,80,73,40,36,8,32,63,5,150,10
地域別市郡部（計）（％）,100.0,18.8,19.0,17.4,9.5,8.6,1.9,7.6,15.0,1.2,35.7,2.4
地域別多摩東部エリア実数,169,31,29,33,18,14,4,13,28,2,57,5
地域別多摩東部エリア（％）,100.0,18.3,17.2,19.5,10.7,8.3,2.4,7.7,16.6,1.2,33.7,3.0
地域別多摩中央部北エリア実数,53,9,11,10,5,1,2,2,2,1,24,-
地域別多摩中央部北エリア（％）,100.0,17.0,20.8,18.9,9.4,1.9,3.8,3.8,3.8,1.9,45.3,-
地域別多摩中央部南エリア実数,171,35,38,25,16,17,2,15,31,2,61,2
地域別多摩中央部南エリア（％）,100.0,20.5,22.2,14.6,9.4,9.9,1.2,8.8,18.1,1.2,35.7,1.2
地域別多摩西部エリア実数,27,4,2,5,1,4,-,2,2,-,8,3
地域別多摩西部エリア（％）,100.0,14.8,7.4,18.5,3.7,14.8,-,7.4,7.4,-,29.6,11.1
選挙への関心度別関心があった（計）実数,918,188,193,138,96,70,19,74,130,18,333,26
選挙への関心度別関心があった（計）（％）,100.0,20.5,21.0,15.0,10.5,7.6,2.1,8.1,14.2,2.0,36.3,2.8
選挙への関心度別関心があった実数,577,128,128,79,69,37,8,46,75,13,208,20
選挙への関心度別関心があった（％）,100.0,22.2,22.2,13.7,12.0,6.4,1.4,8.0,13.0,2.3,36.0,3.5
選挙への関心度別やや関心があった実数,341,60,65,59,27,33,11,28,55,5,125,6
選挙への関心度別やや関心があった（％）,100.0,17.6,19.1,17.3,7.9,9.7,3.2,8.2,16.1,1.5,36.7,1.8
選挙への関心度別関心がなかった（計）実数,121,11,20,26,2,12,5,9,18,1,48,4
選挙への関心度別関心がなかった（計）（％）,100.0,9.1,16.5,21.5,1.7,9.9,4.1,7.4,14.9,0.8,39.7,3.3
選挙への関心度別あまり関心がなかった実数,203,27,32,37,13,12,8,19,26,4,74,6
選挙への関心度別あまり関心がなかった（％）,100.0,13.3,15.8,18.2,6.4,5.9,3.9,9.4,12.8,2.0,36.5,3.0
選挙への関心度別関心がなかった実数,169,23,30,28,12,11,6,15,22,2,62,4
選挙への関心度別関心がなかった（％）,100.0,13.6,17.8,16.6,7.1,6.5,3.6,8.9,13.0,1.2,36.7,2.4
選挙への関心度別どちらともいえない実数,34,4,2,9,1,1,2,4,4,2,12,2
選挙への関心度別どちらともいえない（％）,100.0,11.8,5.9,26.5,2.9,2.9,5.9,11.8,11.8,5.9,35.3,5.9
選挙への関心度別わからない実数,2,-,-,-,-,-,-,-,-,-,2,-
選挙への関心度別わからない（％）,100.0,-,-,-,-,-,-,-,-,-,100.0,-
投票への意識別投票するべき（計）実数,1168,219,239,185,109,90,30,98,168,23,419,34
投票への意識別投票するべき（計）（％）,100.0,18.8,20.5,15.8,9.3,7.7,2.6,8.4,14.4,2.0,35.9,2.9
投票への意識別必ず投票するべき実数,657,138,140,98,73,46,18,58,95,14,231,20
投票への意識別必ず投票するべき（％）,100.0,21.0,21.3,14.9,11.1,7.0,2.7,8.8,14.5,2.1,35.2,3.0
投票への意識別可能な限り投票するべき実数,511,81,99,87,36,44,12,40,73,9,188,14
投票への意識別可能な限り投票するべき（％）,100.0,15.9,19.4,17.0,7.0,8.6,2.3,7.8,14.3,1.8,36.8,2.7
投票への意識別投票するのもしないのも自由実数,73,7,6,16,2,4,2,4,5,-,36,2
投票への意識別投票するのもしないのも自由（％）,100.0,9.6,8.2,21.9,2.7,5.5,2.7,5.5,6.8,-,49.3,2.7
投票への意識別その他実数,2,-,-,-,-,-,-,-,1,-,1,-
投票への意識別その他（％）,100.0,-,-,-,-,-,-,-,50.0,-,50.0,-
投票への意識別わからない実数,2,-,-,-,-,-,-,-,-,-,2,-
投票への意識別わからない（％）,100.0,-,-,-,-,-,-,-,-,-,100.0,-
投票への参加状況別投票した（計）実数,1246,226,245,201,111,94,32,102,174,23,458,37
投票への参加状況別投票した（計）（％）,100.0,18.1,19.7,16.1,8.9,7.5,2.6,8.2,14.0,1.8,36.8,3.0
投票への参加状況別投票日（12月14日）に投票した実数,987,178,194,158,87,78,26,77,139,15,362,31
投票への参加状況別投票日（12月14日）に投票した（％）,100.0,18.0,19.7,16.0,8.8,7.9,2.6,7.8,14.1,1.5,36.7,3.1
投票への参加状況別期日前投票（又は不在者投票等）をした実数,259,48,51,43,24,16,6,25,35,8,96,6
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,18.5,19.7,16.6,9.3,6.2,2.3,9.7,13.5,3.1,37.1,2.3
投票への参加状況別投票しなかった実数,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票しなかった（％）,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない実数,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない（％）,-,-,-,-,-,-,-,-,-,-,-,-
新聞の定期購読定期購読している実数,864,136,153,138,65,66,22,61,114,14,345,27
新聞の定期購読定期購読している（％）,100.0,15.7,17.7,16.0,7.5,7.6,2.5,7.1,13.2,1.6,39.9,3.1
新聞の定期購読定期購読していない実数,381,90,92,63,46,28,10,41,60,9,112,10
新聞の定期購読定期購読していない（％）,100.0,23.6,24.1,16.5,12.1,7.3,2.6,10.8,15.7,2.4,29.4,2.6
インターネットの利用有無利用している実数,660,183,211,124,83,64,24,72,114,17,131,8
インターネットの利用有無利用している（％）,100.0,27.7,32.0,18.8,12.6,9.7,3.6,10.9,17.3,2.6,19.8,1.2
インターネットの利用有無利用していない実数,581,43,34,77,28,30,8,30,60,6,323,28
インターネットの利用有無利用していない（％）,100.0,7.4,5.9,13.3,4.8,5.2,1.4,5.2,10.3,1.0,55.6,4.8
ネット選挙の認知度別知っている実数,734,177,190,141,86,68,24,74,103,18,193,14
ネット選挙の認知度別知っている（％）,100.0,24.1,25.9,19.2,11.7,9.3,3.3,10.1,14.0,2.5,26.3,1.9
ネット選挙の認知度別知らなかった実数,431,48,53,57,24,24,8,25,62,5,221,4
ネット選挙の認知度別知らなかった（％）,100.0,11.1,12.3,13.2,5.6,5.6,1.9,5.8,14.4,1.2,51.3,0.9
