,参議院議員選挙/調査数,参議院議員選挙/政治や選挙についての学校教育の充実,参議院議員選挙/選挙管理委員会による選挙に関するＰＲの充実,参議院議員選挙/各種団体による政治や選挙に関する勉強会（セミナー）等への参加,参議院議員選挙/政治や選挙に関する家庭内での積極的な話し合い,参議院議員選挙/新聞やテレビ等での政治や選挙に関する分かりやすい報道との接触,参議院議員選挙/政党や政治団体などが行う活動との接触,参議院議員選挙/その他,参議院議員選挙/わからない,東京都知事選挙/調査数,東京都知事選挙/政治や選挙についての学校教育の充実,東京都知事選挙/選挙管理委員会による選挙に関するＰＲの充実,東京都知事選挙/各種団体による政治や選挙に関する勉強会（セミナー）等への参加,東京都知事選挙/政治や選挙に関する家庭内での積極的な話し合い,東京都知事選挙/新聞やテレビ等での政治や選挙に関する分かりやすい報道との接触,東京都知事選挙/政党や政治団体などが行う活動との接触,東京都知事選挙/その他,東京都知事選挙/わからない
年齢別80歳以上,98,39,12,7,16,33,5,-,40,98,39,12,7,16,33,5,-,40
年齢別80歳以上,100.0,39.8,12.2,7.1,16.3,33.7,5.1,-,40.8,100.0,39.8,12.2,7.1,16.3,33.7,5.1,-,40.8
性/年齢別男性18歳,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-
性/年齢別男性18歳,100.0,-,-,-,-,-,-,100.0,-,100.0,-,-,-,-,-,-,100.0,-
性/年齢別男性19歳,12,5,1,1,2,5,-,-,4,12,5,1,1,2,5,-,-,4
性/年齢別男性19歳,100.0,41.7,8.3,8.3,16.7,41.7,-,-,33.3,100.0,41.7,8.3,8.3,16.7,41.7,-,-,33.3
性/年齢別男性20歳代,83,49,12,3,10,22,7,-,21,83,49,12,3,10,22,7,-,21
性/年齢別男性20歳代,100.0,59.0,14.5,3.6,12.0,26.5,8.4,-,25.3,100.0,59.0,14.5,3.6,12.0,26.5,8.4,-,25.3
性/年齢別男性30歳代,122,92,34,11,35,74,10,1,8,122,92,34,11,35,74,10,1,8
性/年齢別男性30歳代,100.0,75.4,27.9,9.0,28.7,60.7,8.2,0.8,6.6,100.0,75.4,27.9,9.0,28.7,60.7,8.2,0.8,6.6
性/年齢別男性40歳代,170,122,28,23,54,82,14,1,6,170,122,28,23,54,82,14,1,6
性/年齢別男性40歳代,100.0,71.8,16.5,13.5,31.8,48.2,8.2,0.6,3.5,100.0,71.8,16.5,13.5,31.8,48.2,8.2,0.6,3.5
性/年齢別男性50歳代,152,113,36,10,42,84,6,2,12,152,113,36,10,42,84,6,2,12
性/年齢別男性50歳代,100.0,74.3,23.7,6.6,27.6,55.3,3.9,1.3,7.9,100.0,74.3,23.7,6.6,27.6,55.3,3.9,1.3,7.9
性/年齢別男性60歳代,157,100,30,8,41,90,14,4,19,157,100,30,8,41,90,14,4,19
性/年齢別男性60歳代,100.0,63.7,19.1,5.1,26.1,57.3,8.9,2.5,12.1,100.0,63.7,19.1,5.1,26.1,57.3,8.9,2.5,12.1
性/年齢別男性70歳代,107,62,14,11,30,48,4,3,20,107,62,14,11,30,48,4,3,20
性/年齢別男性70歳代,100.0,57.9,13.1,10.3,28.0,44.9,3.7,2.8,18.7,100.0,57.9,13.1,10.3,28.0,44.9,3.7,2.8,18.7
性/年齢別男性80歳以上,48,18,7,5,9,20,3,-,16,48,18,7,5,9,20,3,-,16
性/年齢別男性80歳以上,100.0,37.5,14.6,10.4,18.8,41.7,6.3,-,33.3,100.0,37.5,14.6,10.4,18.8,41.7,6.3,-,33.3
性/年齢別女性18歳,6,4,1,-,2,2,-,-,2,6,4,1,-,2,2,-,-,2
性/年齢別女性18歳,100.0,66.7,16.7,-,33.3,33.3,-,-,33.3,100.0,66.7,16.7,-,33.3,33.3,-,-,33.3
性/年齢別女性19歳,8,3,-,1,-,3,-,-,3,8,3,-,1,-,3,-,-,3
性/年齢別女性19歳,100.0,37.5,-,12.5,-,37.5,-,-,37.5,100.0,37.5,-,12.5,-,37.5,-,-,37.5
性/年齢別女性20歳代,81,50,9,2,19,35,5,2,19,81,50,9,2,19,35,5,2,19
性/年齢別女性20歳代,100.0,61.7,11.1,2.5,23.5,43.2,6.2,2.5,23.5,100.0,61.7,11.1,2.5,23.5,43.2,6.2,2.5,23.5
性/年齢別女性30歳代,135,95,25,12,32,65,6,2,11,135,95,25,12,32,65,6,2,11
性/年齢別女性30歳代,100.0,70.4,18.5,8.9,23.7,48.1,4.4,1.5,8.1,100.0,70.4,18.5,8.9,23.7,48.1,4.4,1.5,8.1
性/年齢別女性40歳代,228,169,41,23,61,121,11,2,20,228,169,41,23,61,121,11,2,20
性/年齢別女性40歳代,100.0,74.1,18.0,10.1,26.8,53.1,4.8,0.9,8.8,100.0,74.1,18.0,10.1,26.8,53.1,4.8,0.9,8.8
性/年齢別女性50歳代,159,121,32,12,48,77,8,-,16,159,121,32,12,48,77,8,-,16
性/年齢別女性50歳代,100.0,76.1,20.1,7.5,30.2,48.4,5.0,-,10.1,100.0,76.1,20.1,7.5,30.2,48.4,5.0,-,10.1
性/年齢別女性60歳代,180,121,21,7,47,77,4,-,34,180,121,21,7,47,77,4,-,34
性/年齢別女性60歳代,100.0,67.2,11.7,3.9,26.1,42.8,2.2,-,18.9,100.0,67.2,11.7,3.9,26.1,42.8,2.2,-,18.9
性/年齢別女性70歳代,124,69,16,2,31,43,5,-,35,124,69,16,2,31,43,5,-,35
性/年齢別女性70歳代,100.0,55.6,12.9,1.6,25.0,34.7,4.0,-,28.2,100.0,55.6,12.9,1.6,25.0,34.7,4.0,-,28.2
性/年齢別女性80歳以上,50,21,5,2,7,13,2,-,24,50,21,5,2,7,13,2,-,24
性/年齢別女性80歳以上,100.0,42.0,10.0,4.0,14.0,26.0,4.0,-,48.0,100.0,42.0,10.0,4.0,14.0,26.0,4.0,-,48.0
未・既婚別未婚,344,193,45,13,74,138,20,5,72,344,193,45,13,74,138,20,5,72
未・既婚別未婚,100.0,56.1,13.1,3.8,21.5,40.1,5.8,1.5,20.9,100.0,56.1,13.1,3.8,21.5,40.1,5.8,1.5,20.9
未・既婚別既婚（死別・離別を含む）,1479,1021,267,120,396,723,79,13,198,1479,1021,267,120,396,723,79,13,198
未・既婚別既婚（死別・離別を含む）,100.0,69.0,18.1,8.1,26.8,48.9,5.3,0.9,13.4,100.0,69.0,18.1,8.1,26.8,48.9,5.3,0.9,13.4
子供の有無別子供はいない,404,242,59,20,97,174,20,9,75,404,242,59,20,97,174,20,9,75
子供の有無別子供はいない,100.0,59.9,14.6,5.0,24.0,43.1,5.0,2.2,18.6,100.0,59.9,14.6,5.0,24.0,43.1,5.0,2.2,18.6
子供の有無別未就学（～６歳）,114,91,21,13,30,72,9,1,4,114,91,21,13,30,72,9,1,4
子供の有無別未就学（～６歳）,100.0,79.8,18.4,11.4,26.3,63.2,7.9,0.9,3.5,100.0,79.8,18.4,11.4,26.3,63.2,7.9,0.9,3.5
子供の有無別小・中・高校生,394,305,86,39,113,199,25,2,24,394,305,86,39,113,199,25,2,24
子供の有無別小・中・高校生,100.0,77.4,21.8,9.9,28.7,50.5,6.3,0.5,6.1,100.0,77.4,21.8,9.9,28.7,50.5,6.3,0.5,6.1
子供の有無別大学生・大学院生・短大生・専門学校生,144,103,27,9,40,80,10,1,12,144,103,27,9,40,80,10,1,12
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,71.5,18.8,6.3,27.8,55.6,6.9,0.7,8.3,100.0,71.5,18.8,6.3,27.8,55.6,6.9,0.7,8.3
子供の有無別学校教育終了,791,502,136,56,199,353,37,6,150,791,502,136,56,199,353,37,6,150
子供の有無別学校教育終了,100.0,63.5,17.2,7.1,25.2,44.6,4.7,0.8,19.0,100.0,63.5,17.2,7.1,25.2,44.6,4.7,0.8,19.0
子供の有無別その他,60,36,3,4,14,28,3,-,11,60,36,3,4,14,28,3,-,11
子供の有無別その他,100.0,60.0,5.0,6.7,23.3,46.7,5.0,-,18.3,100.0,60.0,5.0,6.7,23.3,46.7,5.0,-,18.3
職業別自営業（計）,133,98,31,11,47,77,12,5,10,133,98,31,11,47,77,12,5,10
職業別自営業（計）,100.0,73.7,23.3,8.3,35.3,57.9,9.0,3.8,7.5,100.0,73.7,23.3,8.3,35.3,57.9,9.0,3.8,7.5
職業別農林漁業,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-
職業別農林漁業,100.0,100.0,-,-,-,-,-,-,-,100.0,100.0,-,-,-,-,-,-,-
職業別商工・サービス業,42,30,8,1,12,25,6,2,3,42,30,8,1,12,25,6,2,3
職業別商工・サービス業,100.0,71.4,19.0,2.4,28.6,59.5,14.3,4.8,7.1,100.0,71.4,19.0,2.4,28.6,59.5,14.3,4.8,7.1
職業別その他自由業,90,67,23,10,35,52,6,3,7,90,67,23,10,35,52,6,3,7
職業別その他自由業,100.0,74.4,25.6,11.1,38.9,57.8,6.7,3.3,7.8,100.0,74.4,25.6,11.1,38.9,57.8,6.7,3.3,7.8
職業別お勤め（計）,821,565,155,74,208,419,53,8,82,821,565,155,74,208,419,53,8,82
職業別お勤め（計）,100.0,68.8,18.9,9.0,25.3,51.0,6.5,1.0,10.0,100.0,68.8,18.9,9.0,25.3,51.0,6.5,1.0,10.0
職業別経営・管理職,74,56,19,11,23,41,7,1,2,74,56,19,11,23,41,7,1,2
職業別経営・管理職,100.0,75.7,25.7,14.9,31.1,55.4,9.5,1.4,2.7,100.0,75.7,25.7,14.9,31.1,55.4,9.5,1.4,2.7
職業別専門職・技術職,196,144,50,19,56,107,21,2,10,196,144,50,19,56,107,21,2,10
職業別専門職・技術職,100.0,73.5,25.5,9.7,28.6,54.6,10.7,1.0,5.1,100.0,73.5,25.5,9.7,28.6,54.6,10.7,1.0,5.1
職業別事務職,221,152,37,16,45,116,15,5,18,221,152,37,16,45,116,15,5,18
職業別事務職,100.0,68.8,16.7,7.2,20.4,52.5,6.8,2.3,8.1,100.0,68.8,16.7,7.2,20.4,52.5,6.8,2.3,8.1
職業別労務職・技能職,61,43,11,11,16,30,2,-,7,61,43,11,11,16,30,2,-,7
職業別労務職・技能職,100.0,70.5,18.0,18.0,26.2,49.2,3.3,-,11.5,100.0,70.5,18.0,18.0,26.2,49.2,3.3,-,11.5
職業別販売・サービス職,269,170,38,17,68,125,8,-,45,269,170,38,17,68,125,8,-,45
職業別販売・サービス職,100.0,63.2,14.1,6.3,25.3,46.5,3.0,-,16.7,100.0,63.2,14.1,6.3,25.3,46.5,3.0,-,16.7
職業別その他（計）,869,551,126,48,215,365,34,5,178,869,551,126,48,215,365,34,5,178
職業別その他（計）,100.0,63.4,14.5,5.5,24.7,42.0,3.9,0.6,20.5,100.0,63.4,14.5,5.5,24.7,42.0,3.9,0.6,20.5
職業別生徒・学生,47,27,6,4,10,15,2,1,12,47,27,6,4,10,15,2,1,12
職業別生徒・学生,100.0,57.4,12.8,8.5,21.3,31.9,4.3,2.1,25.5,100.0,57.4,12.8,8.5,21.3,31.9,4.3,2.1,25.5
職業別専業主婦（夫）,395,292,71,23,112,178,17,-,51,395,292,71,23,112,178,17,-,51
職業別専業主婦（夫）,100.0,73.9,18.0,5.8,28.4,45.1,4.3,-,12.9,100.0,73.9,18.0,5.8,28.4,45.1,4.3,-,12.9
職業別その他,25,17,4,-,7,10,-,-,3,25,17,4,-,7,10,-,-,3
職業別その他,100.0,68.0,16.0,-,28.0,40.0,-,-,12.0,100.0,68.0,16.0,-,28.0,40.0,-,-,12.0
職業別無職（年金受給者含む）,402,215,45,21,86,162,15,4,112,402,215,45,21,86,162,15,4,112
職業別無職（年金受給者含む）,100.0,53.5,11.2,5.2,21.4,40.3,3.7,1.0,27.9,100.0,53.5,11.2,5.2,21.4,40.3,3.7,1.0,27.9
投票所までの時間別５分以内,433,289,73,39,129,215,23,7,49,433,289,73,39,129,215,23,7,49
投票所までの時間別５分以内,100.0,66.7,16.9,9.0,29.8,49.7,5.3,1.6,11.3,100.0,66.7,16.9,9.0,29.8,49.7,5.3,1.6,11.3
投票所までの時間別10分以内,1067,720,201,85,293,522,62,9,149,1067,720,201,85,293,522,62,9,149
投票所までの時間別10分以内,100.0,67.5,18.8,8.0,27.5,48.9,5.8,0.8,14.0,100.0,67.5,18.8,8.0,27.5,48.9,5.8,0.8,14.0
投票所までの時間別20分以内,288,185,35,8,45,116,12,2,59,288,185,35,8,45,116,12,2,59
投票所までの時間別20分以内,100.0,64.2,12.2,2.8,15.6,40.3,4.2,0.7,20.5,100.0,64.2,12.2,2.8,15.6,40.3,4.2,0.7,20.5
投票所までの時間別30分以内,21,15,1,1,2,5,2,-,6,21,15,1,1,2,5,2,,6
投票所までの時間別30分以内,100.0,71.4,4.8,4.8,9.5,23.8,9.5,-,28.6,100.0,71.4,4.8,4.8,9.5,23.8,9.5,,28.6
投票所までの時間別30分を超える,3,2,2,-,-,3,-,-,-,3,2,2,,,3,,,
投票所までの時間別30分を超える,100.0,66.7,66.7,-,-,100.0,-,-,-,100.0,66.7,66.7,,,100.0,,,
投票所までの時間別わからない,11,3,-,-,1,-,-,-,7,11,3,,,1,,,,7
投票所までの時間別わからない,100.0,27.3,-,-,9.1,-,-,-,63.6,100.0,27.3,,,9.1,,,,63.6
地域別区部（計）,1381,915,268,106,364,677,83,,200,1381,915,268,106,364,677,83,,200
地域別区部（計）,100.0,66.3,19.4,7.7,26.4,49.0,6.0,,14.5,100.0,66.3,19.4,7.7,26.4,49.0,6.0,,14.5
地域別センターコア,388,261,68,42,108,191,20,-,50,388,261,68,42,108,191,20,,50
地域別センターコア,100.0,67.3,17.5,10.8,27.8,49.2,5.2,-,12.9,100.0,67.3,17.5,10.8,27.8,49.2,5.2,,12.9
地域別区部東部・北部エリア,398,271,89,20,117,189,23,5,61,398,271,89,20,117,189,23,5,61
地域別区部東部・北部エリア,100.0,68.1,22.4,5.0,29.4,47.5,5.8,1.3,15.3,100.0,68.1,22.4,5.0,29.4,47.5,5.8,1.3,15.3
地域別区部西部・南部エリア,595,383,111,44,139,297,40,6,89,595,383,111,44,139,297,40,6,89
地域別区部西部・南部エリア,100.0,64.4,18.7,7.4,23.4,49.9,6.7,1.0,15.0,100.0,64.4,18.7,7.4,23.4,49.9,6.7,1.0,15.0
地域別市郡部（計）,442,299,44,27,106,184,16,7,70,442,299,44,27,106,184,16,7,70
地域別市郡部（計）,100.0,67.6,10.0,6.1,24.0,41.6,3.6,1.6,15.8,100.0,67.6,10.0,6.1,24.0,41.6,3.6,1.6,15.8
地域別多摩東部エリア,132,85,10,13,37,57,5,3,22,132,85,10,13,37,57,5,3,22
地域別多摩東部エリア,100.0,64.4,7.6,9.8,28.0,43.2,3.8,2.3,16.7,100.0,64.4,7.6,9.8,28.0,43.2,3.8,2.3,16.7
地域別多摩中央部北エリア,70,55,12,3,27,31,2,-,5,70,55,12,3,27,31,2,,5
地域別多摩中央部北エリア,100.0,78.6,17.1,4.3,38.6,44.3,2.9,-,7.1,100.0,78.6,17.1,4.3,38.6,44.3,2.9,,7.1
地域別多摩中央部南エリア,201,136,19,10,31,78,6,2,39,201,136,19,10,31,78,6,2,39
地域別多摩中央部南エリア,100.0,67.7,9.5,5.0,15.4,38.8,3.0,1.0,19.4,100.0,67.7,9.5,5.0,15.4,38.8,3.0,1.0,19.4
地域別多摩西部エリア,39,23,3,1,11,18,3,2,4,39,23,3,1,11,18,3,2,4
地域別多摩西部エリア,100.0,59.0,7.7,2.6,28.2,46.2,7.7,5.1,10.3,100.0,59.0,7.7,2.6,28.2,46.2,7.7,5.1,10.3
選挙への関心度別関心があった（計）,1283,941,259,110,405,702,79,14,92,1424,1037,278,116,436,759,84,16,110
選挙への関心度別関心があった（計）,100.0,73.3,20.2,8.6,31.6,54.7,6.2,1.1,7.2,100.0,72.8,19.5,8.1,30.6,53.3,5.9,1.1,7.7
選挙への関心度別関心があった,633,489,133,52,237,339,46,9,38,769,590,155,57,282,401,54,14,49
選挙への関心度別関心があった,100.0,77.3,21.0,8.2,37.4,53.6,7.3,1.4,6.0,100.0,76.7,20.2,7.4,36.7,52.1,7.0,1.8,6.4
選挙への関心度別やや関心があった,650,452,126,58,168,363,33,5,54,655,447,123,59,154,358,30,2,61
選挙への関心度別やや関心があった,100.0,69.5,19.4,8.9,25.8,55.8,5.1,0.8,8.3,100.0,68.2,18.8,9.0,23.5,54.7,4.6,0.3,9.3
選挙への関心度別関心がなかった（計）,227,105,16,2,21,56,13,3,92,175,74,11,,13,35,12,1,81
選挙への関心度別関心がなかった（計）,100.0,46.3,7.0,0.9,9.3,24.7,5.7,1.3,40.5,100.0,42.3,6.3,,7.4,20.0,6.9,0.6,46.3
選挙への関心度別あまり関心がなかった,125,69,11,2,15,34,8,3,40,89,49,7,,11,19,8,1,31
選挙への関心度別あまり関心がなかった,100.0,55.2,8.8,1.6,12.0,27.2,6.4,2.4,32.0,100.0,55.1,7.9,,12.4,21.3,9.0,1.1,34.8
選挙への関心度別関心がなかった,102,36,5,-,6,22,5,-,52,86,25,4,,2,16,4,,50
選挙への関心度別関心がなかった,100.0,35.3,4.9,-,5.9,21.6,4.9,-,51.0,100.0,29.1,4.7,,2.3,18.6,4.7,,58.1
選挙への関心度別どちらともいえない,298,167,37,21,44,102,7,1,73,209,102,23,17,21,66,3,1,66
選挙への関心度別どちらともいえない,100.0,56.0,12.4,7.0,14.8,34.2,2.3,0.3,24.5,100.0,48.8,11.0,8.1,10.0,31.6,1.4,0.5,31.6
選挙への関心度別わからない,15,1,-,-,-,1,-,-,13,15,1,,,,1,,,13
選挙への関心度別わからない,100.0,6.7,-,-,-,6.7,-,-,86.7,100.0,6.7,,,,6.7,,,86.7
投票への意識別投票するべき（計）,1434,1031,271,125,428,764,81,17,121,1443,1037,273,125,432,768,81,17,123
投票への意識別投票するべき（計）,100.0,71.9,18.9,8.7,29.8,53.3,5.6,1.2,8.4,100.0,71.9,18.9,8.7,29.9,53.2,5.6,1.2,8.5
投票への意識別必ず投票するべき,596,448,135,42,228,329,43,13,36,615,463,140,42,237,340,42,14,38
投票への意識別必ず投票するべき,100.0,75.2,22.7,7.0,38.3,55.2,7.2,2.2,6.0,100.0,75.3,22.8,6.8,38.5,55.3,6.8,2.3,6.2
投票への意識別可能な限り投票するべき,838,583,136,83,200,435,38,4,85,828,574,133,83,195,428,39,3,85
投票への意識別可能な限り投票するべき,100.0,69.6,16.2,9.9,23.9,51.9,4.5,0.5,10.1,100.0,69.3,16.1,10.0,23.6,51.7,4.7,0.4,10.3
投票への意識別投票するのもしないのも自由,344,170,41,7,38,92,17,-,122,335,163,39,7,34,88,17,,121
投票への意識別投票するのもしないのも自由,100.0,49.4,11.9,2.0,11.0,26.7,4.9,-,35.5,100.0,48.7,11.6,2.1,10.1,26.3,5.1,,36.1
投票への意識別その他,1,1,-,-,-,-,-,-,-,1,1,,,,,,,
投票への意識別その他,100.0,100.0,-,-,-,-,-,-,-,100.0,100.0,,,,,,,
投票への意識別わからない,44,12,-,1,4,5,1,1,27,44,13,,1,4,5,1,1,26
投票への意識別わからない,100.0,27.3,-,2.3,9.1,11.4,2.3,2.3,61.4,100.0,29.5,,2.3,9.1,11.4,2.3,2.3,59.1
投票への参加状況別投票した（計）,1435,1042,283,129,441,767,82,18,113,1491,1081,289,132,447,784,87,17,122
投票への参加状況別投票した（計）,100.0,72.6,19.7,9.0,30.7,53.4,5.7,1.3,7.9,100.0,72.5,19.4,8.9,30.0,52.6,5.8,1.1,8.2
投票への参加状況別投票日に投票した,1226,892,239,111,367,669,63,12,98,1254,912,235,111,364,664,62,12,107
投票への参加状況別投票日に投票した,100.0,72.8,19.5,9.1,29.9,54.6,5.1,1.0,8.0,100.0,72.7,18.7,8.9,29.0,53.0,4.9,1.0,8.5
投票への参加状況別期日前投票（又は不在者投票等）をした,209,150,44,18,74,98,19,6,15,237,169,54,21,83,120,25,5,15
投票への参加状況別期日前投票（又は不在者投票等）をした,100,71.8,21.1,8.6,35.4,46.9,9.1,2.9,7.2,100.0,71.3,22.8,8.9,35.0,50.6,10.5,2.1,6.3
投票への参加状況別投票しなかった,377,169,29,4,28,93,17,-,149,321,131,23,1,22,76,12,1,140
投票への参加状況別投票しなかった,100.0,44.8,7.7,1.1,7.4,24.7,4.5,-,39.5,100.0,40.8,7.2,0.3,6.9,23.7,3.7,0.3,43.6
投票への参加状況別答えたくない,11,3,-,-,1,1,-,-,8,11,2,,,1,1,,,8
投票への参加状況別答えたくない,100.0,27.3,-,-,9.1,9.1,-,-,72.7,100.0,18.2,,,9.1,9.1,,,72.7
新聞の定期購読別定期購読している,1240,880,243,107,346,632,64,10,135,1240,880,243,107,346,632,64,10,135
新聞の定期購読別定期購読している,100.0,71.0,19.6,8.6,27.9,51.0,5.2,0.8,10.9,100.0,71.0,19.6,8.6,27.9,51.0,5.2,0.8,10.9
新聞の定期購読別定期購読していない,583,334,69,26,124,229,35,8,135,583,334,69,26,124,229,35,8,135
新聞の定期購読別定期購読していない,100.0,57.3,11.8,4.5,21.3,39.3,6.0,1.4,23.2,100.0,57.3,11.8,4.5,21.3,39.3,6.0,1.4,23.2
インターネットの利用有無別インターネットを利用している,1055,753,220,100,300,539,61,13,100,1055,753,220,100,300,539,61,13,100
インターネットの利用有無別インターネットを利用している,100.0,71.4,20.9,9.5,28.4,51.1,5.8,1.2,9.5,100.0,71.4,20.9,9.5,28.4,51.1,5.8,1.2,9.5
インターネットの利用有無別インターネットを利用していない,768,461,92,33,170,322,38,5,170,768,461,92,33,170,322,38,5,170
インターネットの利用有無別インターネットを利用していない,100.0,60.0,12.0,4.3,22.1,41.9,4.9,0.7,22.1,100.0,60.0,12.0,4.3,22.1,41.9,4.9,0.7,22.1
