,調査数,候補者等のホームページ・ブログ,候補者等のツイッター・フェイスブック等のＳＮＳ,候補者等からのメール,YouTubeなど動画共有サイトでの選挙関連の動画,候補者以外のホームページ・ブログ,候補者以外のツイッター・フェイスブック等のＳＮＳ,ニュースサイトや選挙情報サイト,まとめサイトや電子掲示板などその他のサイト,触れていない、見ていない,その他,わからない、忘れた,無回答
性／年齢別男性50歳代,93,11,6,2,7,6,3,25,6,55,-,4,2
性／年齢別男性50歳代,100.0,11.8,6.5,2.2,7.5,6.5,3.2,26.9,6.5,59.1,-,4.3,2.2
性／年齢別男性60歳代,110,9,1,-,-,2,1,17,2,77,-,8,2
性／年齢別男性60歳代,100.0,8.2,0.9,-,-,1.8,0.9,15.5,1.8,70.0,-,7.3,1.8
性／年齢別男性70歳代,75,3,1,1,-,1,-,2,-,56,-,12,2
性／年齢別男性70歳代,100.0,4.0,1.3,1.3,-,1.3,-,2.7,-,74.7,-,16.0,2.7
性／年齢別男性80歳以上,20,1,-,1,-,-,-,1,-,12,1,4,1
性／年齢別男性80歳以上,100.0,5.0,-,5.0,-,-,-,5.0,-,60.0,5.0,20.0,5.0
性／年齢別女性20歳代,24,4,3,-,2,4,4,9,4,10,-,2,-
性／年齢別女性20歳代,100.0,16.7,12.5,-,8.3,16.7,16.7,37.5,16.7,41.7,-,8.3,-
性／年齢別女性30歳代,79,17,13,1,8,4,4,37,10,27,1,2,2
性／年齢別女性30歳代,100.0,21.5,16.5,1.3,10.1,5.1,5.1,46.8,12.7,34.2,1.3,2.5,2.5
性／年齢別女性40歳代,125,11,7,-,5,5,4,36,12,70,-,6,3
性／年齢別女性40歳代,100.0,8.8,5.6,-,4.0,4.0,3.2,28.8,9.6,56.0,-,4.8,2.4
性／年齢別女性50歳代,85,7,4,1,5,1,2,11,4,58,-,6,3
性／年齢別女性50歳代,100.0,8.2,4.7,1.2,5.9,1.2,2.4,12.9,4.7,68.2,-,7.1,3.5
性／年齢別女性60歳代,103,8,-,-,2,2,1,10,1,81,-,4,3
性／年齢別女性60歳代,100.0,7.8,-,-,1.9,1.9,1.0,9.7,1.0,78.6,-,3.9,2.9
性／年齢別女性70歳代,76,3,-,-,1,-,-,4,-,55,-,13,2
性／年齢別女性70歳代,100.0,3.9,-,-,1.3,-,-,5.3,-,72.4,-,17.1,2.6
性／年齢別女性80歳以上,16,-,-,-,-,-,-,1,-,11,-,4,-
性／年齢別女性80歳以上,100.0,-,-,-,-,-,-,6.3,-,68.8,-,25.0,-
未・既婚別未婚（死別・離別を含む）,279,47,27,4,22,25,17,86,31,136,2,26,4
未・既婚別未婚（死別・離別を含む）,100.0,16.8,9.7,1.4,7.9,9.0,6.1,30.8,11.1,48.7,0.7,9.3,1.4
未・既婚別既婚,711,68,30,3,18,22,19,151,46,448,1,45,17
未・既婚別既婚,100.0,9.6,4.2,0.4,2.5,3.1,2.7,21.2,6.5,63.0,0.1,6.3,2.4
子供の有無別子供はいない,280,48,30,4,22,28,21,100,38,128,2,19,4
子供の有無別子供はいない,100.0,17.1,10.7,1.4,7.9,10.0,7.5,35.7,13.6,45.7,0.7,6.8,1.4
子供の有無別未就学（～６歳）,70,18,11,-,6,7,5,30,12,29,-,2,2
子供の有無別未就学（～６歳）,100.0,25.7,15.7,-,8.6,10.0,7.1,42.9,17.1,41.4,-,2.9,2.9
子供の有無別小・中・高校生,185,23,10,-,4,6,6,58,16,101,-,6,5
子供の有無別小・中・高校生,100.0,12.4,5.4,-,2.2,3.2,3.2,31.4,8.6,54.6,-,3.2,2.7
子供の有無別大学生・大学院生・短大生・専門学校生,63,8,3,1,2,4,1,15,7,37,-,2,1
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,12.7,4.8,1.6,3.2,6.3,1.6,23.8,11.1,58.7,-,3.2,1.6
子供の有無別学校教育終了,415,23,6,3,8,4,3,44,6,301,1,41,10
子供の有無別学校教育終了,100.0,5.5,1.4,0.7,1.9,1.0,0.7,10.6,1.4,72.5,0.2,9.9,2.4
子供の有無別その他,8,1,-,-,1,-,-,2,-,4,-,1,1
子供の有無別その他,100.0,12.5,-,-,12.5,-,-,25.0,-,50.0,-,12.5,12.5
職業別自営業（計）,92,15,10,2,8,8,11,24,9,47,1,8,1
職業別自営業（計）,100.0,16.3,10.9,2.2,8.7,8.7,12.0,26.1,9.8,51.1,1.1,8.7,1.1
職業別農林漁業,2,1,-,-,1,-,-,-,-,1,-,-,-
職業別農林漁業,100.0,50.0,-,-,50.0,-,-,-,-,50.0,-,-,-
職業別商工・サービス業,37,3,2,-,2,3,3,8,4,21,1,4,1
職業別商工・サービス業,100.0,8.1,5.4,-,5.4,8.1,8.1,21.6,10.8,56.8,2.7,10.8,2.7
職業別その他自由業,53,11,8,2,5,5,8,16,5,25,-,4,-
職業別その他自由業,100.0,20.8,15.1,3.8,9.4,9.4,15.1,30.2,9.4,47.2,-,7.5,-
職業別お勤め（計）,452,70,35,3,24,29,19,154,52,235,-,18,6
職業別お勤め（計）,100.0,15.5,7.7,0.7,5.3,6.4,4.2,34.1,11.5,52.0,-,4.0,1.3
職業別経営・管理職,69,8,1,-,2,2,1,20,7,40,-,2,2
職業別経営・管理職,100.0,11.6,1.4,-,2.9,2.9,1.4,29.0,10.1,58.0,-,2.9,2.9
職業別専門職・技術職,142,23,13,1,8,11,7,52,17,74,-,4,1
職業別専門職・技術職,100.0,16.2,9.2,0.7,5.6,7.7,4.9,36.6,12.0,52.1,-,2.8,0.7
職業別事務職,124,21,10,-,8,6,5,46,10,63,-,2,2
職業別事務職,100.0,16.9,8.1,-,6.5,4.8,4.0,37.1,8.1,50.8,-,1.6,1.6
職業別労務職・技能職,38,7,4,2,1,3,2,12,6,20,-,1,-
職業別労務職・技能職,100.0,18.4,10.5,5.3,2.6,7.9,5.3,31.6,15.8,52.6,-,2.6,-
職業別販売・サービス職,79,11,7,-,5,7,4,24,12,38,-,9,1
職業別販売・サービス職,100.0,13.9,8.9,-,6.3,8.9,5.1,30.4,15.2,48.1,-,11.4,1.3
職業別その他（計）,447,30,12,2,8,10,6,59,16,303,2,45,14
職業別その他（計）,100.0,6.7,2.7,0.4,1.8,2.2,1.3,13.2,3.6,67.8,0.4,10.1,3.1
職業別学生,11,2,1,-,-,1,1,2,2,6,-,1,-
職業別学生,100.0,18.2,9.1,-,-,9.1,9.1,18.2,18.2,54.5,-,9.1,-
職業別専業主婦（夫）,221,12,6,-,3,3,1,39,9,158,-,13,4
職業別専業主婦（夫）,100.0,5.4,2.7,-,1.4,1.4,0.5,17.6,4.1,71.5,-,5.9,1.8
職業別その他,35,5,4,-,1,3,3,6,2,22,1,1,-
職業別その他,100.0,14.3,11.4,-,2.9,8.6,8.6,17.1,5.7,62.9,2.9,2.9,-
職業別無職（年金受給者含む）,180,11,1,2,4,3,1,12,3,117,1,30,10
職業別無職（年金受給者含む）,100.0,6.1,0.6,1.1,2.2,1.7,0.6,6.7,1.7,65.0,0.6,16.7,5.6
投票所までの時間別５分以内,388,55,36,5,18,19,19,92,28,220,2,31,10
投票所までの時間別５分以内,100.0,14.2,9.3,1.3,4.6,4.9,4.9,23.7,7.2,56.7,0.5,8.0,2.6
投票所までの時間別10分以内,467,46,17,1,19,24,12,109,34,287,1,34,6
投票所までの時間別10分以内,100.0,9.9,3.6,0.2,4.1,5.1,2.6,23.3,7.3,61.5,0.2,7.3,1.3
投票所までの時間別20分以内,101,9,3,1,1,3,5,16,8,64,-,5,5
投票所までの時間別20分以内,100.0,8.9,3.0,1.0,1.0,3.0,5.0,15.8,7.9,63.4,-,5.0,5.0
投票所までの時間別30分以内,19,5,1,-,2,-,-,15,5,3,-,1,-
投票所までの時間別30分以内,100.0,26.3,5.3,-,10.5,-,-,78.9,26.3,15.8,-,5.3,-
投票所までの時間別30分を超える,19,1,-,-,-,1,-,5,2,13,-,-,-
投票所までの時間別30分を超える,100.0,5.3,-,-,-,5.3,-,26.3,10.5,68.4,-,-,-
地域別区部（計）,730,89,47,7,37,41,33,191,67,396,3,67,14
地域別区部（計）,100.0,12.2,6.4,1.0,5.1,5.6,4.5,26.2,9.2,54.2,0.4,9.2,1.9
地域別センターコア,216,34,17,1,19,19,9,78,25,94,-,25,1
地域別センターコア,100.0,15.7,7.9,0.5,8.8,8.8,4.2,36.1,11.6,43.5,-,11.6,0.5
地域別区部東部・北部エリア,200,22,14,-,10,16,14,46,20,121,2,17,1
地域別区部東部・北部エリア,100.0,11.0,7.0,-,5.0,8.0,7.0,23.0,10.0,60.5,1.0,8.5,0.5
地域別区部西部・南部エリア,314,33,16,6,8,6,10,67,22,181,1,25,12
地域別区部西部・南部エリア,100.0,10.5,5.1,1.9,2.5,1.9,3.2,21.3,7.0,57.6,0.3,8.0,3.8
地域別市郡部（計）,269,27,10,-,3,6,3,46,10,195,-,4,8
地域別市郡部（計）,100.0,10.0,3.7,-,1.1,2.2,1.1,17.1,3.7,72.5,-,1.5,3.0
地域別多摩東部エリア,89,16,7,-,1,1,-,18,-,61,-,-,1
地域別多摩東部エリア,100.0,18.0,7.9,-,1.1,1.1,-,20.2,-,68.5,-,-,1.1
地域別多摩中央部北エリア,40,1,-,-,-,1,-,5,-,29,-,1,5
地域別多摩中央部北エリア,100.0,2.5,-,-,-,2.5,-,12.5,-,72.5,-,2.5,12.5
地域別多摩中央部南エリア,129,9,3,-,2,4,3,23,10,97,-,1,2
地域別多摩中央部南エリア,100.0,7.0,2.3,-,1.6,3.1,2.3,17.8,7.8,75.2,-,0.8,1.6
地域別多摩西部エリア,11,1,-,-,-,-,-,-,-,8,-,2,-
地域別多摩西部エリア,100.0,9.1,-,-,-,-,-,-,-,72.7,-,18.2,-
選挙への関心度別関心があった（計）,853,106,53,6,36,45,33,211,65,504,2,57,15
選挙への関心度別関心があった（計）,100.0,12.4,6.2,0.7,4.2,5.3,3.9,24.7,7.6,59.1,0.2,6.7,1.8
選挙への関心度別関心があった,530,71,35,3,21,29,22,125,44,316,1,37,7
選挙への関心度別関心があった,100.0,13.4,6.6,0.6,4.0,5.5,4.2,23.6,8.3,59.6,0.2,7.0,1.3
選挙への関心度別やや関心があった,323,35,18,3,15,16,11,86,21,188,1,20,8
選挙への関心度別やや関心があった,100.0,10.8,5.6,0.9,4.6,5.0,3.4,26.6,6.5,58.2,0.3,6.2,2.5
選挙への関心度別関心がなかった（計）,70,3,1,1,3,1,2,11,7,46,-,7,3
選挙への関心度別関心がなかった（計）,100.0,4.3,1.4,1.4,4.3,1.4,2.9,15.7,10.0,65.7,-,10.0,4.3
選挙への関心度別あまり関心がなかった,59,2,1,1,2,1,2,10,5,40,-,4,3
選挙への関心度別あまり関心がなかった,100.0,3.4,1.7,1.7,3.4,1.7,3.4,16.9,8.5,67.8,-,6.8,5.1
選挙への関心度別関心がなかった,11,1,-,-,1,-,-,1,2,6,-,3,-
選挙への関心度別関心がなかった,100.0,9.1,-,-,9.1,-,-,9.1,18.2,54.5,-,27.3,-
選挙への関心度別どちらともいえない,76,7,3,-,1,1,1,15,5,41,1,7,4
選挙への関心度別どちらともいえない,100.0,9.2,3.9,-,1.3,1.3,1.3,19.7,6.6,53.9,1.3,9.2,5.3
選挙への関心度別わからない、答えたくない,-,-,-,-,-,-,-,-,-,-,-,-,-
選挙への関心度別わからない、答えたくない,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別必ず投票するべき,541,57,27,3,14,19,13,118,36,335,1,43,8
投票への意識別必ず投票するべき,100.0,10.5,5.0,0.6,2.6,3.5,2.4,21.8,6.7,61.9,0.2,7.9,1.5
投票への意識別可能な限り投票するべき,396,50,22,3,22,21,16,107,35,221,1,25,10
投票への意識別可能な限り投票するべき,100.0,12.6,5.6,0.8,5.6,5.3,4.0,27.0,8.8,55.8,0.3,6.3,2.5
投票への意識別投票するのもしないのも自由,56,8,8,1,4,6,7,11,6,32,-,3,3
投票への意識別投票するのもしないのも自由,100.0,14.3,14.3,1.8,7.1,10.7,12.5,19.6,10.7,57.1,-,5.4,5.4
投票への意識別その他,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別その他,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別わからない,3,1,-,-,-,1,-,1,-,1,-,-,1
投票への意識別わからない,100.0,33.3,-,-,-,33.3,-,33.3,-,33.3,-,-,33.3
投票への参加状況別投票した（計）,999,116,57,7,40,47,36,237,77,591,3,71,22
投票への参加状況別投票した（計）,100.0,11.6,5.7,0.7,4.0,4.7,3.6,23.7,7.7,59.2,0.3,7.1,2.2
投票への参加状況別投票日（２月９日）に投票した,827,87,43,3,34,36,27,194,67,498,3,58,18
投票への参加状況別投票日（２月１０日）に投票した,100.0,10.5,5.2,0.4,4.1,4.4,3.3,23.5,8.1,60.2,0.4,7.0,2.2
投票への参加状況別期日前投票（又は不在者投票等）をした,172,29,14,4,6,11,9,43,10,93,-,13,4
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,16.9,8.1,2.3,3.5,6.4,5.2,25.0,5.8,54.1,-,7.6,2.3
投票への参加状況別投票しなかった,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票しなかった,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-,-,-,-
ネット投票の認知度別知っている,733,110,51,7,37,42,33,201,73,425,3,28,10
ネット投票の認知度別知っている,100.0,15.0,7.0,1.0,5.0,5.7,4.5,27.4,10.0,58.0,0.4,3.8,1.4
ネット投票の認知度別知らなかった,242,6,6,-,3,5,3,36,4,150,-,40,7
ネット投票の認知度別知らなかった,100.0,2.5,2.5,-,1.2,2.1,1.2,14.9,1.7,62.0,-,16.5,2.9
インターネットの利用有無別インターネットを利用している,543,114,57,5,40,47,36,224,76,227,2,13,6
インターネットの利用有無別インターネットを利用している,100.0,21.0,10.5,0.9,7.4,8.7,6.6,41.3,14.0,41.8,0.4,2.4,1.1
インターネットの利用有無別インターネットを利用していない,454,2,-,2,-,-,-,13,1,363,1,57,16
インターネットの利用有無別インターネットを利用していない,100.0,0.4,-,0.4,-,-,-,2.9,0.2,80.0,0.2,12.6,3.5
新聞の定期購読別定期購読している,741,71,26,6,16,23,13,146,40,475,3,57,14
新聞の定期購読別定期購読している,100.0,9.6,3.5,0.8,2.2,3.1,1.8,19.7,5.4,64.1,0.4,7.7,1.9
新聞の定期購読別定期購読していない,254,45,31,1,24,24,23,90,37,114,-,13,8
新聞の定期購読別定期購読していない,100.0,17.7,12.2,0.4,9.4,9.4,9.1,35.4,14.6,44.9,-,5.1,3.1
