,問６調査数,問６目にした,問６目にしなかった,問６わからない、忘れた,問６無回答,問６－１調査数,問６－１各戸配布（新聞折込以外）,問６－１新聞折込で配布,問６－１区市町村からの郵送,問６－１公共施設等に置いてあった,問６－１都及び区市町村のホームページ,問６－１わからない、忘れた,問６－１無回答
性／年齢別女性20歳代,152,25,107,19,1,25,16,5,1,3,-,-,1
性／年齢別女性20歳代,100.0,16.4,70.4,12.5,0.7,100.0,64.0,20.0,4.0,12.0,-,-,4.0
性／年齢別女性30歳代,202,93,91,18,-,93,53,34,4,12,3,1,3
性／年齢別女性30歳代,100.0,46.0,45.0,8.9,-,100.0,57.0,36.6,4.3,12.9,3.2,1.1,3.2
性／年齢別女性40歳代,222,133,66,23,-,133,59,72,3,14,3,-,1
性／年齢別女性40歳代,100.0,59.9,29.7,10.4,-,100.0,44.4,54.1,2.3,10.5,2.3,-,0.8
性／年齢別女性50歳代,145,97,37,11,-,97,36,61,-,8,2,2,3
性／年齢別女性50歳代,100.0,66.9,25.5,7.6,-,100.0,37.1,62.9,-,8.2,2.1,2.1,3.1
性／年齢別女性60歳代,158,110,35,13,-,110,43,63,3,7,3,4,-
性／年齢別女性60歳代,100.0,69.6,22.2,8.2,-,100.0,39.1,57.3,2.7,6.4,2.7,3.6,-
性／年齢別女性70歳代,114,72,23,19,-,72,27,44,3,8,1,-,3
性／年齢別女性70歳代,100.0,63.2,20.2,16.7,-,100.0,37.5,61.1,4.2,11.1,1.4,-,4.2
性／年齢別女性80歳以上,51,28,12,10,1,28,16,11,1,3,-,1,-
性／年齢別女性80歳以上,100.0,54.9,23.5,19.6,2.0,100.0,57.1,39.3,3.6,10.7,-,3.6,-
未・既婚別未婚（死別・離別を含む）,801,292,400,106,3,292,146,129,5,23,12,7,5
未・既婚別未婚（死別・離別を含む）,100.0,36.5,49.9,13.2,0.4,100.0,50.0,44.2,1.7,7.9,4.1,2.4,1.7
未・既婚別既婚,1188,787,296,105,-,787,302,455,23,78,15,21,17
未・既婚別既婚,100.0,66.2,24.9,8.8,-,100.0,38.4,57.8,2.9,9.9,1.9,2.7,2.2
子供の有無別子供はいない,779,278,400,99,2,278,135,124,5,30,13,5,4
子供の有無別子供はいない,100.0,35.7,51.3,12.7,0.3,100.0,48.6,44.6,1.8,10.8,4.7,1.8,1.4
子供の有無別未就学（～６歳）,155,78,59,18,-,78,29,37,2,9,5,2,6
子供の有無別未就学（～６歳）,100.0,50.3,38.1,11.6,-,100.0,37.2,47.4,2.6,11.5,6.4,2.6,7.7
子供の有無別小・中・高校生,320,211,82,27,-,211,91,117,4,18,3,2,3
子供の有無別小・中・高校生,100.0,65.9,25.6,8.4,-,100.0,43.1,55.5,1.9,8.5,1.4,0.9,1.4
子供の有無別大学生・大学院生・短大生・専門学校生,92,62,23,7,-,62,21,40,1,3,1,-,1
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,67.4,25.0,7.6,-,100.0,33.9,64.5,1.6,4.8,1.6,-,1.6
子供の有無別学校教育終了,671,473,136,61,1,473,176,285,16,43,6,16,9
子供の有無別学校教育終了,100.0,70.5,20.3,9.1,0.1,100.0,37.2,60.3,3.4,9.1,1.3,3.4,1.9
子供の有無別その他,11,6,4,1,-,6,2,3,-,-,-,1,-
子供の有無別その他,100.0,54.5,36.4,9.1,-,100.0,33.3,50.0,-,-,-,16.7,-
職業別自営業（計）,174,83,69,22,-,83,36,49,1,10,2,2,-
職業別自営業（計）,100.0,47.7,39.7,12.6,-,100.0,43.4,59.0,1.2,12.0,2.4,2.4,-
職業別農林漁業,2,-,2,-,-,-,-,-,-,-,-,-,-
職業別農林漁業,100.0,-,100.0,-,-,-,-,-,-,-,-,-,-
職業別商工・サービス業,71,33,28,10,-,33,15,16,1,7,1,1,-
職業別商工・サービス業,100.0,46.5,39.4,14.1,-,100.0,45.5,48.5,3.0,21.2,3.0,3.0,-
職業別その他自由業,101,50,39,12,-,50,21,33,-,3,1,1,-
職業別その他自由業,100.0,49.5,38.6,11.9,-,100.0,42.0,66.0,-,6.0,2.0,2.0,-
職業別お勤め（計）,981,478,420,81,2,478,186,258,10,46,18,14,13
職業別お勤め（計）,100.0,48.7,42.8,8.3,0.2,100.0,38.9,54.0,2.1,9.6,3.8,2.9,2.7
職業別経営・管理職,109,72,29,8,-,72,15,62,3,11,2,2,2
職業別経営・管理職,100.0,66.1,26.6,7.3,-,100.0,20.8,86.1,4.2,15.3,2.8,2.8,2.8
職業別専門職・技術職,261,143,103,14,1,143,55,73,3,20,4,4,4
職業別専門職・技術職,100.0,54.8,39.5,5.4,0.4,100.0,38.5,51.0,2.1,14.0,2.8,2.8,2.8
職業別事務職,305,148,132,24,1,148,73,71,3,7,3,3,2
職業別事務職,100.0,48.5,43.3,7.9,0.3,100.0,49.3,48.0,2.0,4.7,2.0,2.0,1.4
職業別労務職・技能職,89,37,42,10,-,37,14,12,1,4,4,3,3
職業別労務職・技能職,100.0,41.6,47.2,11.2,-,100.0,37.8,32.4,2.7,10.8,10.8,8.1,8.1
職業別販売・サービス職,217,78,114,25,-,78,29,40,-,4,5,2,2
職業別販売・サービス職,100.0,35.9,52.5,11.5,-,100.0,37.2,51.3,-,5.1,6.4,2.6,2.6
職業別その他（計）,841,520,211,109,1,520,226,278,17,46,7,12,9
職業別その他（計）,100.0,61.8,25.1,13.0,0.1,100.0,43.5,53.5,3.3,8.8,1.3,2.3,1.7
職業別学生,53,11,26,16,-,11,1,7,1,2,-,-,1
職業別学生,100.0,20.8,49.1,30.2,-,100.0,9.1,63.6,9.1,18.2,-,-,9.1
職業別専業主婦（夫）,391,266,89,35,1,266,112,133,7,26,3,5,5
職業別専業主婦（夫）,100.0,68.0,22.8,9.0,0.3,100.0,42.1,50.0,2.6,9.8,1.1,1.9,1.9
職業別その他,62,31,24,7,-,31,17,16,-,1,1,-,-
職業別その他,100.0,50.0,38.7,11.3,-,100.0,54.8,51.6,-,3.2,3.2,-,-
職業別無職（年金受給者含む）,335,212,72,51,-,212,96,122,9,17,3,7,3
職業別無職（年金受給者含む）,100.0,63.3,21.5,15.2,-,100.0,45.3,57.5,4.2,8.0,1.4,3.3,1.4
投票所までの時間別５分以内,636,385,201,49,1,385,193,201,12,24,9,7,8
投票所までの時間別５分以内,100.0,60.5,31.6,7.7,0.2,100.0,50.1,52.2,3.1,6.2,2.3,1.8,2.1
投票所までの時間別10分以内,1060,532,411,115,2,532,199,294,8,47,11,13,10
投票所までの時間別10分以内,100.0,50.2,38.8,10.8,0.2,100.0,37.4,55.3,1.5,8.8,2.1,2.4,1.9
投票所までの時間別20分以内,221,112,75,34,-,112,36,67,2,10,4,4,2
投票所までの時間別20分以内,100.0,50.7,33.9,15.4,-,100.0,32.1,59.8,1.8,8.9,3.6,3.6,1.8
投票所までの時間別30分以内,50,31,4,15,-,31,14,12,5,20,2,2,1
投票所までの時間別30分以内,100.0,62.0,8.0,30.0,-,100.0,45.2,38.7,16.1,64.5,6.5,6.5,3.2
投票所までの時間別30分を超える,26,22,4,-,-,22,6,13,1,-,1,2,1
投票所までの時間別30分を超える,100.0,84.6,15.4,-,-,100.0,27.3,59.1,4.5,-,4.5,9.1,4.5
地域別区部（計）,1392,683,565,141,3,683,250,420,21,87,24,13,16
地域別区部（計）,100.0,49.1,40.6,10.1,0.2,100.0,36.6,61.5,3.1,12.7,3.5,1.9,2.3
地域別センターコア,372,208,143,20,1,208,90,131,5,18,6,3,2
地域別センターコア,100.0,55.9,38.4,5.4,0.3,100.0,43.3,63.0,2.4,8.7,2.9,1.4,1.0
地域別区部東部・北部エリア,408,180,195,31,2,180,62,105,4,25,4,3,5
地域別区部東部・北部エリア,100.0,44.1,47.8,7.6,0.5,100.0,34.4,58.3,2.2,13.9,2.2,1.7,2.8
地域別区部西部・南部エリア,612,295,227,90,-,295,98,184,12,44,14,7,9
地域別区部西部・南部エリア,100.0,48.2,37.1,14.7,-,100.0,33.2,62.4,4.1,14.9,4.7,2.4,3.1
地域別市郡部（計）,619,403,138,78,-,403,199,169,7,15,3,15,6
地域別市郡部（計）,100.0,65.1,22.3,12.6,-,100.0,49.4,41.9,1.7,3.7,0.7,3.7,1.5
地域別多摩東部エリア,235,144,53,38,-,144,93,36,2,6,2,5,2
地域別多摩東部エリア,100.0,61.3,22.6,16.2,-,100.0,64.6,25.0,1.4,4.2,1.4,3.5,1.4
地域別多摩中央部北エリア,88,48,24,16,-,48,23,22,-,3,-,2,-
地域別多摩中央部北エリア,100.0,54.5,27.3,18.2,-,100.0,47.9,45.8,-,6.3,-,4.2,-
地域別多摩中央部南エリア,261,183,54,24,-,183,68,98,5,6,1,8,4
地域別多摩中央部南エリア,100.0,70.1,20.7,9.2,-,100.0,37.2,53.6,2.7,3.3,0.5,4.4,2.2
地域別多摩西部エリア,35,28,7,-,-,28,15,13,-,-,-,-,-
地域別多摩西部エリア,100.0,80.0,20.0,-,-,100.0,53.6,46.4,-,-,-,-,-
選挙への関心度別関心があった（計）,1170,846,275,48,1,846,344,486,23,78,20,16,16
選挙への関心度別関心があった（計）,100.0,72.3,23.5,4.1,0.1,100.0,40.7,57.4,2.7,9.2,2.4,1.9,1.9
選挙への関心度別関心があった,636,502,116,17,1,502,200,304,16,45,10,7,10
選挙への関心度別関心があった,100.0,78.9,18.2,2.7,0.2,100.0,39.8,60.6,3.2,9.0,2.0,1.4,2.0
選挙への関心度別やや関心があった,534,344,159,31,-,344,144,182,7,33,10,9,6
選挙への関心度別やや関心があった,100.0,64.4,29.8,5.8,-,100.0,41.9,52.9,2.0,9.6,2.9,2.6,1.7
選挙への関心度別関心がなかった（計）,533,134,305,92,2,134,76,51,4,12,4,3,3
選挙への関心度別関心がなかった（計）,100.0,25.1,57.2,17.3,0.4,100.0,56.7,38.1,3.0,9.0,3.0,2.2,2.2
選挙への関心度別あまり関心がなかった,316,88,180,47,1,88,52,31,1,6,3,1,2
選挙への関心度別あまり関心がなかった,100.0,27.8,57.0,14.9,0.3,100.0,59.1,35.2,1.1,6.8,3.4,1.1,2.3
選挙への関心度別関心がなかった,217,46,125,45,1,46,24,20,3,6,1,2,1
選挙への関心度別関心がなかった,100.0,21.2,57.6,20.7,0.5,100.0,52.2,43.5,6.5,13.0,2.2,4.3,2.2
選挙への関心度別どちらともいえない,298,106,119,73,-,106,29,52,1,12,3,9,3
選挙への関心度別どちらともいえない,100.0,35.6,39.9,24.5,-,100.0,27.4,49.1,0.9,11.3,2.8,8.5,2.8
選挙への関心度別わからない、答えたくない,10,-,4,6,-,-,-,-,-,-,-,-,-
選挙への関心度別わからない、答えたくない,100.0,-,40.0,60.0,-,-,-,-,-,-,-,-,-
投票への意識別必ず投票するべき,609,492,98,18,1,492,186,307,17,41,7,8,8
投票への意識別必ず投票するべき,100.0,80.8,16.1,3.0,0.2,100.0,37.8,62.4,3.5,8.3,1.4,1.6,1.6
投票への意識別可能な限り投票するべき,845,460,315,68,2,460,187,236,10,48,14,13,13
投票への意識別可能な限り投票するべき,100.0,54.4,37.3,8.0,0.2,100.0,40.7,51.3,2.2,10.4,3.0,2.8,2.8
投票への意識別投票するのもしないのも自由,473,121,248,104,-,121,69,40,1,12,5,7,1
投票への意識別投票するのもしないのも自由,100.0,25.6,52.4,22.0,-,100.0,57.0,33.1,0.8,9.9,4.1,5.8,0.8
投票への意識別その他,8,-,8,-,-,-,-,-,-,-,-,-,-
投票への意識別その他,100.0,-,100.0,-,-,-,-,-,-,-,-,-,-
投票への意識別わからない,62,9,28,25,-,9,6,4,-,-,1,-,-
投票への意識別わからない,100.0,14.5,45.2,40.3,-,100.0,66.7,44.4,-,-,11.1,-,-
投票への参加状況別投票した（計）,999,736,215,47,1,736,280,442,20,68,22,12,16
投票への参加状況別投票した（計）,100.0,73.7,21.5,4.7,0.1,100.0,38.0,60.1,2.7,9.2,3.0,1.6,2.2
投票への参加状況別投票日（２月９日）に投票した,827,606,182,38,1,606,224,371,15,60,17,9,13
投票への参加状況別投票日（２月１０日）に投票した,100.0,73.3,22.0,4.6,0.1,100.0,37.0,61.2,2.5,9.9,2.8,1.5,2.1
投票への参加状況別期日前投票（又は不在者投票等）をした,172,130,33,9,-,130,56,71,5,8,5,3,3
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,75.6,19.2,5.2,-,100.0,43.1,54.6,3.8,6.2,3.8,2.3,2.3
投票への参加状況別投票しなかった,963,333,482,146,2,333,161,140,7,32,5,15,6
投票への参加状況別投票しなかった,100.0,34.6,50.1,15.2,0.2,100.0,48.3,42.0,2.1,9.6,1.5,4.5,1.8
投票への参加状況別答えたくない,42,13,5,24,-,13,6,6,1,2,-,-,-
投票への参加状況別答えたくない,100.0,31.0,11.9,57.1,-,100.0,46.2,46.2,7.7,15.4,-,-,-
ネット投票の認知度別知っている,1291,795,406,88,2,795,310,454,18,62,26,17,19
ネット投票の認知度別知っている,100.0,61.6,31.4,6.8,0.2,100.0,39.0,57.1,2.3,7.8,3.3,2.1,2.4
ネット投票の認知度別知らなかった,645,256,276,112,1,256,128,118,9,33,1,6,3
ネット投票の認知度別知らなかった,100.0,39.7,42.8,17.4,0.2,100.0,50.0,46.1,3.5,12.9,0.4,2.3,1.2
インターネットの利用有無別インターネットを利用している,1176,597,468,109,2,597,263,304,16,52,25,11,15
インターネットの利用有無別インターネットを利用している,100.0,50.8,39.8,9.3,0.2,100.0,44.1,50.9,2.7,8.7,4.2,1.8,2.5
インターネットの利用有無別インターネットを利用していない,832,488,234,109,1,488,185,285,12,50,2,17,7
インターネットの利用有無別インターネットを利用していない,100.0,58.7,28.1,13.1,0.1,100.0,37.9,58.4,2.5,10.2,0.4,3.5,1.4
新聞の定期購読別定期購読している,1206,824,299,82,1,824,261,556,16,66,15,20,18
新聞の定期購読別定期購読している,100.0,68.3,24.8,6.8,0.1,100.0,31.7,67.5,1.9,8.0,1.8,2.4,2.2
新聞の定期購読別定期購読していない,796,258,401,135,2,258,186,32,12,35,12,8,4
新聞の定期購読別定期購読していない,100.0,32.4,50.4,17.0,0.3,100.0,72.1,12.4,4.7,13.6,4.7,3.1,1.6
