,調査数,もともと政治や選挙そのものに関心があったから,もともと東京都政や東京都に関する選挙に関心があったから,候補者が訴える政策に関心があったから,候補者自身に関心があったから,その他,無回答
職業別その他自由業,100.0,42.4,45.8,22.0,18.6,10.2,ー
職業別お勤め（計）,526,191,197,157,83,25,ー
職業別お勤め（計）,100.0,36.3,37.5,29.8,15.8,4.8,ー
職業別経営・管理職,79,42,31,25,7,3,ー
職業別経営・管理職,100.0,53.2,39.2,31.6,8.9,3.8,ー
職業別専門職・技術職,170,64,64,50,26,13,ー
職業別専門職・技術職,100.0,37.6,37.6,29.4,15.3,7.6,ー
職業別事務職,143,47,55,40,25,4,ー
職業別事務職,100.0,32.9,38.5,28.0,17.5,2.8,ー
職業別労務職・技能職,48,12,18,16,11,2,ー
職業別労務職・技能職,100.0,25.0,37.5,33.3,22.9,4.2,ー
職業別販売・サービス職,86,26,29,26,14,3,ー
職業別販売・サービス職,100.0,30.2,33.7,30.2,16.3,3.5,ー
職業別その他（計）,536,242,199,137,87,26,2
職業別その他（計）,100.0,45.1,37.1,25.6,16.2,4.9,0.4
職業別学生,13,7,4,3,1,1,ー
職業別学生,100.0,53.8,30.8,23.1,7.7,7.7,ー
職業別専業主婦（夫）,270,117,91,72,37,6,ー
職業別専業主婦（夫）,100.0,43.3,33.7,26.7,13.7,2.2,ー
職業別その他,36,7,16,14,16,4,ー
職業別その他,100.0,19.4,44.4,38.9,44.4,11.1,ー
職業別無職（年金受給者含む）,217,111,88,48,33,15,2
職業別無職（年金受給者含む）,100.0,51.2,40.6,22.1,15.2,6.9,0.9
投票所までの時間別５分以内,392,141,156,109,76,15,1
投票所までの時間別５分以内,100.0,36.0,39.8,27.8,19.4,3.8,0.3
投票所までの時間別10分以内,599,274,197,151,82,35,1
投票所までの時間別10分以内,100.0,45.7,32.9,25.2,13.7,5.8,0.2
投票所までの時間別20分以内,124,41,59,38,22,9,ー
投票所までの時間別20分以内,100.0,33.1,47.6,30.6,17.7,7.3,ー
投票所までの時間別30分以内,28,12,18,15,7,ー,ー
投票所までの時間別30分以内,100.0,42.9,64.3,53.6,25.0,ー,ー
投票所までの時間別30分を超える,22,4,12,9,4,ー,ー
投票所までの時間別30分を超える,100.0,18.2,54.5,40.9,18.2,ー,ー
全体,1170,473,443,323,192,60,3
全体,100.0,40.4,37.9,27.6,16.4,5.1,0.3
地域別区部（計）,811,302,327,222,167,49,1
地域別区部（計）,100.0,37.2,40.3,27.4,20.6,6.0,0.1
地域別センターコア,252,107,111,68,45,11,1
地域別センターコア,100.0,42.5,44.0,27.0,17.9,4.4,0.4
地域別区部東部・北部エリア,226,72,106,67,43,23,ー
地域別区部東部・北部エリア,100.0,31.9,46.9,29.6,19.0,10.2,ー
地域別区部西部・南部エリア,333,123,110,87,79,15,ー
地域別区部西部・南部エリア,100.0,36.9,33.0,26.1,23.7,4.5,ー
地域別市郡部（計）,359,171,116,101,25,11,2
地域別市郡部（計）,100.0,47.6,32.3,28.1,7.0,3.1,0.6
地域別多摩東部エリア,121,78,23,25,6,1,1
地域別多摩東部エリア,100.0,64.5,19.0,20.7,5.0,0.8,0.8
地域別多摩中央部北エリア,45,17,25,12,7,2,ー
地域別多摩中央部北エリア,100.0,37.8,55.6,26.7,15.6,4.4,ー
地域別多摩中央部南エリア,170,60,67,57,12,8,1
地域別多摩中央部南エリア,100.0,35.3,39.4,33.5,7.1,4.7,0.6
地域別多摩西部エリア,23,16,1,7,ー,ー,ー
地域別多摩西部エリア,100.0,69.6,4.3,30.4,ー,ー,ー
選挙への関心度別関心があった（計）,1170,473,443,323,192,60,3
選挙への関心度別関心があった（計）,100.0,40.4,37.9,27.6,16.4,5.1,0.3
選挙への関心度別関心があった,636,342,236,173,96,32,2
選挙への関心度別関心があった,100.0,53.8,37.1,27.2,15.1,5.0,0.3
選挙への関心度別やや関心があった,534,131,207,150,96,28,1
選挙への関心度別やや関心があった,100.0,24.5,38.8,28.1,18.0,5.2,0.2
選挙への関心度別関心がなかった（計）,ー,ー,ー,ー,ー,ー,ー
選挙への関心度別関心がなかった（計）,ー,ー,ー,ー,ー,ー,ー
選挙への関心度別あまり関心がなかった,ー,ー,ー,ー,ー,ー,ー
選挙への関心度別あまり関心がなかった,ー,ー,ー,ー,ー,ー,ー
選挙への関心度別関心がなかった,ー,ー,ー,ー,ー,ー,ー
選挙への関心度別関心がなかった,ー,ー,ー,ー,ー,ー,ー
選挙への関心度別どちらともいえない,ー,ー,ー,ー,ー,ー,ー
選挙への関心度別どちらともいえない,ー,ー,ー,ー,ー,ー,ー
選挙への関心度別わからない、答えたくない,ー,ー,ー,ー,ー,ー,ー
選挙への関心度別わからない、答えたくない,ー,ー,ー,ー,ー,ー,ー
投票への意識別必ず投票するべき,557,310,206,152,63,28,2
投票への意識別必ず投票するべき,100.0,55.7,37.0,27.3,11.3,5.0,0.4
投票への意識別可能な限り投票するべき,537,148,213,148,115,23,1
投票への意識別可能な限り投票するべき,100.0,27.6,39.7,27.6,21.4,4.3,0.2
投票への意識別投票するのもしないのも自由,72,14,24,23,13,7,ー
投票への意識別投票するのもしないのも自由,100.0,19.4,33.3,31.9,18.1,9.7,ー
投票への意識別その他,2,1,ー,ー,ー,1,ー
投票への意識別その他,100.0,50.0,ー,ー,ー,50.0,ー
投票への意識別わからない,ー,ー,ー,ー,ー,ー,ー
投票への意識別わからない,ー,ー,ー,ー,ー,ー,ー
投票への参加状況別投票した（計）,853,366,329,244,142,45,2
投票への参加状況別投票した（計）,100.0,42.9,38.6,28.6,16.6,5.3,0.2
投票への参加状況別投票日（２月９日）に投票した,698,300,272,193,114,34,2
投票への参加状況別投票日（２月９日）に投票した,100.0,43.0,39.0,27.7,16.3,4.9,0.3
投票への参加状況別期日前投票（又は不在者投票等）をした,155,66,57,51,28,11,ー
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,42.6,36.8,32.9,18.1,7.1,ー
投票への参加状況別投票しなかった,308,105,111,75,49,15,1
投票への参加状況別投票しなかった,100.0,34.1,36.0,24.4,15.9,4.9,0.3
投票への参加状況別答えたくない,7,1,2,4,1,ー,ー
投票への参加状況別答えたくない,100.0,14.3,28.6,57.1,14.3,ー,ー
ネット投票の認知度別知っている,831,339,324,228,135,39,2
ネット投票の認知度別知っている,100.0,40.8,39.0,27.4,16.2,4.7,0.2
ネット投票の認知度別知らなかった,310,122,106,87,53,21,1
ネット投票の認知度別知らなかった,100.0,39.4,34.2,28.1,17.1,6.8,0.3
インターネットの利用有無別インターネットを利用している,653,254,241,192,106,35,1
インターネットの利用有無別インターネットを利用している,100.0,38.9,36.9,29.4,16.2,5.4,0.2
インターネットの利用有無別インターネットを利用していない,516,218,201,131,85,25,2
インターネットの利用有無別インターネットを利用していない,100.0,42.2,39.0,25.4,16.5,4.8,0.4
新聞の定期購読別定期購読している,851,371,331,225,126,40,3
新聞の定期購読別定期購読している,100.0,43.6,38.9,26.4,14.8,4.7,0.4
新聞の定期購読別定期購読していない,314,100,110,97,66,20,ー
新聞の定期購読別定期購読していない,100.0,31.8,35.0,30.9,21.0,6.4,ー
