,調査数,投開票速報及び結果,立候補者の一覧表,選挙公報,期日前投票所一覧、開票所一覧,東京都選挙管理委員会が作成した東京都知事選挙の啓発動画,東京都選挙管理委員会のツイッター,東京都知事選挙の概要（投票日や有権者の定義、選挙制度の説明）,今後のアップロード予定,都知事選メッセージバスキャンペーンサイト,政見放送・経歴放送の日程,選挙Ｑ＆Ａ,東京都知事選投票率推移や年代別推定投票率のグラフ,東京都及び各区市町村の選挙管理委員会事務局への問い合わせ先,その他,わからない、覚えていない,無回答
投票への意識別可能な限り投票するべき,84,29,40,26,20,5,9,4,1,5,13,6,4,4,2,26,3
投票への意識別可能な限り投票するべき,100.0,34.5,47.6,31.0,23.8,6.0,10.7,4.8,1.2,6.0,15.5,7.1,4.8,4.8,2.4,31.0,3.6
投票への意識別投票するのもしないのも自由,26,11,8,4,4,1,2,1,-,1,2,1,-,-,2,9,1
投票への意識別投票するのもしないのも自由,100.0,42.3,30.8,15.4,15.4,3.8,7.7,3.8,-,3.8,7.7,3.8,-,-,7.7,34.6,3.8
投票への意識別その他,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別その他,100.0,-,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別わからない,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
投票への意識別わからない,100.0,50.0,-,-,-,-,-,-,-,-,-,-,-,-,-,50.0,-
投票への参加状況別投票した（計）,150,58,74,50,37,9,13,14,3,5,24,14,7,8,5,47,2
投票への参加状況別投票した（計）,100.0,38.7,49.3,33.3,24.7,6.0,8.7,9.3,2.0,3.3,16.0,9.3,4.7,5.3,3.3,31.3,1.3
投票への参加状況別投票日（２月９日）に投票した,119,41,53,36,28,7,10,10,2,3,17,9,2,6,4,44,1
投票への参加状況別投票日（２月１０日）に投票した,100.0,34.5,44.5,30.3,23.5,5.9,8.4,8.4,1.7,2.5,14.3,7.6,1.7,5.0,3.4,37.0,0.8
投票への参加状況別期日前投票（又は不在者投票等）をした,31,17,21,14,9,2,3,4,1,2,7,5,5,2,1,3,1
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,54.8,67.7,45.2,29.0,6.5,9.7,12.9,3.2,6.5,22.6,16.1,16.1,6.5,3.2,9.7,3.2
投票への参加状況別投票しなかった,41,12,16,8,1,1,3,2,-,2,2,1,-,-,-,15,2
投票への参加状況別投票しなかった,100.0,29.3,39.0,19.5,2.4,2.4,7.3,4.9,-,4.9,4.9,2.4,-,-,-,36.6,4.9
投票への参加状況別答えたくない,2,1,2,1,-,-,-,-,-,-,-,1,-,-,-,-,-
投票への参加状況別答えたくない,100.0,50.0,100.0,50.0,-,-,-,-,-,-,-,50.0,-,-,-,-,-
ネット投票の認知度別知っている,159,58,76,45,35,9,16,13,2,5,21,14,7,7,3,54,3
ネット投票の認知度別知っている,100.0,36.5,47.8,28.3,22.0,5.7,10.1,8.2,1.3,3.1,13.2,8.8,4.4,4.4,1.9,34.0,1.9
ネット投票の認知度別知らなかった,32,11,13,11,3,2,1,2,-,2,5,1,-,-,2,9,1
ネット投票の認知度別知らなかった,100.0,34.4,40.6,34.4,9.4,6.3,3.1,6.3,-,6.3,15.6,3.1,-,-,6.3,28.1,3.1
インターネットの利用有無別インターネットを利用している,132,53,64,43,31,9,17,12,2,5,21,13,6,7,-,41,4
インターネットの利用有無別インターネットを利用している,100.0,40.2,48.5,32.6,23.5,6.8,12.9,9.1,1.5,3.8,15.9,9.8,4.5,5.3,-,31.1,3.0
インターネットの利用有無別インターネットを利用していない,63,18,29,16,8,2,-,4,1,2,5,3,1,1,5,22,-
インターネットの利用有無別インターネットを利用していない,100.0,28.6,46.0,25.4,12.7,3.2,-,6.3,1.6,3.2,7.9,4.8,1.6,1.6,7.9,34.9,-
新聞の定期購読別定期購読している,127,40,57,37,22,7,7,10,2,3,19,9,4,6,5,46,1
新聞の定期購読別定期購読している,100.0,31.5,44.9,29.1,17.3,5.5,5.5,7.9,1.6,2.4,15.0,7.1,3.1,4.7,3.9,36.2,0.8
新聞の定期購読別定期購読していない,68,31,36,22,17,4,10,6,1,4,7,7,3,2,-,17,3
新聞の定期購読別定期購読していない,100.0,45.6,52.9,32.4,25.0,5.9,14.7,8.8,1.5,5.9,10.3,10.3,4.4,2.9,-,25.0,4.4
