,調査数,投開票速報及び結果,小選挙区の情報（候補者・候補者届出政党情報、選挙公報、区割）,比例代表の情報（名簿届出政党等一覧、選挙公報）,国民審査の情報（審査に付される裁判官の氏名、国民審査公報）,期日前投票所一覧、開票所一覧,東京都選挙管理委員会のツイッター,衆議院議員選挙の概要（投票日や有権者の定義、選挙制度の説明）,今後のアップロード予定,衆議院議員選挙メッセージツリーイベントサイト,政見放送・経歴放送の日程,選挙Ｑ＆Ａ,衆議院議員選挙投票率推移や年代別推定投票率のグラフ,東京都及び各区市町村の選挙管理委員会事務局への問い合わせ先,その他,わからない、覚えていない,無回答
性/年齢別男性30歳代実数,21,9,11,7,2,5,3,4,1,2,2,3,-,-,-,5,2
性/年齢別男性30歳代（％）,100.0,42.9,52.4,33.3,9.5,23.8,14.3,19.0,4.8,9.5,9.5,14.3,-,-,-,23.8,9.5
性/年齢別男性40歳代実数,38,13,19,18,6,9,4,3,1,1,1,4,1,3,-,11,1
性/年齢別男性40歳代（％）,100.0,34.2,50.0,47.4,15.8,23.7,10.5,7.9,2.6,2.6,2.6,10.5,2.6,7.9,-,28.9,2.6
性/年齢別男性50歳代実数,46,13,19,16,5,9,1,3,1,1,5,6,1,3,-,21,-
性/年齢別男性50歳代（％）,100.0,28.3,41.3,34.8,10.9,19.6,2.2,6.5,2.2,2.2,10.9,13.0,2.2,6.5,-,45.7,-
性/年齢別男性60歳代実数,48,9,17,15,6,11,2,5,1,1,7,4,1,2,1,24,2
性/年齢別男性60歳代（％）,100.0,18.8,35.4,31.3,12.5,22.9,4.2,10.4,2.1,2.1,14.6,8.3,2.1,4.2,2.1,50.0,4.2
性/年齢別男性70歳代実数,36,11,13,11,6,10,-,2,-,1,4,1,1,3,-,15,1
性/年齢別男性70歳代（％）,100.0,30.6,36.1,30.6,16.7,27.8,-,5.6,-,2.8,11.1,2.8,2.8,8.3,-,41.7,2.8
性/年齢別男性80歳以上実数,10,3,4,2,-,3,1,1,-,-,-,-,-,-,-,3,-
性/年齢別男性80歳以上（％）,100.0,30.0,40.0,20.0,-,30.0,10.0,10.0,-,-,-,-,-,-,-,30.0,-
性/年齢別女性20歳代実数,18,11,7,6,3,6,1,2,-,-,1,6,1,1,-,3,-
性/年齢別女性20歳代（％）,100.0,61.1,38.9,33.3,16.7,33.3,5.6,11.1,-,-,5.6,33.3,5.6,5.6,-,16.7,-
性/年齢別女性30歳代実数,32,12,8,8,2,10,3,4,-,-,2,6,1,1,-,13,-
性/年齢別女性30歳代（％）,100.0,37.5,25.0,25.0,6.3,31.3,9.4,12.5,-,-,6.3,18.8,3.1,3.1,-,40.6,-
性/年齢別女性40歳代実数,49,14,15,15,6,13,2,3,1,1,3,4,-,3,-,24,1
性/年齢別女性40歳代（％）,100.0,28.6,30.6,30.6,12.2,26.5,4.1,6.1,2.0,2.0,6.1,8.2,-,6.1,-,49.0,2.0
性/年齢別女性50歳代実数,30,8,8,8,2,4,2,3,-,-,2,1,-,1,-,12,1
性/年齢別女性50歳代（％）,100.0,26.7,26.7,26.7,6.7,13.3,6.7,10.0,-,-,6.7,3.3,-,3.3,-,40.0,3.3
性/年齢別女性60歳代実数,38,18,7,7,3,7,1,2,1,3,9,6,1,3,-,16,2
性/年齢別女性60歳代（％）,100.0,47.4,18.4,18.4,7.9,18.4,2.6,5.3,2.6,7.9,23.7,15.8,2.6,7.9,-,42.1,5.3
性/年齢別女性70歳代実数,39,11,9,7,3,4,1,1,-,-,1,-,-,1,-,19,3
性/年齢別女性70歳代（％）,100.0,28.2,23.1,17.9,7.7,10.3,2.6,2.6,-,-,2.6,-,-,2.6,-,48.7,7.7
性/年齢別女性80歳以上実数,7,2,2,2,1,2,-,2,-,-,1,-,-,-,-,3,-
性/年齢別女性80歳以上（％）,100.0,28.6,28.6,28.6,14.3,28.6,-,28.6,-,-,14.3,-,-,-,-,42.9,-
未・既婚別未婚実数,95,41,34,32,11,24,12,14,4,5,9,19,2,5,-,33,3
未・既婚別未婚（％）,100.0,43.2,35.8,33.7,11.6,25.3,12.6,14.7,4.2,5.3,9.5,20.0,2.1,5.3,-,34.7,3.2
未・既婚別既婚（死別・離別を含む）実数,332,99,108,94,35,72,11,23,3,6,30,24,6,18,1,141,12
未・既婚別既婚（死別・離別を含む）（％）,100.0,29.8,32.5,28.3,10.5,21.7,3.3,6.9,0.9,1.8,9.0,7.2,1.8,5.4,0.3,42.5,3.6
子供の有無別子供はいない実数,143,58,52,49,18,36,13,17,4,6,11,25,3,8,-,48,5
子供の有無別子供はいない（％）,100.0,40.6,36.4,34.3,12.6,25.2,9.1,11.9,2.8,4.2,7.7,17.5,2.1,5.6,-,33.6,3.5
子供の有無別未就学（～６歳）実数,39,12,13,12,2,10,4,3,1,1,2,5,1,4,-,13,2
子供の有無別未就学（～６歳）（％）,100.0,30.8,33.3,30.8,5.1,25.6,10.3,7.7,2.6,2.6,5.1,12.8,2.6,10.3,-,33.3,5.1
子供の有無別小・中・高校生実数,63,15,21,18,7,14,3,1,-,-,2,2,2,2,-,33,-
子供の有無別小・中・高校生（％）,100.0,23.8,33.3,28.6,11.1,22.2,4.8,1.6,-,-,3.2,3.2,3.2,3.2,-,52.4,-
子供の有無別大学生・大学院生・短大生・専門学校生実数,26,5,7,5,-,4,-,1,-,-,2,-,-,-,-,16,-
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,19.2,26.9,19.2,-,15.4,-,3.8,-,-,7.7,-,-,-,-,61.5,-
子供の有無別学校教育終了実数,182,59,57,52,19,40,4,16,2,4,24,12,3,10,1,76,8
子供の有無別学校教育終了（％）,100.0,32.4,31.3,28.6,10.4,22.0,2.2,8.8,1.1,2.2,13.2,6.6,1.6,5.5,0.5,41.8,4.4
子供の有無別その他実数,4,1,1,-,-,-,1,-,-,-,1,1,-,-,-,3,-
子供の有無別その他（％）,100.0,25.0,25.0,-,-,-,25.0,-,-,-,25.0,25.0,-,-,-,75.0,-
職業別自営業（計）実数,39,11,14,11,7,8,-,1,1,-,-,3,-,-,-,15,3
職業別自営業（計）（％）,100.0,28.2,35.9,28.2,17.9,20.5,-,2.6,2.6,-,-,7.7,-,-,-,38.5,7.7
職業別農林漁業実数,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
職業別農林漁業（％）,100.0,-,-,-,-,-,-,-,100.0,-,-,-,-,-,-,-,-
職業別商工・サービス業実数,23,3,5,5,2,3,-,1,-,-,-,3,-,-,-,12,2
職業別商工・サービス業（％）,100.0,13.0,21.7,21.7,8.7,13.0,-,4.3,-,-,-,13.0,-,-,-,52.2,8.7
職業別その他自由業実数,15,8,9,6,5,5,-,-,-,-,-,-,-,-,-,3,1
職業別その他自由業（％）,100.0,53.3,60.0,40.0,33.3,33.3,-,-,-,-,-,-,-,-,-,20.0,6.7
職業別お勤め（計）実数,223,76,83,80,25,50,15,26,2,5,20,30,6,13,1,84,7
職業別お勤め（計）（％）,100.0,34.1,37.2,35.9,11.2,22.4,6.7,11.7,0.9,2.2,9.0,13.5,2.7,5.8,0.4,37.7,3.1
職業別経営・管理職実数,29,10,12,14,4,8,3,4,1,2,5,3,1,5,-,9,1
職業別経営・管理職（％）,100.0,34.5,41.4,48.3,13.8,27.6,10.3,13.8,3.4,6.9,17.2,10.3,3.4,17.2,-,31.0,3.4
職業別専門職・技術職実数,58,19,26,23,8,14,5,8,1,2,4,10,1,3,1,19,2
職業別専門職・技術職（％）,100.0,32.8,44.8,39.7,13.8,24.1,8.6,13.8,1.7,3.4,6.9,17.2,1.7,5.2,1.7,32.8,3.4
職業別事務職実数,59,22,24,23,8,17,3,4,-,1,6,9,2,2,-,16,2
職業別事務職（％）,100.0,37.3,40.7,39.0,13.6,28.8,5.1,6.8,-,1.7,10.2,15.3,3.4,3.4,-,27.1,3.4
職業別労務職・技能職実数,29,10,8,7,1,3,1,4,-,-,1,1,1,-,-,14,1
職業別労務職・技能職（％）,100.0,34.5,27.6,24.1,3.4,10.3,3.4,13.8,-,-,3.4,3.4,3.4,-,-,48.3,3.4
職業別販売・サービス職実数,48,15,13,13,4,8,3,6,-,-,4,7,1,3,-,26,1
職業別販売・サービス職（％）,100.0,31.3,27.1,27.1,8.3,16.7,6.3,12.5,-,-,8.3,14.6,2.1,6.3,-,54.2,2.1
職業別その他（計）実数,165,53,45,35,14,38,8,10,4,6,19,10,2,10,-,75,5
職業別その他（計）（％）,100.0,32.1,27.3,21.2,8.5,23.0,4.8,6.1,2.4,3.6,11.5,6.1,1.2,6.1,-,45.5,3.0
職業別生徒・学生実数,8,6,3,2,-,3,1,1,1,1,1,1,-,-,-,1,-
職業別生徒・学生（％）,100.0,75.0,37.5,25.0,-,37.5,12.5,12.5,12.5,12.5,12.5,12.5,-,-,-,12.5,-
職業別専業主婦（夫）実数,72,23,13,10,2,13,3,4,1,3,8,7,-,7,-,36,2
職業別専業主婦（夫）（％）,100.0,31.9,18.1,13.9,2.8,18.1,4.2,5.6,1.4,4.2,11.1,9.7,-,9.7,-,50.0,2.8
職業別その他実数,3,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1
職業別その他（％）,100.0,-,33.3,33.3,-,-,-,-,-,-,-,-,-,-,-,33.3,33.3
職業別無職（年金受給者含む）実数,82,24,28,22,12,22,4,5,2,2,10,2,2,3,-,37,2
職業別無職（年金受給者含む）（％）,100.0,29.3,34.1,26.8,14.6,26.8,4.9,6.1,2.4,2.4,12.2,2.4,2.4,3.7,-,45.1,2.4
投票所までの時間別５分以内実数,196,68,56,50,23,42,11,20,6,7,16,22,4,12,-,92,3
投票所までの時間別５分以内（％）,100.0,34.7,28.6,25.5,11.7,21.4,5.6,10.2,3.1,3.6,8.2,11.2,2.0,6.1,-,46.9,1.5
投票所までの時間別10分以内実数,158,50,56,51,16,34,7,15,1,4,16,13,4,7,-,59,6
投票所までの時間別10分以内（％）,100.0,31.6,35.4,32.3,10.1,21.5,4.4,9.5,0.6,2.5,10.1,8.2,2.5,4.4,-,37.3,3.8
投票所までの時間別20分以内実数,61,20,27,22,7,17,5,2,-,-,7,8,-,4,1,18,5
投票所までの時間別20分以内（％）,100.0,32.8,44.3,36.1,11.5,27.9,8.2,3.3,-,-,11.5,13.1,-,6.6,1.6,29.5,8.2
投票所までの時間別30分以内実数,5,1,2,2,-,2,-,-,-,-,-,-,-,-,-,2,-
投票所までの時間別30分以内（％）,100.0,20.0,40.0,40.0,-,40.0,-,-,-,-,-,-,-,-,-,40.0,-
投票所までの時間別30分を超える実数,3,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,-
投票所までの時間別30分を超える（％）,100.0,-,-,-,-,33.3,-,-,-,-,-,-,-,-,-,66.7,-
投票所までの時間別わからない実数,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
投票所までの時間別わからない（％）,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,-
地域別区部（計）実数,289,92,99,92,32,64,15,23,5,6,20,26,4,11,-,118,11
地域別区部（計）（％）,100.0,31.8,34.3,31.8,11.1,22.1,5.2,8.0,1.7,2.1,6.9,9.0,1.4,3.8,-,40.8,3.8
地域別センターコア実数,65,18,17,15,6,12,4,3,-,-,2,7,-,1,-,33,1
地域別センターコア（％）,100.0,27.7,26.2,23.1,9.2,18.5,6.2,4.6,-,-,3.1,10.8,-,1.5,-,50.8,1.5
地域別区部東部・北部エリア実数,96,39,31,32,13,30,9,11,4,4,7,12,4,8,-,38,2
地域別区部東部・北部エリア（％）,100.0,40.6,32.3,33.3,13.5,31.3,9.4,11.5,4.2,4.2,7.3,12.5,4.2,8.3,-,39.6,2.1
地域別区部西部・南部エリア実数,128,35,51,45,13,22,2,9,1,2,11,7,-,2,-,47,8
地域別区部西部・南部エリア（％）,100.0,27.3,39.8,35.2,10.2,17.2,1.6,7.0,0.8,1.6,8.6,5.5,-,1.6,-,36.7,6.3
地域別市郡部（計）実数,138,48,43,34,14,32,8,14,2,5,19,17,4,12,1,56,4
地域別市郡部（計）（％）,100.0,34.8,31.2,24.6,10.1,23.2,5.8,10.1,1.4,3.6,13.8,12.3,2.9,8.7,0.7,40.6,2.9
地域別多摩東部エリア実数,63,24,24,20,10,16,2,7,1,3,9,6,2,7,-,21,3
地域別多摩東部エリア（％）,100.0,38.1,38.1,31.7,15.9,25.4,3.2,11.1,1.6,4.8,14.3,9.5,3.2,11.1,-,33.3,4.8
地域別多摩中央部北エリア実数,16,2,2,-,-,-,-,-,-,-,-,-,-,-,-,14,-
地域別多摩中央部北エリア（％）,100.0,12.5,12.5,-,-,-,-,-,-,-,-,-,-,-,-,87.5,-
地域別多摩中央部南エリア実数,49,21,14,12,4,15,6,6,1,2,9,11,2,5,1,16,-
地域別多摩中央部南エリア（％）,100.0,42.9,28.6,24.5,8.2,30.6,12.2,12.2,2.0,4.1,18.4,22.4,4.1,10.2,2.0,32.7,-
地域別多摩西部エリア実数,10,1,3,2,-,1,-,1,-,-,1,-,-,-,-,5,1
地域別多摩西部エリア（％）,100.0,10.0,30.0,20.0,-,10.0,-,10.0,-,-,10.0,-,-,-,-,50.0,10.0
選挙への関心度別関心があった（計）実数,297,99,107,92,34,72,14,28,2,8,29,32,4,17,-,121,10
選挙への関心度別関心があった（計）（％）,100.0,33.3,36.0,31.0,11.4,24.2,4.7,9.4,0.7,2.7,9.8,10.8,1.3,5.7,-,40.7,3.4
選挙への関心度別関心があった実数,193,66,69,54,23,46,9,20,2,8,19,19,3,14,-,83,7
選挙への関心度別関心があった（％）,100.0,34.2,35.8,28.0,11.9,23.8,4.7,10.4,1.0,4.1,9.8,9.8,1.6,7.3,-,43.0,3.6
選挙への関心度別やや関心があった実数,104,33,38,38,11,26,5,8,-,-,10,13,1,3,-,38,3
選挙への関心度別やや関心があった（％）,100.0,31.7,36.5,36.5,10.6,25.0,4.8,7.7,-,-,9.6,12.5,1.0,2.9,-,36.5,2.9
選挙への関心度別関心がなかった（計）実数,33,10,9,8,4,6,2,2,1,1,4,3,2,1,-,16,-
選挙への関心度別関心がなかった（計）（％）,100.0,30.3,27.3,24.2,12.1,18.2,6.1,6.1,3.0,3.0,12.1,9.1,6.1,3.0,-,48.5,-
選挙への関心度別あまり関心がなかった実数,96,31,26,26,8,18,7,7,4,2,6,8,2,5,1,36,5
選挙への関心度別あまり関心がなかった（％）,100.0,32.3,27.1,27.1,8.3,18.8,7.3,7.3,4.2,2.1,6.3,8.3,2.1,5.2,1.0,37.5,5.2
選挙への関心度別関心がなかった実数,77,28,24,23,8,14,6,7,3,2,3,7,2,5,-,26,5
選挙への関心度別関心がなかった（％）,100.0,36.4,31.2,29.9,10.4,18.2,7.8,9.1,3.9,2.6,3.9,9.1,2.6,6.5,-,33.8,6.5
選挙への関心度別どちらともいえない実数,19,3,2,3,-,4,1,-,1,-,3,1,-,-,1,10,-
選挙への関心度別どちらともいえない（％）,100.0,15.8,10.5,15.8,-,21.1,5.3,-,5.3,-,15.8,5.3,-,-,5.3,52.6,-
選挙への関心度別わからない実数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
選挙への関心度別わからない（％）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別投票するべき（計）実数,380,128,133,115,44,89,23,35,5,11,34,40,8,23,1,154,11
投票への意識別投票するべき（計）（％）,100.0,33.7,35.0,30.3,11.6,23.4,6.1,9.2,1.3,2.9,8.9,10.5,2.1,6.1,0.3,40.5,2.9
投票への意識別必ず投票するべき実数,218,75,80,67,27,56,13,23,3,6,21,21,5,12,1,87,7
投票への意識別必ず投票するべき（％）,100.0,34.4,36.7,30.7,12.4,25.7,6.0,10.6,1.4,2.8,9.6,9.6,2.3,5.5,0.5,39.9,3.2
投票への意識別可能な限り投票するべき実数,162,53,53,48,17,33,10,12,2,5,13,19,3,11,-,67,4
投票への意識別可能な限り投票するべき（％）,100.0,32.7,32.7,29.6,10.5,20.4,6.2,7.4,1.2,3.1,8.0,11.7,1.9,6.8,-,41.4,2.5
投票への意識別投票するのもしないのも自由実数,45,11,8,10,1,6,-,2,1,-,5,3,-,-,-,20,4
投票への意識別投票するのもしないのも自由（％）,100.0,24.4,17.8,22.2,2.2,13.3,-,4.4,2.2,-,11.1,6.7,-,-,-,44.4,8.9
投票への意識別その他実数,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-
投票への意識別その他（％）,100.0,100.0,100.0,100.0,100.0,100.0,-,-,-,-,-,-,-,-,-,-,-
投票への意識別わからない実数,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
投票への意識別わからない（％）,100.0,-,-,-,-,-,-,-,100.0,-,-,-,-,-,-,-,-
投票への参加状況別投票した（計）実数,344,111,120,104,41,80,20,30,4,9,30,35,6,18,1,142,9
投票への参加状況別投票した（計）（％）,100.0,32.3,34.9,30.2,11.9,23.3,5.8,8.7,1.2,2.6,8.7,10.2,1.7,5.2,0.3,41.3,2.6
投票への参加状況別投票日（12月14日）に投票した実数,255,86,87,76,33,56,15,25,4,8,23,26,6,16,-,110,7
投票への参加状況別投票日（12月14日）に投票した（％）,100.0,33.7,34.1,29.8,12.9,22.0,5.9,9.8,1.6,3.1,9.0,10.2,2.4,6.3,-,43.1,2.7
投票への参加状況別期日前投票（又は不在者投票等）をした実数,89,25,33,28,8,24,5,5,-,1,7,9,-,2,1,32,2
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,28.1,37.1,31.5,9.0,27.0,5.6,5.6,-,1.1,7.9,10.1,-,2.2,1.1,36.0,2.2
投票への参加状況別投票しなかった実数,82,29,22,22,5,16,3,6,3,2,9,8,2,5,-,32,6
投票への参加状況別投票しなかった（％）,100.0,35.4,26.8,26.8,6.1,19.5,3.7,7.3,3.7,2.4,11.0,9.8,2.4,6.1,-,39.0,7.3
投票への参加状況別答えたくない実数,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない（％）,100.0,-,-,-,-,-,-,100.0,-,-,-,-,-,-,-,-,-
新聞の定期購読定期購読している実数,292,93,95,83,23,61,11,23,3,4,28,26,4,17,1,122,10
新聞の定期購読定期購読している（％）,100.0,31.8,32.5,28.4,7.9,20.9,3.8,7.9,1.0,1.4,9.6,8.9,1.4,5.8,0.3,41.8,3.4
新聞の定期購読定期購読していない実数,134,47,47,43,23,35,12,14,4,7,11,17,4,6,-,52,4
新聞の定期購読定期購読していない（％）,100.0,35.1,35.1,32.1,17.2,26.1,9.0,10.4,3.0,5.2,8.2,12.7,3.0,4.5,-,38.8,3.0
インターネットの利用有無利用している実数,243,96,100,91,35,71,18,24,6,7,28,37,6,17,-,76,7
インターネットの利用有無利用している（％）,100.0,39.5,41.2,37.4,14.4,29.2,7.4,9.9,2.5,2.9,11.5,15.2,2.5,7.0,-,31.3,2.9
インターネットの利用有無利用していない実数,183,44,42,35,11,25,5,13,1,4,11,6,2,6,1,98,7
インターネットの利用有無利用していない（％）,100.0,24.0,23.0,19.1,6.0,13.7,2.7,7.1,0.5,2.2,6.0,3.3,1.1,3.3,0.5,53.6,3.8
ネット選挙の認知度別知っている実数,316,111,113,102,35,74,18,28,5,7,30,35,5,18,-,122,11
ネット選挙の認知度別知っている（％）,100.0,35.1,35.8,32.3,11.1,23.4,5.7,8.9,1.6,2.2,9.5,11.1,1.6,5.7,-,38.6,3.5
ネット選挙の認知度別知らなかった実数,85,21,21,18,11,17,5,7,2,3,6,8,2,4,1,43,2
ネット選挙の認知度別知らなかった（％）,100.0,24.7,24.7,21.2,12.9,20.0,5.9,8.2,2.4,3.5,7.1,9.4,2.4,4.7,1.2,50.6,2.4
