,参議院議員選挙／調査数,参議院議員選挙／投票した（計）,参議院議員選挙／投票日（7月10日）に投票した,参議院議員選挙／期日前投票（又は不在者投票等）をした,参議院議員選挙／投票しなかった,参議院議員選挙／答えたくない,東京都知事選挙／調査数,東京都知事選挙／投票した（計）,東京都知事選挙／投票日（7月31日）に投票した,東京都知事選挙／期日前投票（又は不在者投票等）をした,東京都知事選挙／投票しなかった,東京都知事選挙／答えたくない
性/年齢別女性60歳代,100.0,85.6,72.8,12.8,14.4,-,100.0,90.6,78.3,12.2,9.4,-
性/年齢別女性70歳代,124,93,79,14,30,1,124,101,85,16,22,1
性/年齢別女性70歳代,100.0,75.0,63.7,11.3,24.2,0.8,100.0,81.5,68.5,12.9,17.7,0.8
性/年齢別女性80歳以上,50,33,27,6,16,1,50,33,27,6,16,1
性/年齢別女性80歳以上,100.0,66.0,54.0,12.0,32.0,2.0,100.0,66.0,54.0,12.0,32.0,2.0
未・既婚別未婚,344,216,172,44,127,1,344,223,176,47,119,2
未・既婚別未婚,100.0,62.8,50.0,12.8,36.9,0.3,100.0,64.8,51.2,13.7,34.6,0.6
未・既婚別既婚（死別・離別を含む）,1479,1219,1054,165,250,10,1479,1268,1078,190,202,9
未・既婚別既婚（死別・離別を含む）,100.0,82.4,71.3,11.2,16.9,0.7,100.0,85.7,72.9,12.8,13.7,0.6
子供の有無別子供はいない,404,263,207,56,140,1,404,273,209,64,129,2
子供の有無別子供はいない,100.0,65.1,51.2,13.9,34.7,0.2,100.0,67.6,51.7,15.8,31.9,0.5
子供の有無別未就学（～６歳）,114,94,79,15,19,1,114,97,79,18,17,-
子供の有無別未就学（～６歳）,100.0,82.5,69.3,13.2,16.7,0.9,100.0,85.1,69.3,15.8,14.9,-
子供の有無別小・中・高校生,394,320,273,47,71,3,394,339,286,53,52,3
子供の有無別小・中・高校生,100.0,81.2,69.3,11.9,18.0,0.8,100.0,86.0,72.6,13.5,13.2,0.8
子供の有無別大学生・大学院生・短大生・専門学校生,144,124,110,14,19,1,144,125,109,16,18,1
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,86.1,76.4,9.7,13.2,0.7,100.0,86.8,75.7,11.1,12.5,0.7
子供の有無別学校教育終了,791,649,569,80,136,6,791,671,582,89,114,6
子供の有無別学校教育終了,100.0,82.0,71.9,10.1,17.2,0.8,100.0,84.8,73.6,11.3,14.4,0.8
子供の有無別その他,60,52,44,8,8,-,60,55,46,9,5,-
子供の有無別その他,100.0,86.7,73.3,13.3,13.3,-,100.0,91.7,76.7,15.0,8.3,-
職業別自営業（計）,133,120,92,28,12,1,133,125,95,30,7,1
職業別自営業（計）,100.0,90.2,69.2,21.1,9.0,0.8,100.0,94.0,71.4,22.6,5.3,0.8
職業別農林漁業,1,1,1,-,-,-,1,1,1,-,-,-
職業別農林漁業,100.0,100.0,100.0,-,-,-,100.0,100.0,100.0,-,-,-
職業別商工・サービス業,42,36,27,9,5,1,42,38,29,9,3,1
職業別商工・サービス業,100.0,85.7,64.3,21.4,11.9,2.4,100.0,90.5,69.0,21.4,7.1,2.4
職業別その他自由業,90,83,64,19,7,-,90,86,65,21,4,-
職業別その他自由業,100.0,92.2,71.1,21.1,7.8,-,100.0,95.6,72.2,23.3,4.4,-
職業別お勤め（計）,821,621,522,99,193,7,821,646,533,113,168,7
職業別お勤め（計）,100.0,75.6,63.6,12.1,23.5,0.9,100.0,78.7,64.9,13.8,20.5,0.9
職業別経営・管理職,74,62,52,10,12,-,74,64,54,10,10,-
職業別経営・管理職,100.0,83.8,70.3,13.5,16.2,-,100.0,86.5,73.0,13.5,13.5,-
職業別専門職・技術職,196,157,130,27,37,2,196,158,126,32,37,1
職業別専門職・技術職,100.0,80.1,66.3,13.8,18.9,1.0,100.0,80.6,64.3,16.3,18.9,0.5
職業別事務職,221,165,136,29,54,2,221,181,150,31,38,2
職業別事務職,100.0,74.7,61.5,13.1,24.4,0.9,100.0,81.9,67.9,14.0,17.2,0.9
職業別労務職・技能職,61,50,47,3,11,-,61,51,46,5,10,-
職業別労務職・技能職,100.0,82.0,77.0,4.9,18.0,-,100.0,83.6,75.4,8.2,16.4,-
職業別販売・サービス職,269,187,157,30,79,3,269,192,157,35,73,4
職業別販売・サービス職,100.0,69.5,58.4,11.2,29.4,1.1,100.0,71.4,58.4,13.0,27.1,1.5
職業別その他（計）,869,694,612,82,172,3,869,720,626,94,146,3
職業別その他（計）,100.0,79.9,70.4,9.4,19.8,0.3,100.0,82.9,72.0,10.8,16.8,0.3
職業別生徒・学生,47,27,23,4,20,-,47,28,24,4,19,-
職業別生徒・学生,100.0,57.4,48.9,8.5,42.6,-,100.0,59.6,51.1,8.5,40.4,-
職業別専業主婦（夫）,395,340,298,42,54,1,395,354,302,52,40,1
職業別専業主婦（夫）,100.0,86.1,75.4,10.6,13.7,0.3,100.0,89.6,76.5,13.2,10.1,0.3
職業別その他,25,19,15,4,6,-,25,19,15,4,6,-
職業別その他,100.0,76.0,60.0,16.0,24.0,-,100.0,76.0,60.0,16.0,24.0,-
職業別無職（年金受給者含む）,402,308,276,32,92,2,402,319,285,34,81,2
職業別無職（年金受給者含む）,100.0,76.6,68.7,8.0,22.9,0.5,100.0,79.4,70.9,8.5,20.1,0.5
投票所までの時間別５分以内,433,359,303,56,72,2,433,371,311,60,60,2
投票所までの時間別５分以内,100.0,82.9,70.0,12.9,16.6,0.5,100.0,85.7,71.8,13.9,13.9,0.5
投票所までの時間別10分以内,1067,838,726,112,221,8,1067,876,743,133,183,8
投票所までの時間別10分以内,100.0,78.5,68.0,10.5,20.7,0.7,100.0,82.1,69.6,12.5,17.2,0.7
投票所までの時間別20分以内,288,222,192,30,66,-,288,228,195,33,60,-
投票所までの時間別20分以内,100.0,77.1,66.7,10.4,22.9,-,100.0,79.2,67.7,11.5,20.8,-
投票所までの時間別30分以内,21,12,5,7,8,1,21,12,5,7,8,1
投票所までの時間別30分以内,100.0,57.1,23.8,33.3,38.1,4.8,100.0,57.1,23.8,33.3,38.1,4.8
投票所までの時間別30分を超える,3,3,-,3,-,-,3,3,-,3,-,-
投票所までの時間別30分を超える,100.0,100.0,-,100.0,-,-,100.0,100.0,-,100.0,-,-
投票所までの時間別わからない,11,1,-,1,10,-,11,1,-,1,10,-
投票所までの時間別わからない,100.0,9.1,-,9.1,90.9,-,100.0,9.1,-,9.1,90.9,-
地域別区部（計）,1381,1089,952,137,283,9,1381,1131,978,153,241,9
地域別区部（計）,100.0,78.9,68.9,9.9,20.5,0.7,100.0,81.9,70.8,11.1,17.5,0.7
地域別センターコア,388,307,261,46,80,1,388,319,266,53,68,1
地域別センターコア,100.0,79.1,67.3,11.9,20.6,0.3,100.0,82.2,68.6,13.7,17.5,0.3
地域別区部東部・北部エリア,398,318,281,37,78,2,398,336,297,39,60,2
地域別区部東部・北部エリア,100.0,79.9,70.6,9.3,19.6,0.5,100.0,84.4,74.6,9.8,15.1,0.5
地域別区部西部・南部エリア,595,464,410,54,125,6,595,476,415,61,113,6
地域別区部西部・南部エリア,100.0,78.0,68.9,9.1,21.0,1.0,100.0,80.0,69.7,10.3,19.0,1.0
地域別市郡部（計）,442,346,274,72,94,2,442,360,276,84,80,2
地域別市郡部（計）,100.0,78.3,62.0,16.3,21.3,0.5,100.0,81.4,62.4,19.0,18.1,0.5
地域別多摩東部エリア,132,106,90,16,26,-,132,113,90,23,19,-
地域別多摩東部エリア,100.0,80.3,68.2,12.1,19.7,-,100.0,85.6,68.2,17.4,14.4,-
地域別多摩中央部北エリア,70,56,35,21,14,-,70,58,35,23,11,1
地域別多摩中央部北エリア,100.0,80.0,50.0,30.0,20.0,-,100.0,82.9,50.0,32.9,15.7,1.4
地域別多摩中央部南エリア,201,161,135,26,39,1,201,164,136,28,36,1
地域別多摩中央部南エリア,100.0,80.1,67.2,12.9,19.4,0.5,100.0,81.6,67.7,13.9,17.9,0.5
地域別多摩西部エリア,39,23,14,9,15,1,39,25,15,10,14,-
地域別多摩西部エリア,100.0,59.0,35.9,23.1,38.5,2.6,100.0,64.1,38.5,25.6,35.9,-
選挙への関心度別関心があった（計）,1283,1206,1023,183,74,3,1424,1337,1118,219,83,4
選挙への関心度別関心があった（計）,100.0,94.0,79.7,14.3,5.8,0.2,100.0,93.9,78.5,15.4,5.8,0.3
選挙への関心度別関心があった,633,608,507,101,25,-,769,738,605,133,30,1
選挙への関心度別関心があった,100.0,96.1,80.1,16.0,3.9,-,100.0,96.0,78.7,17.3,3.9,0.1
選挙への関心度別やや関心があった,650,598,516,82,49,3,655,599,513,86,53,3
選挙への関心度別やや関心があった,100.0,92.0,79.4,12.6,7.5,0.5,100.0,91.5,78.3,13.1,8.1,0.5
選挙への関心度別関心がなかった（計）,227,70,60,10,151,6,175,45,41,4,126,4
選挙への関心度別関心がなかった（計）,100.0,30.8,26.4,4.4,66.5,2.6,100.0,25.7,23.4,2.3,72.0,2.3
選挙への関心度別あまり関心がなかった,125,59,49,10,64,2,89,36,32,4,52,1
選挙への関心度別あまり関心がなかった,100.0,47.2,39.2,8.0,51.2,1.6,100.0,40.4,36.0,4.5,58.4,1.1
選挙への関心度別関心がなかった,102,11,11,-,87,4,86,9,9,-,74,3
選挙への関心度別関心がなかった,100.0,10.8,10.8,-,85.3,3.9,100.0,10.5,10.5,-,86.0,3.5
選挙への関心度別どちらともいえない,298,159,143,16,138,1,209,109,95,14,98,2
選挙への関心度別どちらともいえない,100.0,53.4,48.0,5.4,46.3,0.3,100.0,52.2,45.5,6.7,46.9,1.0
選挙への関心度別わからない,15,,-,-,14,1,15,,-,-,14,1
選挙への関心度別わからない,100.0,,-,-,93.3,6.7,100.0,,-,-,93.3,6.7
投票への意識別投票するべき（計）,1434,1313,1121,192,118,3,1443,1351,1134,217,88,4
投票への意識別投票するべき（計）,100.0,91.6,78.2,13.4,8.2,0.2,100.0,93.6,78.6,15.0,6.1,0.3
投票への意識別必ず投票するべき,596,584,496,88,12,-,615,607,508,99,6,2
投票への意識別必ず投票するべき,100.0,98.0,83.2,14.8,2.0,-,100.0,98.7,82.6,16.1,1.0,0.3
投票への意識別可能な限り投票するべき,838,729,625,104,106,3,828,744,626,118,82,2
投票への意識別可能な限り投票するべき,100.0,87.0,74.6,12.4,12.6,0.4,100.0,89.9,75.6,14.3,9.9,0.2
投票への意識別投票するのもしないのも自由,344,114,98,16,225,5,335,132,112,20,198,5
投票への意識別投票するのもしないのも自由,100.0,33.1,28.5,4.7,65.4,1.5,100.0,39.4,33.4,6.0,59.1,1.5
投票への意識別その他,1,,-,-,1,-,1,,-,-,1,-
投票への意識別その他,100.0,,-,-,100.0,-,100.0,,-,-,100.0,-
投票への意識別わからない,44,8,7,1,33,3,44,8,8,-,34,2
投票への意識別わからない,100.0,18.2,15.9,2.3,75.0,6.8,100.0,18.2,18.2,-,77.3,4.5
投票への参加状況別投票した（計）,1435,1435,1226,209,,,1491,1491,1254,237,,
投票への参加状況別投票した（計）,100.0,100.0,85.4,14.6,,,100.0,100.0,84.1,15.9,,
投票への参加状況別投票日に投票した,1226,1226,1226,-,-,-,1254,1254,1254,-,-,-
投票への参加状況別投票日に投票した,100.0,100.0,100.0,-,-,-,100.0,100.0,100.0,-,-,-
投票への参加状況別期日前投票（又は不在者投票等）をした,209,209,-,209,-,-,237,237,-,237,-,-
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,100.0,-,100.0,-,-,100.0,100.0,-,100.0,-,-
投票への参加状況別投票しなかった,377,,-,-,377,-,321,,-,-,321,-
投票への参加状況別投票しなかった,100.0,,-,-,100.0,-,100.0,,-,-,100.0,-
投票への参加状況別答えたくない,11,,-,-,-,11,11,,-,-,-,11
投票への参加状況別答えたくない,100.0,,-,-,-,100.0,100.0,,-,-,-,100.0
新聞の定期購読別定期購読している,1240,1076,930,146,160,4,1240,1110,954,156,126,4
新聞の定期購読別定期購読している,100.0,86.8,75.0,11.8,12.9,0.3,100.0,89.5,76.9,12.6,10.2,0.3
新聞の定期購読別定期購読していない,583,359,296,63,217,7,583,381,300,81,195,7
新聞の定期購読別定期購読していない,100.0,61.6,50.8,10.8,37.2,1.2,100.0,65.4,51.5,13.9,33.4,1.2
インターネットの利用有無別インターネットを利用している,1055,838,695,143,212,5,1055,865,698,167,185,5
インターネットの利用有無別インターネットを利用している,100.0,79.4,65.9,13.6,20.1,0.5,100.0,82.0,66.2,15.8,17.5,0.5
インターネットの利用有無別インターネットを利用していない,768,597,531,66,165,6,768,626,556,70,136,6
インターネットの利用有無別インターネットを利用していない,100.0,77.7,69.1,8.6,21.5,0.8,100.0,81.5,72.4,9.1,17.7,0.8
