,調査数,必ず投票するべき,可能な限り投票するべき,投票するのもしないのも自由,その他,わからない,無回答
性／年齢別女性70歳代,114,57,42,11,ー,3,1
性／年齢別女性70歳代,100.0,50.0,36.8,9.6,ー,2.6,0.9
性／年齢別女性80歳以上,51,16,21,9,ー,5,ー
性／年齢別女性80歳以上,100.0,31.4,41.2,17.6,ー,9.8,ー
未・既婚別未婚（死別・離別を含む）,801,139,329,277,6,42,8
未・既婚別未婚（死別・離別を含む）,100.0,17.4,41.1,34.6,0.7,5.2,1.0
未・既婚別既婚,1188,466,508,188,2,18,6
未・既婚別既婚,100.0,39.2,42.8,15.8,0.2,1.5,0.5
子供の有無別子供はいない,779,132,325,270,5,40,7
子供の有無別子供はいない,100.0,16.9,41.7,34.7,0.6,5.1,0.9
子供の有無別未就学（～６歳）,155,31,86,35,ー,2,1
子供の有無別未就学（～６歳）,100.0,20.0,55.5,22.6,ー,1.3,0.6
子供の有無別小・中・高校生,320,101,152,63,1,3,ー
子供の有無別小・中・高校生,100.0,31.6,47.5,19.7,0.3,0.9,ー
子供の有無別大学生・大学院生・短大生・専門学校生,92,40,33,17,ー,1,1
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,43.5,35.9,18.5,ー,1.1,1.1
子供の有無別学校教育終了,671,313,264,76,1,14,3
子供の有無別学校教育終了,100.0,46.6,39.3,11.3,0.1,2.1,0.4
子供の有無別その他,11,3,5,1,ー,1,1
子供の有無別その他,100.0,27.3,45.5,9.1,ー,9.1,9.1
職業別自営業（計）,174,49,64,53,1,5,2
職業別自営業（計）,100.0,28.2,36.8,30.5,0.6,2.9,1.1
職業別農林漁業,2,1,1,ー,ー,ー,ー
職業別農林漁業,100.0,50.0,50.0,ー,ー,ー,ー
職業別商工・サービス業,71,19,22,26,1,2,1
職業別商工・サービス業,100.0,26.8,31.0,36.6,1.4,2.8,1.4
職業別その他自由業,101,29,41,27,ー,3,1
職業別その他自由業,100.0,28.7,40.6,26.7,ー,3.0,1.0
職業別お勤め（計）,981,238,445,253,5,34,6
職業別お勤め（計）,100.0,24.3,45.4,25.8,0.5,3.5,0.6
職業別経営・管理職,109,51,44,11,ー,3,ー
職業別経営・管理職,100.0,46.8,40.4,10.1,ー,2.8,ー
職業別専門職・技術職,261,75,128,52,1,4,1
職業別専門職・技術職,100.0,28.7,49.0,19.9,0.4,1.5,0.4
職業別事務職,305,59,134,95,1,15,1
職業別事務職,100.0,19.3,43.9,31.1,0.3,4.9,0.3
職業別労務職・技能職,89,15,42,23,1,7,1
職業別労務職・技能職,100.0,16.9,47.2,25.8,1.1,7.9,1.1
職業別販売・サービス職,217,38,97,72,2,5,3
職業別販売・サービス職,100.0,17.5,44.7,33.2,0.9,2.3,1.4
職業別その他（計）,841,318,333,161,2,22,5
職業別その他（計）,100.0,37.8,39.6,19.1,0.2,2.6,0.6
職業別学生,53,5,13,29,1,4,1
職業別学生,100.0,9.4,24.5,54.7,1.9,7.5,1.9
職業別専業主婦（夫）,391,156,173,59,ー,3,ー
職業別専業主婦（夫）,100.0,39.9,44.2,15.1,ー,0.8,ー
職業別その他,62,21,24,17,ー,ー,ー
職業別その他,100.0,33.9,38.7,27.4,ー,ー,ー
職業別無職（年金受給者含む）,335,136,123,56,1,15,4
職業別無職（年金受給者含む）,100.0,40.6,36.7,16.7,0.3,4.5,1.2
投票所までの時間別５分以内,636,233,233,138,2,21,9
投票所までの時間別５分以内,100.0,36.6,36.6,21.7,0.3,3.3,1.4
投票所までの時間別10分以内,1060,296,476,250,5,30,3
投票所までの時間別10分以内,100.0,27.9,44.9,23.6,0.5,2.8,0.3
投票所までの時間別20分以内,221,62,98,54,ー,6,1
投票所までの時間別20分以内,100.0,28.1,44.3,24.4,ー,2.7,0.5
投票所までの時間別30分以内,50,5,24,15,ー,5,1
投票所までの時間別30分以内,100.0,10.0,48.0,30.0,ー,10.0,2.0
投票所までの時間別30分を超える,26,9,13,4,ー,ー,ー
投票所までの時間別30分を超える,100.0,34.6,50.0,15.4,ー,ー,ー
全体,2011,609,845,473,8,62,14
全体,100.0,30.3,42.0,23.5,0.4,3.1,0.7
地域別区部（計）,1392,411,621,305,5,41,9
地域別区部（計）,100.0,29.5,44.6,21.9,0.4,2.9,0.6
地域別センターコア,372,149,150,58,-,14,1
地域別センターコア,100.0,40.1,40.3,15.6,-,3.8,0.3
地域別区部東部・北部エリア,408,107,206,84,4,3,4
地域別区部東部・北部エリア,100.0,26.2,50.5,20.6,1.0,0.7,1.0
地域別区部西部・南部エリア,612,155,265,163,1,24,4
地域別区部西部・南部エリア,100.0,25.3,43.3,26.6,0.2,3.9,0.7
地域別市郡部（計）,619,198,224,168,3,21,5
地域別市郡部（計）,100.0,32.0,36.2,27.1,0.5,3.4,0.8
地域別多摩東部エリア,235,76,63,77,1,18,-
地域別多摩東部エリア,100.0,32.3,26.8,32.8,0.4,7.7,-
地域別多摩中央部北エリア,88,29,28,29,-,1,1
地域別多摩中央部北エリア,100.0,33.0,31.8,33.0,-,1.1,1.1
地域別多摩中央部南エリア,261,78,123,52,2,2,4
地域別多摩中央部南エリア,100.0,29.9,47.1,19.9,0.8,0.8,1.5
地域別多摩西部エリア,35,15,10,10,-,-,-
地域別多摩西部エリア,100.0,42.9,28.6,28.6,-,-,-
選挙への関心度別関心があった（計）,1170,557,537,72,2,-,2
選挙への関心度別関心があった（計）,100.0,47.6,45.9,6.2,0.2,-,0.2
選挙への関心度別関心があった,636,432,182,20,1,-,1
選挙への関心度別関心があった,100.0,67.9,28.6,3.1,0.2,-,0.2
選挙への関心度別やや関心があった,534,125,355,52,1,-,1
選挙への関心度別やや関心があった,100.0,23.4,66.5,9.7,0.2,-,0.2
選挙への関心度別関心がなかった（計）,533,38,166,266,6,50,7
選挙への関心度別関心がなかった（計）,100.0,7.1,31.1,49.9,1.1,9.4,1.3
選挙への関心度別あまり関心がなかった,316,26,125,145,2,16,2
選挙への関心度別あまり関心がなかった,100.0,8.2,39.6,45.9,0.6,5.1,0.6
選挙への関心度別関心がなかった,217,12,41,121,4,34,5
選挙への関心度別関心がなかった,100.0,5.5,18.9,55.8,1.8,15.7,2.3
選挙への関心度別どちらともいえない,298,14,142,131,-,6,5
選挙への関心度別どちらともいえない,100.0,4.7,47.7,44.0,-,2.0,1.7
選挙への関心度別わからない、答えたくない,10,-,-,4,-,6,-
選挙への関心度別わからない、答えたくない,100.0,-,-,40.0,-,60,-
投票への意識別必ず投票するべき,609,609,-,-,-,-,-
投票への意識別必ず投票するべき,100.0,100.0,-,-,-,-,-
投票への意識別可能な限り投票するべき,845,-,845,-,-,-,-
投票への意識別可能な限り投票するべき,100.0,-,100.0,-,-,-,-
投票への意識別投票するのもしないのも自由,473,-,-,473,-,-,-
投票への意識別投票するのもしないのも自由,100.0,-,-,100.0,-,-,-
投票への意識別その他,8,-,-,-,8,-,-
投票への意識別その他,100.0,-,-,-,100.0,-,-
投票への意識別わからない,62,-,-,-,-,62,-
投票への意識別わからない,100.0,-,-,-,-,100.0,-
投票への参加状況別投票した（計）,999,541,396,56,-,3,3
投票への参加状況別投票した（計）,100.0,54.2,39.6,5.6,-,0.3,0.3
投票への参加状況別投票日（２月９日）に投票した,827,438,335,49,-,2,3
投票への参加状況別投票日（２月９日）に投票した,100.0,53.0,40.5,5.9,-,0.2,0.4
投票への参加状況別期日前投票（又は不在者投票等）をした,172,103,61,7,-,1,-
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,59.9,35.5,4.1,-,0.6,-
投票への参加状況別投票しなかった,963,66,435,399,8,45,10
投票への参加状況別投票しなかった,100.0,6.9,45.2,41.4,0.8,4.7,1.0
投票への参加状況別答えたくない,42,2,10,16,-,13,1
投票への参加状況別答えたくない,100.0,4.8,23.8,38.1,-,31.0,2.4
ネット投票の認知度別知っている,1291,447,572,237,3,24,8
ネット投票の認知度別知っている,100.0,34.6,44.3,18.4,0.2,1.9,0.6
ネット投票の認知度別知らなかった,645,148,252,203,5,31,6
ネット投票の認知度別知らなかった,100.0,22.9,39.1,31.5,0.8,4.8,0.9
インターネットの利用有無別インターネットを利用している,1176,303,520,307,5,34,7
インターネットの利用有無別インターネットを利用している,100.0,25.8,44.2,26.1,0.4,2.9,0.6
インターネットの利用有無別インターネットを利用していない,832,306,324,164,3,28,7
インターネットの利用有無別インターネットを利用していない,100.0,36.8,38.9,19.7,0.4,3.4,0.8
新聞の定期購読別定期購読している,1206,489,517,179,1,12,8
新聞の定期購読別定期購読している,100.0,40.5,42.9,14.8,0.1,1.0,0.7
新聞の定期購読別定期購読していない,796,117,324,292,7,50,6
新聞の定期購読別定期購読していない,100.0,14.7,40.7,36.7,0.9,6.3,0.8
