,参議院議員選挙/調査数,参議院議員選挙/男性,参議院議員選挙/女性,東京都知事選挙/調査数,東京都知事選挙/男性,東京都知事選挙/女性
選挙への関心度別どちらともいえない,100.0,34.6,65.4,100.0,41.1,58.9
選挙への関心度別わからない,15,7,8,15,7,8
選挙への関心度別わからない,100.0,46.7,53.3,100.0,46.7,53.3
投票への意識別投票するべき（計）,1434,682,752,1443,685,758
投票への意識別投票するべき（計）,100.0,47.6,52.4,100.0,47.5,52.5
投票への意識別必ず投票するべき,596,329,267,615,338,277
投票への意識別必ず投票するべき,100.0,55.2,44.8,100.0,55.0,45.0
投票への意識別可能な限り投票するべき,838,353,485,828,347,481
投票への意識別可能な限り投票するべき,100.0,42.1,57.9,100.0,41.9,58.1
投票への意識別投票するのもしないのも自由,344,150,194,335,147,188
投票への意識別投票するのもしないのも自由,100.0,43.6,56.4,100.0,43.9,56.1
投票への意識別その他,1,1,-,1,1,-
投票への意識別その他,100.0,100.0,-,100.0,100.0,-
投票への意識別わからない,44,19,25,44,19,25
投票への意識別わからない,100.0,43.2,56.8,100.0,43.2,56.8
投票への参加状況別投票した（計）,1435,673,762,1491,696,795
投票への参加状況別投票した（計）,100.0,46.9,53.1,100.0,46.7,53.3
投票への参加状況別投票日に投票した,1226,582,644,1254,593,661
投票への参加状況別投票日に投票した,100.0,47.5,52.5,100.0,47.3,52.7
投票への参加状況別期日前投票（又は不在者投票等）をした,209,91,118,237,103,134
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,43.5,56.5,100.0,43.5,56.5
投票への参加状況別投票しなかった,377,173,204,321,150,171
投票への参加状況別投票しなかった,100.0,45.9,54.1,100.0,46.7,53.3
投票への参加状況別答えたくない,11,6,5,11,6,5
投票への参加状況別答えたくない,100.0,54.5,45.5,100.0,54.5,45.5
新聞の定期購読別定期購読している,1240,593,647,1240,593,647
新聞の定期購読別定期購読している,100.0,47.8,52.2,100.0,47.8,52.2
新聞の定期購読別定期購読していない,583,259,324,583,259,324
新聞の定期購読別定期購読していない,100.0,44.4,55.6,100.0,44.4,55.6
インターネットの利用有無別インターネットを利用している,1055,521,534,1055,521,534
インターネットの利用有無別インターネットを利用している,100.0,49.4,50.6,100.0,49.4,50.6
インターネットの利用有無別インターネットを利用していない,768,331,437,768,331,437
インターネットの利用有無別インターネットを利用していない,100.0,43.1,56.9,100.0,43.1,56.9
