,調査数,新聞,雑誌,ラジオ,テレビ,パソコンでのインターネット,携帯電話・スマートフォン・タブレット等でのインターネット,その他,特にない,無回答
性/年齢別女性50歳代（％）,100.0,72.2,20.3,15.8,88.0,37.6,35.3,1.5,0.8,0.8
性/年齢別女性60歳代実数,160,114,31,41,152,32,26,1,1,-
性/年齢別女性60歳代（％）,100.0,71.3,19.4,25.6,95.0,20.0,16.3,0.6,0.6,-
性/年齢別女性70歳代実数,162,113,14,32,146,9,8,4,4,2
性/年齢別女性70歳代（％）,100.0,69.8,8.6,19.8,90.1,5.6,4.9,2.5,2.5,1.2
性/年齢別女性80歳以上実数,74,48,3,10,67,1,-,-,1,1
性/年齢別女性80歳以上（％）,100.0,64.9,4.1,13.5,90.5,1.4,-,-,1.4,1.4
未・既婚別未婚実数,453,191,81,72,348,234,248,5,4,-
未・既婚別未婚（％）,100.0,42.2,17.9,15.9,76.8,51.7,54.7,1.1,0.9,-
未・既婚別既婚（死別・離別を含む）実数,1366,868,235,251,1185,481,415,9,20,7
未・既婚別既婚（死別・離別を含む）（％）,100.0,63.5,17.2,18.4,86.7,35.2,30.4,0.7,1.5,0.5
子供の有無別子供はいない実数,642,290,119,110,512,329,330,7,5,1
子供の有無別子供はいない（％）,100.0,45.2,18.5,17.1,79.8,51.2,51.4,1.1,0.8,0.2
子供の有無別未就学（～６歳）実数,180,63,24,21,136,102,117,-,3,1
子供の有無別未就学（～６歳）（％）,100.0,35.0,13.3,11.7,75.6,56.7,65.0,-,1.7,0.6
子供の有無別小・中・高校生実数,270,143,56,36,232,154,143,1,3,1
子供の有無別小・中・高校生（％）,100.0,53.0,20.7,13.3,85.9,57.0,53.0,0.4,1.1,0.4
子供の有無別大学生・大学院生・短大生・専門学校生実数,106,73,34,25,96,54,50,1,-,-
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,68.9,32.1,23.6,90.6,50.9,47.2,0.9,-,-
子供の有無別学校教育終了実数,743,556,111,146,665,147,91,6,14,3
子供の有無別学校教育終了（％）,100.0,74.8,14.9,19.7,89.5,19.8,12.2,0.8,1.9,0.4
子供の有無別その他実数,7,5,2,2,5,2,1,-,-,1
子供の有無別その他（％）,100.0,71.4,28.6,28.6,71.4,28.6,14.3,-,-,14.3
職業別自営業（計）実数,152,106,32,41,129,65,47,5,2,-
職業別自営業（計）（％）,100.0,69.7,21.1,27.0,84.9,42.8,30.9,3.3,1.3,-
職業別農林漁業実数,3,1,1,-,2,1,1,-,-,-
職業別農林漁業（％）,100.0,33.3,33.3,-,66.7,33.3,33.3,-,-,-
職業別商工・サービス業実数,96,71,24,27,83,39,20,3,1,-
職業別商工・サービス業（％）,100.0,74.0,25.0,28.1,86.5,40.6,20.8,3.1,1.0,-
職業別その他自由業実数,53,34,7,14,44,25,26,2,1,-
職業別その他自由業（％）,100.0,64.2,13.2,26.4,83.0,47.2,49.1,3.8,1.9,-
職業別お勤め（計）実数,934,468,182,151,757,486,479,6,9,3
職業別お勤め（計）（％）,100.0,50.1,19.5,16.2,81.0,52.0,51.3,0.6,1.0,0.3
職業別経営・管理職実数,94,71,36,15,79,62,41,1,1,-
職業別経営・管理職（％）,100.0,75.5,38.3,16.0,84.0,66.0,43.6,1.1,1.1,-
職業別専門職・技術職実数,243,116,60,56,180,148,130,2,3,-
職業別専門職・技術職（％）,100.0,47.7,24.7,23.0,74.1,60.9,53.5,0.8,1.2,-
職業別事務職実数,249,133,45,28,207,160,152,1,1,1
職業別事務職（％）,100.0,53.4,18.1,11.2,83.1,64.3,61.0,0.4,0.4,0.4
職業別労務職・技能職実数,111,49,7,15,94,31,36,-,3,-
職業別労務職・技能職（％）,100.0,44.1,6.3,13.5,84.7,27.9,32.4,-,2.7,-
職業別販売・サービス職実数,237,99,34,37,197,85,120,2,1,2
職業別販売・サービス職（％）,100.0,41.8,14.3,15.6,83.1,35.9,50.6,0.8,0.4,0.8
職業別その他（計）実数,732,483,99,128,645,160,135,3,13,4
職業別その他（計）（％）,100.0,66.0,13.5,17.5,88.1,21.9,18.4,0.4,1.8,0.5
職業別生徒・学生実数,35,13,7,3,27,23,26,-,-,-
職業別生徒・学生（％）,100.0,37.1,20.0,8.6,77.1,65.7,74.3,-,-,-
職業別専業主婦（夫）実数,309,197,43,46,282,83,83,1,7,3
職業別専業主婦（夫）（％）,100.0,63.8,13.9,14.9,91.3,26.9,26.9,0.3,2.3,1.0
職業別その他実数,18,10,2,3,15,5,8,-,-,-
職業別その他（％）,100.0,55.6,11.1,16.7,83.3,27.8,44.4,-,-,-
職業別無職（年金受給者含む）実数,370,263,47,76,321,49,18,2,6,1
職業別無職（年金受給者含む）（％）,100.0,71.1,12.7,20.5,86.8,13.2,4.9,0.5,1.6,0.3
投票所までの時間別５分以内実数,712,428,124,133,603,308,287,7,7,2
投票所までの時間別５分以内（％）,100.0,60.1,17.4,18.7,84.7,43.3,40.3,1.0,1.0,0.3
投票所までの時間別10分以内実数,769,455,125,126,646,294,255,4,10,4
投票所までの時間別10分以内（％）,100.0,59.2,16.3,16.4,84.0,38.2,33.2,0.5,1.3,0.5
投票所までの時間別20分以内実数,245,136,52,57,204,90,87,1,7,1
投票所までの時間別20分以内（％）,100.0,55.5,21.2,23.3,83.3,36.7,35.5,0.4,2.9,0.4
投票所までの時間別30分以内実数,38,22,7,2,33,10,7,-,-,-
投票所までの時間別30分以内（％）,100.0,57.9,18.4,5.3,86.8,26.3,18.4,-,-,-
投票所までの時間別30分を超える実数,11,8,2,1,9,3,4,-,-,1
投票所までの時間別30分を超える（％）,100.0,72.7,18.2,9.1,81.8,27.3,36.4,-,-,9.1
投票所までの時間別わからない実数,48,11,6,4,39,10,25,2,-,-
投票所までの時間別わからない（％）,100.0,22.9,12.5,8.3,81.3,20.8,52.1,4.2,-,-
地域別区部（計）実数,1189,659,202,196,998,494,471,11,15,3
地域別区部（計）（％）,100.0,55.4,17.0,16.5,83.9,41.5,39.6,0.9,1.3,0.3
地域別センターコア実数,314,171,58,38,272,129,123,2,4,1
地域別センターコア（％）,100.0,54.5,18.5,12.1,86.6,41.1,39.2,0.6,1.3,0.3
地域別区部東部・北部エリア実数,382,204,54,73,319,134,134,4,7,1
地域別区部東部・北部エリア（％）,100.0,53.4,14.1,19.1,83.5,35.1,35.1,1.0,1.8,0.3
地域別区部西部・南部エリア実数,493,284,90,85,407,231,214,5,4,1
地域別区部西部・南部エリア（％）,100.0,57.6,18.3,17.2,82.6,46.9,43.4,1.0,0.8,0.2
地域別市郡部（計）実数,638,404,114,127,540,222,194,3,9,5
地域別市郡部（計）（％）,100.0,63.3,17.9,19.9,84.6,34.8,30.4,0.5,1.4,0.8
地域別多摩東部エリア実数,239,159,54,50,204,86,68,-,1,-
地域別多摩東部エリア（％）,100.0,66.5,22.6,20.9,85.4,36.0,28.5,-,0.4,-
地域別多摩中央部北エリア実数,89,48,14,18,80,23,29,-,2,1
地域別多摩中央部北エリア（％）,100.0,53.9,15.7,20.2,89.9,25.8,32.6,-,2.2,1.1
地域別多摩中央部南エリア実数,267,172,42,50,218,105,86,3,5,3
地域別多摩中央部南エリア（％）,100.0,64.4,15.7,18.7,81.6,39.3,32.2,1.1,1.9,1.1
地域別多摩西部エリア実数,43,25,4,9,38,8,11,-,1,1
地域別多摩西部エリア（％）,100.0,58.1,9.3,20.9,88.4,18.6,25.6,-,2.3,2.3
選挙への関心度別関心があった（計）実数,1084,709,207,217,921,463,362,11,7,3
選挙への関心度別関心があった（計）（％）,100.0,65.4,19.1,20.0,85.0,42.7,33.4,1.0,0.6,0.3
選挙への関心度別関心があった実数,642,451,137,145,541,278,179,9,5,3
選挙への関心度別関心があった（％）,100.0,70.2,21.3,22.6,84.3,43.3,27.9,1.4,0.8,0.5
選挙への関心度別やや関心があった実数,442,258,70,72,380,185,183,2,2,-
選挙への関心度別やや関心があった（％）,100.0,58.4,15.8,16.3,86.0,41.9,41.4,0.5,0.5,-
選挙への関心度別関心がなかった（計）実数,179,95,26,27,152,70,82,-,4,2
選挙への関心度別関心がなかった（計）（％）,100.0,53.1,14.5,15.1,84.9,39.1,45.8,-,2.2,1.1
選挙への関心度別あまり関心がなかった実数,554,258,82,77,458,183,220,3,11,2
選挙への関心度別あまり関心がなかった（％）,100.0,46.6,14.8,13.9,82.7,33.0,39.7,0.5,2.0,0.4
選挙への関心度別関心がなかった実数,369,185,57,53,314,123,148,2,3,1
選挙への関心度別関心がなかった（％）,100.0,50.1,15.4,14.4,85.1,33.3,40.1,0.5,0.8,0.3
選挙への関心度別どちらともいえない実数,185,73,25,24,144,60,72,1,8,1
選挙への関心度別どちらともいえない（％）,100.0,39.5,13.5,13.0,77.8,32.4,38.9,0.5,4.3,0.5
選挙への関心度別わからない実数,7,1,1,2,5,-,1,-,2,-
選挙への関心度別わからない（％）,100.0,14.3,14.3,28.6,71.4,-,14.3,-,28.6,-
投票への意識別投票するべき（計）実数,1484,934,280,278,1265,616,523,11,14,5
投票への意識別投票するべき（計）（％）,100.0,62.9,18.9,18.7,85.2,41.5,35.2,0.7,0.9,0.3
投票への意識別必ず投票するべき実数,703,497,153,139,600,284,214,8,8,2
投票への意識別必ず投票するべき（％）,100.0,70.7,21.8,19.8,85.3,40.4,30.4,1.1,1.1,0.3
投票への意識別可能な限り投票するべき実数,781,437,127,139,665,332,309,3,6,3
投票への意識別可能な限り投票するべき（％）,100.0,56.0,16.3,17.8,85.1,42.5,39.6,0.4,0.8,0.4
投票への意識別投票するのもしないのも自由実数,315,120,33,41,252,96,134,2,9,2
投票への意識別投票するのもしないのも自由（％）,100.0,38.1,10.5,13.0,80.0,30.5,42.5,0.6,2.9,0.6
投票への意識別その他実数,11,6,2,2,9,2,4,-,-,-
投票への意識別その他（％）,100.0,54.5,18.2,18.2,81.8,18.2,36.4,-,-,-
投票への意識別わからない実数,15,3,1,2,11,2,4,1,1,-
投票への意識別わからない（％）,100.0,20.0,6.7,13.3,73.3,13.3,26.7,6.7,6.7,-
投票への参加状況別投票した（計）実数,1246,816,237,248,1061,517,419,9,12,5
投票への参加状況別投票した（計）（％）,100.0,65.5,19.0,19.9,85.2,41.5,33.6,0.7,1.0,0.4
投票への参加状況別投票日（12月14日）に投票した実数,987,638,184,197,840,407,331,5,11,5
投票への参加状況別投票日（12月14日）に投票した（％）,100.0,64.6,18.6,20.0,85.1,41.2,33.5,0.5,1.1,0.5
投票への参加状況別期日前投票（又は不在者投票等）をした実数,259,178,53,51,221,110,88,4,1,-
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,68.7,20.5,19.7,85.3,42.5,34.0,1.5,0.4,-
投票への参加状況別投票しなかった実数,563,239,75,70,465,192,236,5,11,3
投票への参加状況別投票しなかった（％）,100.0,42.5,13.3,12.4,82.6,34.1,41.9,0.9,2.0,0.5
投票への参加状況別答えたくない実数,18,8,4,5,12,7,10,-,1,-
投票への参加状況別答えたくない（％）,100.0,44.4,22.2,27.8,66.7,38.9,55.6,-,5.6,-
新聞の定期購読定期購読している実数,1142,995,238,220,995,391,321,8,12,2
新聞の定期購読定期購読している（％）,100.0,87.1,20.8,19.3,87.1,34.2,28.1,0.7,1.1,0.2
新聞の定期購読定期購読していない実数,681,67,77,103,542,325,343,6,12,4
新聞の定期購読定期購読していない（％）,100.0,9.8,11.3,15.1,79.6,47.7,50.4,0.9,1.8,0.6
インターネットの利用有無利用している実数,984,475,217,160,798,716,665,7,-,-
インターネットの利用有無利用している（％）,100.0,48.3,22.1,16.3,81.1,72.8,67.6,0.7,-,-
インターネットの利用有無利用していない実数,835,588,99,163,740,-,-,7,24,-
インターネットの利用有無利用していない（％）,100.0,70.4,11.9,19.5,88.6,-,-,0.8,2.9,-
ネット選挙の認知度別知っている実数,955,601,206,190,797,507,401,6,3,2
ネット選挙の認知度別知っている（％）,100.0,62.9,21.6,19.9,83.5,53.1,42.0,0.6,0.3,0.2
ネット選挙の認知度別知らなかった実数,752,379,95,112,633,209,263,5,21,3
ネット選挙の認知度別知らなかった（％）,100.0,50.4,12.6,14.9,84.2,27.8,35.0,0.7,2.8,0.4
