,参議院議員選挙／調査数,参議院議員選挙／選挙期間に入る前から（6月21日以前）,参議院議員選挙／投票するまでの選挙期間中（投票した日を除く）,参議院議員選挙／投票した日当日,参議院議員選挙／わからない、忘れた,東京都知事選挙／調査数,東京都知事選挙／選挙期間に入る前から（7月13日以前）,東京都知事選挙／投票するまでの選挙期間中（投票した日を除く）,東京都知事選挙／投票した日当日,東京都知事選挙／わからない、忘れた
性/年齢別男性80歳以上,100.0,60.0,40.0,-,-,100.0,60.0,40.0,-,-
性/年齢別女性18歳,1,-,1,-,-,1,-,1,-,-
性/年齢別女性18歳,100.0,-,100.0,-,-,100.0,-,100.0,-,-
性/年齢別女性19歳,1,-,-,1,-,1,-,-,1,-
性/年齢別女性19歳,100.0,-,-,100.0,-,100.0,-,-,100.0,-
性/年齢別女性20歳代,15,5,7,3,-,15,3,9,3,-
性/年齢別女性20歳代,100.0,33.3,46.7,20.0,-,100.0,20.0,60.0,20.0,-
性/年齢別女性30歳代,14,3,9,2,-,19,5,12,2,-
性/年齢別女性30歳代,100.0,21.4,64.3,14.3,-,100.0,26.3,63.2,10.5,-
性/年齢別女性40歳代,29,7,21,1,-,34,7,25,2,-
性/年齢別女性40歳代,100.0,24.1,72.4,3.4,-,100.0,20.6,73.5,5.9,-
性/年齢別女性50歳代,15,6,9,-,-,20,6,13,1,-
性/年齢別女性50歳代,100.0,40.0,60.0,-,-,100.0,30.0,65.0,5.0,-
性/年齢別女性60歳代,23,5,15,2,1,22,7,15,-,-
性/年齢別女性60歳代,100.0,21.7,65.2,8.7,4.3,100.0,31.8,68.2,-,-
性/年齢別女性70歳代,14,4,10,-,-,16,6,10,-,-
性/年齢別女性70歳代,100.0,28.6,71.4,-,-,100.0,37.5,62.5,-,-
性/年齢別女性80歳以上,6,2,4,-,-,6,2,4,-,-
性/年齢別女性80歳以上,100.0,33.3,66.7,-,-,100.0,33.3,66.7,-,-
未・既婚別未婚,44,13,26,5,-,47,16,25,6,-
未・既婚別未婚,100.0,29.5,59.1,11.4,-,100.0,34.0,53.2,12.8,-
未・既婚別既婚（死別・離別を含む）,165,46,109,9,1,190,51,127,12,-
未・既婚別既婚（死別・離別を含む）,100.0,27.9,66.1,5.5,0.6,100.0,26.8,66.8,6.3,-
子供の有無別子供はいない,56,14,35,7,-,64,16,39,9,-
子供の有無別子供はいない,100.0,25.0,62.5,12.5,-,100.0,25.0,60.9,14.1,-
子供の有無別未就学（～６歳）,15,4,10,1,-,18,5,10,3,-
子供の有無別未就学（～６歳）,100.0,26.7,66.7,6.7,-,100.0,27.8,55.6,16.7,-
子供の有無別小・中・高校生,47,12,31,4,-,53,12,38,3,-
子供の有無別小・中・高校生,100.0,25.5,66.0,8.5,-,100.0,22.6,71.7,5.7,-
子供の有無別大学生・大学院生・短大生・専門学校生,14,3,11,-,-,16,4,11,1,-
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,21.4,78.6,-,-,100.0,25.0,68.8,6.3,-
子供の有無別学校教育終了,80,27,50,2,1,89,29,59,1,-
子供の有無別学校教育終了,100.0,33.8,62.5,2.5,1.3,100.0,32.6,66.3,1.1,-
子供の有無別その他,8,3,4,1,-,9,4,4,1,-
子供の有無別その他,100.0,37.5,50.0,12.5,-,100.0,44.4,44.4,11.1,-
職業別自営業（計）,28,11,14,3,-,30,12,14,4,-
職業別自営業（計）,100.0,39.3,50.0,10.7,-,100.0,40.0,46.7,13.3,-
職業別農林漁業,-,-,-,-,-,-,-,-,-,-
職業別農林漁業,-,-,-,-,-,-,-,-,-,-
職業別商工・サービス業,9,2,5,2,-,9,3,5,1,-
職業別商工・サービス業,100.0,22.2,55.6,22.2,-,100.0,33.3,55.6,11.1,-
職業別その他自由業,19,9,9,1,-,21,9,9,3,-
職業別その他自由業,100.0,47.4,47.4,5.3,-,100.0,42.9,42.9,14.3,-
職業別お勤め（計）,99,22,67,10,-,113,26,74,13,-
職業別お勤め（計）,100.0,22.2,67.7,10.1,-,100.0,23.0,65.5,11.5,-
職業別経営・管理職,10,4,5,1,-,10,2,8,-,-
職業別経営・管理職,100.0,40.0,50.0,10.0,-,100.0,20.0,80.0,-,-
職業別専門職・技術職,27,6,19,2,-,32,8,20,4,-
職業別専門職・技術職,100.0,22.2,70.4,7.4,-,100.0,25.0,62.5,12.5,-
職業別事務職,29,5,21,3,-,31,8,20,3,-
職業別事務職,100.0,17.2,72.4,10.3,-,100.0,25.8,64.5,9.7,-
職業別労務職・技能職,3,1,2,-,-,5,1,3,1,-
職業別労務職・技能職,100.0,33.3,66.7,-,-,100.0,20.0,60.0,20.0,-
職業別販売・サービス職,30,6,20,4,-,35,7,23,5,-
職業別販売・サービス職,100.0,20.0,66.7,13.3,-,100.0,20.0,65.7,14.3,-
職業別その他（計）,82,26,54,1,1,94,29,64,1,-
職業別その他（計）,100.0,31.7,65.9,1.2,1.2,100.0,30.9,68.1,1.1,-
職業別生徒・学生,4,2,2,-,-,4,2,2,-,-
職業別生徒・学生,100.0,50.0,50.0,-,-,100.0,50.0,50.0,-,-
職業別専業主婦（夫）,42,12,28,1,1,52,15,36,1,-
職業別専業主婦（夫）,100.0,28.6,66.7,2.4,2.4,100.0,28.8,69.2,1.9,-
職業別その他,4,1,3,-,-,4,1,3,-,-
職業別その他,100.0,25.0,75.0,-,-,100.0,25.0,75.0,-,-
職業別無職（年金受給者含む）,32,11,21,-,-,34,11,23,-,-
職業別無職（年金受給者含む）,100.0,34.4,65.6,-,-,100.0,32.4,67.6,-,-
投票所までの時間別５分以内,56,20,32,4,-,60,15,41,4,-
投票所までの時間別５分以内,100.0,35.7,57.1,7.1,-,100.0,25.0,68.3,6.7,-
投票所までの時間別10分以内,112,27,78,7,-,133,36,89,8,-
投票所までの時間別10分以内,100.0,24.1,69.6,6.3,-,100.0,27.1,66.9,6.0,-
投票所までの時間別20分以内,30,7,19,3,1,33,11,16,6,-
投票所までの時間別20分以内,100.0,23.3,63.3,10.0,3.3,100.0,33.3,48.5,18.2,-
投票所までの時間別30分以内,7,3,4,-,-,7,3,4,-,-
投票所までの時間別30分以内,100.0,42.9,57.1,-,-,100.0,42.9,57.1,-,-
投票所までの時間別30分を超える,3,1,2,-,-,3,1,2,-,-
投票所までの時間別30分を超える,100.0,33.3,66.7,-,-,100.0,33.3,66.7,-,-
投票所までの時間別わからない,1,1,-,-,-,1,1,-,-,-
投票所までの時間別わからない,100.0,100.0,-,-,-,100.0,100.0,-,-,-
地域別区部（計）,137,31,96,10,-,153,32,108,13,-
地域別区部（計）,100.0,22.6,70.1,7.3,-,100.0,20.9,70.6,8.5,-
地域別センターコア,46,10,35,1,-,53,11,40,2,-
地域別センターコア,100.0,21.7,76.1,2.2,-,100.0,20.8,75.5,3.8,-
地域別区部東部・北部エリア,37,6,26,5,-,39,4,30,5,-
地域別区部東部・北部エリア,100.0,16.2,70.3,13.5,-,100.0,10.3,76.9,12.8,-
地域別区部西部・南部エリア,54,15,35,4,-,61,17,38,6,-
地域別区部西部・南部エリア,100.0,27.8,64.8,7.4,-,100.0,27.9,62.3,9.8,-
地域別市郡部（計）,72,28,39,4,1,84,35,44,5,-
地域別市郡部（計）,100.0,38.9,54.2,5.6,1.4,100.0,41.7,52.4,6.0,-
地域別多摩東部エリア,16,6,9,1,-,23,7,14,2,-
地域別多摩東部エリア,100.0,37.5,56.3,6.3,-,100.0,30.4,60.9,8.7,-
地域別多摩中央部北エリア,21,11,8,2,-,23,12,9,2,-
地域別多摩中央部北エリア,100.0,52.4,38.1,9.5,-,100.0,52.2,39.1,8.7,-
地域別多摩中央部南エリア,26,6,18,1,1,28,10,17,1,-
地域別多摩中央部南エリア,100.0,23.1,69.2,3.8,3.8,100.0,35.7,60.7,3.6,-
地域別多摩西部エリア,9,5,4,-,-,10,6,4,-,-
地域別多摩西部エリア,100.0,55.6,44.4,-,-,100.0,60.0,40.0,-,-
選挙への関心度別関心があった（計）,183,53,121,8,1,219,62,141,16,-
選挙への関心度別関心があった（計）,100.0,29.0,66.1,4.4,0.5,100.0,28.3,64.4,7.3,-
選挙への関心度別関心があった,101,39,59,2,1,133,48,78,7,-
選挙への関心度別関心があった,100.0,38.6,58.4,2.0,1.0,100.0,36.1,58.6,5.3,-
選挙への関心度別やや関心があった,82,14,62,6,-,86,14,63,9,-
選挙への関心度別やや関心があった,100.0,17.1,75.6,7.3,-,100.0,16.3,73.3,10.5,-
選挙への関心度別関心がなかった（計）,10,2,6,2,-,4,-,4,-,-
選挙への関心度別関心がなかった（計）,100.0,20.0,60.0,20.0,-,100.0,-,100.0,-,-
選挙への関心度別あまり関心がなかった,10,2,6,2,-,4,-,4,-,-
選挙への関心度別あまり関心がなかった,100.0,20.0,60.0,20.0,-,100.0,-,100.0,-,-
選挙への関心度別関心がなかった,-,-,-,-,-,-,-,-,-,-
選挙への関心度別関心がなかった,-,-,-,-,-,-,-,-,-,-
選挙への関心度別どちらともいえない,16,4,8,4,,14,5,7,2,-
選挙への関心度別どちらともいえない,100.0,25.0,50.0,25.0,,100.0,35.7,50.0,14.3,-
選挙への関心度別わからない,-,-,-,-,-,-,-,-,-,-
選挙への関心度別わからない,-,-,-,-,-,-,-,-,-,-
投票への意識別投票するべき（計）,192,55,123,13,1,217,62,138,17,-
投票への意識別投票するべき（計）,100.0,28.6,64.1,6.8,0.5,100.0,28.6,63.6,7.8,-
投票への意識別必ず投票するべき,88,28,55,5,-,99,30,64,5,-
投票への意識別必ず投票するべき,100.0,31.8,62.5,5.7,-,100.0,30.3,64.6,5.1,-
投票への意識別可能な限り投票するべき,104,27,68,8,1,118,32,74,12,-
投票への意識別可能な限り投票するべき,100.0,26.0,65.4,7.7,1.0,100.0,27.1,62.7,10.2,-
投票への意識別投票するのもしないのも自由,16,4,11,1,-,20,5,14,1,-
投票への意識別投票するのもしないのも自由,100.0,25.0,68.8,6.3,-,100.0,25.0,70.0,5.0,-
投票への意識別その他,-,-,-,-,-,-,-,-,-,-
投票への意識別その他,-,-,-,-,-,-,-,-,-,-
投票への意識別わからない,1,-,1,-,-,-,-,-,-,-
投票への意識別わからない,100.0,-,100.0,-,-,-,-,-,-,-
投票への参加状況別投票した（計）,209,59,135,14,1,237,67,152,18,-
投票への参加状況別投票した（計）,100.0,28.2,64.6,6.7,0.5,100.0,28.3,64.1,7.6,-
投票への参加状況別投票日に投票した,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票日に投票した,-,-,-,-,-,-,-,-,-,-
投票への参加状況別期日前投票（又は不在者投票等）をした,209,59,135,14,1,237,67,152,18,-
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,28.2,64.6,6.7,0.5,100.0,28.3,64.1,7.6,-
投票への参加状況別投票しなかった,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票しなかった,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-
新聞の定期購読別定期購読している,146,45,94,7,-,156,46,102,8,-
新聞の定期購読別定期購読している,100.0,30.8,64.4,4.8,-,100.0,29.5,65.4,5.1,-
新聞の定期購読別定期購読していない,63,14,41,7,1,81,21,50,10,-
新聞の定期購読別定期購読していない,100.0,22.2,65.1,11.1,1.6,100.0,25.9,61.7,12.3,-
インターネットの利用有無別インターネットを利用している,143,34,96,13,-,167,39,112,16,-
インターネットの利用有無別インターネットを利用している,100.0,23.8,67.1,9.1,-,100.0,23.4,67.1,9.6,-
インターネットの利用有無別インターネットを利用していない,66,25,39,1,1,70,28,40,2,-
インターネットの利用有無別インターネットを利用していない,100.0,37.9,59.1,1.5,1.5,100.0,40.0,57.1,2.9,-
