,調査数,未婚,既婚（死別・離別を含む）,無回答
職業別事務職（％）,100.0,38.2,61.8,-
職業別労務職・技能職実数,111,48,63,-
職業別労務職・技能職（％）,100.0,43.2,56.8,-
職業別販売・サービス職実数,237,94,141,2
職業別販売・サービス職（％）,100.0,39.7,59.5,0.8
職業別その他（計）実数,732,102,628,2
職業別その他（計）（％）,100.0,13.9,85.8,0.3
職業別生徒・学生実数,35,35,-,-
職業別生徒・学生（％）,100.0,100.0,-,-
職業別専業主婦（夫）実数,309,2,307,-
職業別専業主婦（夫）（％）,100.0,0.6,99.4,-
職業別その他実数,18,6,12,-
職業別その他（％）,100.0,33.3,66.7,-
職業別無職（年金受給者含む）実数,370,59,309,2
職業別無職（年金受給者含む）（％）,100.0,15.9,83.5,0.5
投票所までの時間別５分以内実数,712,189,521,2
投票所までの時間別５分以内（％）,100.0,26.5,73.2,0.3
投票所までの時間別10分以内実数,769,162,603,4
投票所までの時間別10分以内（％）,100.0,21.1,78.4,0.5
投票所までの時間別20分以内実数,245,67,177,1
投票所までの時間別20分以内（％）,100.0,27.3,72.2,0.4
投票所までの時間別30分以内実数,38,7,31,-
投票所までの時間別30分以内（％）,100.0,18.4,81.6,-
投票所までの時間別30分を超える実数,11,5,6,-
投票所までの時間別30分を超える（％）,100.0,45.5,54.5,-
投票所までの時間別わからない実数,48,23,25,-
投票所までの時間別わからない（％）,100.0,47.9,52.1,-
地域別区部（計）実数,1189,300,884,5
地域別区部（計）（％）,100.0,25.2,74.3,0.4
地域別センターコア実数,314,83,230,1
地域別センターコア（％）,100.0,26.4,73.2,0.3
地域別区部東部・北部エリア実数,382,95,287,-
地域別区部東部・北部エリア（％）,100.0,24.9,75.1,-
地域別区部西部・南部エリア実数,493,122,367,4
地域別区部西部・南部エリア（％）,100.0,24.7,74.4,0.8
地域別市郡部（計）実数,638,153,482,3
地域別市郡部（計）（％）,100.0,24.0,75.5,0.5
地域別多摩東部エリア実数,239,58,180,1
地域別多摩東部エリア（％）,100.0,24.3,75.3,0.4
地域別多摩中央部北エリア実数,89,21,67,1
地域別多摩中央部北エリア（％）,100.0,23.6,75.3,1.1
地域別多摩中央部南エリア実数,267,68,199,-
地域別多摩中央部南エリア（％）,100.0,25.5,74.5,-
地域別多摩西部エリア実数,43,6,36,1
地域別多摩西部エリア（％）,100.0,14.0,83.7,2.3
選挙への関心度別関心があった（計）実数,1084,231,849,4
選挙への関心度別関心があった（計）（％）,100.0,21.3,78.3,0.4
選挙への関心度別関心があった実数,642,122,517,3
選挙への関心度別関心があった（％）,100.0,19.0,80.5,0.5
選挙への関心度別やや関心があった実数,442,109,332,1
選挙への関心度別やや関心があった（％）,100.0,24.7,75.1,0.2
選挙への関心度別関心がなかった（計）実数,179,43,134,2
選挙への関心度別関心がなかった（計）（％）,100.0,24.0,74.9,1.1
選挙への関心度別あまり関心がなかった実数,554,178,374,2
選挙への関心度別あまり関心がなかった（％）,100.0,32.1,67.5,0.4
選挙への関心度別関心がなかった実数,369,109,259,1
選挙への関心度別関心がなかった（％）,100.0,29.5,70.2,0.3
選挙への関心度別どちらともいえない実数,185,69,115,1
選挙への関心度別どちらともいえない（％）,100.0,37.3,62.2,0.5
選挙への関心度別わからない実数,7,1,6,-
選挙への関心度別わからない（％）,100.0,14.3,85.7,-
投票への意識別投票するべき（計）実数,1484,307,1170,7
投票への意識別投票するべき（計）（％）,100.0,20.7,78.8,0.5
投票への意識別必ず投票するべき実数,703,111,589,3
投票への意識別必ず投票するべき（％）,100.0,15.8,83.8,0.4
投票への意識別可能な限り投票するべき実数,781,196,581,4
投票への意識別可能な限り投票するべき（％）,100.0,25.1,74.4,0.5
投票への意識別投票するのもしないのも自由実数,315,138,176,1
投票への意識別投票するのもしないのも自由（％）,100.0,43.8,55.9,0.3
投票への意識別その他実数,11,1,10,-
投票への意識別その他（％）,100.0,9.1,90.9,-
投票への意識別わからない実数,15,7,8,-
投票への意識別わからない（％）,100.0,46.7,53.3,-
投票への参加状況別投票した（計）実数,1246,248,991,7
投票への参加状況別投票した（計）（％）,100.0,19.9,79.5,0.6
投票への参加状況別投票日（12月14日）に投票した実数,987,193,787,7
投票への参加状況別投票日（12月14日）に投票した（％）,100.0,19.6,79.7,0.7
投票への参加状況別期日前投票（又は不在者投票等）をした実数,259,55,204,-
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,21.2,78.8,-
投票への参加状況別投票しなかった実数,563,197,365,1
投票への参加状況別投票しなかった（％）,100.0,35.0,64.8,0.2
投票への参加状況別答えたくない実数,18,8,10,-
投票への参加状況別答えたくない（％）,100.0,44.4,55.6,-
新聞の定期購読定期購読している実数,1142,219,919,4
新聞の定期購読定期購読している（％）,100.0,19.2,80.5,0.4
新聞の定期購読定期購読していない実数,681,232,445,4
新聞の定期購読定期購読していない（％）,100.0,34.1,65.3,0.6
インターネットの利用有無利用している実数,984,332,650,2
インターネットの利用有無利用している（％）,100.0,33.7,66.1,0.2
インターネットの利用有無利用していない実数,835,121,709,5
インターネットの利用有無利用していない（％）,100.0,14.5,84.9,0.6
ネット選挙の認知度別知っている実数,955,248,703,4
ネット選挙の認知度別知っている（％）,100.0,26.0,73.6,0.4
ネット選挙の認知度別知らなかった実数,752,194,555,3
ネット選挙の認知度別知らなかった（％）,100.0,25.8,73.8,0.4
