区分,基数,構成比の地域別内訳センター,構成比の地域別内訳東部北部,構成比の地域別内訳西部南部,構成比の地域別内訳多摩東部,構成比の地域別内訳多摩中央北,構成比の地域別内訳多摩中央南,構成比の地域別内訳多摩西部,構成比の地域別内訳区部計,構成比の地域別内訳市郡部計
性・年齢別男性50歳代実数,152,20,35,57,12,5,18,5,112,40
性・年齢別男性50歳代構成比(%),100.0,13.2,23.0,37.5,7.9,3.3,11.8,3.3,-,-
性・年齢別男性60歳代実数,157,29,34,47,11,7,25,4,110,47
性・年齢別男性60歳代構成比(%),100.0,18.5,21.7,29.9,7,4.5,15.9,2.5,-,-
性・年齢別男性70歳代実数,107,20,24,27,11,6,16,3,71,36
性・年齢別男性70歳代構成比(%),100.0,18.7,22.4,25.2,10.3,5.6,15.0,2.8,-,-
性・年齢別男性80歳以上実数,48,13,9,11,5,3,6,1,33,15
性・年齢別男性80歳以上構成比(%),100.0,27.1,18.8,22.9,10.4,6.3,12.5,2.1,-,-
性・年齢別女性18歳実数,6,1,1,1,1,-,1,1,3,3
性・年齢別女性18歳構成比(%),100.0,16.7,16.7,16.7,16.7,-,16.7,16.7,50.0,50.0
性・年齢別女性19歳実数,8,-,3,3,-,-,1,1,6,2
性・年齢別女性19歳構成比(%),100.0,-,37.5,37.5,-,-,12.5,12.5,75.0,25.0
性・年齢別女性20歳代実数,81,9,24,27,8,5,6,2,60,21
性・年齢別女性20歳代構成比(%),100.0,11.1,29.6,33.3,9.9,6.2,7.4,2.5,74.1,25.9
性・年齢別女性30歳代実数,135,38,29,49,5,2,10,2,116,19
性・年齢別女性30歳代構成比(%),100.0,28.1,21.5,36.3,3.7,1.5,7.4,1.5,5,1.1
性・年齢別女性40歳代実数,228,57,47,84,20,5,13,2,188,40
性・年齢別女性40歳代構成比(%),100.0,25.0,20.6,36.8,8.8,2.2,5.7,0.9,82.5,17.5
性・年齢別女性50歳代実数,159,35,22,55,14,9,18,6,112,47
性・年齢別女性50歳代構成比(%),100.0,22,13.8,34.6,8.8,5.7,11.3,3.8,70.4,29.6
性・年齢別女性60歳代実数,180,36,47,51,13,4,25,4,134,46
性・年齢別女性60歳代構成比(%),100.0,20.0,26.1,28.3,7.2,2.2,13.9,2.2,74.4,25.6
性・年齢別女性70歳代実数,124,25,30,29,7,7,24,2,84,40
性・年齢別女性70歳代構成比(%),100.0,20.2,24.2,23.4,5.6,5.6,19.4,1.6,67.7,32.3
性・年齢別女性80歳以上実数,50,11,12,12,5,1,7,2,35,15
性・年齢別女性80歳以上構成比(%),100.0,22.0,24.0,24.0,10.0,2.0,14.0,4.0,70.0,30.0
職業別自営業農林漁業実数,1,-,1,-,-,-,-,-,1,-
職業別自営業農林漁業構成比(%),100.0,-,100.0,-,-,-,-,-,100.0,-
職業別自営業商工・サービス業実数,42,8,13,13,5,2,1,-,34,8
職業別自営業商工・サービス業構成比(%),100.0,19.0,31.0,31.0,11.9,4.8,2.4,-,81.0,19.0
職業別自営業その他自由業実数,90,20,18,32,8,8,4,-,70,20
職業別自営業その他自由業構成比(%),100.0,22.2,20.0,35.6,8.9,8.9,4.4,-,77.8,22.2
職業別勤め人経営・管理職実数,74,18,11,31,6,1,6,1,60,14
職業別勤め人経営・管理職構成比(%),100.0,24.3,14.9,41.9,8.1,1.4,8.1,1.4,81.1,18.9
職業別勤め人・専門職・技術職実数,196,51,45,57,10,13,17,3,153,43
職業別勤め人・専門職・技術職構成比(%),100.0,26.0,23.0,29.1,5.1,6.6,8.7,1.5,78.1,21.9
職業別勤め人・事務職実数,221,52,41,73,14,7,28,6,166,55
職業別勤め人・事務職構成比(%),100.0,23.5,18.6,33.0,6.3,3.2,12.7,2.7,75.1,24.9
職業別勤め人労務・技能職実数,61,9,21,24,2,1,3,1,54,7
職業別勤め人労務・技能職構成比(%),100.0,14.8,34.4,39.3,3.3,1.6,4.9,1.6,88.5,11.5
職業別勤め人販売・サービス職実数,269,67,49,106,14,8,21,4,222,47
職業別勤め人販売・サービス職構成比(%),100.0,24.9,18.2,39.4,5.2,3.0,7.8,1.5,82.5,17.5
職業別その他生徒・学生実数,47,4,13,11,5,1,10,3,28,19
職業別その他生徒・学生構成比(%),100.0,8.5,27.7,23.4,10.6,2.1,21.3,6.4,59.6,40.4
職業別その他専業主婦(夫)実数,395,65,88,147,31,7,45,12,300,95
職業別その他専業主婦(夫)構成比(%),100.0,16.5,22.3,37.2,7.8,1.8,11.4,3.0,75.9,24.1
職業別その他その他実数,25,5,3,5,5,3,4,-,13,12
職業別その他その他構成比(%),100.0,20.0,12.0,20.0,20.0,12.0,16.0,-,52.0,48.0
職業別その他無職(年金受給者を含む)実数,402,89,95,96,32,19,62,9,280,122
職業別その他無職(年金受給者を含む)構成比(%),100.0,22.1,23.6,23.9,8,4.7,15.4,2.2,69.7,30.3
職業別再掲自営業(計)実数,133,28,32,45,13,10,5,-,105,28
職業別再掲自営業(計)構成比(%),100.0,21.1,24.1,33.8,9.8,7.5,3.8,-,78.9,21.1
職業別再掲勤め人(計)実数,821,197,167,291,46,30,75,15,655,166
職業別再掲勤め人(計)構成比(%),100.0,24.0,20.3,35.4,5.6,3.7,9.1,1.8,79.8,20.2
職業別再掲その他(計)実数,869,163,199,259,73,30,121,24,621,248
職業別再掲その他(計)構成比(%),100.0,18.8,22.9,29.8,8.4,3.5,13.9,2.8,71.5,28.5
