,参議院議員選挙／調査数,参議院議員選挙／政党を重視,参議院議員選挙／候補者個人を重視した,参議院議員選挙／どちらともいえない,参議院議員選挙／わからない,東京都知事選挙／調査数,東京都知事選挙／政党を重視,東京都知事選挙／候補者個人を重視した,東京都知事選挙／どちらともいえない,東京都知事選挙／わからない
性/年齢別男性60歳代,142,75,56,9,2,142,27,108,5,2
性/年齢別男性60歳代,100.0,52.8,39.4,6.3,1.4,100.0,19.0,76.1,3.5,1.4
性/年齢別男性70歳代,92,53,34,5,-,95,23,70,2,-
性/年齢別男性70歳代,100.0,57.6,37.0,5.4,-,100.0,24.2,73.7,2.1,-
性/年齢別男性80歳以上,31,18,11,2,-,32,13,17,2,-
性/年齢別男性80歳以上,100.0,58.1,35.5,6.5,-,100.0,40.6,53.1,6.3,-
性/年齢別女性18歳,5,1,3,1,-,5,1,3,1,-
性/年齢別女性18歳,100.0,20.0,60.0,20.0,-,100.0,20.0,60.0,20.0,-
性/年齢別女性19歳,2,-,1,1,-,3,-,1,2,-
性/年齢別女性19歳,100.0,-,50.0,50.0,-,100.0,-,33.3,66.7,-
性/年齢別女性20歳代,51,16,25,9,1,53,3,41,8,1
性/年齢別女性20歳代,100.0,31.4,49.0,17.6,2.0,100.0,5.7,77.4,15.1,1.9
性/年齢別女性30歳代,106,40,44,21,1,110,9,90,10,1
性/年齢別女性30歳代,100.0,37.7,41.5,19.8,0.9,100.0,8.2,81.8,9.1,0.9
性/年齢別女性40歳代,186,69,87,30,-,191,19,161,11,-
性/年齢別女性40歳代,100.0,37.1,46.8,16.1,-,100.0,9.9,84.3,5.8,-
性/年齢別女性50歳代,132,59,59,13,1,136,17,110,9,-
性/年齢別女性50歳代,100.0,44.7,44.7,9.8,0.8,100.0,12.5,80.9,6.6,-
性/年齢別女性60歳代,154,69,66,18,1,163,16,132,14,1
性/年齢別女性60歳代,100.0,44.8,42.9,11.7,0.6,100.0,9.8,81.0,8.6,0.6
性/年齢別女性70歳代,93,54,33,4,2,101,21,74,4,2
性/年齢別女性70歳代,100.0,58.1,35.5,4.3,2.2,100.0,20.8,73.3,4.0,2.0
性/年齢別女性80歳以上,33,21,10,1,1,33,13,18,1,1
性/年齢別女性80歳以上,100.0,63.6,30.3,3.0,3.0,100.0,39.4,54.5,3.0,3.0
未・既婚別未婚,216,87,85,41,3,223,26,167,28,2
未・既婚別未婚,100.0,40.3,39.4,19.0,1.4,100.0,11.7,74.9,12.6,0.9
未・既婚別既婚（死別・離別を含む）,1219,551,543,118,7,1268,182,1009,70,7
未・既婚別既婚（死別・離別を含む）,100.0,45.2,44.5,9.7,0.6,100.0,14.4,79.6,5.5,0.6
子供の有無別子供はいない,263,104,109,47,3,273,33,208,30,2
子供の有無別子供はいない,100.0,39.5,41.4,17.9,1.1,100.0,12.1,76.2,11.0,0.7
子供の有無別未就学（～６歳）,94,36,47,11,-,97,6,82,8,1
子供の有無別未就学（～６歳）,100.0,38.3,50.0,11.7,-,100.0,6.2,84.5,8.2,1.0
子供の有無別小・中・高校生,320,126,151,41,2,339,34,285,19,1
子供の有無別小・中・高校生,100.0,39.4,47.2,12.8,0.6,100.0,10.0,84.1,5.6,0.3
子供の有無別大学生・大学院生・短大生・専門学校生,124,48,63,12,1,125,16,102,7,-
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,38.7,50.8,9.7,0.8,100.0,12.8,81.6,5.6,-
子供の有無別学校教育終了,649,327,265,51,6,671,122,511,34,4
子供の有無別学校教育終了,100.0,50.4,40.8,7.9,0.9,100.0,18.2,76.2,5.1,0.6
子供の有無別その他,52,23,26,3,-,55,6,44,4,1
子供の有無別その他,100.0,44.2,50.0,5.8,-,100.0,10.9,80.0,7.3,1.8
職業別自営業（計）,120,42,62,15,1,125,10,105,9,1
職業別自営業（計）,100.0,35.0,51.7,12.5,0.8,100.0,8.0,84.0,7.2,0.8
職業別農林漁業,1,-,1,-,-,1,-,1,-,-
職業別農林漁業,100.0,-,100.0,-,-,100.0,-,100.0,-,-
職業別商工・サービス業,36,16,15,4,1,38,3,31,3,1
職業別商工・サービス業,100.0,44.4,41.7,11.1,2.8,100.0,7.9,81.6,7.9,2.6
職業別その他自由業,83,26,46,11,-,86,7,73,6,-
職業別その他自由業,100.0,31.3,55.4,13.3,-,100.0,8.1,84.9,7.0,-
職業別お勤め（計）,621,259,290,68,4,646,87,515,41,3
職業別お勤め（計）,100.0,41.7,46.7,11.0,0.6,100.0,13.5,79.7,6.3,0.5
職業別経営・管理職,62,29,28,5,-,64,15,46,3,-
職業別経営・管理職,100.0,46.8,45.2,8.1,-,100.0,23.4,71.9,4.7,-
職業別専門職・技術職,157,66,77,13,1,158,26,126,5,1
職業別専門職・技術職,100.0,42.0,49.0,8.3,0.6,100.0,16.5,79.7,3.2,0.6
職業別事務職,165,69,78,18,-,181,17,153,11,-
職業別事務職,100.0,41.8,47.3,10.9,-,100.0,9.4,84.5,6.1,-
職業別労務職・技能職,50,20,27,2,1,51,6,42,2,1
職業別労務職・技能職,100.0,40.0,54.0,4.0,2.0,100.0,11.8,82.4,3.9,2.0
職業別販売・サービス職,187,75,80,30,2,192,23,148,20,1
職業別販売・サービス職,100.0,40.1,42.8,16.0,1.1,100.0,12.0,77.1,10.4,0.5
職業別その他（計）,694,337,276,76,5,720,111,556,48,5
職業別その他（計）,100.0,48.6,39.8,11.0,0.7,100.0,15.4,77.2,6.7,0.7
職業別生徒・学生,27,7,14,6,-,28,2,21,5,-
職業別生徒・学生,100.0,25.9,51.9,22.2,-,100.0,7.1,75.0,17.9,-
職業別専業主婦（夫）,340,149,139,49,3,354,42,282,28,2
職業別専業主婦（夫）,100.0,43.8,40.9,14.4,0.9,100.0,11.9,79.7,7.9,0.6
職業別その他,19,5,9,5,-,19,-,16,3,-
職業別その他,100.0,26.3,47.4,26.3,-,100.0,-,84.2,15.8,-
職業別無職（年金受給者含む）,308,176,114,16,2,319,67,237,12,3
職業別無職（年金受給者含む）,100.0,57.1,37.0,5.2,0.6,100.0,21.0,74.3,3.8,0.9
投票所までの時間別５分以内,359,125,191,38,5,371,52,293,22,4
投票所までの時間別５分以内,100.0,34.8,53.2,10.6,1.4,100.0,14.0,79.0,5.9,1.1
投票所までの時間別10分以内,838,369,361,103,5,876,117,691,63,5
投票所までの時間別10分以内,100.0,44.0,43.1,12.3,0.6,100.0,13.4,78.9,7.2,0.6
投票所までの時間別20分以内,222,135,70,17,-,228,36,180,12,-
投票所までの時間別20分以内,100.0,60.8,31.5,7.7,-,100.0,15.8,78.9,5.3,-
投票所までの時間別30分以内,12,8,3,1,-,12,2,9,1,-
投票所までの時間別30分以内,100.0,66.7,25.0,8.3,-,100.0,16.7,75.0,8.3,-
投票所までの時間別30分を超える,3,1,2,-,-,3,1,2,-,-
投票所までの時間別30分を超える,100.0,33.3,66.7,-,-,100.0,33.3,66.7,-,-
投票所までの時間別わからない,1,-,1,-,-,1,-,1,-,-
投票所までの時間別わからない,100.0,-,100.0,-,-,100.0,-,100.0,-,-
地域別区部（計）,1089,488,468,126,7,1131,164,890,70,7
地域別区部（計）,100.0,44.8,43.0,11.6,0.6,100.0,14.5,78.7,6.2,0.6
地域別センターコア,307,131,150,26,,319,39,265,14,1
地域別センターコア,100.0,42.7,48.9,8.5,,100.0,12.2,83.1,4.4,0.3
地域別区部東部・北部エリア,318,138,127,49,4,336,56,247,30,3
地域別区部東部・北部エリア,100.0,43.4,39.9,15.4,1.3,100.0,16.7,73.5,8.9,0.9
地域別区部西部・南部エリア,464,219,191,51,3,476,69,378,26,3
地域別区部西部・南部エリア,100.0,47.2,41.2,11.0,0.6,100.0,14.5,79.4,5.5,0.6
地域別市郡部（計）,346,150,160,33,3,360,44,286,28,2
地域別市郡部（計）,100.0,43.4,46.2,9.5,0.9,100.0,12.2,79.4,7.8,0.6
地域別多摩東部エリア,106,33,57,15,1,113,14,87,11,1
地域別多摩東部エリア,100.0,31.1,53.8,14.2,0.9,100.0,12.4,77.0,9.7,0.9
地域別多摩中央部北エリア,56,23,27,5,1,58,8,45,5,-
地域別多摩中央部北エリア,100.0,41.1,48.2,8.9,1.8,100.0,13.8,77.6,8.6,-
地域別多摩中央部南エリア,161,85,65,10,1,164,17,137,9,1
地域別多摩中央部南エリア,100.0,52.8,40.4,6.2,0.6,100.0,10.4,83.5,5.5,0.6
地域別多摩西部エリア,23,9,11,3,,25,5,17,3,-
地域別多摩西部エリア,100.0,39.1,47.8,13.0,,100.0,20.0,68.0,12.0,-
選挙への関心度別関心があった（計）,1206,571,551,79,5,1337,201,1070,60,6
選挙への関心度別関心があった（計）,100.0,47.3,45.7,6.6,0.4,100.0,15.0,80.0,4.5,0.4
選挙への関心度別関心があった,608,316,255,33,4,738,143,560,31,4
選挙への関心度別関心があった,100.0,52.0,41.9,5.4,0.7,100.0,19.4,75.9,4.2,0.5
選挙への関心度別やや関心があった,598,255,296,46,1,599,58,510,29,2
選挙への関心度別やや関心があった,100.0,42.6,49.5,7.7,0.2,100.0,9.7,85.1,4.8,0.3
選挙への関心度別関心がなかった（計）,70,17,19,29,5,45,2,21,20,2
選挙への関心度別関心がなかった（計）,100.0,24.3,27.1,41.4,7.1,100.0,4.4,46.7,44.4,4.4
選挙への関心度別あまり関心がなかった,59,15,18,23,3,36,2,19,13,2
選挙への関心度別あまり関心がなかった,100.0,25.4,30.5,39.0,5.1,100.0,5.6,52.8,36.1,5.6
選挙への関心度別関心がなかった,11,2,1,6,2,9,-,2,7,-
選挙への関心度別関心がなかった,100.0,18.2,9.1,54.5,18.2,100.0,-,22.2,77.8,-
選挙への関心度別どちらともいえない,159,50,58,51,-,109,5,85,18,1
選挙への関心度別どちらともいえない,100.0,31.4,36.5,32.1,-,100.0,4.6,78.0,16.5,0.9
選挙への関心度別わからない,-,-,-,-,-,-,-,-,-,-
選挙への関心度別わからない,-,-,-,-,-,-,-,-,-,-
投票への意識別投票するべき（計）,1313,607,581,121,4,1351,204,1075,66,6
投票への意識別投票するべき（計）,100.0,46.2,44.2,9.2,0.3,100.0,15.1,79.6,4.9,0.4
投票への意識別必ず投票するべき,584,300,249,32,3,607,132,452,18,5
投票への意識別必ず投票するべき,100.0,51.4,42.6,5.5,0.5,100.0,21.7,74.5,3.0,0.8
投票への意識別可能な限り投票するべき,729,307,332,89,1,744,72,623,48,1
投票への意識別可能な限り投票するべき,100.0,42.1,45.5,12.2,0.1,100.0,9.7,83.7,6.5,0.1
投票への意識別投票するのもしないのも自由,114,30,45,35,4,132,4,97,30,1
投票への意識別投票するのもしないのも自由,100.0,26.3,39.5,30.7,3.5,100.0,3.0,73.5,22.7,0.8
投票への意識別その他,-,-,-,-,-,-,-,-,-,-
投票への意識別その他,-,-,-,-,-,-,-,-,-,-
投票への意識別わからない,8,1,2,3,2,8,-,4,2,2
投票への意識別わからない,100.0,12.5,25.0,37.5,25.0,100.0,-,50.0,25.0,25.0
投票への参加状況別投票した（計）,1435,638,628,159,10,1491,208,1176,98,9
投票への参加状況別投票した（計）,100.0,44.5,43.8,11.1,0.7,100.0,14.0,78.9,6.6,0.6
投票への参加状況別投票日に投票した,1226,551,531,136,8,1254,172,997,79,6
投票への参加状況別投票日に投票した,100.0,44.9,43.3,11.1,0.7,100.0,13.7,79.5,6.3,0.5
投票への参加状況別期日前投票（又は不在者投票等）をした,209,87,97,23,2,237,36,179,19,3
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,41.6,46.4,11.0,1.0,100.0,15.2,75.5,8.0,1.3
投票への参加状況別投票しなかった,-,-,-,-,-,-,-,-,-,-
投票への参加状況別投票しなかった,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-
投票への参加状況別答えたくない,-,-,-,-,-,-,-,-,-,-
新聞の定期購読別定期購読している,1076,505,482,84,5,1110,173,887,47,3
新聞の定期購読別定期購読している,100.0,46.9,44.8,7.8,0.5,100.0,15.6,79.9,4.2,0.3
新聞の定期購読別定期購読していない,359,133,146,75,5,381,35,289,51,6
新聞の定期購読別定期購読していない,100.0,37.0,40.7,20.9,1.4,100.0,9.2,75.9,13.4,1.6
インターネットの利用有無別インターネットを利用している,838,323,401,111,3,865,88,708,66,3
インターネットの利用有無別インターネットを利用している,100.0,38.5,47.9,13.2,0.4,100.0,10.2,81.8,7.6,0.3
インターネットの利用有無別インターネットを利用していない,597,315,227,48,7,626,120,468,32,6
インターネットの利用有無別インターネットを利用していない,100.0,52.8,38.0,8.0,1.2,100.0,19.2,74.8,5.1,1.0
