,調査数,子供はいない,未就学（～6歳）,小・中・高校生,大学生・大学院生・短大生・専門学校生,学校教育終了,その他,無回答
選挙への関心度別関心があった（％）,100.0,29.3,7.5,12.5,5.6,50.5,0.2,0.6
選挙への関心度別やや関心があった実数,442,161,50,68,28,164,4,1
選挙への関心度別やや関心があった（％）,100.0,36.4,11.3,15.4,6.3,37.1,0.9,0.2
選挙への関心度別関心がなかった（計）実数,179,62,20,33,12,64,-,3
選挙への関心度別関心がなかった（計）（％）,100.0,34.6,11.2,18.4,6.7,35.8,-,1.7
選挙への関心度別あまり関心がなかった実数,554,230,59,86,30,186,2,4
選挙への関心度別あまり関心がなかった（％）,100.0,41.5,10.6,15.5,5.4,33.6,0.4,0.7
選挙への関心度別関心がなかった実数,369,146,37,59,25,134,-,2
選挙への関心度別関心がなかった（％）,100.0,39.6,10.0,16.0,6.8,36.3,-,0.5
選挙への関心度別どちらともいえない実数,185,84,22,27,5,52,2,2
選挙への関心度別どちらともいえない（％）,100.0,45.4,11.9,14.6,2.7,28.1,1.1,1.1
選挙への関心度別わからない実数,7,1,2,1,-,4,-,-
選挙への関心度別わからない（％）,100.0,14.3,28.6,14.3,-,57.1,-,-
投票への意識別投票するべき（計）実数,1484,472,151,227,95,642,6,9
投票への意識別投票するべき（計）（％）,100.0,31.8,10.2,15.3,6.4,43.3,0.4,0.6
投票への意識別必ず投票するべき実数,703,188,63,107,45,351,1,2
投票への意識別必ず投票するべき（％）,100.0,26.7,9.0,15.2,6.4,49.9,0.1,0.3
投票への意識別可能な限り投票するべき実数,781,284,88,120,50,291,5,7
投票への意識別可能な限り投票するべき（％）,100.0,36.4,11.3,15.4,6.4,37.3,0.6,0.9
投票への意識別投票するのもしないのも自由実数,315,156,26,40,10,93,1,3
投票への意識別投票するのもしないのも自由（％）,100.0,49.5,8.3,12.7,3.2,29.5,0.3,1.0
投票への意識別その他実数,11,4,1,2,1,4,-,-
投票への意識別その他（％）,100.0,36.4,9.1,18.2,9.1,36.4,-,-
投票への意識別わからない実数,15,10,2,-,-,3,-,-
投票への意識別わからない（％）,100.0,66.7,13.3,-,-,20.0,-,-
投票への参加状況別投票した（計）実数,1246,392,117,195,78,547,5,6
投票への参加状況別投票した（計）（％）,100.0,31.5,9.4,15.7,6.3,43.9,0.4,0.5
投票への参加状況別投票日（12月14日）に投票した実数,987,300,95,163,63,431,5,6
投票への参加状況別投票日（12月14日）に投票した（％）,100.0,30.4,9.6,16.5,6.4,43.7,0.5,0.6
投票への参加状況別期日前投票（又は不在者投票等）をした実数,259,92,22,32,15,116,-,-
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,35.5,8.5,12.4,5.8,44.8,-,-
投票への参加状況別投票しなかった実数,563,239,60,73,28,195,2,5
投票への参加状況別投票しなかった（％）,100.0,42.5,10.7,13.0,5.0,34.6,0.4,0.9
投票への参加状況別答えたくない実数,18,11,3,2,-,1,-,1
投票への参加状況別答えたくない（％）,100.0,61.1,16.7,11.1,-,5.6,-,5.6
新聞の定期購読定期購読している実数,1142,321,61,156,78,596,5,8
新聞の定期購読定期購読している（％）,100.0,28.1,5.3,13.7,6.8,52.2,0.4,0.7
新聞の定期購読定期購読していない実数,681,319,118,114,28,146,2,4
新聞の定期購読定期購読していない（％）,100.0,46.8,17.3,16.7,4.1,21.4,0.3,0.6
インターネットの利用有無利用している実数,984,447,153,210,71,196,2,5
インターネットの利用有無利用している（％）,100.0,45.4,15.5,21.3,7.2,19.9,0.2,0.5
インターネットの利用有無利用していない実数,835,194,26,59,35,544,4,6
インターネットの利用有無利用していない（％）,100.0,23.2,3.1,7.1,4.2,65.1,0.5,0.7
ネット選挙の認知度別知っている実数,955,370,101,153,71,328,6,4
ネット選挙の認知度別知っている（％）,100.0,38.7,10.6,16.0,7.4,34.3,0.6,0.4
ネット選挙の認知度別知らなかった実数,752,252,75,107,31,330,1,6
ネット選挙の認知度別知らなかった（％）,100.0,33.5,10.0,14.2,4.1,43.9,0.1,0.8
