,参議院議員選挙/調査数,参議院議員選挙/自営業（計）,参議院議員選挙/農林漁業,参議院議員選挙/商工・サービス業,参議院議員選挙/その他自由業,参議院議員選挙/お勤め（計）,参議院議員選挙/経営・管理職,参議院議員選挙/専門職・技術職,参議院議員選挙/事務職,参議院議員選挙/労務職・技能職,参議院議員選挙/販売・サービス職,参議院議員選挙/その他（計）,参議院議員選挙/生徒・学生,参議院議員選挙/専業主婦（夫）,参議院議員選挙/その他,参議院議員選挙/無職（年金受給者含む）,東京都知事選挙/調査数,東京都知事選挙/自営業（計）,東京都知事選挙/農林漁業,東京都知事選挙/商工・サービス業,東京都知事選挙/その他自由業,東京都知事選挙/お勤め（計）,東京都知事選挙/経営・管理職,東京都知事選挙/専門職・技術職,東京都知事選挙/事務職,東京都知事選挙/労務職・技能職,東京都知事選挙/販売・サービス職,東京都知事選挙/その他（計）,東京都知事選挙/生徒・学生,東京都知事選挙/専業主婦（夫）,東京都知事選挙/その他,東京都知事選挙/無職（年金受給者含む）
性/年齢別男性30歳代,122,11,-,2,9,106,9,38,19,12,28,5,2,-,3,-,122,11,-,2,9,106,9,38,19,12,28,5,2,-,3,-
性/年齢別男性30歳代,100.0,9.0,-,1.6,7.4,86.9,7.4,31.1,15.6,9.8,23.0,4.1,1.6,-,2.5,-,100.0,9.0,-,1.6,7.4,86.9,7.4,31.1,15.6,9.8,23.0,4.1,1.6,-,2.5,-
性/年齢別男性40歳代,170,19,-,6,13,150,12,52,37,15,34,1,-,-,1,-,170,19,-,6,13,150,12,52,37,15,34,1,-,-,1,-
性/年齢別男性40歳代,100.0,11.2,-,3.5,7.6,88.2,7.1,30.6,21.8,8.8,20.0,0.6,-,-,0.6,-,100.0,11.2,-,3.5,7.6,88.2,7.1,30.6,21.8,8.8,20.0,0.6,-,-,0.6,-
性/年齢別男性50歳代,152,29,1,9,19,119,26,42,24,16,11,4,1,-,2,1,152,29,1,9,19,119,26,42,24,16,11,4,1,-,2,1
性/年齢別男性50歳代,100.0,19.1,0.7,5.9,12.5,78.3,17.1,27.6,15.8,10.5,7.2,2.6,0.7,-,1.3,0.7,100.0,19.1,0.7,5.9,12.5,78.3,17.1,27.6,15.8,10.5,7.2,2.6,0.7,-,1.3,0.7
性/年齢別男性60歳代,157,31,-,11,20,48,18,12,7,6,5,78,-,1,3,74,157,31,-,11,20,48,18,12,7,6,5,78,-,1,3,74
性/年齢別男性60歳代,100.0,19.7,-,7.0,12.7,30.6,11.5,7.6,4.5,3.8,3.2,49.7,-,0.6,1.9,47.1,100.0,19.7,-,7.0,12.7,30.6,11.5,7.6,4.5,3.8,3.2,49.7,-,0.6,1.9,47.1
性/年齢別男性70歳代,107,7,-,2,5,5,3,-,1,1,-,95,-,-,1,94,107,7,-,2,5,5,3,-,1,1,-,95,-,-,1,94
性/年齢別男性70歳代,100.0,6.5,-,1.9,4.7,4.7,2.8,-,0.9,0.9,-,88.8,-,-,0.9,87.9,100.0,6.5,-,1.9,4.7,4.7,2.8,-,0.9,0.9,-,88.8,-,-,0.9,87.9
性/年齢別男性80歳以上,48,3,-,-,3,-,-,-,-,-,-,45,-,-,-,45,48,3,-,-,3,-,-,-,-,-,-,45,-,-,-,45
性/年齢別男性80歳以上,100.0,6.3,-,-,6.3,-,-,-,-,-,-,93.8,-,-,-,93.8,100.0,6.3,-,-,6.3,-,-,-,-,-,-,93.8,-,-,-,93.8
性/年齢別女性18歳,6,-,-,-,-,2,-,-,-,-,2,4,4,-,-,-,6,-,-,-,-,2,-,-,-,-,2,4,4,-,-,-
性/年齢別女性18歳,100.0,-,-,-,-,33.3,-,-,-,-,33.3,66.7,66.7,-,-,-,100.0,-,-,-,-,33.3,-,-,-,-,33.3,66.7,66.7,-,-,-
性/年齢別女性19歳,8,1,-,1,-,3,-,-,1,-,2,4,4,-,-,-,8,1,-,1,-,3,-,-,1,-,2,4,4,-,-,-
性/年齢別女性19歳,100.0,12.5,-,12.5,-,37.5,-,-,12.5,-,25.0,50.0,50.0,-,-,-,100.0,12.5,-,12.5,-,37.5,-,-,12.5,-,25.0,50.0,50.0,-,-,-
性/年齢別女性20歳代,81,2,-,-,2,61,-,4,30,-,27,18,10,6,2,-,81,2,-,-,2,61,-,4,30,-,27,18,10,6,2,-
性/年齢別女性20歳代,100.0,2.5,-,-,2.5,75.3,-,4.9,37.0,-,33.3,22.2,12.3,7.4,2.5,-,100.0,2.5,-,-,2.5,75.3,-,4.9,37.0,-,33.3,22.2,12.3,7.4,2.5,-
性/年齢別女性30歳代,135,4,-,2,2,84,-,7,32,1,44,47,-,45,2,-,135,4,-,2,2,84,-,7,32,1,44,47,-,45,2,-
性/年齢別女性30歳代,100.0,3.0,-,1.5,1.5,62.2,-,5.2,23.7,0.7,32.6,34.8,-,33.3,1.5,-,100.0,3.0,-,1.5,1.5,62.2,-,5.2,23.7,0.7,32.6,34.8,-,33.3,1.5,-
性/年齢別女性40歳代,228,6,-,1,5,112,5,10,42,2,53,110,-,107,3,-,228,6,-,1,5,112,5,10,42,2,53,110,-,107,3,-
性/年齢別女性40歳代,100.0,2.6,-,0.4,2.2,49.1,2.2,4.4,18.4,0.9,23.2,48.2,-,46.9,1.3,-,100.0,2.6,-,0.4,2.2,49.1,2.2,4.4,18.4,0.9,23.2,48.2,-,46.9,1.3,-
性/年齢別女性50歳代,159,4,-,1,3,56,1,11,18,3,23,99,-,91,3,5,159,4,-,1,3,56,1,11,18,3,23,99,-,91,3,5
性/年齢別女性50歳代,100.0,2.5,-,0.6,1.9,35.2,0.6,6.9,11.3,1.9,14.5,62.3,-,57.2,1.9,3.1,100.0,2.5,-,0.6,1.9,35.2,0.6,6.9,11.3,1.9,14.5,62.3,-,57.2,1.9,3.1
性/年齢別女性60歳代,180,12,-,6,6,12,-,4,2,1,5,156,-,106,1,49,180,12,-,6,6,12,-,4,2,1,5,156,-,106,1,49
性/年齢別女性60歳代,100.0,6.7,-,3.3,3.3,6.7,-,2.2,1.1,0.6,2.8,86.7,-,58.9,0.6,27.2,100.0,6.7,-,3.3,3.3,6.7,-,2.2,1.1,0.6,2.8,86.7,-,58.9,0.6,27.2
性/年齢別女性70歳代,124,1,-,-,1,3,-,1,-,-,2,120,-,33,1,86,124,1,-,-,1,3,-,1,-,-,2,120,-,33,1,86
性/年齢別女性70歳代,100.0,0.8,-,-,0.8,2.4,-,0.8,-,-,1.6,96.8,-,26.6,0.8,69.4,100.0,0.8,-,-,0.8,2.4,-,0.8,-,-,1.6,96.8,-,26.6,0.8,69.4
性/年齢別女性80歳以上,50,-,-,-,-,1,-,-,-,-,1,49,-,6,-,43,50,-,-,-,-,1,-,-,-,-,1,49,-,6,-,43
性/年齢別女性80歳以上,100.0,-,-,-,-,2.0,-,-,-,-,2.0,98.0,-,12.0,-,86.0,100.0,-,-,-,-,2.0,-,-,-,-,2.0,98.0,-,12.0,-,86.0
未・既婚別未婚,344,28,-,6,22,235,5,35,71,13,111,81,45,2,12,22,344,28,-,6,22,235,5,35,71,13,111,81,45,2,12,22
未・既婚別未婚,100.0,8.1,-,1.7,6.4,68.3,1.5,10.2,20.6,3.8,32.3,23.5,13.1,0.6,3.5,6.4,100.0,8.1,-,1.7,6.4,68.3,1.5,10.2,20.6,3.8,32.3,23.5,13.1,0.6,3.5,6.4
未・既婚別既婚（死別・離別を含む）,1479,105,1,36,68,586,69,161,150,48,158,788,2,393,13,380,1479,105,1,36,68,586,69,161,150,48,158,788,2,393,13,380
未・既婚別既婚（死別・離別を含む）,100.0,7.1,0.1,2.4,4.6,39.6,4.7,10.9,10.1,3.2,10.7,53.3,0.1,26.6,0.9,25.7,100.0,7.1,0.1,2.4,4.6,39.6,4.7,10.9,10.1,3.2,10.7,53.3,0.1,26.6,0.9,25.7
子供の有無別子供はいない,404,36,-,10,26,271,7,47,85,13,119,97,46,7,16,28,404,36,-,10,26,271,7,47,85,13,119,97,46,7,16,28
子供の有無別子供はいない,100.0,8.9,-,2.5,6.4,67.1,1.7,11.6,21.0,3.2,29.5,24.0,11.4,1.7,4.0,6.9,100.0,8.9,-,2.5,6.4,67.1,1.7,11.6,21.0,3.2,29.5,24.0,11.4,1.7,4.0,6.9
子供の有無別未就学（～６歳）,114,6,-,-,6,79,6,24,17,5,27,29,-,28,1,-,114,6,-,-,6,79,6,24,17,5,27,29,-,28,1,-
子供の有無別未就学（～６歳）,100.0,5.3,-,-,5.3,69.3,5.3,21.1,14.9,4.4,23.7,25.4,-,24.6,0.9,-,100.0,5.3,-,-,5.3,69.3,5.3,21.1,14.9,4.4,23.7,25.4,-,24.6,0.9,-
子供の有無別小・中・高校生,394,21,-,7,14,259,21,65,70,14,89,114,-,112,1,1,394,21,-,7,14,259,21,65,70,14,89,114,-,112,1,1
子供の有無別小・中・高校生,100.0,5.3,-,1.8,3.6,65.7,5.3,16.5,17.8,3.6,22.6,28.9,-,28.4,0.3,0.3,100.0,5.3,-,1.8,3.6,65.7,5.3,16.5,17.8,3.6,22.6,28.9,-,28.4,0.3,0.3
子供の有無別大学生・大学院生・短大生・専門学校生,144,8,-,5,3,89,17,26,20,5,21,47,1,45,-,1,144,8,-,5,3,89,17,26,20,5,21,47,1,45,-,1
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,5.6,-,3.5,2.1,61.8,11.8,18.1,13.9,3.5,14.6,32.6,0.7,31.3,-,0.7,100.0,5.6,,3.5,2.1,61.8,11.8,18.1,13.9,3.5,14.6,32.6,0.7,31.3,,0.7
子供の有無別学校教育終了,791,56,1,18,37,179,33,51,39,28,28,556,-,208,6,342,791,56,1,18,37,179,33,51,39,28,28,556,-,208,6,342
子供の有無別学校教育終了,100.0,7.1,0.1,2.3,4.7,22.6,4.2,6.4,4.9,3.5,3.5,70.3,-,26.3,0.8,43.2,100.0,7.1,0.1,2.3,4.7,22.6,4.2,6.4,4.9,3.5,3.5,70.3,-,26.3,0.8,43.2
子供の有無別その他,60,10,-,4,6,6,1,2,1,-,2,44,-,12,1,31,60,10,-,4,6,6,1,2,1,-,2,44,-,12,1,31
子供の有無別その他,100.0,16.7,-,6.7,10.0,10.0,1.7,3.3,1.7,-,3.3,73.3,-,20.0,1.7,51.7,100.0,16.7,-,6.7,10.0,10.0,1.7,3.3,1.7,-,3.3,73.3,-,20.0,1.7,51.7
職業別自営業（計）,133,133,1,42,90,-,-,-,-,-,-,-,-,-,-,-,133,133,1,42,90,-,-,-,-,-,-,-,-,-,-,-
職業別自営業（計）,100.0,100.0,0.8,31.6,67.7,-,-,-,-,-,-,-,-,-,-,-,100.0,32.3,0.8,31.6,67.7,-,-,-,-,-,-,-,-,-,-,-
職業別農林漁業,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
職業別農林漁業,100.0,100.0,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,100.0,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-
職業別商工・サービス業,42,42,-,42,-,-,-,-,-,-,-,-,-,-,-,-,42,42,-,42,-,-,-,-,-,-,-,-,-,-,-,-
職業別商工・サービス業,100.0,100.0,-,100.0,-,-,-,-,-,-,-,-,-,-,-,-,100.0,100.0,-,100.0,-,-,-,-,-,-,-,-,-,-,-,-
職業別その他自由業,90,90,-,-,90,-,-,-,-,-,-,-,-,-,-,-,90,90,-,-,90,-,-,-,-,-,-,-,-,-,-,-
職業別その他自由業,100.0,100.0,-,-,100.0,-,-,-,-,-,-,-,-,-,-,-,100.0,100.0,-,-,100.0,-,-,-,-,-,-,-,-,-,-,-
職業別お勤め（計）,821,-,-,-,-,821,74,196,221,61,269,-,-,-,-,-,821,-,-,-,-,821,74,196,221,61,269,-,-,-,-,-
職業別お勤め（計）,100.0,-,-,-,-,100.0,9.0,23.9,26.9,7.4,32.8,-,-,-,-,-,100.0,-,-,-,-,32.9,9.0,23.9,26.9,7.4,32.8,-,-,-,-,-
職業別経営・管理職,74,-,-,-,-,74,74,-,-,-,-,-,-,-,-,-,74,-,-,-,-,74,74,-,-,-,-,-,-,-,-,-
職業別経営・管理職,100.0,-,-,-,-,100.0,100.0,-,-,-,-,-,-,-,-,-,100.0,-,-,-,-,100.0,100.0,-,-,-,-,-,-,-,-,-
職業別専門職・技術職,196,-,-,-,-,196,-,196,-,-,-,-,-,-,-,-,196,-,-,-,-,196,-,196,-,-,-,-,-,-,-,-
職業別専門職・技術職,100.0,-,-,-,-,100.0,-,100.0,-,-,-,-,-,-,-,-,100.0,-,-,-,-,100.0,-,100.0,-,-,-,-,-,-,-,-
職業別事務職,221,-,-,-,-,221,-,-,221,-,-,-,-,-,-,-,221,-,-,-,-,221,-,-,221,-,-,-,-,-,-,-
職業別事務職,100.0,-,-,-,-,100.0,-,-,100.0,-,-,-,-,-,-,-,100.0,-,-,-,-,100.0,-,-,100.0,-,-,-,-,-,-,-
職業別労務職・技能職,61,-,-,-,-,61,-,-,-,61,-,-,-,-,-,-,61,-,-,-,-,61,-,-,-,61,-,-,-,-,-,-
職業別労務職・技能職,100.0,-,-,-,-,100.0,-,-,-,100.0,-,-,-,-,-,-,100.0,-,-,-,-,100.0,-,-,-,100.0,-,-,-,-,-,-
職業別販売・サービス職,269,-,-,-,-,269,-,-,-,-,269,-,-,-,-,-,269,-,-,-,-,269,-,-,-,-,269,-,-,-,-,-
職業別販売・サービス職,100.0,-,-,-,-,100.0,-,-,-,-,100.0,-,-,-,-,-,100.0,-,-,-,-,100.0,-,-,-,-,100.0,-,-,-,-,-
職業別その他（計）,869,-,-,-,-,-,-,-,-,-,-,869,47,395,25,402,869,-,-,-,-,-,-,-,-,-,-,869,47,395,25,402
職業別その他（計）,100.0,-,-,-,-,-,-,-,-,-,-,100.0,5.4,45.5,2.9,46.3,100.0,-,-,-,-,-,-,-,-,-,-,50.9,5.4,45.5,2.9,46.3
職業別生徒・学生,47,-,-,-,-,-,-,-,-,-,-,47,47,-,-,-,47,-,-,-,-,-,-,-,-,-,-,47,47,-,-,-
職業別生徒・学生,100.0,-,-,-,-,-,-,-,-,-,-,100.0,100.0,-,-,-,100.0,-,-,-,-,-,-,-,-,-,-,100.0,100.0,-,-,-
職業別専業主婦（夫）,395,-,-,-,-,-,-,-,-,-,-,395,-,395,-,-,395,-,-,-,-,-,-,-,-,-,-,395,-,395,-,-
職業別専業主婦（夫）,100.0,-,-,-,-,-,-,-,-,-,-,100.0,-,100.0,-,-,100.0,-,-,-,-,-,-,-,-,-,-,100.0,-,100.0,-,-
職業別その他,25,-,-,-,-,-,-,-,-,-,-,25,-,-,25,-,25,-,-,-,-,-,-,-,-,-,-,25,-,-,25,-
職業別その他,100.0,-,-,-,-,-,-,-,-,-,-,100.0,-,-,100.0,-,100.0,-,-,-,-,-,-,-,-,-,-,100.0,-,-,100.0,-
職業別無職（年金受給者含む）,402,-,-,-,-,-,-,-,-,-,-,402,-,-,-,402,402,-,-,-,-,-,-,-,-,-,-,402,-,-,-,402
職業別無職（年金受給者含む）,100.0,-,-,-,-,-,-,-,-,-,-,100.0,-,-,-,100.0,100.0,-,-,-,-,-,-,-,-,-,-,100.0,-,-,-,100.0
投票所までの時間別５分以内,433,37,-,8,29,204,29,53,47,14,61,192,15,76,7,94,433,37,-,8,29,204,29,53,47,14,61,192,15,76,7,94
投票所までの時間別５分以内,100.0,8.5,-,1.8,6.7,47.1,6.7,12.2,10.9,3.2,14.1,44.3,3.5,17.6,1.6,21.7,100.0,8.5,-,1.8,6.7,47.1,6.7,12.2,10.9,3.2,14.1,44.3,3.5,17.6,1.6,21.7
投票所までの時間別10分以内,1067,78,1,29,48,512,41,120,141,37,173,477,27,244,11,195,1067,78,1,29,48,512,41,120,141,37,173,477,27,244,11,195
投票所までの時間別10分以内,100.0,7.3,0.1,2.7,4.5,48.0,3.8,11.2,13.2,3.5,16.2,44.7,2.5,22.9,1.0,18.3,100.0,7.3,0.1,2.7,4.5,48.0,3.8,11.2,13.2,3.5,16.2,44.7,2.5,22.9,1.0,18.3
投票所までの時間別20分以内,288,16,-,5,11,90,4,19,30,8,29,182,4,69,5,104,288,16,-,5,11,90,4,19,30,8,29,182,4,69,5,104
投票所までの時間別20分以内,100.0,5.6,-,1.7,3.8,31.3,1.4,6.6,10.4,2.8,10.1,63.2,1.4,24.0,1.7,36.1,100.0,5.6,-,1.7,3.8,31.3,1.4,6.6,10.4,2.8,10.1,63.2,1.4,24.0,1.7,36.1
投票所までの時間別30分以内,21,1,-,-,1,6,-,3,1,1,1,14,1,4,-,9,21,1,-,-,1,6,-,3,1,1,1,14,1,4,-,9
投票所までの時間別30分以内,100.0,4.8,-,-,4.8,28.6,-,14.3,4.8,4.8,4.8,66.7,4.8,19.0,-,42.9,100.0,4.8,-,-,4.8,28.6,-,14.3,4.8,4.8,4.8,66.7,4.8,19.0,-,42.9
投票所までの時間別30分を超える,3,-,-,-,-,1,-,1,-,-,-,2,-,1,1,-,3,-,-,-,-,1,-,1,-,-,-,2,-,1,1,-
投票所までの時間別30分を超える,100.0,-,-,-,-,33.3,-,33.3,-,-,-,66.7,-,33.3,33.3,-,100.0,-,-,-,-,33.3,-,33.3,-,-,-,66.7,-,33.3,33.3,-
投票所までの時間別わからない,11,1,-,-,1,8,-,-,2,1,5,2,-,1,1,-,11,1,-,-,1,8,-,-,2,1,5,2,-,1,1,-
投票所までの時間別わからない,100.0,9.1,-,-,9.1,72.7,-,-,18.2,9.1,45.5,18.2,-,9.1,9.1,-,100.0,9.1,-,-,9.1,72.7,-,-,18.2,9.1,45.5,18.2,-,9.1,9.1,-
地域別区部（計）,1381,105,1,34,70,655,60,153,166,54,222,621,28,300,13,280,1381,105,1,34,70,655,60,153,166,54,222,621,28,300,13,280
地域別区部（計）,100.0,7.6,0.1,2.5,5.1,47.4,4.3,11.1,12.0,3.9,16.1,45.0,2.0,21.7,0.9,20.3,100.0,7.6,0.1,2.5,5.1,47.4,4.3,11.1,12.0,3.9,16.1,45.0,2.0,21.7,0.9,20.3
地域別センターコア,388,28,-,8,20,197,18,51,52,9,67,163,4,65,5,89,388,28,-,8,20,197,18,51,52,9,67,163,4,65,5,89
地域別センターコア,100.0,7.2,-,2.1,5.2,50.8,4.6,13.1,13.4,2.3,17.3,42.0,1.0,16.8,1.3,22.9,100.0,7.2,-,2.1,5.2,50.8,4.6,13.1,13.4,2.3,17.3,42.0,1.0,16.8,1.3,22.9
地域別区部東部・北部エリア,398,32,1,13,18,167,11,45,41,21,49,199,13,88,3,95,398,32,1,13,18,167,11,45,41,21,49,199,13,88,3,95
地域別区部東部・北部エリア,100.0,8.0,0.3,3.3,4.5,42.0,2.8,11.3,10.3,5.3,12.3,50.0,3.3,22.1,0.8,23.9,100.0,8.0,0.3,3.3,4.5,42.0,2.8,11.3,10.3,5.3,12.3,50.0,3.3,22.1,0.8,23.9
地域別区部西部・南部エリア,595,45,-,13,32,291,31,57,73,24,106,259,11,147,5,96,595,45,-,13,32,291,31,57,73,24,106,259,11,147,5,96
地域別区部西部・南部エリア,100.0,7.6,-,2.2,5.4,48.9,5.2,9.6,12.3,4.0,17.8,43.5,1.8,24.7,0.8,16.1,100.0,7.6,-,2.2,5.4,48.9,5.2,9.6,12.3,4.0,17.8,43.5,1.8,24.7,0.8,16.1
地域別市郡部（計）,442,28,-,8,20,166,14,43,55,7,47,248,19,95,12,122,442,28,-,8,20,166,14,43,55,7,47,248,19,95,12,122
地域別市郡部（計）,100.0,6.3,-,1.8,4.5,37.6,3.2,9.7,12.4,1.6,10.6,56.1,4.3,21.5,2.7,27.6,100.0,6.3,-,1.8,4.5,37.6,3.2,9.7,12.4,1.6,10.6,56.1,4.3,21.5,2.7,27.6
地域別多摩東部エリア,132,13,-,5,8,46,6,10,14,2,14,73,5,31,5,32,132,13,-,5,8,46,6,10,14,2,14,73,5,31,5,32
地域別多摩東部エリア,100.0,9.8,-,3.8,6.1,34.8,4.5,7.6,10.6,1.5,10.6,55.3,3.8,23.5,3.8,24.2,100.0,9.8,-,3.8,6.1,34.8,4.5,7.6,10.6,1.5,10.6,55.3,3.8,23.5,3.8,24.2
地域別多摩中央部北エリア,70,10,-,2,8,30,1,13,7,1,8,30,1,7,3,19,70,10,-,2,8,30,1,13,7,1,8,30,1,7,3,19
地域別多摩中央部北エリア,100.0,14.3,-,2.9,11.4,42.9,1.4,18.6,10.0,1.4,11.4,42.9,1.4,10.0,4.3,27.1,100.0,14.3,-,2.9,11.4,42.9,1.4,18.6,10.0,1.4,11.4,42.9,1.4,10.0,4.3,27.1
地域別多摩中央部南エリア,201,5,-,1,4,75,6,17,28,3,21,121,10,45,4,62,201,5,-,1,4,75,6,17,28,3,21,121,10,45,4,62
地域別多摩中央部南エリア,100.0,2.5,-,0.5,2.0,37.3,3.0,8.5,13.9,1.5,10.4,60.2,5.0,22.4,2.0,30.8,100.0,2.5,-,0.5,2.0,37.3,3.0,8.5,13.9,1.5,10.4,60.2,5.0,22.4,2.0,30.8
