,参議院議員選挙/調査数,参議院議員選挙/未婚,参議院議員選挙/既婚（死別・離別を含む）,東京都知事選挙/調査数,東京都知事選挙/未婚,東京都知事選挙/既婚（死別・離別を含む）
選挙への関心度別関心があった（計）,1283,168,1115,1424,191,1233
選挙への関心度別関心があった（計）,100.0,13.1,86.9,100.0,13.4,86.6
選挙への関心度別関心があった,633,81,552,769,96,673
選挙への関心度別関心があった,100.0,12.8,87.2,100.0,12.5,87.5
選挙への関心度別やや関心があった,650,87,563,655,95,560
選挙への関心度別やや関心があった,100.0,13.4,86.6,100.0,14.5,85.5
選挙への関心度別関心がなかった（計）,227,100,127,175,86,89
選挙への関心度別関心がなかった（計）,100.0,44.1,55.9,100.0,49.1,50.9
選挙への関心度別あまり関心がなかった,125,48,77,89,40,49
選挙への関心度別あまり関心がなかった,100.0,38.4,61.6,100.0,44.9,55.1
選挙への関心度別関心がなかった,102,52,50,86,46,40
選挙への関心度別関心がなかった,100.0,51.0,49.0,100.0,53.5,46.5
選挙への関心度別どちらともいえない,298,73,225,209,64,145
選挙への関心度別どちらともいえない,100.0,24.5,75.5,100.0,30.6,69.4
選挙への関心度別わからない,15,3,12,15,3,12
選挙への関心度別わからない,100.0,20.0,80.0,100.0,20.0,80.0
投票への意識別投票するべき（計）,1434,194,1240,1443,195,1248
投票への意識別投票するべき（計）,100.0,13.5,86.5,100.0,13.5,86.5
投票への意識別必ず投票するべき,596,57,539,615,58,557
投票への意識別必ず投票するべき,100.0,9.6,90.4,100.0,9.4,90.6
投票への意識別可能な限り投票するべき,838,137,701,828,137,691
投票への意識別可能な限り投票するべき,100.0,16.3,83.7,100.0,16.5,83.5
投票への意識別投票するのもしないのも自由,344,131,213,335,130,205
投票への意識別投票するのもしないのも自由,100.0,38.1,61.9,100.0,38.8,61.2
投票への意識別その他,1,-,1,1,-,1
投票への意識別その他,100.0,-,100.0,100.0,-,100.0
投票への意識別わからない,44,19,25,44,19,25
投票への意識別わからない,100.0,43.2,56.8,100.0,43.2,56.8
投票への参加状況別投票した（計）,1435,216,1219,1491,223,1268
投票への参加状況別投票した（計）,100.0,15.1,84.9,100.0,15.0,85.0
投票への参加状況別投票日に投票した,1226,172,1054,1254,176,1078
投票への参加状況別投票日に投票した,100.0,14.0,86.0,100.0,14.0,86.0
投票への参加状況別期日前投票（又は不在者投票等）をした,209,44,165,237,47,190
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,21.1,78.9,100.0,19.8,80.2
投票への参加状況別投票しなかった,377,127,250,321,119,202
投票への参加状況別投票しなかった,100.0,33.7,66.3,100.0,37.1,62.9
投票への参加状況別答えたくない,11,1,10,11,2,9
投票への参加状況別答えたくない,100.0,9.1,90.9,100.0,18.2,81.8
新聞の定期購読別定期購読している,1240,121,1119,1240,121,1119
新聞の定期購読別定期購読している,100.0,9.8,90.2,100.0,9.8,90.2
新聞の定期購読別定期購読していない,583,223,360,583,223,360
新聞の定期購読別定期購読していない,100.0,38.3,61.7,100.0,38.3,61.7
インターネットの利用有無別インターネットを利用している,1055,290,765,1055,290,765
インターネットの利用有無別インターネットを利用している,100.0,27.5,72.5,100.0,27.5,72.5
インターネットの利用有無別インターネットを利用していない,768,54,714,768,54,714
インターネットの利用有無別インターネットを利用していない,100.0,7.0,93.0,100.0,7.0,93.0
