,調査数,関心があった（計）,関心があった,やや関心があった,どちらともいえない,関心がなかった（計）,あまり関心がなかった,関心がなかった,わからない,無回答
性/年齢別男性60歳代実数,153,103,71,32,9,38,25,13,3,-
性/年齢別男性60歳代（％）,100.0,67.3,46.4,20.9,5.9,24.8,16.3,8.5,2.0,-
性/年齢別男性70歳代実数,134,106,79,27,6,22,14,8,-,-
性/年齢別男性70歳代（％）,100.0,79.1,59.0,20.1,4.5,16.4,10.4,6.0,-,-
性/年齢別男性80歳以上実数,50,37,30,7,1,12,7,5,-,-
性/年齢別男性80歳以上（％）,100.0,74.0,60.0,14.0,2.0,24.0,14.0,10.0,-,-
性/年齢別女性20歳代実数,82,35,18,17,7,40,25,15,-,-
性/年齢別女性20歳代（％）,100.0,42.7,22.0,20.7,8.5,48.8,30.5,18.3,-,-
性/年齢別女性30歳代実数,143,67,29,38,18,56,38,18,1,1
性/年齢別女性30歳代（％）,100.0,46.9,20.3,26.6,12.6,39.2,26.6,12.6,0.7,0.7
性/年齢別女性40歳代実数,191,99,42,57,34,57,40,17,-,1
性/年齢別女性40歳代（％）,100.0,51.8,22.0,29.8,17.8,29.8,20.9,8.9,-,0.5
性/年齢別女性50歳代実数,133,72,35,37,14,47,34,13,-,-
性/年齢別女性50歳代（％）,100.0,54.1,26.3,27.8,10.5,35.3,25.6,9.8,-,-
性/年齢別女性60歳代実数,160,105,61,44,12,43,33,10,-,-
性/年齢別女性60歳代（％）,100.0,65.6,38.1,27.5,7.5,26.9,20.6,6.3,-,-
性/年齢別女性70歳代実数,162,110,69,41,18,33,22,11,1,-
性/年齢別女性70歳代（％）,100.0,67.9,42.6,25.3,11.1,20.4,13.6,6.8,0.6,-
性/年齢別女性80歳以上実数,74,44,30,14,3,25,18,7,1,1
性/年齢別女性80歳以上（％）,100.0,59.5,40.5,18.9,4.1,33.8,24.3,9.5,1.4,1.4
未・既婚別未婚実数,453,231,122,109,43,178,109,69,1,-
未・既婚別未婚（％）,100.0,51.0,26.9,24.1,9.5,39.3,24.1,15.2,0.2,-
未・既婚別既婚（死別・離別を含む）実数,1366,849,517,332,134,374,259,115,6,3
未・既婚別既婚（死別・離別を含む）（％）,100.0,62.2,37.8,24.3,9.8,27.4,19.0,8.4,0.4,0.2
子供の有無別子供はいない実数,642,349,188,161,62,230,146,84,1,-
子供の有無別子供はいない（％）,100.0,54.4,29.3,25.1,9.7,35.8,22.7,13.1,0.2,-
子供の有無別未就学（～６歳）実数,180,98,48,50,20,59,37,22,2,1
子供の有無別未就学（～６歳）（％）,100.0,54.4,26.7,27.8,11.1,32.8,20.6,12.2,1.1,0.6
子供の有無別小・中・高校生実数,270,148,80,68,33,86,59,27,1,2
子供の有無別小・中・高校生（％）,100.0,54.8,29.6,25.2,12.2,31.9,21.9,10.0,0.4,0.7
子供の有無別大学生・大学院生・短大生・専門学校生実数,106,64,36,28,12,30,25,5,-,-
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,60.4,34.0,26.4,11.3,28.3,23.6,4.7,-,-
子供の有無別学校教育終了実数,743,488,324,164,64,186,134,52,4,1
子供の有無別学校教育終了（％）,100.0,65.7,43.6,22.1,8.6,25.0,18.0,7.0,0.5,0.1
子供の有無別その他実数,7,5,1,4,-,2,-,2,-,-
子供の有無別その他（％）,100.0,71.4,14.3,57.1,-,28.6,-,28.6,-,-
職業別自営業（計）実数,152,97,62,35,13,40,30,10,2,-
職業別自営業（計）（％）,100.0,63.8,40.8,23.0,8.6,26.3,19.7,6.6,1.3,-
職業別農林漁業実数,3,1,1,-,-,2,2,-,-,-
職業別農林漁業（％）,100.0,33.3,33.3,-,-,66.7,66.7,-,-,-
職業別商工・サービス業実数,96,57,40,17,7,30,23,7,2,-
職業別商工・サービス業（％）,100.0,59.4,41.7,17.7,7.3,31.3,24.0,7.3,2.1,-
職業別その他自由業実数,53,39,21,18,6,8,5,3,-,-
職業別その他自由業（％）,100.0,73.6,39.6,34.0,11.3,15.1,9.4,5.7,-,-
職業別お勤め（計）実数,934,522,279,243,114,295,190,105,2,1
職業別お勤め（計）（％）,100.0,55.9,29.9,26.0,12.2,31.6,20.3,11.2,0.2,0.1
職業別経営・管理職実数,94,65,48,17,10,19,13,6,-,-
職業別経営・管理職（％）,100.0,69.1,51.1,18.1,10.6,20.2,13.8,6.4,-,-
職業別専門職・技術職実数,243,147,82,65,26,70,45,25,-,-
職業別専門職・技術職（％）,100.0,60.5,33.7,26.7,10.7,28.8,18.5,10.3,-,-
職業別事務職実数,249,143,73,70,32,73,46,27,-,1
職業別事務職（％）,100.0,57.4,29.3,28.1,12.9,29.3,18.5,10.8,-,0.4
職業別労務職・技能職実数,111,52,25,27,19,38,23,15,2,-
職業別労務職・技能職（％）,100.0,46.8,22.5,24.3,17.1,34.2,20.7,13.5,1.8,-
職業別販売・サービス職実数,237,115,51,64,27,95,63,32,-,-
職業別販売・サービス職（％）,100.0,48.5,21.5,27.0,11.4,40.1,26.6,13.5,-,-
職業別その他（計）実数,732,462,298,164,49,216,147,69,3,2
職業別その他（計）（％）,100.0,63.1,40.7,22.4,6.7,29.5,20.1,9.4,0.4,0.3
職業別生徒・学生実数,35,20,9,11,1,14,10,4,-,-
職業別生徒・学生（％）,100.0,57.1,25.7,31.4,2.9,40.0,28.6,11.4,-,-
職業別専業主婦（夫）実数,309,188,108,80,30,89,65,24,1,1
職業別専業主婦（夫）（％）,100.0,60.8,35.0,25.9,9.7,28.8,21.0,7.8,0.3,0.3
職業別その他実数,18,10,8,2,1,7,5,2,-,-
職業別その他（％）,100.0,55.6,44.4,11.1,5.6,38.9,27.8,11.1,-,-
職業別無職（年金受給者含む）実数,370,244,173,71,17,106,67,39,2,1
職業別無職（年金受給者含む）（％）,100.0,65.9,46.8,19.2,4.6,28.6,18.1,10.5,0.5,0.3
投票所までの時間別５分以内実数,712,458,281,177,63,187,134,53,4,-
投票所までの時間別５分以内（％）,100.0,64.3,39.5,24.9,8.8,26.3,18.8,7.4,0.6,-
投票所までの時間別10分以内実数,769,455,266,189,88,223,153,70,1,2
投票所までの時間別10分以内（％）,100.0,59.2,34.6,24.6,11.4,29.0,19.9,9.1,0.1,0.3
投票所までの時間別20分以内実数,245,133,79,54,24,86,54,32,2,-
投票所までの時間別20分以内（％）,100.0,54.3,32.2,22.0,9.8,35.1,22.0,13.1,0.8,-
投票所までの時間別30分以内実数,38,22,8,14,2,13,10,3,-,1
投票所までの時間別30分以内（％）,100.0,57.9,21.1,36.8,5.3,34.2,26.3,7.9,-,2.6
投票所までの時間別30分を超える実数,11,6,3,3,-,5,3,2,-,-
投票所までの時間別30分を超える（％）,100.0,54.5,27.3,27.3,-,45.5,27.3,18.2,-,-
投票所までの時間別わからない実数,48,9,5,4,2,37,12,25,-,-
投票所までの時間別わからない（％）,100.0,18.8,10.4,8.3,4.2,77.1,25.0,52.1,-,-
地域別区部（計）実数,1189,708,417,291,115,358,243,115,6,2
地域別区部（計）（％）,100.0,59.5,35.1,24.5,9.7,30.1,20.4,9.7,0.5,0.2
地域別センターコア実数,314,186,109,77,28,98,59,39,2,-
地域別センターコア（％）,100.0,59.2,34.7,24.5,8.9,31.2,18.8,12.4,0.6,-
地域別区部東部・北部エリア実数,382,221,128,93,39,117,82,35,4,1
地域別区部東部・北部エリア（％）,100.0,57.9,33.5,24.3,10.2,30.6,21.5,9.2,1.0,0.3
地域別区部西部・南部エリア実数,493,301,180,121,48,143,102,41,-,1
地域別区部西部・南部エリア（％）,100.0,61.1,36.5,24.5,9.7,29.0,20.7,8.3,-,0.2
地域別市郡部（計）実数,638,376,225,151,64,196,126,70,1,1
地域別市郡部（計）（％）,100.0,58.9,35.3,23.7,10.0,30.7,19.7,11.0,0.2,0.2
地域別多摩東部エリア実数,239,143,83,60,23,73,51,22,-,-
地域別多摩東部エリア（％）,100.0,59.8,34.7,25.1,9.6,30.5,21.3,9.2,-,-
地域別多摩中央部北エリア実数,89,53,31,22,7,29,16,13,-,-
地域別多摩中央部北エリア（％）,100.0,59.6,34.8,24.7,7.9,32.6,18.0,14.6,-,-
地域別多摩中央部南エリア実数,267,157,97,60,27,82,55,27,1,-
地域別多摩中央部南エリア（％）,100.0,58.8,36.3,22.5,10.1,30.7,20.6,10.1,0.4,-
地域別多摩西部エリア実数,43,23,14,9,7,12,4,8,-,1
地域別多摩西部エリア（％）,100.0,53.5,32.6,20.9,16.3,27.9,9.3,18.6,-,2.3
選挙への関心度別関心があった（計）実数,1084,1084,642,442,-,-,-,-,-,-
選挙への関心度別関心があった（計）（％）,100.0,100.0,59.2,40.8,-,-,-,-,-,-
選挙への関心度別関心があった実数,642,642,642,-,-,-,-,-,-,-
選挙への関心度別関心があった（％）,100.0,100.0,100.0,-,-,-,-,-,-,-
選挙への関心度別やや関心があった実数,442,442,-,442,-,-,-,-,-,-
選挙への関心度別やや関心があった（％）,100.0,100.0,-,100.0,-,-,-,-,-,-
選挙への関心度別関心がなかった（計）実数,179,-,-,-,179,-,-,-,-,-
選挙への関心度別関心がなかった（計）（％）,100.0,-,-,-,100.0,-,-,-,-,-
選挙への関心度別あまり関心がなかった実数,554,-,-,-,-,554,369,185,-,-
選挙への関心度別あまり関心がなかった（％）,100.0,-,-,-,-,100.0,66.6,33.4,-,-
選挙への関心度別関心がなかった実数,369,-,-,-,-,369,369,-,-,-
選挙への関心度別関心がなかった（％）,100.0,-,-,-,-,100.0,100.0,-,-,-
選挙への関心度別どちらともいえない実数,185,-,-,-,-,185,-,185,-,-
選挙への関心度別どちらともいえない（％）,100.0,-,-,-,-,100.0,-,100.0,-,-
選挙への関心度別わからない実数,7,-,-,-,-,-,-,-,7,-
選挙への関心度別わからない（％）,100.0,-,-,-,-,-,-,-,100.0,-
投票への意識別投票するべき（計）実数,1484,1019,623,396,142,319,254,65,3,1
投票への意識別投票するべき（計）（％）,100.0,68.7,42.0,26.7,9.6,21.5,17.1,4.4,0.2,0.1
投票への意識別必ず投票するべき実数,703,577,431,146,39,86,69,17,1,-
投票への意識別必ず投票するべき（％）,100.0,82.1,61.3,20.8,5.5,12.2,9.8,2.4,0.1,-
投票への意識別可能な限り投票するべき実数,781,442,192,250,103,233,185,48,2,1
投票への意識別可能な限り投票するべき（％）,100.0,56.6,24.6,32.0,13.2,29.8,23.7,6.1,0.3,0.1
投票への意識別投票するのもしないのも自由実数,315,65,19,46,34,214,107,107,2,-
投票への意識別投票するのもしないのも自由（％）,100.0,20.6,6.0,14.6,10.8,67.9,34.0,34.0,0.6,-
投票への意識別その他実数,11,-,-,-,1,10,5,5,-,-
投票への意識別その他（％）,100.0,-,-,-,9.1,90.9,45.5,45.5,-,-
投票への意識別わからない実数,15,-,-,-,2,11,3,8,2,-
投票への意識別わからない（％）,100.0,-,-,-,13.3,73.3,20.0,53.3,13.3,-
投票への参加状況別投票した（計）実数,1246,918,577,341,121,203,169,34,2,2
投票への参加状況別投票した（計）（％）,100.0,73.7,46.3,27.4,9.7,16.3,13.6,2.7,0.2,0.2
投票への参加状況別投票日（12月14日）に投票した実数,987,718,442,276,99,167,138,29,2,1
投票への参加状況別投票日（12月14日）に投票した（％）,100.0,72.7,44.8,28,10.0,16.9,14.0,2.9,0.2,0.1
投票への参加状況別期日前投票（又は不在者投票等）をした実数,259,200,135,65,22,36,31,5,-,1
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,77.2,52.1,25.1,8.5,13.9,12.0,1.9,-,0.4
投票への参加状況別投票しなかった実数,563,161,62,99,54,343,197,146,4,1
投票への参加状況別投票しなかった（％）,100.0,28.6,11.0,17.6,9.6,60.9,35.0,25.9,0.7,0.2
投票への参加状況別答えたくない実数,18,5,3,2,4,8,3,5,1,-
投票への参加状況別答えたくない（％）,100.0,27.8,16.7,11.1,22.2,44.4,16.7,27.8,5.6,-
新聞の定期購読定期購読している実数,1142,743,459,284,98,297,212,85,3,1
新聞の定期購読定期購読している（％）,100.0,65.1,40.2,24.9,8.6,26.0,18.6,7.4,0.3,0.1
新聞の定期購読定期購読していない実数,681,339,182,157,80,256,156,100,4,2
新聞の定期購読定期購読していない（％）,100.0,49.8,26.7,23.1,11.7,37.6,22.9,14.7,0.6,0.3
インターネットの利用有無利用している実数,984,581,322,259,106,296,197,99,1,-
インターネットの利用有無利用している（％）,100.0,59.9,32.7,26.3,10.8,30.1,20.0,10.1,0.1,-
インターネットの利用有無利用していない実数,835,500,317,183,71,256,171,85,6,2
インターネットの利用有無利用していない（％）,100.0,-,38.0,21.9,8.5,30.7,20.5,10.2,0.7,0.2
ネット選挙の認知度別知っている実数,955,661,404,257,67,224,153,71,2,1
ネット選挙の認知度別知っている（％）,100.0,69.2,42.3,26.9,7.0,23.5,16.0,7.4,0.2,0.1
ネット選挙の認知度別知らなかった実数,752,353,190,163,97,298,193,105,3,1
ネット選挙の認知度別知らなかった（％）,100.0,46.9,25.3,21.7,12.9,39.6,25.7,14.0,0.4,0.1
