,調査数,ネット選挙運動の規制が緩和され、より自由に選挙運動ができることが望ましい,ネット選挙運動の規制をより強化する,現状のままでよい,わからない,無回答
未・既婚別既婚（死別・離別を含む）（％）,100.0,23.8,12.4,27.2,34.6,1.9
子供の有無別子供はいない実数,392,117,38,123,105,9
子供の有無別子供はいない（％）,100.0,29.8,9.7,31.4,26.8,2.3
子供の有無別未就学（～６歳）実数,117,52,12,34,19,-
子供の有無別未就学（～６歳）（％）,100.0,44.4,10.3,29.1,16.2,-
子供の有無別小・中・高校生実数,195,60,30,54,49,2
子供の有無別小・中・高校生（％）,100.0,30.8,15.4,27.7,25.1,1.0
子供の有無別大学生・大学院生・短大生・専門学校生実数,78,27,8,19,23,1
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,34.6,10.3,24.4,29.5,1.3
子供の有無別学校教育終了実数,547,89,69,149,227,13
子供の有無別学校教育終了（％）,100.0,16.3,12.6,27.2,41.5,2.4
子供の有無別その他実数,5,1,-,-,4,-
子供の有無別その他（％）,100.0,20.0,-,-,80.0,-
職業別自営業（計）実数,108,30,14,33,25,6
職業別自営業（計）（％）,100.0,27.8,13.0,30.6,23.1,5.6
職業別農林漁業実数,2,-,-,1,-,1
職業別農林漁業（％）,100.0,-,-,50.0,-,50.0
職業別商工・サービス業実数,67,17,8,20,18,4
職業別商工・サービス業（％）,100.0,25.4,11.9,29.9,26.9,6.0
職業別その他自由業実数,39,13,6,12,7,1
職業別その他自由業（％）,100.0,33.3,15.4,30.8,17.9,2.6
職業別お勤め（計）実数,612,202,76,170,155,9
職業別お勤め（計）（％）,100.0,33.0,12.4,27.8,25.3,1.5
職業別経営・管理職実数,70,35,6,14,13,2
職業別経営・管理職（％）,100.0,50.0,8.6,20.0,18.6,2.9
職業別専門職・技術職実数,175,61,29,45,38,2
職業別専門職・技術職（％）,100.0,34.9,16.6,25.7,21.7,1.1
職業別事務職実数,172,56,21,56,38,1
職業別事務職（％）,100.0,32.6,12.2,32.6,22.1,0.6
職業別労務職・技能職実数,59,14,7,17,19,2
職業別労務職・技能職（％）,100.0,23.7,11.9,28.8,32.2,3.4
職業別販売・サービス職実数,136,36,13,38,47,2
職業別販売・サービス職（％）,100.0,26.5,9.6,27.9,34.6,1.5
職業別その他（計）実数,519,82,58,149,220,10
職業別その他（計）（％）,100.0,15.8,11.2,28.7,42.4,1.9
職業別生徒・学生実数,21,10,-,5,6,-
職業別生徒・学生（％）,100.0,47.6,-,23.8,28.6,-
職業別専業主婦（夫）実数,222,37,29,55,98,3
職業別専業主婦（夫）（％）,100.0,16.7,13.1,24.8,44.1,1.4
職業別その他実数,12,-,2,3,6,1
職業別その他（％）,100.0,-,16.7,25.0,50.0,8.3
職業別無職（年金受給者含む）実数,264,35,27,86,110,6
職業別無職（年金受給者含む）（％）,100.0,13.3,10.2,32.6,41.7,2.3
投票所までの時間別５分以内実数,538,144,74,147,163,10
投票所までの時間別５分以内（％）,100.0,26.8,13.8,27.3,30.3,1.9
投票所までの時間別10分以内実数,515,130,60,146,169,10
投票所までの時間別10分以内（％）,100.0,25.2,11.7,28.3,32.8,1.9
投票所までの時間別20分以内実数,163,37,9,50,63,4
投票所までの時間別20分以内（％）,100.0,22.7,5.5,30.7,38.7,2.5
投票所までの時間別30分以内実数,19,3,4,6,6,-
投票所までの時間別30分以内（％）,100.0,15.8,21.1,31.6,31.6,-
投票所までの時間別30分を超える実数,6,1,1,3,1,-
投票所までの時間別30分を超える（％）,100.0,16.7,16.7,50.0,16.7,-
投票所までの時間別わからない実数,2,-,-,1,1,-
投票所までの時間別わからない（％）,100.0,-,-,50.0,50.0,-
地域別区部（計）実数,826,207,89,232,277,21
地域別区部（計）（％）,100.0,25.1,10.8,28.1,33.5,2.5
地域別センターコア実数,207,52,44,47,63,1
地域別センターコア（％）,100.0,25.1,21.3,22.7,30.4,0.5
地域別区部東部・北部エリア実数,268,61,21,81,97,8
地域別区部東部・北部エリア（％）,100.0,22.8,7.8,30.2,36.2,3.0
地域別区部西部・南部エリア実数,351,94,24,104,117,12
地域別区部西部・南部エリア（％）,100.0,26.8,6.8,29.6,33.3,3.4
地域別市郡部（計）実数,420,108,59,121,128,4
地域別市郡部（計）（％）,100.0,25.7,14.0,28.8,30.5,1.0
地域別多摩東部エリア実数,169,49,24,40,53,3
地域別多摩東部エリア（％）,100.0,29.0,14.2,23.7,31.4,1.8
地域別多摩中央部北エリア実数,53,12,8,15,18,-
地域別多摩中央部北エリア（％）,100.0,22.6,15.1,28.3,34.0,-
地域別多摩中央部南エリア実数,171,41,21,58,50,1
地域別多摩中央部南エリア（％）,100.0,24.0,12.3,33.9,29.2,0.6
地域別多摩西部エリア実数,27,6,6,8,7,-
地域別多摩西部エリア（％）,100.0,22.2,22.2,29.6,25.9,-
選挙への関心度別関心があった（計）実数,918,247,116,255,281,19
選挙への関心度別関心があった（計）（％）,100.0,26.9,12.6,27.8,30.6,2.1
選挙への関心度別関心があった実数,577,163,71,159,169,15
選挙への関心度別関心があった（％）,100.0,28.2,12.3,27.6,29.3,2.6
選挙への関心度別やや関心があった実数,341,84,45,96,112,4
選挙への関心度別やや関心があった（％）,100.0,24.6,13.2,28.2,32.8,1.2
選挙への関心度別関心がなかった（計）実数,121,22,12,42,43,2
選挙への関心度別関心がなかった（計）（％）,100.0,18.2,9.9,34.7,35.5,1.7
選挙への関心度別あまり関心がなかった実数,203,46,20,56,77,4
選挙への関心度別あまり関心がなかった（％）,100.0,22.7,9.9,27.6,37.9,2.0
選挙への関心度別関心がなかった実数,169,34,18,50,64,3
選挙への関心度別関心がなかった（％）,100.0,20.1,10.7,29.6,37.9,1.8
選挙への関心度別どちらともいえない実数,34,12,2,6,13,1
選挙への関心度別どちらともいえない（％）,100.0,35.3,5.9,17.6,38.2,2.9
選挙への関心度別わからない実数,2,-,-,-,2,-
選挙への関心度別わからない（％）,100.0,-,-,-,100.0,-
投票への意識別投票するべき（計）実数,1168,300,144,329,370,25
投票への意識別投票するべき（計）（％）,100.0,25.7,12.3,28.2,31.7,2.1
投票への意識別必ず投票するべき実数,657,167,87,176,211,16
投票への意識別必ず投票するべき（％）,100.0,25.4,13.2,26.8,32.1,2.4
投票への意識別可能な限り投票するべき実数,511,133,57,153,159,9
投票への意識別可能な限り投票するべき（％）,100.0,26.0,11.2,29.9,31.1,1.8
投票への意識別投票するのもしないのも自由実数,73,15,3,24,31,-
投票への意識別投票するのもしないのも自由（％）,100.0,20.5,4.1,32.9,42.5,-
投票への意識別その他実数,2,-,1,-,1,-
投票への意識別その他（％）,100.0,-,50.0,-,50.0,-
投票への意識別わからない実数,2,-,-,-,2,-
投票への意識別わからない（％）,100.0,-,-,-,100.0,-
投票への参加状況別投票した（計）実数,1246,315,148,353,405,25
投票への参加状況別投票した（計）（％）,100.0,25.3,11.9,28.3,32.5,2.0
投票への参加状況別投票日（12月14日）に投票した実数,987,240,124,282,319,22
投票への参加状況別投票日（12月14日）に投票した（％）,100.0,24.3,12.6,28.6,32.3,2.2
投票への参加状況別期日前投票（又は不在者投票等）をした実数,259,75,24,71,86,3
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,29.0,9.3,27.4,33.2,1.2
投票への参加状況別投票しなかった実数,-,-,-,-,-,-
投票への参加状況別投票しなかった（％）,-,-,-,-,-,-
投票への参加状況別答えたくない実数,-,-,-,-,-,-
投票への参加状況別答えたくない（％）,-,-,-,-,-,-
新聞の定期購読定期購読している実数,864,199,101,248,293,23
新聞の定期購読定期購読している（％）,100.0,23.0,11.7,28.7,33.9,2.7
新聞の定期購読定期購読していない実数,381,116,47,105,111,2
新聞の定期購読定期購読していない（％）,100.0,30.4,12.3,27.6,29.1,0.5
インターネットの利用有無利用している実数,660,252,86,183,135,4
インターネットの利用有無利用している（％）,100.0,38.2,13.0,27.7,20.5,0.6
インターネットの利用有無利用していない実数,581,62,62,169,267,21
インターネットの利用有無利用していない（％）,100.0,10.7,10.7,29.1,46.0,3.6
ネット選挙の認知度別知っている実数,734,244,98,203,182,7
ネット選挙の認知度別知っている（％）,100.0,33.2,13.4,27.7,24.8,1.0
ネット選挙の認知度別知らなかった実数,431,67,46,130,185,3
ネット選挙の認知度別知らなかった（％）,100.0,15.5,10.7,30.2,42.9,0.7
