区分,基数,構成比の地域別内訳センター,構成比の地域別内訳東部北部,構成比の地域別内訳西部南部,構成比の地域別内訳多摩東部,構成比の地域別内訳多摩中央北,構成比の地域別内訳多摩中央南,構成比の地域別内訳多摩西部,構成比の地域別内訳区部計,構成比の地域別内訳市郡部計,
性・年齢別女性50歳代実数,133,20,27,37,20,6,18,5,84,49,
性・年齢別女性50歳代（％）,100.0,15.0,20.3,27.8,15.0,4.5,13.5,3.8,63.2,36.8,
性・年齢別女性60歳代実数,160,26,33,39,24,7,26,5,98,62,
性・年齢別女性60歳代（％）,100.0,16.3,20.6,24.4,15.0,4.4,16.3,3.1,61.3,38.8,
性・年齢別女性70歳代実数,162,33,32,39,21,10,23,4,104,58,
性・年齢別女性70歳代（％）,100.0,20.4,19.8,24.1,13.0,6.2,14.2,2.5,64.2,35.8,
性・年齢別女性80歳以上実数,74,13,15,23,6,8,8,1,51,23,
性・年齢別女性80歳以上（％）,100.0,17.6,20.3,31.1,8.1,10.8,10.8,1.4,68.9,31.1,
職業別自営業農林漁業商工実数,3,-,1,2,-,-,-,-,3,-,
職業別自営業農林漁業商工（％）,100.0,-,33.3,66.7,-,-,-,-,100.0,-,
職業別自営業サービス業実数,96,24,23,29,8,3,6,3,76,20,
職業別自営業サービス業（％）,100.0,25.0,24.0,30.2,8.3,3.1,6.3,3.1,79.2,20.8,
職業別自営業その他自由業実数,53,10,11,17,5,1,9,-,38,15,
職業別自営業その他自由業（％）,100.0,18.9,20.8,32.1,9.4,1.9,17.0,-,71.7,28.3,
職業別勤め人経営・管理職実数,94,13,17,37,13,2,10,2,67,27,
職業別勤め人経営・管理職（％）,100.0,13.8,18.1,39.4,13.8,2.1,10.6,2.1,71.3,28.7,
職業別勤め人・専門職・技術職実数,243,44,50,64,33,11,38,3,158,85,
職業別勤め人・専門職・技術職（％）,100.0,18.1,20.6,26.3,13.6,4.5,15.6,1.2,65.0,35.0,
職業別勤め人・事務職実数,249,58,46,79,30,8,24,4,183,66,
職業別勤め人・事務職（％）,100.0,23.3,18.5,31.7,12.0,3.2,9.6,1.6,73.5,26.5,
職業別勤め人労務・技能職実数,111,15,30,19,11,8,25,3,64,47,
職業別勤め人労務・技能職（％）,100.0,13.5,27.0,17.1,9.9,7.2,22.5,2.7,57.7,42.3,
職業別勤め人販売・サービス職実数,237,32,57,56,40,12,35,5,145,92,
職業別勤め人販売・サービス職（％）,100.0,13.5,24.1,23.6,16.9,5.1,14.8,2.1,61.2,38.8,
職業別その他生徒・学生実数,35,3,3,13,4,1,10,1,19,16,
職業別その他生徒・学生（％）,100.0,8.6,8.6,37.1,11.4,2.9,28.6,2.9,54.3,45.7,
職業別その他専業主婦(夫)実数,309,48,56,81,46,19,48,11,185,124,
職業別その他専業主婦(夫)（％）,100.0,15.5,18.1,26.2,14.9,6.1,15.5,3.6,59.9,40.1,
職業別その他その他実数,18,1,4,5,2,1,4,1,10,8,
職業別その他その他（％）,100.0,5.6,22.2,27.8,11.1,5.6,22.2,5.6,55.6,44.4,
職業別その他無職(年金受給者を含む)実数,370,64,84,87,45,22,58,10,235,135,
職業別その他無職(年金受給者を含む)（％）,100.0,17.3,22.7,23.5,12.2,5.9,15.7,2.7,63.5,36.5,
職業別再掲自営業(計)実数,152,34,35,48,13,4,15,3,117,35,
職業別再掲自営業(計)（％）,100.0,22.4,23.0,31.6,8.6,2.6,9.9,2.0,77.0,23.0,
職業別再掲勤め人(計)実数,934,162,200,255,127,41,132,17,617,317,
職業別再掲勤め人(計)（％）,100.0,17.3,21.4,27.3,13.6,4.4,14.1,1.8,66.1,33.9,
職業別再掲その他(計)実数,732,116,147,186,97,43,120,23,449,283,
職業別再掲その他(計)（％）,100.0,15.8,20.1,25.4,13.3,5.9,16.4,3.1,61.3,38.7,
