,調査数,5分以内,10分以内,20分以内,30分以内,30分を超える,わからない,無回答
性/年齢別男性70歳代（％）,100.0,43.3,42.5,9.7,1.5,1.5,0.7,0.7
性/年齢別男性80歳以上実数,50,9,27,7,2,-,4,1
性/年齢別男性80歳以上（％）,100.0,18.0,54.0,14.0,4.0,-,8.0,2.0
性/年齢別女性20歳代実数,82,30,30,14,2,2,4,-
性/年齢別女性20歳代（％）,100.0,36.6,36.6,17.1,2.4,2.4,4.9,-
性/年齢別女性30歳代実数,143,62,51,22,1,1,6,-
性/年齢別女性30歳代（％）,100.0,43.4,35.7,15.4,0.7,0.7,4.2,-
性/年齢別女性40歳代実数,191,88,75,24,2,-,2,-
性/年齢別女性40歳代（％）,100.0,46.1,39.3,12.6,1.0,-,1.0,-
性/年齢別女性50歳代実数,133,47,58,23,3,1,1,-
性/年齢別女性50歳代（％）,100.0,35.3,43.6,17.3,2.3,0.8,0.8,-
性/年齢別女性60歳代実数,160,67,65,24,3,-,1,-
性/年齢別女性60歳代（％）,100.0,41.9,40.6,15.0,1.9,-,0.6,-
性/年齢別女性70歳代実数,162,55,82,18,4,1,1,1
性/年齢別女性70歳代（％）,100.0,34.0,50.6,11.1,2.5,0.6,0.6,0.6
性/年齢別女性80歳以上実数,74,18,33,13,6,2,2,-
性/年齢別女性80歳以上（％）,100.0,24.3,44.6,17.6,8.1,2.7,2.7,-
未・既婚別未婚実数,453,189,162,67,7,5,23,-
未・既婚別未婚（％）,100.0,41.7,35.8,14.8,1.5,1.1,5.1,-
未・既婚別既婚（死別・離別を含む）実数,1366,521,603,177,31,6,25,3
未・既婚別既婚（死別・離別を含む）（％）,100.0,38.1,44.1,13.0,2.3,0.4,1.8,0.2
子供の有無別子供はいない実数,642,257,245,93,12,5,28,2
子供の有無別子供はいない（％）,100.0,40.0,38.2,14.5,1.9,0.8,4.4,0.3
子供の有無別未就学（～６歳）実数,180,70,81,18,3,1,7,-
子供の有無別未就学（～６歳）（％）,100.0,38.9,45.0,10.0,1.7,0.6,3.9,-
子供の有無別小・中・高校生実数,270,109,117,32,7,-,5,-
子供の有無別小・中・高校生（％）,100.0,40.4,43.3,11.9,2.6,-,1.9,-
子供の有無別大学生・大学院生・短大生・専門学校生実数,106,40,48,15,1,-,2,-
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,37.7,45.3,14.2,0.9,-,1.9,-
子供の有無別学校教育終了実数,743,275,341,99,17,4,6,1
子供の有無別学校教育終了（％）,100.0,37.0,45.9,13.3,2.3,0.5,0.8,0.1
子供の有無別その他実数,7,3,1,2,-,1,-,-
子供の有無別その他（％）,100.0,42.9,14.3,28.6,-,14.3,-,-
職業別自営業（計）実数,152,79,51,14,4,1,2,1
職業別自営業（計）（％）,100.0,52.0,33.6,9.2,2.6,0.7,1.3,0.7
職業別農林漁業実数,3,2,-,1,-,-,-,-
職業別農林漁業（％）,100.0,66.7,-,33.3,-,-,-,-
職業別商工・サービス業実数,96,50,34,7,2,-,2,1
職業別商工・サービス業（％）,100.0,52.1,35.4,7.3,2.1,-,2.1,1.0
職業別その他自由業実数,53,27,17,6,2,1,-,-
職業別その他自由業（％）,100.0,50.9,32.1,11.3,3.8,1.9,-,-
職業別お勤め（計）実数,934,357,399,128,17,5,28,-
職業別お勤め（計）（％）,100.0,38.2,42.7,13.7,1.8,0.5,3.0,-
職業別経営・管理職実数,94,39,39,12,1,-,3,-
職業別経営・管理職（％）,100.0,41.5,41.5,12.8,1.1,-,3.2,-
職業別専門職・技術職実数,243,93,101,38,3,1,7,-
職業別専門職・技術職（％）,100.0,38.3,41.6,15.6,1.2,0.4,2.9,-
職業別事務職実数,249,90,116,29,6,2,6,-
職業別事務職（％）,100.0,36.1,46.6,11.6,2.4,0.8,2.4,-
職業別労務職・技能職実数,111,41,50,14,1,-,5,-
職業別労務職・技能職（％）,100.0,36.9,45.0,12.6,0.9,-,4.5,-
職業別販売・サービス職実数,237,94,93,35,6,2,7,-
職業別販売・サービス職（％）,100.0,39.7,39.2,14.8,2.5,0.8,3.0,-
職業別その他（計）実数,732,272,316,103,17,5,17,2
職業別その他（計）（％）,100.0,37.2,43.2,14.1,2.3,0.7,2.3,0.3
職業別生徒・学生実数,35,17,12,3,1,1,1,-
職業別生徒・学生（％）,100.0,48.6,34.3,8.6,2.9,2.9,2.9,-
職業別専業主婦（夫）実数,309,125,127,46,6,1,4,-
職業別専業主婦（夫）（％）,100.0,40.5,41.1,14.9,1.9,0.3,1.3,-
職業別その他実数,18,6,8,2,-,-,1,1
職業別その他（％）,100.0,33.3,44.4,11.1,-,-,5.6,5.6
職業別無職（年金受給者含む）実数,370,124,169,52,10,3,11,1
職業別無職（年金受給者含む）（％）,100.0,33.5,45.7,14.1,2.7,0.8,3.0,0.3
投票所までの時間別５分以内実数,712,712,-,-,-,-,-,-
投票所までの時間別５分以内（％）,100.0,100.0,-,-,-,-,-,-
投票所までの時間別10分以内実数,769,-,769,-,-,-,-,-
投票所までの時間別10分以内（％）,100.0,-,100.0,-,-,-,-,-
投票所までの時間別20分以内実数,245,-,-,245,-,-,-,-
投票所までの時間別20分以内（％）,100.0,-,-,100.0,-,-,-,-
投票所までの時間別30分以内実数,38,-,-,-,38,-,-,-
投票所までの時間別30分以内（％）,100.0,-,-,-,100.0,-,-,-
投票所までの時間別30分を超える実数,11,-,-,-,-,11,-,-
投票所までの時間別30分を超える（％）,100.0,-,-,-,-,100.0,-,-
投票所までの時間別わからない実数,48,-,-,-,-,-,48,-
投票所までの時間別わからない（％）,100.0,-,-,-,-,-,100.0,-
地域別区部（計）実数,1189,489,520,122,21,3,32,2
地域別区部（計）（％）,100.0,41.1,43.7,10.3,1.8,0.3,2.7,0.2
地域別センターコア実数,314,140,140,15,3,-,15,1
地域別センターコア（％）,100.0,44.6,44.6,4.8,1.0,-,4.8,0.3
地域別区部東部・北部エリア実数,382,155,175,36,6,1,8,1
地域別区部東部・北部エリア（％）,100.0,40.6,45.8,9.4,1.6,0.3,2.1,0.3
地域別区部西部・南部エリア実数,493,194,205,71,12,2,9,-
地域別区部西部・南部エリア（％）,100.0,39.4,41.6,14.4,2.4,0.4,1.8,-
地域別市郡部（計）実数,638,223,249,123,17,8,16,2
地域別市郡部（計）（％）,100.0,35.0,39.0,19.3,2.7,1.3,2.5,0.3
地域別多摩東部エリア実数,239,88,92,44,6,2,5,2
地域別多摩東部エリア（％）,100.0,36.8,38.5,18.4,2.5,0.8,2.1,0.8
地域別多摩中央部北エリア実数,89,28,46,8,3,1,3,-
地域別多摩中央部北エリア（％）,100.0,31.5,51.7,9.0,3.4,1.1,3.4,-
地域別多摩中央部南エリア実数,267,96,95,56,8,5,7,-
地域別多摩中央部南エリア（％）,100.0,36.0,35.6,21.0,3.0,1.9,2.6,-
地域別多摩西部エリア実数,43,11,16,15,-,-,1,-
地域別多摩西部エリア（％）,100.0,25.6,37.2,34.9,-,-,2.3,-
選挙への関心度別関心があった（計）実数,1084,458,455,133,22,6,9,1
選挙への関心度別関心があった（計）（％）,100.0,42.3,42.0,12.3,2.0,0.6,0.8,0.1
選挙への関心度別関心があった実数,642,281,266,79,8,3,5,-
選挙への関心度別関心があった（％）,100.0,43.8,41.4,12.3,1.2,0.5,0.8,-
選挙への関心度別やや関心があった実数,442,177,189,54,14,3,4,1
選挙への関心度別やや関心があった（％）,100.0,40.0,42.8,12.2,3.2,0.7,0.9,0.2
選挙への関心度別関心がなかった（計）実数,179,63,88,24,2,-,2,-
選挙への関心度別関心がなかった（計）（％）,100.0,35.2,49.2,13.4,1.1,-,1.1,-
選挙への関心度別あまり関心がなかった実数,554,187,223,86,13,5,37,3
選挙への関心度別あまり関心がなかった（％）,100.0,33.8,40.3,15.5,2.3,0.9,6.7,0.5
選挙への関心度別関心がなかった実数,369,134,153,54,10,3,12,3
選挙への関心度別関心がなかった（％）,100.0,36.3,41.5,14.6,2.7,0.8,3.3,0.8
選挙への関心度別どちらともいえない実数,185,53,70,32,3,2,25,-
選挙への関心度別どちらともいえない（％）,100.0,28.6,37.8,17.3,1.6,1.1,13.5,-
選挙への関心度別わからない実数,7,4,1,2,-,-,-,-
選挙への関心度別わからない（％）,100.0,57.1,14.3,28.6,-,-,-,-
投票への意識別投票するべき（計）実数,1484,609,619,195,30,8,20,3
投票への意識別投票するべき（計）（％）,100.0,41.0,41.7,13.1,2.0,0.5,1.3,0.2
投票への意識別必ず投票するべき実数,703,317,283,81,12,3,5,2
投票への意識別必ず投票するべき（％）,100.0,45.1,40.3,11.5,1.7,0.4,0.7,0.3
投票への意識別可能な限り投票するべき実数,781,292,336,114,18,5,15,1
投票への意識別可能な限り投票するべき（％）,100.0,37.4,43.0,14.6,2.3,0.6,1.9,0.1
投票への意識別投票するのもしないのも自由実数,315,94,140,46,7,3,24,1
投票への意識別投票するのもしないのも自由（％）,100.0,29.8,44.4,14.6,2.2,1.0,7.6,0.3
投票への意識別その他実数,11,5,4,1,-,-,1,-
投票への意識別その他（％）,100.0,45.5,36.4,9.1,-,-,9.1,-
投票への意識別わからない実数,15,4,5,3,-,-,3,-
投票への意識別わからない（％）,100.0,26.7,33.3,20.0,-,-,20.0,-
投票への参加状況別投票した（計）実数,1246,538,515,163,19,6,2,3
投票への参加状況別投票した（計）（％）,100.0,43.2,41.3,13.1,1.5,0.5,0.2,0.2
投票への参加状況別投票日（12月14日）に投票した実数,987,463,402,108,9,3,-,2
投票への参加状況別投票日（12月14日）に投票した（％）,100.0,46.9,40.7,10.9,0.9,0.3,-,0.2
投票への参加状況別期日前投票（又は不在者投票等）をした実数,259,75,113,55,10,3,2,1
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,29.0,43.6,21.2,3.9,1.2,0.8,0.4
投票への参加状況別投票しなかった実数,563,171,244,78,19,5,45,1
投票への参加状況別投票しなかった（％）,100.0,30.4,43.3,13.9,3.4,0.9,8.0,0.2
投票への参加状況別答えたくない実数,18,3,10,4,-,-,1,-
投票への参加状況別答えたくない（％）,100.0,16.7,55.6,22.2,-,-,5.6,-
新聞の定期購読定期購読している実数,1142,460,485,150,24,8,12,3
新聞の定期購読定期購読している（％）,100.0,40.3,42.5,13.1,2.1,0.7,1.1,0.3
新聞の定期購読定期購読していない実数,681,252,281,94,14,3,36,1
新聞の定期購読定期購読していない（％）,100.0,37.0,41.3,13.8,2.1,0.4,5.3,0.1
インターネットの利用有無利用している実数,984,417,394,125,14,4,29,1
インターネットの利用有無利用している（％）,100.0,42.4,40.0,12.7,1.4,0.4,2.9,0.1
インターネットの利用有無利用していない実数,835,293,371,119,24,6,19,3
インターネットの利用有無利用していない（％）,100.0,35.1,44.4,14.3,2.9,0.7,2.3,0.4
ネット選挙の認知度別知っている実数,955,404,394,123,13,4,16,1
ネット選挙の認知度別知っている（％）,100.0,42.3,41.3,12.9,1.4,0.4,1.7,0.1
ネット選挙の認知度別知らなかった実数,752,261,324,108,21,7,29,2
ネット選挙の認知度別知らなかった（％）,100.0,34.7,43.1,14.4,2.8,0.9,3.9,0.3
