男女 ,Gender,項番 Item number,産業,Industry,総数 Total,総数 Total／平均年齢 Average age,15～19歳 15-19 years old,20～24歳 20-24 years old,25～29歳 25-29 years old,30～34歳 30-34 years old,35～39歳 35-39 years old,40～44歳 40-44 years old,45～49歳 45-49 years old,50～54歳 50-54 years old,55～59歳 55-59 years old,60～64歳 60-64 years old,65～69歳 65-69 years old,70～74歳 70-74 years old,75歳以上 75 years old and over
男 ,Male,16,医療， 福祉,Medical， health care and welfare,171300,43,600,5300,28600,23400,20100,24300,14300,18000,12600,13300,3800,3800,3200
男 ,Male,17,複合サービス事業,Compound services,23300,43.4,-,-,800,2500,6200,4900,2000,3200,2200,800,700,-,-
男 ,Male,18,サービス業 (他に分類されないもの),Services， n.e.c.,341300,47.1,2900,23500,29700,34300,35100,36600,28600,27900,28500,38500,27800,17100,10800
男 ,Male,19,公務 (他に分類されるものを除く),Government， except elsewhere classified,167100,40.6,4100,19500,16600,14700,21300,30200,16200,16400,18600,6400,2600,200,200
男 ,Male,20,分類不能の産業,Industries unable to classify,207400,45.2,2200,12600,28300,14200,26300,21700,25700,19500,12000,19300,12500,7200,6100
女 ,Female,,総数 ,Total,3111800,43.1,48100,255900,367400,367600,360100,373900,338100,274500,217500,227000,129800,80600,71100
女 ,Female,1,農業，  林業,Agriculture and forestry,9300,56,-,400,-,1300,900,400,-,500,900,1400,1200,500,1900
女 ,Female,2,漁業,Fisheries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
女 ,Female,3,鉱業， 採石業， 砂利採取業,Mining and quarrying of stone and gravel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
女 ,Female,4,建設業,Construction,79900,46.5,-,4100,3900,9100,8400,14800,12100,4700,5000,7700,3700,4100,2300
女 ,Female,5,製造業,Manufacturing,249900,44.5,1500,15000,26300,25200,29900,40300,31200,21900,15100,15500,11600,10900,5700
女 ,Female,6,電気・ガス・熱供給・水道業,Electricity，  gas，  heat supply and water,3500,40.5,-,-,800,-,1200,600,300,-,-,600,-,-,-
女 ,Female,7,情報通信業,Information and communications,162300,36.7,-,12900,31400,32600,32200,20500,13500,10100,4200,2500,800,1600,-
女 ,Female,8,運輸業， 郵便業 ,Transport and postal activities,75200,38.2,3200,13000,7600,9300,7100,11000,8900,4200,5400,4300,1000,200,-
女 ,Female,9,卸売・小売業,Wholesale and retail trade,527400,42.4,13100,53800,65800,54100,58300,62200,54200,43300,37900,38000,23200,9900,13600
女 ,Female,10,金融・保険業,Finance and insurance,146900,39.4,-,8200,28900,19400,26400,14800,21900,15300,4500,5100,800,600,1100
女 ,Female,11,不動産業， 物品賃貸業,Real estate and goods rental and leasing,110300,55.3,200,3100,6900,7000,3800,10800,12300,10900,8400,11800,7700,9300,18000
女 ,Female,12,学術研究， 専門・技術サービス業,Scientific research， professional and technical services,170400,42.3,300,6400,20900,23900,23100,34600,16300,15300,13500,8000,4200,2200,2000
女 ,Female,13,宿泊業， 飲食サービス業,Accommodations， eating and drinking services,266600,40.8,20200,41500,21500,27500,25000,24000,21400,19200,18000,23400,16200,7000,1600
女 ,Female,14,生活関連サービス業， 娯楽業,Living-related and personal services and amusement services,160400,44,1000,15100,24600,20900,12100,12500,14300,11900,9600,19700,8300,5600,4700
女 ,Female,15,教育， 学習支援業,Education， learning support,190800,41.7,2900,19500,21400,22000,22100,26100,21100,17900,14800,14800,3600,1400,3100
女 ,Female,16,医療， 福祉,Medical， health care and welfare,477000,43.2,1900,34000,57900,60900,49900,50500,61000,54900,42900,36000,13000,8400,5800
女 ,Female,17,複合サービス事業,Compound services,11900,44.3,-,-,500,1400,1800,1400,3400,2400,500,400,-,-,-
女 ,Female,18,サービス業 (他に分類されないもの),Services， n.e.c.,229300,46.8,1200,11200,24000,21800,23600,21000,29400,21200,21600,20100,20100,10700,3400
女 ,Female,19,公務 (他に分類されるものを除く),Government， except elsewhere classified,62200,42.6,-,2000,6500,8600,13000,8000,6200,5900,6600,3100,1400,500,300
女 ,Female,20,分類不能の産業,Industries unable to classify,178700,44.7,2700,15800,18600,22600,21200,20400,10700,14900,8700,14700,13000,7700,7600
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,,,
7-14  男女， 産業，年齢別有業者数 (平成24年10月1日) 7-14  PERSONS ENGAGED IN WORK BY GENDER， INDUSTRY， AND AGE (Oct. 1， 2012 ),,,,,,,,,,,,,,,,,,,
就業構造基本調査は標本調査であって，15歳以上の者について，ふだんの就業状態を調査している。「有業者」とは，就業者と休業者を合わせたもので， 収入を得るために一定の仕事に継続的に従事し，今後もその仕事を継続することになっている者。 総数には不詳の者が含まれているので， 総数の数字はその内訳の合計に必ずしも一致しない。,,,,,,,,,,,,,,,,,,,
The Employment Status Survey is a sample survey on the employment status of persons 15 years old and over. Working persons are a total of persons who are usually engaged in work for pay or profit and expected to be in the same status after the date of survey， and persons with a job but not working at present. The totals may not necessarily add up as they include those of unknown status.,,,,,,,,,,,,,,,,,,,
資料：総務省 「就業構造基本調査報告」 Source: Ministry of Internal Affairs and Communications ,,,,,,,,,,,,,,,,,,,
