品目,Item,区分,Classification,項番 Item number,区分,Classification,銘柄,Specification,単位,Unit,26年平均 2014 Av.,1月 Jan.,2月 Feb.,3月 Mar.,4月 Apr.,5月 May,6月 June,7月 July,8月 Aug.,9月 Sept.,10月 Oct.,11月 Nov.,12月 Dec.
住居,Housing,家賃,Rent,1,家賃(民営借家),Rent (House rent， private),民営家賃,House rent managed by private sector,1か月・3.3㎡・,1 month,8704,8766,8761,8712,8715,8706,8706,8699,8688,8682,8689,8663,8657
住居,Housing,家賃,Rent,2,家賃(公的住宅及び都市再生機構住宅の平均）,Rent (average rent of public house and Urban Renaissance Agency),公的住宅及び都市再生機構住宅の平均,Average rent of public house and the Urban Renaissance Agency,1か月・3.3㎡・,1 month,3647,3628,3627,3626,3624,3664,3662,3660,3655,3655,3654,3655,3652
住居,Housing,設備修繕・維持,Repairs & maintenance,1,大工手間代,Carpentering,家屋修理手間代，常用1人分,For house repair，charge per regular carpenter,1日,1 day,19136,18833,18833,18833,19000,19167,19167,19300,19300,19300,19300,19300,19300
光熱・水道,Fuel，light & water charges,電気・ガス代,Electricity & gas,1,電気代(基本料金又は最低料金),Electricity(basic charges or minimum charges),従量電灯，アンペア制（契約電流10アンペア）又は最低料金制,Meter rate system，ampere system (10 ampere) or minimum charges system,1か月,1 month,280,273,273,273,*273,281,281,281,281,281,281,281,281
光熱・水道,Fuel，light & water charges,電気・ガス代,Electricity & gas,2,電気代(電力量料金１)(1～120kWh),Electricity(energy charges 1)(1-120kWh),従量電灯，アンペア制，電力量料金，1　,Meter rate system，ampere system，meter rate charges，1,1kWh,1kWh,19.37,18.89,18.89,18.89,*18.89,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43
光熱・水道,Fuel，light & water charges,電気・ガス代,Electricity & gas,3,ガス代(標準熱量),Gas (standard calorie),一般家庭用，標準熱量,For domestic use， standard calorie.,MJ／m3,MJ／m3,45,45,45,45,*45.00,45,45,45,45,45,45,45,45
光熱・水道,Fuel，light & water charges,電気・ガス代,Electricity & gas,4,プロパンガス,Liquefied propane,基本料金及び10m3 (従量料金）を使用した料金,Basic charges and meter rate charges (10m3) ,1か月,1 month,7039,6818,6862,6867,6903,7123,7125,7124,7122,7121,7118,7117,7168
光熱・水道,Fuel，light & water charges,他の光熱,Other fuel and light,1,灯油,Kerosene ,白灯油， 詰め替え売り， 店頭売り,White kerosene， refill， sold in stores,18L,18L,1929,1908,1901,1896,1939,1963,1953,1976,1974,1954,1952,1907,1831
光熱・水道,Fuel，light & water charges,水道料,Water charges,1,水道料(基本料金),Water charges (basic charges),計量制， 専用給水装置（専用栓）， 一般用， 基本料金,Meter charges，private hydrant，for domestic use， basic charges,1か月,1 month,920,903,903,903,903,929,929,929,929,929,929,929,929
家具・家事用品,Furniture & household utensils,家事用消耗品,Domestic non-durable goods,1,ラップ,Food wrap,ポリ塩化ビニリデン製，幅30cm×長さ20m，「サランラップ」又は「NEWクレラップ」,"Made of polyvinylidene chloride， 30cm width， 20m length， ""Saran Wrap"" or ""New Kurewrap""",1本,1 roll,159,155,154,155,164,161,159,160,158,161,160,159,159
家具・家事用品,Furniture & household utensils,家事用消耗品,Domestic non-durable goods,2,トイレットペーパー,Rolled toilet paper,再生紙100%，白，〔長さ〕 55m，60m，２枚重ね27.5m又は２枚重ね30m，12ロール入り,100% re-cycled paper， white， [length] 55m， 60m， doubled sheets 27.5m or doubled sheets 30m， 12 rolls,1パック,1 pack,255,238,242,245,252,257,259,262,264,259,260,261,262
家具・家事用品,Furniture & household utensils,家事用消耗品,Domestic non-durable goods,3,洗濯用洗剤,Detergent，laundry,合成洗剤，綿・麻・合成繊維用，液体，詰め替え用，袋入り（810～1000g入り），「アタック 高浸透バイオジェル」，「トップ クリアリキッド」又は「アリエール イオンパワージェルサイエンスプラス」，平成26年3月から単位変更,"Synthetic detergent， for cotton， hemp and synthetic fiber， liquid， refill， in bag (810 - 1000g)， ""Attack High activity gel""， ""Top Clear liquid"" or ""ARIEL ion power gel science plus"". The unit was changed in Mar. '14.",1kg,1kg,322,319,315,*309,337,347,340,326,325,315,312,313,295
被服及び履物,Clothes & footwear,洋服,Clothing,1,背広服（夏物，普通）,Men's suits (for summer， ordinary),夏物，シングル上下，並型，半裏又は背抜き,For summer， single breasted 2 pieces， ordinary style， half back lining or unlined back,1着,1 suit,21894,…,…,23063,23143,22653,21012,20688,20804,…,…,…,…
被服及び履物,Clothes & footwear,洋服,Clothing,2,背広服（秋冬物，普通）,Men's suits (for autumn & winter， ordinary),秋冬物，シングル上下，並型，総裏 ,For autumn and winter， single breasted 2 pieces， ordinary style， full lining,1着,1 suit,30209,29167,27978,…,…,…,…,…,…,32653,31011,30381,30066
被服及び履物,Clothes & footwear,洋服,Clothing,3,ワイシャツ(長袖),Men's business shirts（long sleeves）,長袖，シングルカフス，〔素材〕ポリエステル・綿混用，白（白織柄を含む）  　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,Long sleeves， single cuffs， [material] mixed polyester and cotton， white (including white weave pattern),1枚,1 sheet,2674,2472,2564,2681,2768,*2，684,2714,2627,2635,2684,2683,2683,2683
被服及び履物,Clothes & footwear,洋服,Clothing,4,婦人セーター(長袖),Women's sweaters   (long sleeves),カーディガン，「長袖」又は「7分袖」，〔素材〕毛・化学繊維混用，〔サイズ〕M，普通品,"Cardigan， ""long sleeves"" or ""three-quarter sleeves""， [material] ""mixed wool and synthetic fiber""， [size] M， ordinary quality",1枚,1 sheet,3534,3054,3068,3072,…,…,…,…,…,4070,3782,4013,3678
被服及び履物,Clothes & footwear,履物類,Footwear,1,男子靴,Men's shoes ,短靴，黒，〔甲〕牛革，〔底〕「合成ゴム」又は「ウレタン」，〔底の製法〕張り付け，〔サイズ〕25～26cm，中級品,"Low shoes， black， [instep] oxhide， [sole] ""synthetic rubber"" or ""urethane""， sticked soles， [size] 25 - 26cm， medium quality",1足,1 pair,11117,10909,10709,10830,11397,11235,11102,11188,11188,11188,11260,11260,11142
被服及び履物,Clothes & footwear,履物類,Footwear,2,婦人靴,Women's shoes,パンプス，〔甲〕牛革，〔底〕合成ゴム，〔底の製法〕張り付け，〔サイズ〕23～24cm，中級品,Pumps， [instep] oxhide， [sole] synthetic rubber， sticked soles， [size] 23 - 24cm， medium quality,1足,1 pair,9387,9454,10297,9203,9454,9123,8914,9031,9195,9483,9771,9321,9393
被服及び履物,Clothes & footwear,被服関連 サービス,Services related to clothing,1,洗濯代(ワイシャツ),Laundry charges (business shirts),ワイシャツ，水洗い，機械仕上げ，折りたたみ仕上げ，持ち込み，配達なし，料金前払い,Business shirt， water washing， machine finishing， fold finishing， bringing in， not delivery， payment in advance,1枚,1 sheet,234,227,226,227,237,237,237,237,237,235,237,237,235
保健医療,Medical care,医薬品,Medicines,1,ビタミン剤（ビタミン含有保健剤）,Vitamin preparations (multiple vitamins),第3類医薬品，ビタミン含有保健剤，錠剤，プラスチックボトル入り（90錠入り），「キューピーコーワゴールドα-プラス」,"Third-class OTC drugs， multiple vitamins， tablets， plastic-bottled (90 tablets)， ""Q&P Kowa Gold Alpha-plus""",1箱,1 package,2328,2285,2285,2281,2336,2345,2330,2358,2343,2337,2358,2343,2338
保健医療,Medical care,医薬品,Medicines,2,漢方薬,Chinese medicines,第2類医薬品，防風通聖散，錠剤，瓶入り (336錠入り)，「ナイシトールG」,"Second-class OTC drugs， ""Bofutsu-Shosan""　(Chinese herbal medicine) extracts，tablets， bottled (336 tablets)， "" NicitolG""",1箱,1 package,4556,3682,3663,3682,3729,*4，524,4550,4559,4579,4569,4550,4579,4540
保健医療,Medical care,保健医療用品・器具,Medical supplies & appliances,1,眼鏡,Spectacles,〔レンズ〕プラスチックレンズ，非球面レンズ，近視用，屈折率1.60，UVカット，無色，「HOYAニュールックス」，「セイコースーパールーシャスUV」又は「ニコンライト3-AS」，〔フレーム〕男性用，樹脂フレーム，中級品，加工料を含む,"[lens] plastic lenses， non-spherical lenses， for myopia， refractive index 1.60， UV protection， untinted， ""HOYA NULUX""， ""SEIKO Super Luscious UV"" or ""Nikon Lite 3-AS""， [frame] for men， plastic frames， medium quality， including conversion costs",1式,1 set,26515,25335,24785,25833,26894,27002,27002,26894,26836,26836,26884,26884,26992
保健医療,Medical care,保健医療サービス,Medical services,1,診療代（国民健康保険),Medical treatment (National health insurance) ,国民健康保険，被保険者の一部負担金の割合 (６歳未満及び70歳以上を除く)  ,National Health Insurance，rate of charges shared by the insured (excluding under 6 years old and 70 years old or more),1回／パーセント,once／In％,30,30,30,30,30,30,30,30,30,30,30,30,30
交通・通信,Transportation & communication,交通,Public transportation,1,タクシー代(初乗運賃),Taxi fares (base fares),距離制運賃，初乗運賃，〔車種〕普通車,Taxi fares，meter rate system，base fares，〔type of cars〕 standard cars,1回,once,725,710,710,710,730,730,730,730,730,730,730,730,730
交通・通信,Transportation & communication,自動車等関係費,Private transportation,1,自動車ガソリン（レギュラー）,Gasoline (regular),レギュラーガソリン，セルフサービス式を除く,Regular，excluding self-service,1L,1L,161,157,156,159,163,165,166,168,166,166,163,157,149
交通・通信,Transportation & communication,自動車等関係費,Private transportation,2,車庫借料,Garage rental charges,月極駐車料金， 屋根なし駐車場， アスファルト舗装， 小型自動車,Monthly contract， no roof garage， asphalted， small motor vehicle,1か月,1 month,26198,26095,26095,26095,26232,26232,26232,26232,26232,26232,26232,26232,26232
交通・通信,Transportation & communication,通信,Communication,1,通話料（回線使用料）,Telephone charges ,固定電話，加入電話，住宅用，回線使用料，ユニバーサルサービス料を含む,Fixed-line phone，subscribed phone，for domestic use，access charges，including the universal service charges,1か月,1 month,1822,1788,1788,1788,1788,1839,1839,1839,1839,1839,1839,1839,1839
交通・通信,Transportation & communication,通信,Communication,2,携帯電話機（A）,Mobile phones (A),ＮＴＴドコモ，スマートフォン，〔OS(基本ソフト)〕 iOS 8，〔CPU〕 A8チップ，〔記憶容量〕16GB，〔ディスプレイ〕 Retina HD（サイズ:4.7インチ），契約変更（FOMAからＸｉ），オプション未加入，一括払い，「ドコモ iPhone 6」,"""NTT DOCOMO""，smartphone，[OS] iOS 8，[CPU]  A8 chip，[Capacity] 16GB，[Display] Retina HD (size:4.7 inches)，contract modification  (FOMA to Xi)，option non-participation，lump-sum payment，""DOCOMO iPhone 6""",1台,1 set,73872,95760,95760,95760,95386,95386,95386,95386,95386,95386,*73，872,73872,73872
交通・通信,Transportation & communication,通信,Communication,3,携帯電話機（B）,Mobile phones (B),KDDI（au）又は沖縄セルラー，スマートフォン，〔OS（基本ソフト）〕 iOS 8，〔CPU〕 A8チップ，〔記憶容量〕16GB，〔ディスプレイ〕 Retina HD （サイズ:4.7インチ），機種変更，オプション未加入，一括払い，「au iPhone 6」," ""KDDI(au)"" or ""OKINAWA‐CELLULAR""，smartphone，[OS] iOS 8，[CPU] A8 chip，[Capacity] 16GB，[Display] Retina HD (size:4.7 inches)，model change，option non-participation，lump-sum payment，""au iPhone 6"" ",1台,1 set,72360,78120,78120,78120,79920,79920,79920,79920,79920,61560,*72，360,72360,72360
交通・通信,Transportation & communication,通信,Communication,4,携帯電話機（C）,Mobile phones (C),ソフトバンクモバイル，スマートフォン，〔OS（基本ソフト）〕 iOS 8，〔CPU〕 A8チップ，〔記憶容量〕16GB，〔ディスプレイ〕 RetinaHD （サイズ:4.7インチ），契約変更（3Ｇから4Ｇ LTE），一括払い，「ソフトバンク iPhone 6」," ""SOFTBANK MOBILE""，smartphone，[OS] iOS 8，[CPU] A8 chip，[Capacity] 16GB，[Display] Retina HD (size:4.7 inches)，contract modification (3G to 4G LTE)，option non-participation，lump-sum payment，""SOFTBANK iPhone 6"" ",1台,1 set,70080,78120,78120,78120,80400,80400,80400,80400,80400,72874,*70，080,70080,70080
教育,Education,授業料等,School fees,1,大学(私立) 1),College and university (Private) 1),昼間部，法文経系,Daytime，Law，literature and economic course,1か年,1 year,744289,-,-,-,744289,-,-,-,-,-,-,-,-
教育,Education,授業料等,School fees,2,高等学校(私立),High school (Private),全日制，普通科,Daytime，General course,1か年,1 year,424976,-,-,-,424976,-,-,-,-,-,-,-,-
教養娯楽,Culture & recreation,教養娯楽耐久財,Recreational durables,1,テレビ（液晶),TV sets（LCD),液晶テレビ，32V型，地上デジタルチューナー2基内蔵，ハイビジョン対応パネル，LEDバックライト搭載，特殊機能付きは除く,LCD，32V type，2 built-in digital terrestrial television tuners，acceptable the high-definition television panel，LED back light loading，without special function,1台,1 set,50659,46838,48124,49229,49325,52324,59201,55141,51938,48504,52680,49839,44762
教養娯楽,Culture & recreation,教養娯楽サービス,Recreational services,1,映画観覧料,Admission to movies,一般,For adults,1回,once,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
諸雑費,Miscellaneous,理美容サービス,Personal care services,1,理髪料,Men's haircut charges,総合調髪，男性（高校生以下を除く）,General trim，  for man (excluding ones under high school students age),1回,once,3753,3684,3684,3684,3775,3774,3779,3779,3779,3776,3776,3776,3776
諸雑費,Miscellaneous,理美容サービス,Personal care services,2,パーマネント代,Permanent wave charges,パーマネント（シャンプー，カット，ブロー又はセット込み）， ショート女性（高校生以下を除く）,Permanent wave (including shampoo， haircut and blow or set)， short， for women (excluding ones under high school students age),1回,once,8544,8278,8290,8290,8528,8611,8627,8642,8702,8642,8642,8642,8642
,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 ) 13 物価・地価 13 PRICES,,,,,,,,,,,,,,,,,,,,,,,
13-3  東京都区部の主要品目小売価格 （平成26年） 13-3  RETAIL PRICES OF PRINCIPAL ITEMS IN Ku-AREA OF TOKYO-to ( 2014 ),,,,,,,,,,,,,,,,,,,,,,,
この表は小売物価統計調査の結果であり，調査日は毎月12日を含む週の水曜日，木曜日及び金曜日の3日のうち，いずれか1日について調査している。 ただし，生鮮魚介類，野菜類及び果物類は，調査日を含む前3日間の中値を調査している。調査価格は指定した店舗で実際に販売している平常の価格を調査している。 廉売価格，災害による一時的な異常価格，月賦販売，多量販売等による特殊価格及び中古品の価格は調査していない。,,,,,,,,,,,,,,,,,,,,,,,
Figures in this table are the result of the Retail Price Survey which is carried out on any of the three days Wednesday， Thursday or Friday in the week which includes the 12th of the month. Fresh fish and shellfish， vegetables and fruits are however， inquired into on each or these three days. Surveyed prices are those at which items are normally sold， at appointed retail shops， not including temporally reduced prices due to bargain clearance sale， extraordinary prices due to disasters. ,,,,,,,,,,,,,,,,,,,,,,,
注 1) 東京都全体の数値。,,,,,,,,,,,,,,,,,,,,,,,
2) ※印月から基本銘柄改正。,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) The average of all universities that meet the criteria in Tokyo.,,,,,,,,,,,,,,,,,,,,,,,
2) ※indicates the month when the basic criteria were revised.,,,,,,,,,,,,,,,,,,,,,,,
資料：総務省 「小売物価統計調査年報」 Source: Ministry of Internal Affairs and Communications,,,,,,,,,,,,,,,,,,,,,,,
（単位　　円） (In yen),,,,,,,,,,,,,,,,,,,,,,,
