年度,Fiscal year,会社名,Company name,系統,Line,旅客営業キロ Passanger rail length(km),駅数 Stations,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets
平成26,2014,東京急行電鉄,Tokyu Corporation,,,60,75,5676798,3632882,2043916
平成26,2014,東京急行電鉄,Tokyu Corporation,東横線,Toyoko Line,9,9,1747949,1051935,696014
平成26,2014,東京急行電鉄,Tokyu Corporation,目黒線,Meguro Line,7.3,9,503790,324253,179537
平成26,2014,東京急行電鉄,Tokyu Corporation,田園都市線,Den-En-Toshi Line,11.8,10,2115367,1445426,669941
平成26,2014,東京急行電鉄,Tokyu Corporation,大井町線,Oimachi Line,10.4,15,745629,456824,288805
平成26,2014,東京急行電鉄,Tokyu Corporation,池上線,Ikegami Line,10.9,15,338971,215064,123907
平成26,2014,東京急行電鉄,Tokyu Corporation,東急多摩川線,Tokyu Tamagawa Line,5.6,7,177944,115100,62844
平成26,2014,東京急行電鉄,Tokyu Corporation,世田谷線,Setagaya Line,5,10,47148,24280,22868
平成26,2014,京浜急行電鉄,Keikyu Corporation,,,18.3,20,1824948,961917,863031
平成26,2014,京浜急行電鉄,Keikyu Corporation,本線,Main Line,11.8,14,1557225,893362,663863
平成26,2014,京浜急行電鉄,Keikyu Corporation,空港線,Airport Line,6.5,6,267723,68555,199168
平成26,2014,京王電鉄,Keio Corporation,,,77.6,66,7008950,4363916,2645034
平成26,2014,京王電鉄,Keio Corporation,京王線,Keio Line,64.9,50,5930481,3731661,2198820
平成26,2014,京王電鉄,Keio Corporation,井の頭線,Inokashira Line,12.7,17,1078469,632255,446214
平成26,2014,京成電鉄,Keisei Electric Railway,,,23.9,19,1171846,699837,472009
平成26,2014,京成電鉄,Keisei Electric Railway,本線,Main Line,15.7,12,769890,427591,342299
平成26,2014,京成電鉄,Keisei Electric Railway,押上線,Oshiage Line,5.7,6,377833,257075,120758
平成26,2014,京成電鉄,Keisei Electric Railway,金町線,Kanamachi Line,2.5,3,24123,15171,8952
平成26,2014,東武鉄道,Tobu Railway ,,,28.2,28,3014131,2021776,992355
平成26,2014,東武鉄道,Tobu Railway ,東武スカイツリーライン,Tobu Skytree Line,13.4,13,1433546,961307,472239
平成26,2014,東武鉄道,Tobu Railway ,大師線,Daishi Line,1,2,4934,3189,1745
平成26,2014,東武鉄道,Tobu Railway ,亀戸線,Kameido Line,3.4,5,31021,19016,12005
平成26,2014,東武鉄道,Tobu Railway ,東上線,Tojo Line,10.4,10,1544630,1038264,506366
平成26,2014,北総鉄道,Hokuso Railway,,,2,2,28680,20650,8030
平成26,2014,北総鉄道,Hokuso Railway,北総線,Hokuso Line,2,2,28680,20650,8030
平成26,2014,高尾登山電鉄,Takao Tozan Railway,,,1.9,4,1940,14,1926
平成26,2014,高尾登山電鉄,Takao Tozan Railway,清滝高尾山,Kiyotaki-Takaosan,1,2,1238,14,1224
平成26,2014,高尾登山電鉄,Takao Tozan Railway,リフト,Chair Lift,0.9,2,702,-,702
平成26,2014,東京モノレール,Tokyo Monorail,,,17.8,11,521222,147776,373446
平成26,2014,御岳登山鉄道,Mitake Tozan Railway,,,1.1,4,556,1,555
平成26,2014,御岳登山鉄道,Mitake Tozan Railway,滝本御岳山,Takimoto-Mitakesan,1,2,483,1,482
平成26,2014,御岳登山鉄道,Mitake Tozan Railway,リフト,Chair Lift,0.1,2,73,-,73
平成26,2014,ゆりかもめ,Yurikamome Inc. ,,,14.7,16,242386,57120,185266
平成26,2014,東京臨海高速鉄道,Tokyo Waterfront Area Rapid TransitInc.,,,12.2,8,502111,256099,246012
平成26,2014,多摩都市モノレール,Tokyo Tama Intercity Monorail Co.， Ltd,,,16,19,247142,161202,85940
平成26,2014,首都圏新都市鉄道,Metropolitan Intercity Railway Company  ,,,13.2,7,860317,591651,268666
,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,
4-12　私鉄の運輸成績 (平成22～26年度) 4-12 TRANSPORTATION BY PRIVATE RAILWAYS ( Fiscal Years 2010-2014 ),,,,,,,,,,
この表は東京都内分である。,,,,,,,,,,
Figures refer only to Tokyo Metropolis.,,,,,,,,,,
注) 乗換駅を重複して数えているので， 会社別の駅数と路線別の駅の合計とは必ずしも一致しない。,,,,,,,,,,
Note: Since transit stations are counted in duplicate， the total number of stations by company and by line are not always the same.,,,,,,,,,,
資料：私鉄各社 Source: Private railway companies,,,,,,,,,,
