年度,Fiscal year,地域階層,地域コード,地域,District,病院病床  Beds／総数 Total,病院病床  Beds／精神病床 Psychiatric ,病院病床  Beds／結核病床 Tuberculosis,病院病床  Beds／感染症病床 Infectious diseases beds,病院病床  Beds ／療養病床 Long-term care,病院病床  Beds／一般病床 General,患者延数 Total number of patients／在院患者 Inpatients,患者延数 Total number of patients／新入院患者数 New inpatients,患者延数 Total number of patients／外来患者数 Outpatients
平成25,2013,2,13122,葛飾区,Katsushika-ku,2470,217,36,5,373,1839,713921,38288,1293913
平成25,2013,2,13123,江戸川区,Edogawa-ku,2768,42,50,-,674,2002,763186,44745,1318520
平成25,2013,1,13200,市部,All shi,47750,15650,337,44,10032,21687,14521420,393054,12477899
平成25,2013,2,13201,八王子市,Hachioji-shi,9171,4206,34,8,2103,2820,2861341,55784,1763218
平成25,2013,2,13202,立川市,Tachikawa-shi,1645,63,-,6,186,1390,490404,29606,690866
平成25,2013,2,13203,武蔵野市,Musashino-shi,1259,-,-,20,148,1091,389707,24498,663676
平成25,2013,2,13204,三鷹市,Mitaka-shi,2823,1152,-,-,219,1452,863264,29504,987813
平成25,2013,2,13205,青梅市,Ome-shi,4609,2463,-,4,1430,712,1490432,17854,597231
平成25,2013,2,13206,府中市,Fuchu-shi,3631,945,60,-,225,2401,1046988,48419,1009639
平成25,2013,2,13207,昭島市,Akishima-shi,1167,-,-,-,488,679,268232,9150,456274
平成25,2013,2,13208,調布市,Chofu-shi,1622,842,-,-,279,501,464340,6675,379158
平成25,2013,2,13209,町田市,Machida-shi,4016,1592,-,-,899,1525,1267734,24259,915798
平成25,2013,2,13210,小金井市,Koganei-shi,1142,510,-,-,384,248,376977,4746,178970
平成25,2013,2,13211,小平市,Kodaira-shi,2331,750,-,6,573,1002,733945,20458,596867
平成25,2013,2,13212,日野市,Hino-shi,1084,238,-,-,398,448,331386,7836,300414
平成25,2013,2,13213,東村山市,Higashimurayama-shi,2654,683,8,-,432,1531,707802,14167,497272
平成25,2013,2,13214,国分寺市,Kokubunji-shi,251,-,-,-,251,-,86062,986,24021
平成25,2013,2,13215,国立市,Kunitachi-shi,64,-,-,-,8,56,17450,1638,96678
平成25,2013,2,13218,福生市,Fussa-shi,659,-,-,-,96,563,191651,9838,300378
平成25,2013,2,13219,狛江市,Komae-shi,717,20,27,-,136,534,212587,11543,409325
平成25,2013,2,13220,東大和市,Higashiyamato-shi,412,-,-,-,-,412,132737,8304,160968
平成25,2013,2,13221,清瀬市,Kiyose-shi,2144,255,208,-,643,1038,655636,17996,565005
平成25,2013,2,13222,東久留米市,Higashikurume-shi,274,183,-,-,-,91,93491,2031,133494
平成25,2013,2,13223,武蔵村山市,Musashimurayama-shi,886,-,-,-,216,670,262227,7873,308146
平成25,2013,2,13224,多摩市,Tama-shi,2299,903,-,-,250,1146,684124,17932,528297
平成25,2013,2,13225,稲城市,Inagi-shi,948,399,-,-,259,290,298579,6699,163018
平成25,2013,2,13227,羽村市,Hamura-shi,246,-,-,-,246,-,84363,504,16973
平成25,2013,2,13228,あきる野市,Akiruno-shi,590,120,-,-,100,370,165758,4620,219571
平成25,2013,2,13229,西東京市,Nishitokyo-shi,1106,326,-,-,63,717,344203,10134,514829
平成25,2013,1,13300,郡部,All gun,584,60,-,-,425,99,188479,1450,32628
平成25,2013,2,13303,瑞穂町,Mizuho-machi,120,-,-,-,120,-,42433,249,7580
平成25,2013,2,13305,日の出町,Hinode-machi,421,60,-,-,305,56,138125,849,10997
平成25,2013,2,13307,檜原村,Hinohara-mura,-,-,-,-,-,-,-,-,-
平成25,2013,2,13308,奥多摩町,Okutama-machi,43,-,-,-,-,43,7921,352,14051
平成25,2013,1,13350,島部,All islands,54,-,-,2,-,52,9589,613,50267
,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,
19-3  種類別病床数及び患者延数 (平成21～平成25年度) 19-3  NUMBER OF BEDS AND PATIENTS BY TYPE OF CARE ( Fiscal Years 2009-2013 ),,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課「東京都の医療施設」 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,
