年度,Fiscal year,地域階層,地域コード,地域,District,第1号被保険者数 (1月末) Primary insured persons (as of the end of  January),要介護(要支援)認定者数 (1月末) Persons certified for LTC／support (as of the end of January)／第1号 Primary,要介護(要支援)認定者数 (1月末) Persons certified for LTC／support (as of the end of January)／第2号 Secondary,居宅介護(支援)サービス受給者数 (1月末) Recipients of in-home LTC services (as of the end of January)／第1号 Primary,居宅介護(支援)サービス受給者数 (1月末) Recipients of in-home LTC services (as of the end of January)／第2号 Secondary,地域密着型サービス受給者数 (1月末) Recipients of communitybased LTC services (as of the end of January)／第1号 Primary,地域密着型サービス受給者数 (1月末) Recipients of communitybased LTC services (as of the end of January)／第2号 Secondary,施設介護サービス受給者数 (1月末) Recipients of LTC services in facilities (as of the end of January)／第1号 Primary,施設介護サービス受給者数 (1月末) Recipients of LTC services in facilities (as of the end of January)／第2号 Secondary
平成26,2014,2,13213,東村山市,Higashimurayama-shi,37053,7179,192,4460,132,207,3,1131,16
平成26,2014,2,13214,国分寺市,Kokubunji-shi,25624,4553,108,2982,71,190,3,598,11
平成26,2014,2,13215,国立市,Kunitachi-shi,16252,2973,91,1850,57,141,4,480,7
平成26,2014,2,13218,福生市,Fussa-shi,13560,1854,58,1177,41,20,-,430,6
平成26,2014,2,13219,狛江市,Komae-shi,18949,3540,80,2314,54,73,-,406,4
平成26,2014,2,13220,東大和市,Higashiyamato-shi,21284,3234,75,1948,48,78,-,532,4
平成26,2014,2,13221,清瀬市,Kiyose-shi,19682,3583,87,2315,56,115,1,605,7
平成26,2014,2,13222,東久留米市,Higashikurume-shi,30693,4670,100,3018,73,164,2,642,9
平成26,2014,2,13223,武蔵村山市,Musashimurayama-shi,17223,2384,73,1458,49,109,-,459,10
平成26,2014,2,13224,多摩市,Tama-shi,37495,4804,132,3180,90,241,3,742,11
平成26,2014,2,13225,稲城市,Inagi-shi,16996,2376,75,1620,52,182,3,362,4
平成26,2014,2,13227,羽村市,Hamura-shi,12858,1756,50,910,28,44,1,333,3
平成26,2014,2,13228,あきる野市,Akiruno-shi,21239,2806,90,1528,61,71,1,741,9
平成26,2014,2,13229,西東京市  ,Nishitokyo-shi,45707,8875,218,5850,133,431,6,1182,15
平成26,2014,1,13300,郡部,All gun,16141,2344,82,1171,53,55,2,696,8
平成26,2014,1,13350,島部,All islands,8888,1737,34,978,13,83,-,380,7
,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,
"18-9  介護保険被保険者数 ・認定者・受給者の状況（平成24～26年度） 18-9  PERSONS INSURED BY LONG-TERM CARE（LTC）INSURANCE, CERTIFIED FOR LTC/SUPPORT，AND BENEFICIARIES OF LTC SERVICES ( Fiscal Years 2012-2014 ) ",,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,
