年末,End of year,地域階層,地域コード,項番 Item number,地域,District,医師数 Physicians／総数 Total,医師数 Physicians／医療施設の従事者 Medical institution personnel,医師数 Physicians／医療施設の従事者 Medical institution personnel／病院の開設者又は法人の代表者 Hospital founder or president,医師数 Physicians／医療施設の従事者 Medical institution personnel／病院(医育機関附属の病院を除く)の勤務者 Hospital employees (excluding university hospitals),医師数 Physicians／医療施設の従事者 Medical institution personnel／医育機関附属の病院の勤務者 University hospital employees,医師数 Physicians／医療施設の従事者 Medical institution personnel／診療所の開設者又は法人の代表者 Clinic founder or president,医師数 Physicians／医療施設の従事者 Medical institution personnel／診療所の勤務者 Clinic employee,医師数 Physicians／介護老人保健施設の従事者 Long-term care health facility personnel,医師数 Physicians／介護老人保健施設の従事者 Long-term care health facility personnel／介護老人保健施設の開設者又は法人の代表者 Long-term care health facility founder or president,医師数 Physicians／介護老人保健施設の従事者 Long-term care health facility personnel／介護老人保健施設の勤務者 Long-term care health facility employee,医師数 Physicians／医療施設・介護老人保健施設以外の従事者 Personnel other than those in medical institutions， long-term care health facilities.,医師数 Physicians／その他 Others,医師数 Physicians／不詳／Unknown,歯科医師 Dentist,看護師 Nurse,准看護師 Assistant nurses,薬剤師 Pharmacist,人口10万人あたりの医師数 The number of physicians per population of 100000
平成24,2012,2,13212,12,日野市,Hino-shi,221,207,4,82,-,79,42,5,-,5,6,3,-,90,626,179,345,122.1
平成24,2012,2,13213,13,東村山市,Higashimurayama-shi,241,229,8,146,-,57,18,5,-,5,2,5,-,85,1025,288,333,157.4
平成24,2012,2,13214,14,国分寺市,Kokubunji-shi,133,126,2,9,-,88,27,3,-,3,-,4,-,94,258,78,220,110.1
平成24,2012,2,13215,15,国立市,Kunitachi-shi,88,83,2,8,-,59,14,3,-,3,-,2,-,85,198,48,189,116.5
平成24,2012,2,13218,16,福生市,Fussa-shi,122,121,2,75,-,29,15,1,1,-,-,-,-,33,404,111,139,207.4
平成24,2012,2,13219,17,狛江市,Komae-shi,272,272,1,9,212,36,14,-,-,-,-,-,-,47,612,27,181,345.4
平成24,2012,2,13220,18,東大和市,Higashiyamato-shi,116,115,-,64,-,35,16,1,-,1,-,-,-,48,575,84,185,138.3
平成24,2012,2,13221,19,清瀬市,Kiyose-shi,256,235,11,184,-,22,18,4,-,4,16,1,-,51,912,221,278,345.3
平成24,2012,2,13222,20,東久留米市,Higashikurume-shi,66,63,2,11,-,41,9,-,-,-,1,2,-,64,164,79,163,57.1
平成24,2012,2,13223,21,武蔵村山市,Musashimurayama-shi,89,74,-,54,-,17,3,1,1,-,13,1,-,36,420,102,131,126.3
平成24,2012,2,13224,22,多摩市,Tama-shi,410,387,4,115,137,73,58,1,-,1,22,-,-,112,1344,244,353,280.8
平成24,2012,2,13225,23,稲城市,Inagi-shi,108,107,1,65,-,28,13,-,-,-,-,1,-,40,436,63,163,125.2
平成24,2012,2,13227,24,羽村市,Hamura-shi,42,39,-,6,-,23,10,-,-,-,3,-,-,60,126,68,78,74.3
平成24,2012,2,13228,25,あきる野市,Akiruno-shi,103,102,3,56,-,29,14,1,-,1,-,-,-,54,445,120,112,127.1
平成24,2012,2,13229,26,西東京市,Nishitokyo-shi,213,207,2,87,-,98,20,-,-,-,4,2,-,137,672,194,415,106.9
平成24,2012,1,13300,,郡部,All gun,47,39,2,18,-,12,7,6,-,6,2,-,-,22,215,136,46,80.7
平成24,2012,2,13303,1,瑞穂町,Mizuho-machi,20,14,1,2,-,7,4,4,-,4,2,-,-,12,75,61,23,60.4
平成24,2012,2,13305,2,日の出町,Hinode-machi,19,17,1,12,-,3,1,2,-,2,-,-,-,6,115,58,18,111.5
平成24,2012,2,13307,3,檜原村,Hinohara-mura,3,3,-,-,-,1,2,-,-,-,-,-,-,1,2,6,-,124.7
平成24,2012,2,13308,4,奥多摩町,Okutama-machi,5,5,-,4,-,1,-,-,-,-,-,-,-,3,23,11,5,88.1
平成24,2012,1,13350,,島部,All islands,35,30,-,6,-,4,20,-,-,-,4,1,-,18,131,36,24,127.6
,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,,
19-2 地域別医療従事者数 (平成14～24年末) 19-2  MEDICAL PERSONNEL BY DISTRICT ( End of 2002-2012 ）,,,,,,,,,,,,,,,,,,,,,,,,
この表は医師法，歯科医師法，保健師助産師看護師法による届出により集計したものであり，就業地による。 ,,,,,,,,,,,,,,,,,,,,,,,,
The table tabulates figures reported under the Medical Practitioners Act， Dental Practitioners Act， Act on Public Health Nurses， Midwives and Nurses， and is compiled by workplace. ,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課「医師・歯科医師・薬剤師調査東京都集計結果報告」，医療政策部医療人材課「看護師等業務従事者届集計報告」 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,,
