No,観測地点 1),Location of observatory 1),水準基標番号 Bench mark number,測量開始年,Year of start of measurement,平成12年 2000,平成13年 2001,平成14年 2002,平成15年 2003,平成16年 2004,平成17年 2005,平成18年 2006,平成19年 2007,平成20年 2008,平成21年 2009,平成22年 2010,平成23年 2011,平成24年 2012,平成25年 2013,平成26年 2014,(参考) 測量開始年からの変動量累計 (単位 ｍ) (Reference) Accumulated total since the beginning of observation (in meters) 5) 
17,清瀬市 旭が丘,Asahigaoka， Kiyose-shi,清瀬(1),昭和48,1973,0.12,-0.57,-0.54,-0.34,-0.44,-0.99,0.37,0.06,0.34,-0.56,-0.75,2),-0.11,-0.13,0.73,-0.7105
18,清瀬市 中里,Nakazato， Kiyose-shi,清瀬(3),昭和48,1973,0.05,-0.1,-0.18,-0.52,-0.17,-0.18,-0.23,-0.22,0.49,-0.28,-0.91,2),0.41,-0.25,0.84,-0.6111
19,武蔵村山市 本町,Honmachi， Musashimurayama-shi,武村(2),昭和50,1975,0.57,-0.6,-0.05,-0.25,0.15,-0.59,-0.04,-0.17,0.75,0.1,-0.86,2),-0.13,0.32,0.02,-0.0481
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,
19-12 地盤沈下量 (平成12～平成26年) 19-12  ANNUAL GROUND SUBSIDENCE ( 2000-2014 ),,,,,,,,,,,,,,,,,,,,,
負の値（－）は沈下，正の値は隆起を表わす。,,,,,,,,,,,,,,,,,,,,,
Negative numbers (-) indicate subsidence， positive numbers indicate uplift.,,,,,,,,,,,,,,,,,,,,,
注 1) 観測地点については，毎年観測が可能な地点を選択した。,,,,,,,,,,,,,,,,,,,,,
2) 平成23年は，東北地方太平洋沖地震の影響で地殻変動と地盤沈下の区別ができないため，地盤沈下量の算出ができない。  ,,,,,,,,,,,,,,,,,,,,,
3) (参考）測量開始からの変動量累計には，平成23年東北地方太平洋沖地震による変動を含む。,,,,,,,,,,,,,,,,,,,,,
Note: 1) The observation points selected are those where observations can be conducted every year.  ,,,,,,,,,,,,,,,,,,,,,
2) An annual ground subsidence for 2011 is not shown because land subsidence cannot be differentiated from crustal movements caused by the 2011 Tohoku earthquake. ,,,,,,,,,,,,,,,,,,,,,
3) (Reference) Total change since measurement of data began include crustal movements caused by Tohoku Earthquake in 2011.,,,,,,,,,,,,,,,,,,,,,
資料: 都土木技術支援・人材育成センター Source: Civil Engineering Support and Training Center， TMG,,,,,,,,,,,,,,,,,,,,,
（単位　cm／年）(In centimeters／year),,,,,,,,,,,,,,,,,,,,,
