年度,Fiscal year,地域階層,地域コード,地域,District,身体障害者手帳交付台帳 Physical impairment certificate ledger data／年度末現在 As of the end of the fiscal year,身体障害者手帳交付台帳 Physical impairment certificate ledger data／新規交付 New issues,身体障害者手帳交付台帳 Physical impairment certificate ledger data／返還 Returned,身体障害者手帳交付台帳 Physical impairment certificate ledger data／他県より転入 In-migrants from other prefectures,身体障害者手帳交付台帳 Physical impairment certificate ledger data／他県へ転出 Out-migrants to other prefectures,身体障害者手帳交付台帳 Physical impairment certificate ledger data／都内より転入 In-migrants  within Tokyo,身体障害者手帳交付台帳 Physical impairment certificate ledger data／都内へ転出 Out-migrants within Tokyo,「愛の手帳」交付数（年度末現在） Intellectual impairment certificates issued (As of the end of the fiscal year) 1)
平成25,2013,2,13116,豊島区,Toshima-ku,9990,577,441,50,32,252,261,1173
平成25,2013,2,13117,北区,Kita-ku,17402,839,674,78,36,337,320,2182
平成25,2013,2,13118,荒川区,Arakawa-ku,9617,459,441,34,20,194,204,1189
平成25,2013,2,13119,板橋区,Itabashi-ku,20940,1152,1287,111,69,534,519,3439
平成25,2013,2,13120,練馬区,Nerima-ku,23413,1355,999,141,70,599,576,4360
平成25,2013,2,13121,足立区,Adachi-ku,29841,1668,1232,154,81,856,806,5009
平成25,2013,2,13122,葛飾区,Katsushika-ku,17599,1032,830,91,54,432,440,3018
平成25,2013,2,13123,江戸川区,Edogawa-ku,24225,1350,1085,134,102,702,700,4463
平成25,2013,1,13200,市部,All shi,144859,8177,6332,816,270,3739,3627,27717
平成25,2013,2,13201,八王子市,Hachioji-shi,18396,1160,972,100,37,435,410,3880
平成25,2013,2,13202,立川市,Tachikawa-shi,7146,400,330,23,8,187,195,1334
平成25,2013,2,13203,武蔵野市,Musashino-shi,4210,240,218,28,15,100,120,1045
平成25,2013,2,13204,三鷹市,Mitaka-shi,5494,325,330,30,13,160,163,1041
平成25,2013,2,13205,青梅市,Ome-shi,5956,273,218,29,18,205,131,967
平成25,2013,2,13206,府中市,Fuchu-shi,8606,497,372,47,12,238,226,1676
平成25,2013,2,13207,昭島市,Akishima-shi,3978,231,190,16,5,125,119,828
平成25,2013,2,13208,調布市,Chofu-shi,8022,401,242,43,8,163,173,1324
平成25,2013,2,13209,町田市,Machida-shi,15411,842,671,112,20,328,312,3178
平成25,2013,2,13210,小金井市,Koganei-shi,3214,228,153,18,8,78,95,632
平成25,2013,2,13211,小平市,Kodaira-shi,6388,390,314,42,8,290,289,1280
平成25,2013,2,13212,日野市,Hino-shi,5828,337,226,27,10,124,141,1123
平成25,2013,2,13213,東村山市,Higashimurayama-shi,7118,343,243,35,18,124,115,1150
平成25,2013,2,13214,国分寺市,Kokubunji-shi,3577,215,142,17,11,64,85,688
平成25,2013,2,13215,国立市,Kunitachi-shi,2494,136,145,19,4,75,82,498
平成25,2013,2,13218,福生市,Fussa-shi,2135,117,79,9,5,66,63,348
平成25,2013,2,13219,狛江市,Komae-shi,2706,168,102,13,5,50,62,426
平成25,2013,2,13220,東大和市,Higashiyamato-shi,3174,182,153,16,4,82,81,590
平成25,2013,2,13221,清瀬市,Kiyose-shi,4367,185,156,25,11,79,79,571
平成25,2013,2,13222,東久留米市,Higashikurume-shi,4493,234,120,35,11,111,98,888
平成25,2013,2,13223,武蔵村山市,Musashimurayama-shi,3212,152,100,19,2,119,98,598
平成25,2013,2,13224,多摩市,Tama-shi,4944,293,212,36,3,166,148,941
平成25,2013,2,13225,稲城市,Inagi-shi,2633,151,122,20,4,67,55,443
平成25,2013,2,13227,羽村市,Hamura-shi,1776,89,75,9,1,58,73,406
平成25,2013,2,13228,あきる野市,Akiruno-shi,2783,189,144,8,8,88,44,633
平成25,2013,2,13229,西東京市,Nishitokyo-shi,6798,399,303,40,21,157,170,1229
平成25,2013,1,13300,郡部,All gun,2782,122,140,9,3,92,54,524
平成25,2013,1,13350,島部,All islands,1676,96,169,2,4,23,30,211
,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,
18-3  身体障害者手帳交付台帳登載状況及び「愛の手帳」交付状況（平成21～25年度） 18-3  DATA FROM THE PHYSICAL IMPAIRMENT CERTIFICATE ISSUE LEDGER AND ISSUE OF THE INTELLECTUAL IMPAIRMENT CERTIFICATE ( Fiscal Years 2009-2013 ),,,,,,,,,,,,,
注 1) 「愛の手帳」交付数の総数は，都外施設に入所している場合等で管轄区市町村が未定の者を含むため，内訳と一致しない。,,,,,,,,,,,,,
Note: 1) The total number of intellectual impairment certificates issued does not match the breakdown because it includes persons who were not under the jurisdiction of a municipality for reasons such as living in facilities outside Tokyo. ,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG    ,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,
