年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,理容所 Barber,美容所  Beauty salon,クリーニング所 Dry-cleaner,公衆浴場 Public baths／総数 Total,公衆浴場 Public baths／普通 General,公衆浴場 Public baths／その他 Others,温泉利用施設 Hot springs,旅館等  Hotels and inns／総数 Total,旅館等 Hotels and inns／ホテル hotels,旅館等 Hotels and inns／旅館 Japanese-style hotels & inns (ryokan),旅館等 Hotels and inns／簡易宿所 Budget hotel,旅館等  Hotels and inns／下宿 Boarding houses and lodgings,常設興行場 Entertainment places／総数 Total,常設興行場 Entertainment places／映画館 Cinemas,常設興行場 Entertainment places／スポーツ施設 Sports center,常設興行場 Entertainment places／その他 Others,プール Swimming pool
平成26,2014,2,13121,21,足立区,Adachi-ku,499,895,506,57,42,15,2,38,4,31,3,-,17,11,-,6,142
平成26,2014,2,13122,22,葛飾区,Katsushika-ku,348,630,388,67,40,27,1,24,13,4,7,-,3,1,-,2,97
平成26,2014,2,13123,23,江戸川区,Edogawa-ku,461,816,480,68,43,25,7,42,4,34,4,-,10,1,1,8,141
平成26,2014,1,13200,,市部,All shi,2244,4776,2312,343,56,287,50,317,121,150,46,-,168,69,14,85,836
平成26,2014,2,13201,1,八王子市,Hachioji-shi,317,676,313,39,3,36,9,64,24,34,6,-,26,13,5,8,24
平成26,2014,2,13202,2,立川市,Tachikawa-shi,109,304,116,17,4,13,-,37,15,21,1,-,16,11,1,4,64
平成26,2014,2,13203,3,武蔵野市,Musashino-shi,102,394,103,16,5,11,-,11,5,6,-,-,12,4,-,8,36
平成26,2014,2,13204,4,三鷹市,Mitaka-shi,85,153,91,18,4,14,1,1,1,-,-,-,3,-,-,3,36
平成26,2014,2,13205,5,青梅市,Ome-shi,106,148,76,19,-,19,8,45,1,23,21,-,1,-,-,1,43
平成26,2014,2,13206,6,府中市,Fuchu-shi,130,239,157,27,5,22,1,21,13,8,-,-,18,9,3,6,58
平成26,2014,2,13207,7,昭島市,Akishima-shi,72,131,64,9,3,6,1,12,7,5,-,-,3,1,-,2,30
平成26,2014,2,13208,8,調布市,Chofu-shi,104,246,143,19,5,14,7,7,4,3,-,-,8,-,4,4,47
平成26,2014,2,13209,9,町田市,Machida-shi,200,489,224,29,2,27,6,29,22,5,2,-,14,10,-,4,18
平成26,2014,2,13210,10,小金井市,Koganei-shi,59,113,67,5,1,4,-,2,-,2,-,-,2,-,-,2,30
平成26,2014,2,13211,11,小平市,Kodaira-shi,110,173,93,16,2,14,2,5,1,3,1,-,3,-,-,3,43
平成26,2014,2,13212,12,日野市,Hino-shi,82,167,76,4,-,4,-,2,1,1,-,-,2,-,-,2,40
平成26,2014,2,13213,13,東村山市,Higashimurayama-shi,80,171,98,7,2,5,-,11,6,5,-,-,1,-,-,1,33
平成26,2014,2,13214,14,国分寺市,Kokubunji-shi,47,140,59,8,2,6,-,7,5,2,-,-,1,-,-,1,23
平成26,2014,2,13215,15,国立市,Kunitachi-shi,49,113,45,9,1,8,1,6,5,1,-,-,1,-,-,1,22
平成26,2014,2,13218,16,福生市,Fussa-shi,47,102,32,2,-,2,-,3,1,1,1,-,1,-,-,1,15
平成26,2014,2,13219,17,狛江市,Komae-shi,41,75,46,6,4,2,-,1,-,1,-,-,2,-,-,2,19
平成26,2014,2,13220,18,東大和市,Higashiyamato-shi,56,90,48,9,2,7,-,5,-,5,-,-,2,-,-,2,20
平成26,2014,2,13221,19,清瀬市,Kiyose-shi,42,82,42,4,3,1,-,-,-,-,-,-,1,-,-,1,24
平成26,2014,2,13222,20,東久留米市,Higashikurume-shi,53,103,67,12,2,10,-,1,-,1,-,-,1,-,-,1,29
平成26,2014,2,13223,21,武蔵村山市,Musashimurayama-shi,37,68,33,5,1,4,3,4,-,4,-,-,14,12,-,2,23
平成26,2014,2,13224,22,多摩市,Tama-shi,60,129,74,21,-,21,1,7,5,2,-,-,20,9,-,11,42
平成26,2014,2,13225,23,稲城市,Inagi-shi,38,55,43,10,1,9,1,1,1,-,-,-,2,-,-,2,30
平成26,2014,2,13227,24,羽村市,Hamura-shi,45,102,31,5,-,5,6,4,2,2,-,-,3,-,-,3,16
平成26,2014,2,13228,25,あきる野市,Akiruno-shi,59,88,34,9,-,9,3,27,-,13,14,-,5,-,-,5,28
平成26,2014,2,13229,26,西東京市,Nishitokyo-shi,114,225,137,18,4,14,-,4,2,2,-,-,6,-,1,5,43
平成26,2014,1,13300,,郡部,All gun,45,58,26,21,-,21,42,79,6,22,51,-,10,9,-,1,20
平成26,2014,1,13500,,島部,All islands,38,58,13,28,-,28,39,604,5,106,493,-,2,-,-,2,40
,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,
19-7  環境衛生営業施設数 (平成22～平成26年度末) 19-7  BUSINESS FACILITIES REGULATED BY THE ENVIRONMENT AND HEALTH ACT( End of Fiscal Years 2010-2014 )   ,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG ,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,,,,,,,,,,
