大項目,Major item,項番 Item number,項目,Item,平成14年度 FY 2002,平成15年度 FY 2003,平成16年度 FY 2004,平成17年度 FY 2005,平成18年度 FY 2006,平成19年度 FY 2007,平成20年度 FY 2008,平成21年度 FY 2009,平成22年度 FY 2010,平成23年度 FY 2011,平成24年度 FY 2012,平成25年度 FY 2013
実質 (固定基準年方式),Real (Fixed-based),11,都内総生産 (支出側),Gross expenditure in Tokyo-to  (Expenditure approach) ,91043.8,92010.9,96647.7,99151.7,100506,101815.9,99797.8,95734.8,99101.5,101279.8,101015.6,102573
実質 (固定基準年方式),Real (Fixed-based),12,都内総生産 (支出側)（増加率）,Gross expenditure in Tokyo-to  (Expenditure approach)(Rate of year-to-year increase) ,0.1,1.1,5,2.6,1.4,1.3,-2,-4.1,3.5,2.2,-0.3,1.5
実質 (固定基準年方式),Real (Fixed-based),13,国内総生産 (支出側),Gross domestic product  (Expenditure approach) ,482031.7,491445.5,497508.5,507230.9,516069,526352.9,507025.2,500340.9,527447.8,530186.1,528179.7,543356.8
実質 (固定基準年方式),Real (Fixed-based),14,国内総生産 (支出側) (増加率),Gross domestic product  (Expenditure approach)  (Rate of year-to-year increase) ,0.7,2,1.2,2,1.7,2,-3.7,-1.3,5.4,0.5,-0.4,2.9
実質 (固定基準年方式),Real (Fixed-based),15,国に対する都の構成比,Tokyo's percentage,18.9,18.7,19.4,19.5,19.5,19.3,19.7,19.1,18.8,19.1,19.1,18.9
名目,At current prices,16,都民総所得 ,Gross income in Tokyo-to ,79533.1,81051.5,82390.8,85589,87797.5,88228.8,83238,77729.9,78124.9,79461.8,79216.1,80510.7
名目,At current prices,17,都民総所得 (増加率),Gross prefectural income (Percent changes from previous fiscal year),-1.4,1.9,1.7,3.9,2.6,0.5,-5.7,-6.6,0.5,1.7,-0.3,1.6
名目,At current prices,18,国民総所得,Gross national income,505816,510419.9,512591.8,518485.3,524200.6,530752.9,504792.3,487003.8,493491.3,488661,489871.1,501063.3
名目,At current prices,19,国民総所得 (増加率),Gross national income (Percent changes from previous fiscal year),-0.9,0.9,0.4,1.1,1.1,1.2,-4.9,-3.5,1.3,-1,0.2,2.3
名目,At current prices,20,国に対する都の構成比,Tokyo's percentage,15.7,15.9,16.1,16.5,16.7,16.6,16.5,16,15.8,16.3,16.2,16.1
実質 (固定基準年方式),Real (Fixed-based),21,都民総所得 ,Gross income in Tokyo-to,77117.6,78643.2,81506.1,85606.6,88510.1,90006.1,85982.1,81357.2,84591.4,86452.7,86778.7,88675.8
実質 (固定基準年方式),Real (Fixed-based),22,都民総所得 (増加率),Gross income in Tokyo-to(Rate of year-to-year increase) ,-0.4,2,3.6,5,3.4,1.7,-4.5,-5.4,4,2.2,0.4,2.2
実質 (固定基準年方式),Real (Fixed-based),23,国民総所得,Gross national income,497505.8,506859.3,511538.5,518482.1,525467,533219,508705.6,507662.8,530507.9,528547.7,527023.6,544134.1
実質 (固定基準年方式),Real (Fixed-based),24,国民総所得 (増加率),Gross national income (Rate of year-to-year increase) ,0.5,1.9,0.9,1.4,1.3,1.5,-4.6,-0.2,4.5,-0.4,-0.3,3.2
実質 (固定基準年方式),Real (Fixed-based),25,国に対する都の構成比,Tokyo's percentage,15.5,15.5,15.9,16.5,16.8,16.9,16.9,16,15.9,16.4,16.5,16.3
名目,At current prices,26,都民所得 ,Prefectural income,60018.5,61697,62329.3,65082,66785.1,66696.5,61838.9,57232.2,57960.9,59161.5,59053.5,59959.2
名目,At current prices,27,都民所得 (増加率),Prefectural income (Percent changes from previous fiscal year),-1,2.8,1,4.4,2.6,-0.1,-7.3,-7.4,1.3,2.1,-0.2,1.5
名目,At current prices,28,国民所得,National income,363890.1,368100.9,370116.6,374125.1,378190.3,381239.2,355038,344384.8,352702.8,349597.1,351957.8,362055
名目,At current prices,29,国民所得 (増加率),National income (Percent changes from previous fiscal year),-0.8,1.2,0.5,1.1,1.1,0.8,-6.9,-3,2.4,-0.9,0.7,2.9
名目,At current prices,30,国に対する都の構成比,Tokyo's percentage,16.5,16.8,16.8,17.4,17.7,17.5,17.4,16.6,16.4,16.9,16.8,16.6
,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS ,,,,,,,,,,,,,,,,
16-4 都内総生産と国内総生産等の時系列比較 (平成14～25年度） 16-4 TIME-SERIES COMPARISON OF GROSS PREFECTURAL DOMESTIC PRODUCT，GROSS DOMESTIC PRODUCT， ETC.( Fiscal Years 2002-2013 ),,,,,,,,,,,,,,,,
資料：都総務局統計部調整課 「都民経済計算年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,
（単位  金額 10 億円，%）(Value in billions of yen， %),,,,,,,,,,,,,,,,
