年次,Year,区分階層,項番 Item number,種類,Kind,受理 Received／総数 Total,受理 Received／旧受 Previously received,受理 Received／新受 Newly received,既済 Disposed／総数 Total,既済 Disposed／認容 Granted,既済 Disposed／却下 Rejected,既済 Disposed／取下 Withdrawn,既済 Disposed／その他 Others,未済 Pending
平成26,2014,2,8,後見人の財産目録の作成の期間の伸長,Extension of the period for preparing an inventory of property by the guardian of an adult,1,-,1,1,1,-,-,-,-
平成26,2014,2,9,後見人等の権限行使についての定め及びその取消し,Determination of the exercise of authority of an adult guardian， etc. and rescission of such determination,968,4,964,963,961,-,-,2,5
平成26,2014,2,10,居住用不動産の処分についての許可,Permission for disposition of real property used for residence,1461,40,1421,1401,1331,-,64,6,60
平成26,2014,2,11,特別代理人の選任（利益相反行為）,Appointment of a special agent (for conflict of interest),1471,72,1399,1344,1266,2,69,7,127
平成26,2014,2,12,後見人等に対する報酬の付与,Remuneration to a guardian of an adult， etc.,15093,610,14483,14217,14190,1,23,3,876
平成26,2014,2,13,後見等監督処分,Supervisory disposition of guardianship， etc.,16061,1969,14092,13688,13202,-,-,486,2373
平成26,2014,3,,うち職権によるもの,(of which) Disposition by the family court's authority,16014,1967,14047,13648,13163,-,-,485,2366
平成26,2014,2,14,第三者が子等に与えた財産の管理者選任等,Appointment， etc. of a manager of property offered to a child， etc. by a third party,-,-,-,-,-,-,-,-,-
平成26,2014,2,15,後見終了に伴う管理計算の期間の伸長,Extension of the period of settlement of account at the end of guardianship,13,-,13,12,12,-,-,-,1
平成26,2014,2,16,臨時保佐人等の選任（利益相反行為）,Appointment of a temporary curator， etc. (for conflict of interest),26,3,23,26,23,1,1,1,-
平成26,2014,2,17,不在者の財産の管理に関する処分,Disposition regarding the administration of property of an absentee,1037,68,969,918,642,-,83,193,119
平成26,2014,2,18,失踪の宣告及びその取消し,Adjudication of disappearance and rescission of such adjudication,761,287,474,503,402,3,88,10,258
平成26,2014,2,19,夫婦の財産管理者変更・共有財産の分割,Change of an administrator of property under a Matrimonial Property Contract／division of property in co-ownership,1,1,-,1,-,1,-,-,-
平成26,2014,2,20,特別代理人の選任（嫡出否認）,Appointment of a special agent (rebuttal of presumption of a child in wedlock),-,-,-,-,-,-,-,-,-
平成26,2014,2,21,子の氏の変更についての許可,Permission for changing the surname of a child,12737,93,12644,12584,12493,4,43,44,153
平成26,2014,2,22,養子をするについての許可,Permission for adoption,199,43,156,150,92,-,56,2,49
平成26,2014,2,23,離縁をするについての許可,Permission for dissolution of adoption ,313,8,305,303,291,-,12,-,10
平成26,2014,2,24,特別養子縁組の成立及びその離縁に関する処分,Disposition on establishment and dissolution of special adoption ,106,35,71,66,61,-,5,-,40
平成26,2014,3,,うち離縁に関する処分,(of which) Disposition regarding dissolution of special adoption ,-,-,-,-,-,-,-,-,-
平成26,2014,2,25,親権喪失，親権停止又は管理権喪失の審判及びその取消し,Adjudication on loss or suspension of parental authority or loss of the right of administration of property ／ rescission of such adjudication,43,11,32,36,10,5,21,-,7
平成26,2014,3,,うち親権喪失の審判,(of which) Adjudication on loss of parental authority,15,5,10,15,2,4,9,-,-
平成26,2014,3,,うち親権停止の審判,(of which) Adjudication on suspension of parental authority,26,5,21,19,7,-,12,-,7
平成26,2014,3,,うち管理権喪失の審判,(of which) Adjudication on loss of the right of administration of property,2,1,1,2,1,1,-,-,-
平成26,2014,2,26,親権・管理権の辞任・回復,Surrender or restoration of parental authority or the right of administration of property,-,-,-,-,-,-,-,-,-
平成26,2014,2,27,扶養義務の設定及びその取消し,Establishment of an obligation of support ／ rescission of such establishment,19,1,18,19,19,-,-,-,-
平成26,2014,2,28,推定相続人の廃除及びその取消し,Disinheritance of presumptive heirs ／ rescission of such disinheritance,50,22,28,37,5,19,12,1,13
平成26,2014,2,29,推定相続人廃除等に伴う遺産の管理に関する処分,Disposition regarding administration of estates upon disinheritance of presumptive heirs， etc.,-,-,-,-,-,-,-,-,-
平成26,2014,2,30,相続の承認又は放棄の期間の伸長,Extension of the period for acceptance or renunciation of inheritance,1074,67,1007,968,901,5,54,8,106
平成26,2014,2,31,相続財産の保存又は管理に関する処分,Disposition regarding preservation or management of inherited property,103,5,98,92,83,1,8,-,11
平成26,2014,2,32,相続の限定承認又は放棄の取消し,Rescission of qualified acceptance or renunciation of inheritance,16,1,15,15,4,2,9,-,1
平成26,2014,2,33,相続の限定承認の申述受理,Acceptance of a statement of qualified acceptance of inheritance,123,15,108,114,112,1,-,1,9
平成26,2014,2,34,鑑定人の選任,Appointment of an appraiser,7,-,7,7,4,-,3,-,-
平成26,2014,2,35,相続の放棄の申述の受理,Acceptance of a statement of renunciation of inheritance,19687,1144,18543,18308,17915,28,263,102,1379
平成26,2014,2,36,相続財産の分離に関する処分,Disposition regarding separation of inherited property,-,-,-,-,-,-,-,-,-
平成26,2014,2,37,相続財産管理に関する処分（財産分離）,Disposition regarding the administration of inherited property (separation of property),-,-,-,-,-,-,-,-,-
平成26,2014,2,38,相続財産管理人選任等（相続人不分明）,Appointment of an administrator of inherited property， etc. (heirs unknown),2328,132,2196,2209,2119,-,69,21,119
平成26,2014,2,39,特別縁故者への相続財産の分与,Distribution of inherited property to a person with a special connection,189,67,122,145,107,11,27,-,44
平成26,2014,2,40,遺言の確認,Confirmation of a will,43,7,36,35,28,-,4,3,8
平成26,2014,2,41,遺言書の検認,Probate of a will,3032,277,2755,2756,2730,-,20,6,276
平成26,2014,2,42,遺言執行者の選任,Appointment of an executor,424,25,399,396,382,-,12,2,28
平成26,2014,2,43,遺言執行者に対する報酬の付与,Grant of remuneration to an executor ,74,3,71,70,64,1,4,1,4
平成26,2014,2,44,遺言執行者の解任及び辞任,Dismissal and resignation of an executor,57,14,43,48,19,10,19,-,9
平成26,2014,2,45,遺言の取消し,Rescission of a will,-,-,-,-,-,-,-,-,-
平成26,2014,2,46,遺留分の放棄についての許可,Permission for an heir's renunciation of said heir's legally reserved portion  ,236,12,224,216,208,1,7,-,20
平成26,2014,2,47,任意後見契約に関する法律関係,Legal relationship concerning a voluntary guardianship contract,581,36,545,530,500,6,13,11,51
平成26,2014,3,,うち任意後見監督人の選任,(of which) Appointment of a supervisor for a voluntarily appointed guardian,164,20,144,142,120,5,10,7,22
平成26,2014,3,,うち任意後見監督処分,(of which) Supervisory disposition of a voluntarily appointed guardianship ,11,-,11,10,10,-,-,-,1
平成26,2014,3,,うち任意後見監督人の辞任,(of which) Resignation of the supervisor of a voluntarily appointed guardian,1,-,1,-,-,-,-,-,1
平成26,2014,3,,うち任意後見人等の解任,(of which) Dismissal of a voluntarily appointed guardian， etc.,11,2,9,8,1,1,3,3,3
平成26,2014,3,,うち任意後見監督人に対する報酬の付与,(of which) Grant of remuneration to the supervisor of a voluntarily appointed guardian,389,14,375,367,367,-,-,-,22
平成26,2014,2,48,戸籍法による氏の変更についての許可,Permission for change of surname under the Family Register Act,1591,81,1510,1510,1343,25,141,1,81
平成26,2014,2,49,戸籍法による名の変更についての許可,Permission for change of first name under the Family Register Act,1139,77,1062,1047,727,50,270,-,92
平成26,2014,2,50,就籍についての許可,Permission for the registration of an unregistered person,106,55,51,68,47,9,12,-,38
平成26,2014,2,51,戸籍の訂正についての許可,Permission for correction of a family register,197,20,177,167,131,4,31,1,30
平成26,2014,2,52,戸籍事件についての処分に対する不服,Appeal against the disposition of a family register-related case,5,1,4,4,-,2,2,-,1
平成26,2014,2,53,性同一性障害者の性別の取扱いの特例に関する法律3条1項の事件,Cases under Article 3， Paragraph 1 of the Act on Special Cases in Handling Gender for People with Gender Identity Disorder,154,14,140,143,141,-,1,1,11
平成26,2014,2,54,児童福祉法28条1項の事件,Cases under Article 28， Paragraph 1 of the Child Welfare Act,31,7,24,20,13,1,6,-,11
平成26,2014,2,55,児童福祉法28条2項の事件,Cases under Article 28， Paragraph 2 of the Child Welfare Act,13,2,11,9,9,-,-,-,4
平成26,2014,2,56,生活保護法30条3項の事件,Cases under Article 30， Paragraph 3 of the Public Assistance Act,-,-,-,-,-,-,-,-,-
平成26,2014,2,57,精神保健及び精神障害者福祉に関する法律20条2項の事件,Cases under Article 20， Paragraph 2 of the Act on Mental Health and Welfare for the Mentally Disabled,985,61,924,984,957,1,22,4,1
平成26,2014,2,58,破産法61条の事件,Cases under Article 61 of the Bankruptcy Act,-,-,-,-,-,-,-,-,-
平成26,2014,2,59,破産法238条の事件,Cases under Article 238 of the Bankruptcy Act,-,-,-,-,-,-,-,-,-
平成26,2014,2,60,中小企業における経営の承継の円滑化に関する法律8条1項の事件,Cases under Article 8， Paragraph 1 of the Act on Facilitation of Succession of Management of Small and Medium Sized Enterprises,3,-,3,2,2,-,-,-,1
平成26,2014,1,,別表第二審判事件総数,Total number of cases of adjudication of domestic relations under Appended Table 2 of the Domestic Relations Case Procedure Act,3176,954,2222,1985,941,189,344,511,1191
平成26,2014,2,1,夫婦の同居・協力扶助,Cohabitation， cooperation， and mutual assistance between husband and wife,12,4,8,12,2,7,3,-,-
平成26,2014,2,2,婚姻費用の分担,Sharing of living expenses arising from marriage,540,142,398,356,214,26,33,83,184
平成26,2014,2,3,子の監護者の指定その他の処分,Designation of a child custodian and other dispositions,1350,362,988,760,237,75,200,248,590
平成26,2014,3,,うち監護者の指定,(of which) Designation of a child custodian ,372,99,273,199,21,21,70,87,173
平成26,2014,3,,うち養育費請求,(of which) Claim for child support payments,344,80,264,235,112,26,30,67,109
平成26,2014,3,,うち面会交流,(of which) Visitation and contacts,337,118,219,173,94,7,28,44,164
平成26,2014,3,,うち子の引渡し,(of which) Surrender of child custody,297,65,232,153,10,21,72,50,144
平成26,2014,2,4,財産の分与に関する処分,Disposition regarding the distribution of property,104,41,63,49,18,5,9,17,55
平成26,2014,2,5,祭祀の承継者の指定,Appointment of a successor of rights relating to rituals,41,14,27,21,13,2,3,3,20
平成26,2014,2,6,離縁後の親権者の指定,Designation of person who is to have parental authority upon dissolution of adoptive relationship,1,1,-,1,1,-,-,-,-
平成26,2014,2,7,親権者の指定又は変更,Designation or change of person having parental authority,255,68,187,199,101,14,56,28,56
平成26,2014,2,8,扶養に関する処分,Disposition on support,49,25,24,36,10,12,5,9,13
平成26,2014,2,9,遺産の分割に関する処分など,Disposition on division of estate， etc. ,429,186,243,253,143,6,20,84,176
平成26,2014,2,10,寄与分を定める処分,Disposition to determine an heir's contributing portion,153,66,87,101,25,42,9,25,52
平成26,2014,2,11,請求すべき按分割合に関する処分,Disposition regarding the pro rata share to be requested,237,40,197,193,174,-,6,13,44
平成26,2014,2,12,生活保護法77条2項の事件,Cases under Article 77， Paragraph 2 of the Public Assistance Act,-,-,-,-,-,-,-,-,-
平成26,2014,2,13,推定相続人の廃除及びその取消し（家事審判法第9条乙類）,Disinheritance of a presumptive heir ／ rescission of such disinheritance (Article 9， Clause 2 of the Domestic Relations Trial Act),5,5,-,4,3,-,-,1,1
,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,
20-5  家事審判事件の種類別件数 （平成25， 26年） 20-5  CASES OF ADJUDICATION OF DOMESTIC RELATIONS BY KIND ( 2013 and 2014 ),,,,,,,,,,,,,,
資料：東京家庭裁判所事務局総務課 Source: Tokyo Family Court,,,,,,,,,,,,,,
区分階層(0:総数　1:区分　2:区分内訳),,,,,,,,,,,,,,
