事業所規模,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
100～499人,平成19,2007,年平均,19.7,165.2,149.6,15.6,15.9,105.8,100.7,5.1
100～499人,平成20,2008,年平均,19.7,165.1,149.5,15.6,15.8,106.2,101.7,4.5
100～499人,平成21,2009,年平均,19.3,162.1,146.4,15.7,14.6,93.2,89.4,3.8
100～499人,平成22,2010,年平均,19.4,162.6,146.4,16.2,14.7,93.7,89.8,3.9
100～499人,平成23,2011,年平均,19.3,161.4,146.1,15.3,14.5,90.9,87.2,3.7
100～499人,平成23,2011,1月,18.1,151.7,136.3,15.4,14.1,90,85.7,4.3
100～499人,平成23,2011,2月,18.7,156.8,141.2,15.6,13.7,87.3,83.6,3.7
100～499人,平成23,2011,3月,19.8,164.6,148.9,15.7,13.9,88.3,84.5,3.8
100～499人,平成23,2011,4月,20.1,166.5,150.8,15.7,14.4,91.5,87.7,3.8
100～499人,平成23,2011,5月,18.5,154,139.5,14.5,14.7,91.6,88.1,3.5
100～499人,平成23,2011,6月,20.4,169.9,154.5,15.4,15.1,93.8,90.3,3.5
100～499人,平成23,2011,7月,19.8,164.7,149.6,15.1,15,92.7,89.1,3.6
100～499人,平成23,2011,8月,19.4,161.7,147.4,14.3,14.5,91.4,87.9,3.5
100～499人,平成23,2011,9月,19.2,160.7,145.9,14.8,14.6,91.7,88.3,3.4
100～499人,平成23,2011,10月,19.2,160.9,145.7,15.2,14.3,89.4,85.9,3.5
100～499人,平成23,2011,11月,19.6,163.7,148.2,15.5,14.3,89,85.7,3.3
100～499人,平成23,2011,12月,19.2,160.9,144.9,16,14.9,94.4,90,4.4
500人以上,平成17,2005,年平均,19.5,161.1,145.4,15.7,15.4,96.3,89.9,6.4
500人以上,平成18,2006,年平均,19.6,162.4,146.5,15.9,15,93.7,88,5.7
500人以上,平成19,2007,年平均,19.6,163.5,146.4,17.1,14.5,84.8,79.4,5.4
500人以上,平成20,2008,年平均,19.4,162.6,145.5,17.1,14.3,84,78.3,5.7
500人以上,平成21,2009,年平均,19.2,160.5,144.5,16,14,89.3,86.3,3
500人以上,平成22,2010,年平均,19.2,161.3,144.7,16.6,14.8,94.9,91,3.9
500人以上,平成23,2011,年平均,19.2,161.4,145,16.4,15.1,98,94.3,3.7
500人以上,平成23,2011,1月,18.1,152.4,136,16.4,14.1,92.9,88.7,4.2
500人以上,平成23,2011,2月,18.4,156.2,139.5,16.7,13.9,89.1,85.3,3.8
500人以上,平成23,2011,3月,19.9,167.5,149.9,17.6,14.5,95.9,92.2,3.7
500人以上,平成23,2011,4月,19.9,167,149.8,17.2,15.4,100,96.2,3.8
500人以上,平成23,2011,5月,18.2,154.5,138.3,16.2,15.1,98.1,94.8,3.3
500人以上,平成23,2011,6月,20.1,167.9,151.5,16.4,16,102.7,99.5,3.2
500人以上,平成23,2011,7月,19.7,164.9,149.1,15.8,15.6,101.3,97.8,3.5
500人以上,平成23,2011,8月,19.6,162.8,147.7,15.1,15.4,101.3,97.9,3.4
500人以上,平成23,2011,9月,19.1,159.6,144.4,15.2,15.3,100,96.5,3.5
500人以上,平成23,2011,10月,19.2,161.2,145,16.2,15.3,99.9,95.9,4
500人以上,平成23,2011,11月,19.4,162.5,145.6,16.9,15.1,98,94.2,3.8
500人以上,平成23,2011,12月,19,160.1,143.1,17,15,97.6,93.2,4.4
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成23年確報,,,,,,,,,,,
第９表　規模・就業形態別労働者の１人平均月間出勤日数及び実労働時間 （調査産業計）,,,,,,,,,,,
