規模,産業,１人平均支給額（円）,前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,前年支給月数差（か月）
500人以上,製造業,1218738,9.8,92.9,95.2,2.66,0.19
500人以上,電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,情報通信業,976038,9.5,95.7,96.2,2.27,0.09
500人以上,運輸業，郵便業,782599,-10.7,77.5,89.1,2.07,-0.09
500人以上,卸売業，小売業,1120654,-10.5,97.5,97.5,2.13,-0.27
500人以上,"金融業,保険業",1023007,-3.6,86.6,90.6,2.14,-0.03
500人以上,不動産業，物品賃貸業,668738,-10.7,78.3,81.4,1.75,-0.02
500人以上,学術研究，専門・技術サービス業,804185,-7.2,72.2,81.8,1.7,0.03
500人以上,宿泊業，飲食サービス業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,生活関連サービス業，娯楽業,379688,-13.5,100,100,1.32,-0.07
500人以上,教育，学習支援業,823474,-1.3,100,100,2.21,0.03
500人以上,医療，福祉,530507,-0.5,100,100,1.48,0
500人以上,複合サービス事業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,サービス業（他に分類されないもの）,593996,-6.9,53.8,59.6,1.64,-0.01
,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年冬季,,,,,,,
第21表  賞与の産業別及び規模別支給状況,,,,,,,
