事業所規模,産業,夏季／1人平均支給額(円),夏季／1人平均支給額／前年比(％),夏季／支給事業所数割合(％),夏季／支給労働者数割合(％),夏季／平均支給月数(か月),夏季／平均支給月数／前年月数差(か月),冬季／1人平均支給額(円),冬季／1人平均支給額／前年比(％),冬季／支給事業所数割合(％),冬季／支給労働者数割合(％),冬季／平均支給月数(か月),冬季／平均支給月数／前年月数差(か月)
30人以上,E15 印刷・同関連業,464399,11.9,78.9,88.5,1.21,0.17,419033,7.4,76,89.6,1.08,0.12
30人以上,"E16,17 化学工業、石油製品・石炭製品製造業",1663725,37.3,98.9,93,1.9,0.03,1229139,9.4,98.6,92.7,1.76,0.11
30人以上,E18 プラスチック製品製造業（別掲を除く）,915864,13.1,77.3,90.5,1.03,-0.11,973032,36.4,95.5,88.1,1.01,0.17
30人以上,E19 ゴム製品製造業,895558,8.3,100,100,2.36,0.26,945323,-4.7,100,100,2.48,0.04
30人以上,E21 窯業・土石製品製造業,1018809,10.2,100,100,1.27,-0.03,1020945,13.4,100,100,0.88,0.14
30人以上,E22 鉄鋼業,1240286,19.1,100,100,2.17,0.13,1367531,18.9,100,100,2.33,0.31
30人以上,E23 非鉄金属製造業,685679,3.8,100,100,1.62,0,755425,5.3,100,100,1.56,0.36
30人以上,E24 金属製品製造業,499631,38.8,80.2,57.3,1.48,0.86,299693,1.4,100,100,0.97,-0.01
30人以上,E25 はん用機械器具製造業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30人以上,E26 生産用機械器具製造業,317114,19.2,100,100,0.96,0.15,379898,18.1,100,100,1.21,0.12
30人以上,E27 業務用機械器具製造業,844291,-6.1,91.6,96.7,1.64,-0.07,1071357,30.2,83.4,95.2,1.79,0.05
30人以上,E28 電子部品・デバイス・電子回路製造業,896693,21,42.9,80.5,1.64,0.71,774227,-7.7,51,80.9,1.23,-0.15
30人以上,E29 電気機械器具製造業,875304,2.3,100,100,2.11,0.08,904879,-2,95.3,95.5,1.98,-0.43
30人以上,E30 情報通信機械器具製造業,1161735,5.6,73.5,91.1,1.73,0.03,1132260,3.5,77.8,95.4,1.69,0.12
30人以上,E31 輸送用機械器具製造業,1076510,19.7,66.5,88.6,1.28,-0.81,965812,5,66,89,1.51,-0.78
30人以上,"E32,20 その他の製造業、なめし革・同製品・毛皮製造業",511685,13.5,71.9,88.1,1.01,0.01,497291,28.2,81.2,85.5,1.12,0.25
30人以上,I-1 卸売業,921064,15.6,87,94.9,1.75,-0.03,820820,5.1,88.3,82.3,1.68,0.07
30人以上,I-2 小売業,150594,-31.7,86.6,92.4,0.52,-0.15,274128,22,88.3,94.4,0.71,0.02
30人以上,M75 宿泊業,189195,-23.6,50.7,71,0.51,-0.27,223805,-11.2,72,81.2,0.64,-0.1
30人以上,MS Ｍ一括分,118036,-2.7,80.7,80.4,0.43,-0.07,113275,-7.7,91,90,0.46,-0.03
30人以上,P83 医療業,553699,5.7,100,100,1.67,0.15,585249,5.7,100,100,1.56,0.07
30人以上,PSＰ一括分,281287,-3.2,100,100,1.41,0.03,332102,40.3,84.1,83,1.52,0.47
30人以上,R91 職業紹介・労働者派遣業,122956,-30.9,61,57.2,0.92,-0.07,137205,-9.1,63.3,67.8,0.94,-0.24
30人以上,R92 その他の事業サービス業,465020,2.2,69.2,64.7,1.35,0.09,478701,12.3,75.1,75.7,1.53,0.14
30人以上,RS Ｒ一括分,607458,-0.6,95.5,96.7,1.67,0.03,623319,-2.2,96.4,98.3,1.69,-0.04
30人以上,L71 学術・開発研究機関,840688,12,84.4,94.8,1.45,-0.15,876367,6.1,83.8,98.8,1.89,0.14
30人以上,"L72,74 専門・技術サービス業",538372,-23.2,59.6,79.6,1.4,0.02,534983,-10.8,71.8,87.1,1.43,0.07
30人以上,L73 広告業,888133,11,72.5,87.9,1.17,-0.02,619495,1.1,69.8,79.9,1.21,-0.04
30人以上,N78 洗濯・理容・美容・浴場業,399572,32.1,68,66.3,1.38,0.01,525797,59.6,98.1,93.2,1.87,0.49
30人以上,"R89,90 自動車整備業、機械等修理業",651859,-6.1,90.9,94.8,2.06,-0.15,651206,-2.9,100,100,1.87,-0.19
30人以上,E25-31 ［特掲積上げ］機械関連製造業,924295,6.2,82.5,93.7,1.65,0.13,952072,7,79.5,93.1,1.64,-0.12
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成23年確報,,,,,,,,,,,,,
第５表　夏・冬季賞与の産業別支給状況　（事業所規模３０人以上）,,,,,,,,,,,,,
