規模,和暦年,西暦年,年平均・月・対前年同月比,調査産業計,調査産業計／対前年比・対前年同月比（％）,鉱業，採石業，砂利採取業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
30人以上,平成22,2010,7月,99.7,-0.5,103.1,92.7,103.3,99.9,109.6,107.4,101.9,98.9,－,－,－,－,97.1,104.3,115.4,－
30人以上,平成22,2010,8月,100.6,-0.2,101.5,94.6,103.7,100.9,111.4,108.6,103.9,99.2,－,－,－,－,98.6,102.5,115.7,－
30人以上,平成22,2010,9月,100.8,0.8,100.4,96.4,103.5,101.4,111.2,111.7,101.8,99.6,－,－,－,－,98.1,104.1,114.4,－
30人以上,平成22,2010,10月,100.5,0.3,100.7,96.2,103.5,102.2,110.3,109.8,102.8,99.2,－,－,－,－,98.6,104.1,114.7,－
30人以上,平成22,2010,11月,100,-0.1,101.5,93.6,102.6,101,111,108.3,103,99.9,－,－,－,－,95,103.2,114.4,－
30人以上,平成22,2010,12月,100.5,0,100.1,98.4,103.1,99,112.1,111.1,102,102,－,－,－,－,95.8,103.1,114.3,－
30人以上,平成23,2011,1月,99.6,0.1,103.1,97.7,102.4,100.3,110.8,104.9,105.3,98.6,－,－,－,－,94.2,103.1,116.3,－
30人以上,平成23,2011,2月,98.9,-1,101.5,97,103,100.3,110.5,105.6,100.8,98.4,－,－,－,－,95.5,103,114.2,－
30人以上,平成23,2011,2月（対前年同月比（％））,－,－,-0.3,0.8,0.9,-1.2,1.9,-5,-3.4,-0.9,-3.2,-2,4.8,-0.9,-0.5,-0.8,0.3,-4.5
,,,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年２月分,,,,,,,,,,,,,,,,,,,,,
第14表　名目賃金指数（所定内給与）,,,,,,,,,,,,,,,,,,,,,
（平成１７年平均＝100）,,,,,,,,,,,,,,,,,,,,,
平成22年１月分から平成19年11月改定の日本標準産業分類による表章に変更しています。平成21年以前と接続しない産業は、指数は算出できないため「－」と表記していますが、対前年同月比は実数から算出しています。,,,,,,,,,,,,,,,,,,,,,
