地域階層,地域コード,性別コード,年齢区分階層,地域,性別,年齢３区分,平成15年(万人),平成20年(万人),平成25年(万人),平成30年(万人),令和３年(万人),令和４年(万人),令和５年(万人)
1,13100,1,0,区部,男,総数,402.7,418.2,428.6,443.2,446.8,445.8,446
1,13100,1,1,区部,男,0～14歳,46.6,48.4,50.3,52.9,52.9,52.2,51.4
1,13100,1,1,区部,男,15～64歳,295.8,299.7,298.7,303,306,306.2,307.2
1,13100,1,1,区部,男,65歳以上,60.3,70.1,79.5,87.3,87.9,87.5,87.4
1,13100,1,2,区部,男,65～74歳,38.4,42.4,45.7,47.6,46.5,44.8,43.1
1,13100,1,2,区部,男,75歳以上,21.9,27.7,33.8,39.7,41.4,42.7,44.3
1,13100,2,0,区部,女,総数,409.8,426.4,439.5,458.4,464.3,464,464.6
1,13100,2,1,区部,女,0～14歳,44.5,46.1,48,50.6,50.6,49.9,49.1
1,13100,2,1,区部,女,15～64歳,280.3,283.3,284.4,292.9,298.3,299.1,300.7
1,13100,2,1,区部,女,65歳以上,85,97,107.2,114.9,115.4,115,114.8
1,13100,2,2,区部,女,65～74歳,46.4,49.7,51,50.6,48.8,46.9,45
1,13100,2,2,区部,女,75歳以上,38.6,47.3,56.2,64.3,66.6,68.1,69.9
1,13500,0,0,市町村部,男女計,総数,393.9,406.5,412.2,416.8,418.8,418.2,417.2
1,13500,0,1,市町村部,男女計,0～14歳,52.5,53.7,53.3,52,50.6,49.9,48.9
1,13500,0,1,市町村部,男女計,15～64歳,276.6,272.8,265.4,259.3,259.6,259.5,259.1
1,13500,0,1,市町村部,男女計,65歳以上,64.7,79.9,93.5,105.6,108.5,108.8,109.1
1,13500,0,2,市町村部,男女計,65～74歳,39.2,45.8,50,51.8,50.9,49.2,47.2
1,13500,0,2,市町村部,男女計,75歳以上,25.5,34.1,43.5,53.7,57.7,59.7,61.9
1,13500,1,0,市町村部,男,総数,197.8,203.2,204.9,206.3,206.6,206.2,205.6
1,13500,1,1,市町村部,男,0～14歳,27,27.5,27.4,26.7,26,25.6,25.1
1,13500,1,1,市町村部,男,15～64歳,142.6,140.6,136.6,133.2,133.1,133,132.7
1,13500,1,1,市町村部,男,65歳以上,28.3,35,40.9,46.3,47.5,47.6,47.8
1,13500,1,2,市町村部,男,65～74歳,18.7,21.6,23.4,24.6,24.3,23.6,22.8
1,13500,1,2,市町村部,男,75歳以上,9.6,13.4,17.5,21.7,23.2,24,25
1,13500,2,0,市町村部,女,総数,196.1,203.3,207.3,210.6,212.1,212,211.6
1,13500,2,1,市町村部,女,0～14歳,25.6,26.1,25.9,25.3,24.6,24.3,23.8
1,13500,2,1,市町村部,女,15～64歳,134.1,132.2,128.8,126,126.5,126.5,126.4
1,13500,2,1,市町村部,女,65歳以上,36.5,45,52.6,59.3,61,61.2,61.4
1,13500,2,2,市町村部,女,65～74歳,20.6,24.2,26.5,27.2,26.5,25.6,24.4
1,13500,2,2,市町村部,女,75歳以上,15.9,20.7,26,32,34.5,35.6,36.9
,,,,,,,,,,,,,
敬老の日にちなんだ東京都の高齢者人口（推計）,,,,,,,,,,,,,
表３　地域、男女、年齢３区分別にみた人口の推移（各年９月15日時点推計）,,,,,,,,,,,,,
注１）数値は小数点第１位未満を四捨五入しているので、内訳の計は必ずしも合計の値に一致しない。,,,,,,,,,,,,,
注２）平成元年以降のすべての年の値は、ホームページ（https://www.toukei.metro.tokyo.lg.jp/koureisya/kr-index.htm）に掲載している。,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市町村部）,,,,,,,,,,,,,
年齢区分階層（0:総数　1:0～14歳・15～64歳・65歳以上　2:65～74歳・75歳以上）,,,,,,,,,,,,,
