No,施設名,所在地,電話,構造,避難予定町会,緯度,経度,備考
18,田原小学校,東京都台東区雷門1-5-14,03-3841-1656,鉄筋コンクリート,雷門田原町会・雷門西部町会・雷門東部町会・雷門中部町会・西浅草一丁目町会・浅草寿町四丁目町会・駒形南町会・駒形町会,35.710236,139.793045,
19,金竜小学校,東京都台東区千束1-9-9,03-3871-9893,鉄筋コンクリート,千束一丁目南町会・千束2丁目光月町会・千束2丁目西町会・浅草千和町会,35.718483,139.789505,
20,旧下谷小学校,東京都台東区東上野4-7-9,ー,鉄筋コンクリート,東上野宮元町会・東上野稲神町会・東上野神吉町会・東上野四丁目本町会,35.713081,139.779587,
21,旧柳北小学校,東京都台東区浅草橋5-1-35,ー,鉄筋コンクリート,浅草橋4丁目町会・浅草橋5丁目柳北町会・浅草橋柳二町会,35.699646,139.783142,
22,台東区中小企業振興センター,東京都台東区小島2-9-18,03-5829-4128,鉄筋コンクリート,小島一丁目町会・小島二丁目東町会・小島二丁目西町会・都営小島ｱﾊﾟ-ﾄ自治会,35.706062,139.784302,都営小島アパート自治会は令和3年12月より休止中
23,たなか多目的センター,東京都台東区日本堤2-25-4,ー,鉄筋コンクリート,日本堤2丁目西町会・浅草町二町会・日本堤2丁目東町会,35.727772,139.797363,
24,ことぶきこども園,東京都台東区寿1-10-9,03-3841－4719,鉄筋コンクリート,寿一丁目町会・寿二丁目町会・栄久町会・寿三丁目町会・寿三丁目東町会,42.830894,141.686371,
25,御徒町台東中学校,東京都台東区台東4-13-16,03-3831-3787,鉄筋コンクリート,御徒町一丁目町会・御徒町二丁目町会，仲徒一丁目町会，仲御徒町中町会,35.707054,139.777481,
26,柏葉中学校,東京都台東区下谷3-1-29,03-3876-3341,鉄筋コンクリート,金杉一丁目町会・下谷東町会・金杉仲通町会・龍泉西部町会・金杉上町町会・竜泉二丁目町会,35.723251,139.786255,竜泉二丁目町会は令和3年4月より
27,上野中学校,東京都台東区上野桜木1-14-55,03-3828-5458,鉄筋コンクリート,東桜木町会・上野桜木町会・天茶親交会・谷中町町会,35.721287,139.775253,
28,忍岡中学校,東京都台東区上野公園18-20,03-3828-7241,鉄筋コンクリート,上野公園町会・上車坂町会・下車坂町会・坂本町会・坂本二丁目町会・下谷1丁目町会,35.719437,139.778809,
29,浅草中学校,東京都台東区蔵前1-3-4,03-3866-5169,鉄筋コンクリート,柳橋町会・浅草橋一丁目西町会・浅草橋1丁目協和町会・浅草橋新福井町会・浅草橋3丁目町会・浅草橋3丁目蔵元町会・浅草橋1丁目町会・鳥越二丁目町会,35.699577,139.789902,柳橋町会以外の町会は令和3年9月より
30,駒形中学校,東京都台東区北上野2-15-1,03-3844-2089,鉄筋コンクリート,松が谷四丁目本町会・松が谷四丁目東栄会・松が谷三丁目町会・北上野町会・北上野2丁目町会・北上野1丁目町会,35.717178,139.784317,
31,桜橋中学校,東京都台東区今戸2-1-8,03-3876-2277,鉄筋コンクリート,今戸2丁目町会・今三町会,35.720776,139.806732,
32,白?高等学校附属中学校,東京都台東区元浅草3-12-12,03-5830-1731,鉄筋コンクリート,三筋二丁目町会・元浅草三丁目町会・阿部川町会・菊屋橋町会,35.70734,139.787598,
33,白?高等学校,東京都台東区元浅草1-6-22,03-3843-5678,鉄筋コンクリート,元浅草七軒町会・元浅草永住町会・南松山町町会・南清島町町会・元浅草2丁目町会稲和会,35.708439,139.78302,
34,忍岡高等学校,東京都台東区浅草橋5-1-24,03-3863-3131,鉄筋コンクリート,鳥越1丁目町会,35.700806,139.783218,
35,浅草高等学校,東京都台東区今戸1-8-13,03-3874-3183,鉄筋コンクリート,浅草五一町会・今戸1丁目町会・吉野町会,35.719707,139.803101,
36,蔵前工業高等学校,東京都台東区蔵前1-3-57,03-3862-4488,鉄筋コンクリート,蔵前一丁目町会,35.699936,139.790985,
37,上野高等学校,東京都台東区上野公園10-14,03-3821-3706,鉄筋コンクリート,池之端三丁目町会・池之端4丁目町会・谷中坂町町会,35.719238,139.769653,
38,台東一丁目区民館,東京都台東区台東1-25-5,03-3834-4408,鉄筋コンクリート,二長町町会・秋葉原町会,35.701527,139.777618,
39,東上野区民館,東京都台東区東上野3-24-6,03-5807-1520,鉄筋コンクリート,東上野三丁目中町会・東上野車坂町会,35.711369,139.779602,
40,老人福祉センター,東京都台東区東上野2-25-14,03-3833-6541,鉄筋コンクリート,東上野西町町会・東上野2丁目町会・東上野徒三町会,35.709518,139.781677,
41,生涯学習センター,東京都台東区西浅草3-25-16,03-5246-5814,鉄筋コンクリート,西浅草2丁目東町会・浅草芝崎町東町会・浅草芝崎町西町会・浅草芝崎町中町会・西浅草3丁目北部町会,35.717503,139.789352,
42,産業研修センター,東京都台東区橋場1-36-2,03-3872-6780,鉄筋コンクリート,橋場一丁目町会,35.723991,139.808075,
43,福祉プラザ台東清峰会,東京都台東区清川2-14-7,03-5824-5630,鉄筋コンクリート,浅草町一町会,35.389606,139.964645,
