NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
24,つくし野小学校,,町田市つくし野2-21-11,,,,,042-795-3295,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
25,南第二小学校,,町田市成瀬7-11-1,,,,,042-727-0805,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
26,都立成瀬高等学校,,町田市成瀬7-4-1,,,,,042-725-1533,,132098,東京都,町田市,,,,1,,1,,1,1,,,,
27,南成瀬小学校,,町田市南成瀬3-6,,,,,042-726-1080,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
28,南成瀬中学校,,町田市南成瀬7-7-1,,,,,042-729-3441,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
29,高ヶ坂小学校,,町田市高ヶ坂6-7-1,,,,,042-725-4295,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
30,成瀬中央小学校,,町田市成瀬2-8,,,,,042-728-6020,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
31,成瀬台小学校,,町田市成瀬台2-5-2,,,,,042-723-3001,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
32,成瀬台中学校,,町田市成瀬台2-5-1,,,,,042-728-6030,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
33,鶴川第四小学校,,町田市鶴川3-22,,,,,042-735-2868,,132098,東京都,町田市,,,,1,,1,,1,1,,,,
34,真光寺中学校,,町田市真光寺3-8-1,,,,,042-734-4605,,132098,東京都,町田市,,,,1,,1,,1,1,,,,
35,鶴川第二中学校,,町田市鶴川6-4,,,,,042-734-4343,,132098,東京都,町田市,,,,1,,1,,1,1,,,,
36,鶴川第三小学校,,町田市鶴川6-5,,,,,042-735-2127,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
37,藤の台小学校,,町田市藤の台3-1-1,,,,,042-726-1005,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
38,薬師中学校,,町田市金井1-20-1,,,,,042-725-5002,,132098,東京都,町田市,,,,1,,1,,1,1,,,,
39,金井小学校,,町田市金井ヶ丘1-30-1,,,,,042-735-0010,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
40,鶴川第一小学校,,町田市野津田町1290,,,,,042-735-1234,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
41,都立野津田高等学校,,町田市野津田町2001,,,,,042-734-2311,,132098,東京都,町田市,,,,1,,1,,1,1,,,,
42,町田ＧＩＯＮスタジアム（町田市立陸上競技場）,,町田市野津田町2035,,,,,042-735-4511,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
43,鶴川中学校,,町田市小野路町1905-1,,,,,042-735-2405,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
44,大蔵小学校,,町田市大蔵町286,,,,,042-734-2321,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
45,鶴川第二小学校,,町田市能ヶ谷7-24-1,,,,,042-735-5498,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
46,三輪小学校,,町田市三輪町330-1,,,,,044-988-5214,,132098,東京都,町田市,,,,1,,1,,1,1,,,,
47,金井中学校,,町田市金井6-15-1,,,,,042-734-0259,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
48,忠生第三小学校,,町田市木曽東3-11-3,,,,,042-791-0721,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
49,教育センター,,町田市木曽東3-1-3,,,,,042-793-2481,,132098,東京都,町田市,,,,1,,1,,1,1,,,,
50,木曽境川小学校,,町田市木曽西1-9-1,,,,,042-791-2086,,132098,東京都,町田市,,,,1,,1,,1,1,,,,
51,都立町田総合高等学校,,町田市木曽西3-5-1,,,,,042-791-7980,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
52,木曽中学校,,町田市木曽西2-4-9,,,,,042-792-3081,,132098,東京都,町田市,,,,1,,1,,1,1,,,,
53,七国山小学校,,町田市山崎町1314-2,,,,,042-791-2171,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
54,山崎中学校,,町田市山崎町1445,,,,,042-793-1021,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
55,都立山崎高等学校,,町田市山崎町1453-1,,,,,042-792-2891,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
56,忠生小学校,,町田市忠生3-10-2,,,,,042-791-1021,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
57,山崎小学校,,町田市忠生2-15-26,,,,,042-793-2004,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
58,忠生中学校,,町田市忠生3-14-1,,,,,042-791-0821,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
59,小山田小学校,,町田市上小山田町614,,,,,042-797-1824,,132098,東京都,町田市,,,,1,,1,,1,1,,,,
60,小山田南小学校,,町田市小山田桜台2-7,,,,,042-797-4541,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
61,小山田中学校,,町田市小山田桜台1-12,,,,,042-797-4545,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
62,都立町田工業高等学校,,町田市忠生1-20-2,,,,,042-791-1035,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
63,図師小学校,,町田市図師町239-19,,,,,042-789-6361,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
64,小山小学校,,町田市小山町944,,,,,042-797-2733,,132098,東京都,町田市,,,,1,,1,,1,1,,,,
65,堺中学校,,町田市相原町752,,,,,042-771-2348,,132098,東京都,町田市,,,,1,,1,,1,1,,,,
66,相原小学校,,町田市相原町1673,,,,,042-771-2341,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
67,ゆくのき学園（大戸小学校）,,町田市相原町3765-3,,,,,042-782-9091,,132098,東京都,町田市,,,,1,,1,,1,1,,,,
68,ゆくのき学園（武蔵岡中学校）,,町田市相原町3865,,,,,042-782-9155,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
69,小山中央小学校,,町田市小山ヶ丘3-7-1,,,,,042-798-0670,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
70,小山ヶ丘小学校,,町田市小山ヶ丘5-37,,,,,042-770-6251,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
71,小山中学校,,町田市小山ヶ丘1-2-4,,,,,042-798-1251,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
72,サン町田旭体育館,,町田市旭町3-20-60,,,,,042-720-0611,,132098,東京都,町田市,1,1,,,,1,1,1,,,,,
73,市立総合体育館,,町田市南成瀬5-12,,,,,042-724-3440,,132098,東京都,町田市,1,1,,,,1,1,1,,,,,
74,南町田グランベリーパーク　パークライフ棟,,町田市鶴間3-1-4,,,,,-,,132098,東京都,町田市,1,1,,,,1,1,1,,,,,
75,玉川学園コミュニティセンター,,町田市玉川学園2-19-12,,,,,042-732-9372,,132098,東京都,町田市,1,1,,,,1,1,1,,,,,
76,南市民センター,,町田市金森4-5-6,,,,,042-795-3165,,132098,東京都,町田市,1,1,,,,1,1,1,,,,,
77,なるせ駅前市民センター,,町田市南成瀬1-2-5,,,,,042-724-2511,,132098,東京都,町田市,1,1,,,,1,1,1,,,,,
78,つくし野コミュニティセンター,,町田市つくし野2-26-5,,,,,042-796-1955,,132098,東京都,町田市,1,1,,,,1,1,1,,,,,
79,成瀬コミュニティセンター,,町田市西成瀬2-49-1,,,,,042-723-6763,,132098,東京都,町田市,1,1,,,,1,1,1,,,,,
80,鶴川市民センター,,町田市大蔵町1981-4,,,,,042-735-5704,,132098,東京都,町田市,1,1,,,,1,1,1,,,,,
81,三輪コミュニティセンター,,町田市三輪緑山4-14-1,,,,,044-987-1951,,132098,東京都,町田市,1,1,,,,1,1,1,,,,,
82,鶴見川クリーンセンター,,町田市三輪緑山1-1,,,,,044-988-7101,,132098,東京都,町田市,1,1,,,,,1,,,,,,
83,忠生市民センター,,町田市忠生3-14-2,,,,,042-791-2802,,132098,東京都,町田市,1,1,,,,1,1,1,,,,,
84,木曽森野コミュニティセンター,,町田市木曽東1-2,,,,,042-725-4939,,132098,東京都,町田市,1,1,,,,1,1,1,,,,,
85,木曽山崎コミュニティセンター,,町田市山崎町2160-4,,,,,042-793-3030,,132098,東京都,町田市,1,1,,,,1,1,1,,,,,
86,堺市民センター,,町田市相原町795-1,,,,,042-774-0003,,132098,東京都,町田市,1,1,,,,1,1,1,,,,,
