No,性別,年齢,保育士資格の取得方法,問20　希望する研修の主な意見（記入者計905人）
16,女性,30～34歳,通信教育等で学んだ後、保育士試験,現在保育士として働いていないで、他職に就いている者は平日保育園等で研修をうけることが出来ないので、平日の夜や土日に研修を開催してほしい。内容は1日の保育士としての仕事全般と経営者の生の声をきかせてほしい。
17,女性,30～34歳,通信教育等で学んだ後、保育士試験,保護者、地域の方々と一緒になって子どもや保育について考える、共通認識を持つ機会が欲しいと思います。また、子どもの方も「見守られている」と感じられるような参加型のもの。地域の遊びを伝える、いっしょに料理を作る等、医療保育専門士について。
18,女性,30～34歳,通信教育等で学んだ後、保育士試験,保育士試験で保育士資格を取得した人向けの研修（保育士の実務の基礎的なところから教えてもらえるような）があったら就労に向けて自信となると思います。
19,女性,35～39歳,短期大学の保育士養成課程,現場で働いている保育士の方の意見を聞き、今どのような知識を必要とし、現場に役立つために必要か知りたい。仕事をする上で役に立つ資格などあったら知りたい（事前に勉強しておきたい）
20,女性,35～39歳,通信教育等で学んだ後、保育士試験,子育てのためブランクがあるので実際に保育園に研修させてもらうなど実技面を充実してほしい。保護者との関係が厳しいことが多いので対応マニュアルなどを学びたい。
21,女性,35～39歳,通信教育等で学んだ後、保育士試験,アレルギーやぜんそくなど子どもの病気について学びたい／家庭環境が多様化し、保護者や子どもとの関係の築き方や対応の仕方についても知りたい／虐待やいじめなどの社会問題についても学びたい
22,男性,35～39歳,通信教育等で学んだ後、保育士試験,男性保育士に特化した研修（女性の同僚との距離のとり方、男性ならではの仕事について、など）
23,女性,40～44歳,通信教育等で学んだ後、保育士試験,ピアノのレッスン、式やイベントで弾く曲をうた付で習いたい。ピアノの基本も再度習いたい、土日か夜、基本コースは無料。それ以上は一定の自己負担があってもいい。発達心理と要特別支援の子どもとの接し方。境界線上の子どもへの対応などを病院の先生や大学の先生に習い、実習もしたい。無料か一部自己負担で。土日or夜。
24,女性,40～44歳,通信教育等で学んだ後、保育士試験,救命救急は、めったに行わないことで、講習を受けても時間がたつと忘れてしまうので、定期的に何度でも受けたい。
25,女性,40～44歳,通信教育等で学んだ後、保育士試験,具体的な保育方法（計画書の書き方や、保育内容）平日3日間で行われると参加しづらいです。
26,女性,40～44歳,通信教育等で学んだ後、保育士試験,通信教育で学んだので実技の経験がありません。子供達が喜ぶ遊びとか、問題のあった時の対処が自身の子育ての経験のみで不安です。保育士の勉強はオムツ替えすらなく、法律など、実際に子供と接する際に本当に必要か擬問に思う事ばかりで、資格を取得後、保育士として働く事が不安です。現場で通用する研修が受けたいし、栄養学についてもっと学びたいです。
27,女性,40～44歳,通信教育等で学んだ後、保育士試験,保育士として働いた事のない人を対象にした短時間でも体験できる実技研修（午前中、夕方16時まで等）。現在ある実技研修は拘束時間が長く参加できない。
28,女性,45～49歳,専門（専修）学校の保育士養成課程,資格取得から年月が経過しているので今どきの保育所等がどのようなものか知りたい。ボランティアとして実務を体験できる機会があれば、ぜひ、参加してみたい。
29,女性,45～49歳,短期大学の保育士養成課程,長い間、現場を離れていた人への不安解消できる様な研修、相談窓口。40代で復帰した人の話等を実際に聞いてみたい。
30,女性,45～49歳,短期大学の保育士養成課程,教科書で覚えられるものではない実際の現場ですぐに役立てる内容。（絵画、体操、工作などの前の導入を細かく例をあげて実際に取り入れながらわかりやすく伝えていく流れなど）。また、熱心な保護者にやわらかで適切な対応の仕方を実際に例をあげて。
31,女性,45～49歳,通信教育等で学んだ後、保育士試験,子どもの教育（受験）（学童）や母親のライフキャリアプランなどにも保護者向けの保育所や自治体主催の特別プログラムとして、相談に乗れる機会があると良い。そのような機会があれば、経験者としてコンサルティングの役に立てると思うので、（自分もとても困ったことから）相談にのれる。
32,女性,45～49歳,通信教育等で学んだ後、保育士試験,未就園（学）児を預けられる場所を研修室の近くに設けていただけると助かります。（子供が小さいと研修に参加できないので）
33,女性,50～54歳,専門（専修）学校の保育士養成課程,AEDの使い方や怪我や火傷の処置など救急的な処置の仕方今は、何でも簡単にPCで調べ文章など装飾もPCで作成する事ができる物もあるので研修があるといいです。子供の特別な支援を必要とする子供への接し方の研修もあると勉強になります。（精神的な事）
34,女性,50～54歳,短期大学の保育士養成課程,発達に問題を抱え、支援を必要とする子どもが増えてきている最近ですので、就学に向けての子ども支援、保護者支援が具体的にわかりやすい研修が早急に必要だと思います。
35,女性,50～54歳,通信教育等で学んだ後、保育士試験,保育所、保育園などの集団保育以外で保育士として働ける場がもっとあってもよいと思います。また、「絵本のよみきかせ」「工作」「体操」「うた」などに特化した派遣保育士の養成はいかがでしょうか。
36,女性,55～59歳,短期大学の保育士養成課程,定年退職（企業勤務）後、保育士の資格を活用できる研修で就職活動の機会に役立てるセミナーを研修受けてみたし。
