施設名,郵便番号,所在地,経度,緯度,座標系,電話番号
江東区保健所(生活衛生課),135-0016,江東区東陽２－１－１,139.81459,35.66642,JGD2011,03-3647-5844
江東区保健所(保健予防課),135-0016,江東区東陽２－１－１,139.81459,35.66642,JGD2011,03-3647-5906
城東保健相談所,136-0072,江東区大島３－１－３,139.82712,35.68985,JGD2011,03-3637-6521
城東南部保健相談所,136-0076,江東区南砂４－３－１０,139.8271,35.67444,JGD2011,03-5606-5001
深川保健相談所,135-0021,江東区白河３－４－３－３０１,139.806,35.68221,JGD2011,03-3641-1181
深川南部保健相談所,135-0051,江東区枝川１－８－１５－１０２,139.80211,35.65753,JGD2011,03-5632-2291
品川区保健所,140-8715,品川区広町２－１－３６,139.73096,35.6083,JGD2011,03-5742-9132
品川保健センター,140-0001,品川区北品川３－１１－２２,139.73927,35.61644,JGD2011,03-3474-2000
大井保健センター,140-0014,品川区大井２－２７－２０,139.73032,35.60418,JGD2011,03-3772-2666
荏原保健センター,142-0063,品川区荏原２－９－６,139.71111,35.61701,JGD2011,03-3788-2000
目黒区保健所,153-8573,目黒区上目黒２－１９－１５,139.69838,35.64108,JGD2011,03-5722-9586
碑文谷保健センター,152-0003,目黒区碑文谷４－１６－１８,139.6821,35.62111,JGD2011,03-3711-6446
大田区保健所（健康医療政策課）,144-8621,大田区蒲田５－１３－１４,139.71576,35.56125,JGD2011,03-5744-1262
大田区保健所(感染症対策課),144-8621,大田区蒲田５－１３－１４,139.71576,35.56125,JGD2011,03-5744-1263
大田区保健所（生活衛生課）,143-0015,大田区大森西１－１２－１,139.72266,35.57768,JGD2011,03-5764-0691
大田区保健所（健康づくり課）,144-8621,大田区蒲田５－１３－１４,139.71576,35.56125,JGD2011,03-5744-1661
大田区保健所（大森地域健康課）,143-0015,大田区大森西１－１２－１,139.72266,35.57768,JGD2011,03-5764-0661
大田区保健所（調布地域健康課）,145-0067,大田区雪谷大塚町４－６,139.68016,35.59329,JGD2011,03-3726-4145
大田区保健所（蒲田地域健康課）,144-0053,大田区蒲田本町２－１－１,139.71837,35.55798,JGD2011,03-5713-1701
大田区保健所（糀谷・羽田地域健康課）,144-0033,大田区東糀谷１－２１－１５,139.73979,35.55752,JGD2011,03-3743-4161
世田谷保健所,154-0017,世田谷区世田谷４－２４－１,139.65125,35.64844,JGD2011,03-5432-2432
世田谷総合支所保健福祉センター（健康づくり課）,154-8504,世田谷区世田谷４－２２－３３,139.65193,35.64657,JGD2011,03-5432-2893
北沢総合支所保健福祉センター（健康づくり課）,155-8666,世田谷区北沢２－８－１８,139.66968,35.66237,JGD2011,03-6804-9355
玉川総合支所保健福祉センター（健康づくり課）,158-8503,世田谷区等々力３－４－１,139.64839,35.60863,JGD2011,03-3702-1948
砧総合支所保健福祉センター（健康づくり課）,157-8501,世田谷区成城６－２－１,139.60078,35.64123,JGD2011,03-3483-3161
烏山総合支所保健福祉センター（健康づくり課）,157-8555,世田谷区南烏山６－２２－１４,139.59814,35.66956,JGD2011,03-3308-8228
渋谷区保健所,150-8010,渋谷区宇田川町１－１,139.69789,35.66415,JGD2011,03-3463-1211
中央保健相談所,150-0042,渋谷区宇田川町５－６,139.69783,35.66322,JGD2011,03-3643-1211
恵比寿保健相談所,150-0013,渋谷区恵比寿２－２７－１８,139.72012,35.64554,JGD2011,03-3443-6251
幡ケ谷保健相談所,151-0072,渋谷区幡ケ谷３－３９－１,139.67197,35.67944,JGD2011,03-3374-7591
中野区保健所,164-0001,中野区中野２－１７－４,139.66949,35.70287,JGD2011,03-3382-6661
中部すこやか福祉センター,164-0011,中野区中央３－１９－１,139.67422,35.70008,JGD2011,03-3367-7788
北部すこやか福祉センター,165-0022,中野区江古田４－３１－１０,139.66159,35.72435,JGD2011,03-3389-4321
南部すこやか福祉センター,164-0013,中野区弥生町５－１１－２６,139.66827,35.68792,JGD2011,03-3382-1750
鷺宮すこやか福祉センター,165-0033,中野区若宮３－５８－１０,139.63969,35.7222,JGD2011,03-3336-7111
杉並保健所（健康推進課）,167-0051,杉並区荻窪５－２０－１,139.62022,35.70236,JGD2011,03-3391-1355
杉並保健所（生活衛生課）,167-0051,杉並区荻窪５－２０－１,139.62022,35.70236,JGD2011,03-3391-1991
杉並保健所（保健予防課）,167-0051,杉並区荻窪５－２０－１,139.62022,35.70236,JGD2011,03-3391-1025
荻窪保健センター,167-0051,杉並区荻窪５－２０－１,139.62022,35.70236,JGD2011,03-3391-0015
高井戸保健センター,168-0072,杉並区高井戸東３－２０－３,139.62036,35.68507,JGD2011,03-3334-4304
高円寺保健センター,166-0003,杉並区高円寺南３－２４－１５,139.64597,35.70125,JGD2011,03-3311-0116
上井草保健センター,167-0023,杉並区上井草３－８－１９,139.6013,35.71889,JGD2011,03-3394-1212
和泉保健センター,168-0063,杉並区和泉４－５０－６,139.65593,35.68291,JGD2011,03-3313-9331
池袋保健所（地域保健課）,170-0013,豊島区東池袋４－４２－１６,139.72185,35.72778,JGD2011,03-3987-4203
池袋保健所（生活衛生課）,170-0013,豊島区東池袋４－４２－１６,139.72185,35.72778,JGD2011,03-3987-4175
池袋保健所（健康推進課）,170-0013,豊島区東池袋４－４２－１６,139.72185,35.72778,JGD2011,03-3987-4172
長崎健康相談所,171-0051,豊島区長崎２－２７－１８,139.69295,35.72959,JGD2011,03-3957-1191
北区保健所（生活衛生課）,114-0001,北区東十条２－７－３,139.73059,35.76303,JGD2011,03-3919-0376
北区保健所（保健予防課）,114-0001,北区東十条２－７－３,139.73059,35.76303,JGD2011,03-3919-3101
王子健康支援センター,115-0044,北区赤羽南１－１３－１赤羽会館６階,139.72371,35.77772,JGD2011,03-3919-7588
赤羽健康支援センター,115-0044,北区赤羽南１－１３－１赤羽会館６階,139.72371,35.77772,JGD2011,03-3903-6481
滝野川健康支援センター,114-0024,北区西ケ原１－１９－１２,139.74791,35.74276,JGD2011,03-3915-0184
荒川区保健所（生活衛生課）,116-8502,荒川区荒川２－１１－１,139.78354,35.73694,JGD2011,03-3802-4216
荒川区保健所（健康推進課）,116-8502,荒川区荒川２－１１－１,139.78354,35.73694,JGD2011,03-3802-4247
荒川区保健所（保健予防課）,116-8502,荒川区荒川２－１１－１,139.78354,35.73694,JGD2011,03-3802-4243
板橋区保健所（感染症対策課）,173-0014,板橋区大山東町３２－１５,139.70816,35.75045,JGD2011,03-3579-2321
板橋区保健所（健康推進課）,173-8501,板橋区板橋２－６６－１,139.70912,35.75111,JGD2011,03-3579-2302
板橋区保健所（予防対策課）,173-0014,板橋区大山東町３２－１５,139.70816,35.75045,JGD2011,03-3579-2329
板橋区保健所（生活衛生課）,173-0014,板橋区大山東町３２－１５,139.70816,35.75045,JGD2011,03-3579-2332
板橋健康福祉センター,173-0014,板橋区大山東町３２－１５,139.70816,35.75045,JGD2011,03-3579-2333
上板橋健康福祉センター,174-0075,板橋区桜川３－１８－６,139.67572,35.76015,JGD2011,03-3937-1041
赤塚健康福祉センター,175-0092,板橋区赤塚１－１０－１３,139.64677,35.77201,JGD2011,03-3979-0511
志村健康福祉センター,174-0046,板橋区蓮根２－５－５,139.67709,35.78085,JGD2011,03-3969-3836
高島平健康福祉センター,175-0082,板橋区高島平３－１３－２８,139.65884,35.78799,JGD2011,03-3938-8621
練馬区保健所（生活衛生課）,176-8501,練馬区豊玉北６－１２－１,139.65167,35.73571,JGD2011,03-5984-2483
練馬区保健所（保健予防課）,176-8501,練馬区豊玉北６－１２－１,139.65167,35.73571,JGD2011,03-5984-1017
豊玉保健相談所,176-0012,練馬区豊玉北５－１５－１９,139.65497,35.73619,JGD2011,03-3992-1188
北保健相談所,179-0081,練馬区北町６－３５－７,139.64937,35.7577,JGD2011,03-3931-1347
光が丘保健相談所,179-0072,練馬区光が丘２－９－６,139.63036,35.75914,JGD2011,03-5997-7722
石神井保健相談所,177-0041,練馬区石神井町７－３－２８,139.60115,35.7443,JGD2011,03-3996-0634
大泉保健相談所,178-0061,練馬区大泉学園町５－８－８,139.58688,35.76731,JGD2011,03-3921-0217
関保健相談所,177-0052,練馬区関町東１－２７－４,139.58139,35.72668,JGD2011,03-3929-5381
足立保健所（生活衛生課）,120-0011,足立区中央本町１－５－３,139.80389,35.77107,JGD2011,03-3880-5361
足立保健所（感染症対策課）,120-0011,足立区中央本町１－５－３,139.80389,35.77107,JGD2011,03-3880-5372
足立保健所（中央本町地域・保健総合支援課）,120-0011,足立区中央本町１－５－３,139.80389,35.77107,JGD2011,03-3880-5351
足立保健所（衛生試験所）,120-0011,足立区中央本町１－５－３,139.80389,35.77107,JGD2011,03-3880-5370
竹の塚保健センター,121-0822,足立区西竹の塚１－１１－２エミエルタワー竹の塚２階,139.78973,35.79345,JGD2011,03-3855-5082
江北保健センター,123-0845,足立区西新井本町２－３０－４０,139.77092,35.77583,JGD2011,03-3896-4004
千住保健センター,120-0036,足立区千住仲町１９－３千住庁舎４階,139.80156,35.74637,JGD2011,03-3888-4277
東部保健センター,120-0001,足立区大谷田３－１１－１３,139.84218,35.77939,JGD2011,03-3606-4171
葛飾区保健所（地域保健課）,125-0062,葛飾区青戸４－１５－１４,139.85063,35.75141,JGD2011,03-3602-1231
葛飾区保健所（生活衛生課）,125-0062,葛飾区青戸４－１５－１４,139.85063,35.75141,JGD2011,03-3602-1242
葛飾区保健所（健康づくり課）,125-0062,葛飾区青戸４－１５－１４,139.85063,35.75141,JGD2011,03-3602-1268
葛飾区保健所（保健予防課）,125-0062,葛飾区青戸４－１５－１４,139.85063,35.75141,JGD2011,03-3602-1274
青戸保健センター,125-0062,葛飾区青戸４－１５－１４,139.85063,35.75141,JGD2011,03-3602-1284
金町保健センター,125-0042,葛飾区金町４－１８－１９,139.86496,35.76478,JGD2011,03-3607-4141
新小岩保健センター,124-0025,葛飾区西新小岩４－２１－１２,139.85213,35.72127,JGD2011,03-3696-3781
水元保健センター,125-0033,葛飾区東水元１－７－３,139.86784,35.77879,JGD2011,03-3627-1911
江戸川保健所（生活衛生課）,133-0052,江戸川区東小岩３－２３－３,139.89398,35.73393,JGD2011,03-3658-3177
江戸川保健所（保健予防課）,132-8507,江戸川区中央４－２４－１９,139.86824,35.70982,JGD2011,03-5661-2464
中央健康サポートセンター,132-8507,江戸川区中央４－２４－１９,139.86824,35.70982,JGD2011,03-5661-2467
小岩健康サポートセンター,133-0052,江戸川区東小岩３－２３－３,139.89398,35.73393,JGD2011,03-3658-3171
東部健康サポートセンター,132-0011,江戸川区瑞江２－５－７,139.89775,35.69398,JGD2011,03-3678-6441
清新町健康サポートセンター,134-0087,江戸川区清新町１－３－１１,139.85623,35.66125,JGD2011,03-3878-1221
葛西健康サポートセンター,134-0083,江戸川区中葛西３－１０－１,139.86938,35.66589,JGD2011,03-3688-0154
鹿骨健康サポートセンター,133-0073,江戸川区鹿骨１－５５－１０,139.89064,35.70947,JGD2011,03-3678-8711
小松川健康サポートセンター,132-0034,江戸川区小松川３－６－１,139.84932,35.69702,JGD2011,03-3683-5531
なぎさ健康サポートセンター,134-0085,江戸川区南葛西７－１－２７,139.87993,35.64574,JGD2011,03-5675-2515
