施設名,郵便番号,所在地,経度,緯度,座標系,電話番号
東村山市,189-8501,東村山市本町１－２－３,139.46841,35.75449,JGD2011,042-393-5111
国分寺市,185-8501,国分寺市戸倉１－６－１,139.46265,35.71077,JGD2011,042-325-0111
国立市,186-8501,国立市富士見台２－４７－１,139.44151,35.68438,JGD2011,042-576-2111
福生市,197-8501,福生市本町５,139.32678,35.7387,JGD2011,042-551-1511
狛江市,201-8585,狛江市和泉本町１－１－５,139.57837,35.63494,JGD2011,03-3430-1111
東大和市,207-8585,東大和市中央３－９３０,139.4265,35.74526,JGD2011,042-563-2111
清瀬市,204-8511,清瀬市中里５－８４２,139.52655,35.78557,JGD2011,042-492-5111
東久留米市,203-8555,東久留米市本町３－３－１,139.5295,35.75793,JGD2011,0424-70-7777
武蔵村山市（生活援護第一グループ）,208-8501,武蔵村山市本町１－１－１,139.38736,35.75475,JGD2011,042-565-1111
武蔵村山市（生活援護第二グループ）,208-0012,武蔵村山市緑が丘１４６０－１１０４－１階,139.40483,35.74046,JGD2011,042-590-2230
多摩市,206-8666,多摩市関戸６－１２－１,139.44717,35.63765,JGD2011,042-375-8111
稲城市,206-8601,稲城市東長沼２１１１,139.50429,35.63812,JGD2011,042-378-2111
羽村市,205-8601,羽村市緑ケ丘５－２－１,139.31093,35.76751,JGD2011,042-555-1111
あきる野市,197-0814,あきる野市二宮３５０,139.29451,35.72911,JGD2011,042-558-1111
西東京市,188-8666,西東京市南町５－６－１３,139.5379,35.72591,JGD2011,042-464-1311
大島支庁,100-0101,大島町元町字赤禿９０－１４,139.37244,34.76086,JGD2011,04992-2-4411
三宅支庁,100-1102,三宅村伊豆６４２,139.51031,34.10802,JGD2011,04994-2-1311
八丈支庁,100-1492,八丈町大賀郷２４６６－２,139.78673,33.10871,JGD2011,04996-2-1112
小笠原支庁,100-2101,小笠原村父島字西町,142.20961,27.07124,JGD2011,04998-2-3230
