"年度[西暦]","調査項目","設問","選択肢","回答数[人]","構成比[%]"
"2022","港区の伝わる日本語について","問28. 区からの情報伝達の手段は、どのようなものを望みますか。あなたが一番望ましいと思う手段を教えてください。（○は１つ）","文書","253","46.8"
"2022","港区の伝わる日本語について","問28. 区からの情報伝達の手段は、どのようなものを望みますか。あなたが一番望ましいと思う手段を教えてください。（○は１つ）","メール","73","13.5"
"2022","港区の伝わる日本語について","問28. 区からの情報伝達の手段は、どのようなものを望みますか。あなたが一番望ましいと思う手段を教えてください。（○は１つ）","ホームページ","68","12.6"
"2022","港区の伝わる日本語について","問28. 区からの情報伝達の手段は、どのようなものを望みますか。あなたが一番望ましいと思う手段を教えてください。（○は１つ）","Twitter","13","2.4"
"2022","港区の伝わる日本語について","問28. 区からの情報伝達の手段は、どのようなものを望みますか。あなたが一番望ましいと思う手段を教えてください。（○は１つ）","LINE","59","10.9"
"2022","港区の伝わる日本語について","問28. 区からの情報伝達の手段は、どのようなものを望みますか。あなたが一番望ましいと思う手段を教えてください。（○は１つ）","その他","26","4.8"
"2022","港区の伝わる日本語について","問28. 区からの情報伝達の手段は、どのようなものを望みますか。あなたが一番望ましいと思う手段を教えてください。（○は１つ）","無回答","49","9.1"
"2022","港区の伝わる日本語について","問31. 「やさしい日本語」ということばの内容を知っていますか。（○は１つ）","知っている","143","26.4"
"2022","港区の伝わる日本語について","問31. 「やさしい日本語」ということばの内容を知っていますか。（○は１つ）","少し知っている","106","19.6"
"2022","港区の伝わる日本語について","問31. 「やさしい日本語」ということばの内容を知っていますか。（○は１つ）","あまり知らない","135","25.0"
"2022","港区の伝わる日本語について","問31. 「やさしい日本語」ということばの内容を知っていますか。（○は１つ）","知らない","147","27.2"
"2022","港区の伝わる日本語について","問31. 「やさしい日本語」ということばの内容を知っていますか。（○は１つ）","無回答","10","1.8"

"令和4年度（2022年度）区政モニターアンケート・港区の伝わる日本語について","Ver202301",,,,
