職員の区分,職務の級号給,１級給料月額（円）,２級給料月額（円）,３級給料月額（円）
定年前再任用短時間勤務職員以外の職員,65,397900,482100,562100
定年前再任用短時間勤務職員以外の職員,66,398700,482800,563100
定年前再任用短時間勤務職員以外の職員,67,399500,483400,564100
定年前再任用短時間勤務職員以外の職員,68,400200,484000,565100
定年前再任用短時間勤務職員以外の職員,69,400900,484600,566100
定年前再任用短時間勤務職員以外の職員,70,401500,485200,567100
定年前再任用短時間勤務職員以外の職員,71,402100,485800,568100
定年前再任用短時間勤務職員以外の職員,72,402700,486400,569000
定年前再任用短時間勤務職員以外の職員,73,403200,486900,569900
定年前再任用短時間勤務職員以外の職員,74,403800,487500,570900
定年前再任用短時間勤務職員以外の職員,75,404300,488100,571800
定年前再任用短時間勤務職員以外の職員,76,404900,488700,572700
定年前再任用短時間勤務職員以外の職員,77,405500,489200,573600
定年前再任用短時間勤務職員以外の職員,78,406100,489800,574500
定年前再任用短時間勤務職員以外の職員,79,406700,490400,575400
定年前再任用短時間勤務職員以外の職員,80,407300,490900,576300
定年前再任用短時間勤務職員以外の職員,81,407800,491500,577100
定年前再任用短時間勤務職員以外の職員,82,408400,492100,578000
定年前再任用短時間勤務職員以外の職員,83,408900,492700,578900
定年前再任用短時間勤務職員以外の職員,84,409500,493200,579800
定年前再任用短時間勤務職員以外の職員,85,410000,493700,580600
定年前再任用短時間勤務職員以外の職員,86,410500,494300,581500
定年前再任用短時間勤務職員以外の職員,87,411100,494800,582400
定年前再任用短時間勤務職員以外の職員,88,411700,495400,583200
定年前再任用短時間勤務職員以外の職員,89,412200,495900,583900
定年前再任用短時間勤務職員以外の職員,90,412600,496400,584700
定年前再任用短時間勤務職員以外の職員,91,413000,496900,585500
定年前再任用短時間勤務職員以外の職員,92,413400,497400,586300
定年前再任用短時間勤務職員以外の職員,93,413800,497900,587100
定年前再任用短時間勤務職員以外の職員,94,414200,498400,587800
定年前再任用短時間勤務職員以外の職員,95,414600,498900,588600
定年前再任用短時間勤務職員以外の職員,96,415000,499400,589400
定年前再任用短時間勤務職員以外の職員,97,415400,499900,590200
定年前再任用短時間勤務職員以外の職員,98,415800,500400,590900
定年前再任用短時間勤務職員以外の職員,99,416200,500900,591600
定年前再任用短時間勤務職員以外の職員,100,416600,501400,592400
定年前再任用短時間勤務職員以外の職員,101,417000,501900,593100
定年前再任用短時間勤務職員以外の職員,102,417400,502400,593800
定年前再任用短時間勤務職員以外の職員,103,417800,502900,594600
定年前再任用短時間勤務職員以外の職員,104,418200,503400,595300
定年前再任用短時間勤務職員以外の職員,105,418600,503900,596000
定年前再任用短時間勤務職員以外の職員,106,419000,,596600
定年前再任用短時間勤務職員以外の職員,107,419400,,597300
定年前再任用短時間勤務職員以外の職員,108,419800,,598000
定年前再任用短時間勤務職員以外の職員,109,420200,,598700
定年前再任用短時間勤務職員（基準給料月額）,,289700,348000,405300
