35,問4-②_場所２,1:谷中銀座商店街,2:朝倉彫塑間,3:谷中霊園,4:絵処アラン・ウェスト,5:大名時計博物館,6:SCAI THE BATHHOUSE,7:旧吉田屋酒店,8:ねぎし三平堂,9:台東区立書道博物館,10:子規庵,11:硯の資料室,12:台東区立一葉記念館,13:その他谷中エリア,14:東京芸術大学大学美術館,15:東京芸術大学奏楽堂,16:国立国会図書館・国際子ども図書館,17:東京国立博物館,18:黒田記念館,19:台東区立旧東京音楽学校奏楽堂,20:東京都美術館,21:東京都恩賜上野動物園,22:国立科学博物館（上野本館）,23:国立西洋美術館,24:東京文化会館,25:日本芸術院,26:上野の森美術館,27:清水観音堂,28:横山大観記念館,29:台東区立下町風俗資料館,30:都立旧岩崎邸庭園,31:鈴本演芸場,32:お江戸上野広小路亭,33:アメ横,34:世界の銀器館,35:その他上野エリア,36:皮革産業資料館,37:池波正太郎記念文庫,38:象牙工芸館,39:台東区立江戸下町伝統工芸館,40:浅草花やしき,41:浅草寺（雷門）,42:アミューズミュージアム,43:かわとはきものギャラリー,44:木馬館/木馬亭,45:浅草演芸ホール,46:東洋館,47:浅草ROXまつり湯,48:太鼓館,49:かっぱ橋道具街,50:浅草公会堂,51:仲見世商店街,52:台東区立浅草文化観光センター,53:あみ清（屋形船）,54:俥屋店舗・人力車資料室（時代屋）,55:エース世界のカバン館,56:その他浅草エリア,57:袋物参考館,58:日本文具資料館,59:その他浅草橋エリア
36,問4-②_目的３,1:名所・旧跡めぐり,2:お土産の購入,3:ショッピング（お土産を除く）,4:伝統文化（祭り等）の見学,5:伝統文化の体験,6:自然の風景を見る,7:食事を楽しむ,8:美術館・博物館,9:動物園・植物園・水族館,10:テーマパーク等,11:スポーツをする・観戦する,12:景色を楽しむ,13:都心の雰囲気を楽しむ,14:下町の雰囲気を楽しむ,15:ナイトライフを楽しむ,16:イベント・コンベンション等への参加,17:演劇・落語の鑑賞,18:音楽鑑賞,19:屋形船,20:水上バス,21:写真の撮影を楽しむ,22:SNS投稿用の写真の撮影,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,問4-②_場所３,1:谷中銀座商店街,2:朝倉彫塑間,3:谷中霊園,4:絵処アラン・ウェスト,5:大名時計博物館,6:SCAI THE BATHHOUSE,7:旧吉田屋酒店,8:ねぎし三平堂,9:台東区立書道博物館,10:子規庵,11:硯の資料室,12:台東区立一葉記念館,13:その他谷中エリア,14:東京芸術大学大学美術館,15:東京芸術大学奏楽堂,16:国立国会図書館・国際子ども図書館,17:東京国立博物館,18:黒田記念館,19:台東区立旧東京音楽学校奏楽堂,20:東京都美術館,21:東京都恩賜上野動物園,22:国立科学博物館（上野本館）,23:国立西洋美術館,24:東京文化会館,25:日本芸術院,26:上野の森美術館,27:清水観音堂,28:横山大観記念館,29:台東区立下町風俗資料館,30:都立旧岩崎邸庭園,31:鈴本演芸場,32:お江戸上野広小路亭,33:アメ横,34:世界の銀器館,35:その他上野エリア,36:皮革産業資料館,37:池波正太郎記念文庫,38:象牙工芸館,39:台東区立江戸下町伝統工芸館,40:浅草花やしき,41:浅草寺（雷門）,42:アミューズミュージアム,43:かわとはきものギャラリー,44:木馬館/木馬亭,45:浅草演芸ホール,46:東洋館,47:浅草ROXまつり湯,48:太鼓館,49:かっぱ橋道具街,50:浅草公会堂,51:仲見世商店街,52:台東区立浅草文化観光センター,53:あみ清（屋形船）,54:俥屋店舗・人力車資料室（時代屋）,55:エース世界のカバン館,56:その他浅草エリア,57:袋物参考館,58:日本文具資料館,59:その他浅草橋エリア
38,問4-②_目的４,1:名所・旧跡めぐり,2:お土産の購入,3:ショッピング（お土産を除く）,4:伝統文化（祭り等）の見学,5:伝統文化の体験,6:自然の風景を見る,7:食事を楽しむ,8:美術館・博物館,9:動物園・植物園・水族館,10:テーマパーク等,11:スポーツをする・観戦する,12:景色を楽しむ,13:都心の雰囲気を楽しむ,14:下町の雰囲気を楽しむ,15:ナイトライフを楽しむ,16:イベント・コンベンション等への参加,17:演劇・落語の鑑賞,18:音楽鑑賞,19:屋形船,20:水上バス,21:写真の撮影を楽しむ,22:SNS投稿用の写真の撮影,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,問4-②_場所４,1:谷中銀座商店街,2:朝倉彫塑間,3:谷中霊園,4:絵処アラン・ウェスト,5:大名時計博物館,6:SCAI THE BATHHOUSE,7:旧吉田屋酒店,8:ねぎし三平堂,9:台東区立書道博物館,10:子規庵,11:硯の資料室,12:台東区立一葉記念館,13:その他谷中エリア,14:東京芸術大学大学美術館,15:東京芸術大学奏楽堂,16:国立国会図書館・国際子ども図書館,17:東京国立博物館,18:黒田記念館,19:台東区立旧東京音楽学校奏楽堂,20:東京都美術館,21:東京都恩賜上野動物園,22:国立科学博物館（上野本館）,23:国立西洋美術館,24:東京文化会館,25:日本芸術院,26:上野の森美術館,27:清水観音堂,28:横山大観記念館,29:台東区立下町風俗資料館,30:都立旧岩崎邸庭園,31:鈴本演芸場,32:お江戸上野広小路亭,33:アメ横,34:世界の銀器館,35:その他上野エリア,36:皮革産業資料館,37:池波正太郎記念文庫,38:象牙工芸館,39:台東区立江戸下町伝統工芸館,40:浅草花やしき,41:浅草寺（雷門）,42:アミューズミュージアム,43:かわとはきものギャラリー,44:木馬館/木馬亭,45:浅草演芸ホール,46:東洋館,47:浅草ROXまつり湯,48:太鼓館,49:かっぱ橋道具街,50:浅草公会堂,51:仲見世商店街,52:台東区立浅草文化観光センター,53:あみ清（屋形船）,54:俥屋店舗・人力車資料室（時代屋）,55:エース世界のカバン館,56:その他浅草エリア,57:袋物参考館,58:日本文具資料館,59:その他浅草橋エリア
40,問4-②_目的５,1:名所・旧跡めぐり,2:お土産の購入,3:ショッピング（お土産を除く）,4:伝統文化（祭り等）の見学,5:伝統文化の体験,6:自然の風景を見る,7:食事を楽しむ,8:美術館・博物館,9:動物園・植物園・水族館,10:テーマパーク等,11:スポーツをする・観戦する,12:景色を楽しむ,13:都心の雰囲気を楽しむ,14:下町の雰囲気を楽しむ,15:ナイトライフを楽しむ,16:イベント・コンベンション等への参加,17:演劇・落語の鑑賞,18:音楽鑑賞,19:屋形船,20:水上バス,21:写真の撮影を楽しむ,22:SNS投稿用の写真の撮影,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,問4-②_場所５,1:谷中銀座商店街,2:朝倉彫塑間,3:谷中霊園,4:絵処アラン・ウェスト,5:大名時計博物館,6:SCAI THE BATHHOUSE,7:旧吉田屋酒店,8:ねぎし三平堂,9:台東区立書道博物館,10:子規庵,11:硯の資料室,12:台東区立一葉記念館,13:その他谷中エリア,14:東京芸術大学大学美術館,15:東京芸術大学奏楽堂,16:国立国会図書館・国際子ども図書館,17:東京国立博物館,18:黒田記念館,19:台東区立旧東京音楽学校奏楽堂,20:東京都美術館,21:東京都恩賜上野動物園,22:国立科学博物館（上野本館）,23:国立西洋美術館,24:東京文化会館,25:日本芸術院,26:上野の森美術館,27:清水観音堂,28:横山大観記念館,29:台東区立下町風俗資料館,30:都立旧岩崎邸庭園,31:鈴本演芸場,32:お江戸上野広小路亭,33:アメ横,34:世界の銀器館,35:その他上野エリア,36:皮革産業資料館,37:池波正太郎記念文庫,38:象牙工芸館,39:台東区立江戸下町伝統工芸館,40:浅草花やしき,41:浅草寺（雷門）,42:アミューズミュージアム,43:かわとはきものギャラリー,44:木馬館/木馬亭,45:浅草演芸ホール,46:東洋館,47:浅草ROXまつり湯,48:太鼓館,49:かっぱ橋道具街,50:浅草公会堂,51:仲見世商店街,52:台東区立浅草文化観光センター,53:あみ清（屋形船）,54:俥屋店舗・人力車資料室（時代屋）,55:エース世界のカバン館,56:その他浅草エリア,57:袋物参考館,58:日本文具資料館,59:その他浅草橋エリア
42,問4-②_目的６,1:名所・旧跡めぐり,2:お土産の購入,3:ショッピング（お土産を除く）,4:伝統文化（祭り等）の見学,5:伝統文化の体験,6:自然の風景を見る,7:食事を楽しむ,8:美術館・博物館,9:動物園・植物園・水族館,10:テーマパーク等,11:スポーツをする・観戦する,12:景色を楽しむ,13:都心の雰囲気を楽しむ,14:下町の雰囲気を楽しむ,15:ナイトライフを楽しむ,16:イベント・コンベンション等への参加,17:演劇・落語の鑑賞,18:音楽鑑賞,19:屋形船,20:水上バス,21:写真の撮影を楽しむ,22:SNS投稿用の写真の撮影,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,問4-②_場所６,1:谷中銀座商店街,2:朝倉彫塑間,3:谷中霊園,4:絵処アラン・ウェスト,5:大名時計博物館,6:SCAI THE BATHHOUSE,7:旧吉田屋酒店,8:ねぎし三平堂,9:台東区立書道博物館,10:子規庵,11:硯の資料室,12:台東区立一葉記念館,13:その他谷中エリア,14:東京芸術大学大学美術館,15:東京芸術大学奏楽堂,16:国立国会図書館・国際子ども図書館,17:東京国立博物館,18:黒田記念館,19:台東区立旧東京音楽学校奏楽堂,20:東京都美術館,21:東京都恩賜上野動物園,22:国立科学博物館（上野本館）,23:国立西洋美術館,24:東京文化会館,25:日本芸術院,26:上野の森美術館,27:清水観音堂,28:横山大観記念館,29:台東区立下町風俗資料館,30:都立旧岩崎邸庭園,31:鈴本演芸場,32:お江戸上野広小路亭,33:アメ横,34:世界の銀器館,35:その他上野エリア,36:皮革産業資料館,37:池波正太郎記念文庫,38:象牙工芸館,39:台東区立江戸下町伝統工芸館,40:浅草花やしき,41:浅草寺（雷門）,42:アミューズミュージアム,43:かわとはきものギャラリー,44:木馬館/木馬亭,45:浅草演芸ホール,46:東洋館,47:浅草ROXまつり湯,48:太鼓館,49:かっぱ橋道具街,50:浅草公会堂,51:仲見世商店街,52:台東区立浅草文化観光センター,53:あみ清（屋形船）,54:俥屋店舗・人力車資料室（時代屋）,55:エース世界のカバン館,56:その他浅草エリア,57:袋物参考館,58:日本文具資料館,59:その他浅草橋エリア
44,問4-②_その他/内容,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,問⑤_同行者数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,問⑤_0.一人,0:選択なし,1:選択あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,問⑤_1.家族,0:選択なし,1:選択あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,問⑤_2.友人,0:選択なし,1:選択あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,問⑤_3.職場・学校等の団体旅行,0:選択なし,1:選択あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,問⑤_4.その他,0:選択なし,1:選択あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,問⑤_4.その他/内容,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,問⑤_無回答,0:選択なし,1:選択あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,問⑥_来訪回数-現在の観光地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,問⑥_来訪回数-台東区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,問⑦_1.台東区公式観光情報サイト,0:選択なし,1:選択あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,問⑦_2.その他インターネットサイト,0:選択なし,1:選択あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,問⑦_3.台東区公式SNS,0:選択なし,1:選択あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,問⑦_4.その他SNS・ブログの投稿を見て,0:選択なし,1:選択あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,問⑦_5.パンフレット類,0:選択なし,1:選択あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,問⑦_6.観光情報誌・ガイドブック,0:選択なし,1:選択あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,問⑦_7.テレビ・ラジオ,0:選択なし,1:選択あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,問⑦_8.新聞・雑誌の記事,0:選択なし,1:選択あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,問⑦_9.旅行会社,0:選択なし,1:選択あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,問⑦_10.観光案内所,0:選択なし,1:選択あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,問⑦_11.宿泊施設からの案内,0:選択なし,1:選択あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,問⑦_12.ポスター・チラシを見て,0:選択なし,1:選択あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,問⑦_13.地元・以前来た,0:選択なし,1:選択あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,問⑦_14.仕事上・取引先からの情報,0:選択なし,1:選択あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,問⑦_15.家族・知人等の情報,0:選択なし,1:選択あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,問⑦_16.その他,0:選択なし,1:選択あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,問⑦_16.その他/内容,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,問⑦_具体的名称,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,問⑦_無回答,0:選択なし,1:選択あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,問⑧_観光地点1,1:谷中銀座商店街,2:朝倉彫塑間,3:谷中霊園,4:絵処アラン・ウェスト,5:大名時計博物館,6:SCAI THE BATHHOUSE,7:旧吉田屋酒店,8:ねぎし三平堂,9:台東区立書道博物館,10:子規庵,11:硯の資料室,12:台東区立一葉記念館,13:その他谷中エリア,14:東京芸術大学大学美術館,15:東京芸術大学奏楽堂,16:国立国会図書館・国際子ども図書館,17:東京国立博物館,18:黒田記念館,19:台東区立旧東京音楽学校奏楽堂,20:東京都美術館,21:東京都恩賜上野動物園,22:国立科学博物館（上野本館）,23:国立西洋美術館,24:東京文化会館,25:日本芸術院,26:上野の森美術館,27:清水観音堂,28:横山大観記念館,29:台東区立下町風俗資料館,30:都立旧岩崎邸庭園,31:鈴本演芸場,32:お江戸上野広小路亭,33:アメ横,34:世界の銀器館,35:その他上野エリア,36:皮革産業資料館,37:池波正太郎記念文庫,38:象牙工芸館,39:台東区立江戸下町伝統工芸館,40:浅草花やしき,41:浅草寺（雷門）,42:アミューズミュージアム,43:かわとはきものギャラリー,44:木馬館/木馬亭,45:浅草演芸ホール,46:東洋館,47:浅草ROXまつり湯,48:太鼓館,49:かっぱ橋道具街,50:浅草公会堂,51:仲見世商店街,52:台東区立浅草文化観光センター,53:あみ清（屋形船）,54:俥屋店舗・人力車資料室（時代屋）,55:エース世界のカバン館,56:その他浅草エリア,57:袋物参考館,58:日本文具資料館,59:その他浅草橋エリア
75,問⑧_1-時間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,問⑧_観光地点2,1:谷中銀座商店街,2:朝倉彫塑間,3:谷中霊園,4:絵処アラン・ウェスト,5:大名時計博物館,6:SCAI THE BATHHOUSE,7:旧吉田屋酒店,8:ねぎし三平堂,9:台東区立書道博物館,10:子規庵,11:硯の資料室,12:台東区立一葉記念館,13:その他谷中エリア,14:東京芸術大学大学美術館,15:東京芸術大学奏楽堂,16:国立国会図書館・国際子ども図書館,17:東京国立博物館,18:黒田記念館,19:台東区立旧東京音楽学校奏楽堂,20:東京都美術館,21:東京都恩賜上野動物園,22:国立科学博物館（上野本館）,23:国立西洋美術館,24:東京文化会館,25:日本芸術院,26:上野の森美術館,27:清水観音堂,28:横山大観記念館,29:台東区立下町風俗資料館,30:都立旧岩崎邸庭園,31:鈴本演芸場,32:お江戸上野広小路亭,33:アメ横,34:世界の銀器館,35:その他上野エリア,36:皮革産業資料館,37:池波正太郎記念文庫,38:象牙工芸館,39:台東区立江戸下町伝統工芸館,40:浅草花やしき,41:浅草寺（雷門）,42:アミューズミュージアム,43:かわとはきものギャラリー,44:木馬館/木馬亭,45:浅草演芸ホール,46:東洋館,47:浅草ROXまつり湯,48:太鼓館,49:かっぱ橋道具街,50:浅草公会堂,51:仲見世商店街,52:台東区立浅草文化観光センター,53:あみ清（屋形船）,54:俥屋店舗・人力車資料室（時代屋）,55:エース世界のカバン館,56:その他浅草エリア,57:袋物参考館,58:日本文具資料館,59:その他浅草橋エリア
77,問⑧_2-時間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,問⑧_観光地点3,1:谷中銀座商店街,2:朝倉彫塑間,3:谷中霊園,4:絵処アラン・ウェスト,5:大名時計博物館,6:SCAI THE BATHHOUSE,7:旧吉田屋酒店,8:ねぎし三平堂,9:台東区立書道博物館,10:子規庵,11:硯の資料室,12:台東区立一葉記念館,13:その他谷中エリア,14:東京芸術大学大学美術館,15:東京芸術大学奏楽堂,16:国立国会図書館・国際子ども図書館,17:東京国立博物館,18:黒田記念館,19:台東区立旧東京音楽学校奏楽堂,20:東京都美術館,21:東京都恩賜上野動物園,22:国立科学博物館（上野本館）,23:国立西洋美術館,24:東京文化会館,25:日本芸術院,26:上野の森美術館,27:清水観音堂,28:横山大観記念館,29:台東区立下町風俗資料館,30:都立旧岩崎邸庭園,31:鈴本演芸場,32:お江戸上野広小路亭,33:アメ横,34:世界の銀器館,35:その他上野エリア,36:皮革産業資料館,37:池波正太郎記念文庫,38:象牙工芸館,39:台東区立江戸下町伝統工芸館,40:浅草花やしき,41:浅草寺（雷門）,42:アミューズミュージアム,43:かわとはきものギャラリー,44:木馬館/木馬亭,45:浅草演芸ホール,46:東洋館,47:浅草ROXまつり湯,48:太鼓館,49:かっぱ橋道具街,50:浅草公会堂,51:仲見世商店街,52:台東区立浅草文化観光センター,53:あみ清（屋形船）,54:俥屋店舗・人力車資料室（時代屋）,55:エース世界のカバン館,56:その他浅草エリア,57:袋物参考館,58:日本文具資料館,59:その他浅草橋エリア
79,問⑧_3-時間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
