"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","知っている[人]","知らない[人]","無回答[人]"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","居住地区別","高輪地区","146","15","131","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","居住地区別","芝浦港南地区","139","26","113","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","居住地区別","無回答","19","4","14","1"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","住居形態別","持家（一戸建）","64","13","51","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","住居形態別","持家（マンション）","267","43","224","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","住居形態別","借家（一戸建）","9","0","9","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","住居形態別","民間の賃貸マンション・アパート","151","14","137","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","住居形態別","都営住宅・区営住宅・区立住宅","26","4","22","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","11","1","10","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","住居形態別","社宅・公務員宿舎","10","3","7","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","住居形態別","寮・寄宿舎・住み込み・間借り","4","0","4","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","住居形態別","その他","5","1","4","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","住居形態別","無回答","11","2","8","1"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","定住意向別","ずっと住み続けていたい","279","47","231","1"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","定住意向別","当分は住んでいたい","203","24","179","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","45","6","39","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","5","1","4","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","定住意向別","近いうちに区外に転居する予定である","13","3","10","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","定住意向別","わからない","10","0","10","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","定住意向別","無回答","3","0","3","0"

"第33回港区民世論調査クロス集計表・区基本計画Q10","Ver202203",,,,,,,
