区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／比（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／比（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／比（％）
〔非農林業雇用者の従業者規模別内訳〕／総数,5640,5584,56,1,3336,3325,11,0.3,2304,2259,45,2
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1805,1786,19,1.1,1065,1052,13,1.2,740,734,6,0.8
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,1725,1709,16,0.9,1005,978,27,2.8,720,731,-11,-1.5
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,1629,1564,65,4.2,983,971,12,1.2,646,593,53,8.9
〔完全失業率（年齢階級別）(%)〕／総数,4.7,5,-0.3,,4.7,5,-0.3,,4.7,4.9,-0.2,
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,8.1,8.6,-0.5,,8.7,9.5,-0.8,,7.6,7.7,-0.1,
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,5.6,6.2,-0.6,,5.3,6.3,-1,,6.1,5.8,0.3,
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,4,4.2,-0.2,,4,3.4,0.6,,4.1,5.4,-1.3,
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,3.4,3.9,-0.5,,3.6,3.8,-0.2,,3.1,4,-0.9,
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,4.9,4.5,0.4,,5.3,5.4,-0.1,,4.3,3.1,1.2,
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,2.9,2.7,0.2,,3.6,2.8,0.8,,1.6,2.1,-0.5,
〔労働力人口比率(%)〕／総数,61.9,61.7,0.2,,74.5,74.7,-0.2,,49.5,49,0.5,
,,,,,,,,,,,,
東京の労働力統計データ（平成17年平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成17年平均,,,,,,,,,,,,
注1)15歳以上人口及び就業者数には、不詳を含む。,,,,,,,,,,,,
注2)非農林業雇用者の従業者規模別内訳の総数には、官公・従業者規模不詳を含むため、規模別内訳を積み上げても総数と一致しない。,,,,,,,,,,,,
注3)今期から、「雇用者の主な産業別内訳」を追加した。,,,,,,,,,,,,
