区分・年,西暦(年),実数／総数（千人、％）,実数／15～24歳（千人、％）,実数／25～34歳（千人、％）,実数／35～44歳（千人、％）,実数／45～54歳（千人、％）,実数／55～64歳（千人、％）,実数／65歳以上（千人、％）,対前年増減数／総数（千人、ポイント）,対前年増減数／15～24歳（千人、ポイント）,対前年増減数／25～34歳（千人、ポイント）,対前年増減数／35～44歳（千人、ポイント）,対前年増減数／45～54歳（千人、ポイント）,対前年増減数／55～64歳（千人、ポイント）,対前年増減数／65歳以上（千人、ポイント）,対前年比／総数（％）,対前年比／15～24歳（％）,対前年比／25～34歳（％）,対前年比／35～44歳（％）,対前年比／45～54歳（％）,対前年比／55～64歳（％）,対前年比／65歳以上（％）
労働力人口／平成16年平均,2004,2692,299,740,519,497,450,188,27,-11,22,26,-31,16,7,1,-3.5,3.1,5.3,-5.9,3.7,3.9
労働力人口／平成17年平均,2005,2741,302,738,565,487,466,184,49,3,-2,46,-10,16,-4,1.8,1,-0.3,8.9,-2,3.6,-2.1
就業者数／平成９年平均,1997,2492,383,605,422,564,388,130,…,…,…,…,…,…,…,-,-,-,-,-,-,-
就業者数／平成10年平均,1998,2494,356,615,433,553,396,141,2,-27,10,11,-11,8,11,0.1,-7,1.7,2.6,-2,2.1,8.5
就業者数／平成11年平均,1999,2463,320,635,418,543,404,143,-31,-36,20,-15,-10,8,2,-1.2,-10.1,3.3,-3.5,-1.8,2,1.4
就業者数／平成12年平均,2000,2447,290,654,429,525,403,145,-16,-30,19,11,-18,-1,2,-0.6,-9.4,3,2.6,-3.3,-0.2,1.4
就業者数／平成13年平均,2001,2458,272,666,455,523,388,155,11,-18,12,26,-2,-15,10,0.4,-6.2,1.8,6.1,-0.4,-3.7,6.9
就業者数／平成14年平均,2002,2503,294,670,459,518,395,167,45,22,4,4,-5,7,12,1.8,8.1,0.6,0.9,-1,1.8,7.7
就業者数／平成15年平均,2003,2525,288,667,466,511,416,177,22,-6,-3,7,-7,21,10,0.9,-2,-0.4,1.5,-1.4,5.3,6
就業者数／平成16年平均,2004,2559,276,696,491,476,436,183,34,-12,29,25,-35,20,6,1.3,-4.2,4.3,5.4,-6.8,4.8,3.4
就業者数／平成17年平均,2005,2613,279,693,542,472,446,181,54,3,-3,51,-4,10,-2,2.1,1.1,-0.4,10.4,-0.8,2.3,-1.1
完全失業者数／平成９年平均,1997,118,28,41,18,19,11,2,…,…,…,…,…,…,…,-,-,-,-,-,-,-
完全失業者数／平成10年平均,1998,127,26,45,19,19,15,2,9,-2,4,1,0,4,0,7.6,-7.1,9.8,5.6,0,36.4,0
完全失業者数／平成11年平均,1999,136,23,50,22,18,19,3,9,-3,5,3,-1,4,1,7.1,-11.5,11.1,15.8,-5.3,26.7,50
完全失業者数／平成12年平均,2000,132,23,48,23,20,15,3,-4,0,-2,1,2,-4,0,-2.9,0,-4,4.5,11.1,-21.1,0
完全失業者数／平成13年平均,2001,129,23,47,23,19,16,2,-3,0,-1,0,-1,1,-1,-2.3,0,-2.1,0,-5,6.7,-33.3
完全失業者数／平成14年平均,2002,145,26,55,29,17,15,2,16,3,8,6,-2,-1,0,12.4,13,17,26.1,-10.5,-6.3,0
完全失業者数／平成15年平均,2003,140,22,51,27,17,19,5,-5,-4,-4,-2,0,4,3,-3.4,-15.4,-7.3,-6.9,0,26.7,150
完全失業者数／平成16年平均,2004,133,23,43,28,20,14,4,-7,1,-8,1,3,-5,-1,-5,4.5,-15.7,3.7,17.6,-26.3,-20
完全失業者数／平成17年平均,2005,129,23,45,23,15,20,3,-4,0,2,-5,-5,6,-1,-3,0,4.7,-17.9,-25,42.9,-25
非労働力人口／平成９年平均,1997,2561,435,317,279,312,389,829,…,…,…,…,…,…,…,-,-,-,-,-,-,-
非労働力人口／平成10年平均,1998,2587,424,337,271,307,389,860,26,-11,20,-8,-5,0,31,1,-2.5,6.3,-2.9,-1.6,0,3.7
非労働力人口／平成11年平均,1999,2630,421,333,294,294,393,896,43,-3,-4,23,-13,4,36,1.7,-0.7,-1.2,8.5,-4.2,1,4.2
非労働力人口／平成12年平均,2000,2683,420,328,304,303,394,935,53,-1,-5,10,9,1,39,2,-0.2,-1.5,3.4,3.1,0.3,4.4
非労働力人口／平成13年平均,2001,2714,407,341,293,305,393,975,31,-13,13,-11,2,-1,40,1.2,-3.1,4,-3.6,0.7,-0.3,4.3
非労働力人口／平成14年平均,2002,2755,427,320,318,284,398,1008,41,20,-21,25,-21,5,33,1.5,4.9,-6.2,8.5,-6.9,1.3,3.4
非労働力人口／平成15年平均,2003,2787,421,325,347,252,401,1040,32,-6,5,29,-32,3,32,1.2,-1.4,1.6,9.1,-11.3,0.8,3.2
非労働力人口／平成16年平均,2004,2797,414,296,351,252,415,1069,10,-7,-29,4,0,14,29,0.4,-1.7,-8.9,1.2,0,3.5,2.8
非労働力人口／平成17年平均,2005,2787,398,288,337,239,412,1113,-10,-16,-8,-14,-13,-3,44,-0.4,-3.9,-2.7,-4,-5.2,-0.7,4.1
労働力人口比率／平成９年平均,1997,50.4,48.5,66.9,61.2,65,50.6,13.7,…,…,…,…,…,…,…,,,,,,,
労働力人口比率／平成10年平均,1998,50.3,47.4,66.1,62.3,65.1,51.3,14.3,-0.1,-1.1,-0.8,1.1,0.1,0.7,0.6,,,,,,,
労働力人口比率／平成11年平均,1999,49.6,44.8,67.2,59.7,65.5,51.8,14,-0.7,-2.6,1.1,-2.6,0.4,0.5,-0.3,,,,,,,
労働力人口比率／平成12年平均,2000,49,42.7,68.1,59.8,64.2,51.4,13.7,-0.6,-2.1,0.9,0.1,-1.3,-0.4,-0.3,,,,,,,
労働力人口比率／平成13年平均,2001,48.8,42,67.6,61.9,63.9,50.8,13.8,-0.2,-0.7,-0.5,2.1,-0.3,-0.6,0.1,,,,,,,
労働力人口比率／平成14年平均,2002,49,42.8,69.2,60.5,65.3,50.7,14.4,0.2,0.8,1.6,-1.4,1.4,-0.1,0.6,,,,,,,
労働力人口比率／平成15年平均,2003,48.8,42.3,68.7,58.6,67.6,51.9,14.8,-0.2,-0.5,-0.5,-1.9,2.3,1.2,0.4,,,,,,,
労働力人口比率／平成16年平均,2004,49,41.9,71.4,59.6,66.3,52,15,0.2,-0.4,2.7,1,-1.3,0.1,0.2,,,,,,,
労働力人口比率／平成17年平均,2005,49.5,43,71.7,62.6,67,53.1,14.2,0.5,1.1,0.3,3,0.7,1.1,-0.8,,,,,,,
完全失業率／平成９年平均,1997,4.5,6.8,6.3,4.1,3.3,2.8,1.5,…,…,…,…,…,…,…,,,,,,,
完全失業率／平成10年平均,1998,4.8,6.8,6.8,4.2,3.3,3.6,1.4,0.3,0,0.5,0.1,0,0.8,-0.1,,,,,,,
完全失業率／平成11年平均,1999,5.2,6.7,7.3,5,3.2,4.5,2.1,0.4,-0.1,0.5,0.8,-0.1,0.9,0.7,,,,,,,
完全失業率／平成12年平均,2000,5.1,7.3,6.8,5.1,3.7,3.6,2,-0.1,0.6,-0.5,0.1,0.5,-0.9,-0.1,,,,,,,
完全失業率／平成13年平均,2001,5,7.8,6.6,4.8,3.5,4,1.3,-0.1,0.5,-0.2,-0.3,-0.2,0.4,-0.7,,,,,,,
完全失業率／平成14年平均,2002,5.5,8.1,7.6,5.9,3.2,3.7,1.2,0.5,0.3,1,1.1,-0.3,-0.3,-0.1,,,,,,,
完全失業率／平成15年平均,2003,5.3,7.1,7.1,5.5,3.2,4.4,2.8,-0.2,-1,-0.5,-0.4,0,0.7,1.6,,,,,,,
完全失業率／平成16年平均,2004,4.9,7.7,5.8,5.4,4,3.1,2.1,-0.4,0.6,-1.3,-0.1,0.8,-1.3,-0.7,,,,,,,
完全失業率／平成17年平均,2005,4.7,7.6,6.1,4.1,3.1,4.3,1.6,-0.2,-0.1,0.3,-1.3,-0.9,1.2,-0.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
東京の労働力統計データ（平成17年平均）,,,,,,,,,,,,,,,,,,,,,,
第３表　年齢階層別就業状態（女）,,,,,,,,,,,,,,,,,,,,,,
